# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
	🧛🏿;បិសាចជញ្ជក់ឈាម: សម្បុរខ្មៅ;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចជញ្ជក់ឈាម: សម្បុរខ្មៅ|បិសាចមិនចេះស្លាប់|សម្បុរខ្មៅ
🧛‍♂️;បិសាចប្រុសជញ្ជក់ឈាម;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចមិនចេះស្លាប់
	🧛🏻‍♂️;បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរស;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរស|បិសាចមិនចេះស្លាប់|សម្បុរស
	🧛🏼‍♂️;បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរសល្មម;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរសល្មម|បិសាចមិនចេះស្លាប់|សម្បុរសល្មម
	🧛🏽‍♂️;បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរស្រអែម;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរស្រអែម|បិសាចមិនចេះស្លាប់|សម្បុរស្រអែម
	🧛🏾‍♂️;បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម|បិសាចមិនចេះស្លាប់|សម្បុរខ្មៅល្មម
	🧛🏿‍♂️;បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរខ្មៅ;ត្រាខ្យូឡា|បិសាចប្រុសជញ្ជក់ឈាម|បិសាចប្រុសជញ្ជក់ឈាម: សម្បុរខ្មៅ|បិសាចមិនចេះស្លាប់|សម្បុរខ្មៅ
🧛‍♀️;បិសាចស្រីជញ្ជក់ឈាម;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម
	🧛🏻‍♀️;បិសាចស្រីជញ្ជក់ឈាម: សម្បុរស;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម|បិសាចស្រីជញ្ជក់ឈាម: សម្បុរស|សម្បុរស
	🧛🏼‍♀️;បិសាចស្រីជញ្ជក់ឈាម: សម្បុរសល្មម;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម|បិសាចស្រីជញ្ជក់ឈាម: សម្បុរសល្មម|សម្បុរសល្មម
	🧛🏽‍♀️;បិសាចស្រីជញ្ជក់ឈាម: សម្បុរស្រអែម;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម|បិសាចស្រីជញ្ជក់ឈាម: សម្បុរស្រអែម|សម្បុរស្រអែម
	🧛🏾‍♀️;បិសាចស្រីជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម|បិសាចស្រីជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🧛🏿‍♀️;បិសាចស្រីជញ្ជក់ឈាម: សម្បុរខ្មៅ;បិសាចមិនចេះស្លាប់|បិសាចស្រីជញ្ជក់ឈាម|បិសាចស្រីជញ្ជក់ឈាម: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🧜;មនុស្សមច្ឆា;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|ស្រីមច្ឆា
	🧜🏻;មនុស្សមច្ឆា: សម្បុរស;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|មនុស្សមច្ឆា: សម្បុរស|សម្បុរស|ស្រីមច្ឆា
	🧜🏼;មនុស្សមច្ឆា: សម្បុរសល្មម;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|មនុស្សមច្ឆា: សម្បុរសល្មម|សម្បុរសល្មម|ស្រីមច្ឆា
	🧜🏽;មនុស្សមច្ឆា: សម្បុរស្រអែម;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|មនុស្សមច្ឆា: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្រីមច្ឆា
	🧜🏾;មនុស្សមច្ឆា: សម្បុរខ្មៅល្មម;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|មនុស្សមច្ឆា: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្រីមច្ឆា
	🧜🏿;មនុស្សមច្ឆា: សម្បុរខ្មៅ;នាងមច្ឆា|ប្រុសមច្ឆា|មនុស្សមច្ឆា|មនុស្សមច្ឆា: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្រីមច្ឆា
🧜‍♂️;ប្រុសមច្ឆា;ត្រាយតុន|ប្រុសមច្ឆា
	🧜🏻‍♂️;ប្រុសមច្ឆា: សម្បុរស;ត្រាយតុន|ប្រុសមច្ឆា|ប្រុសមច្ឆា: សម្បុរស|សម្បុរស
	🧜🏼‍♂️;ប្រុសមច្ឆា: សម្បុរសល្មម;ត្រាយតុន|ប្រុសមច្ឆា|ប្រុសមច្ឆា: សម្បុរសល្មម|សម្បុរសល្មម
	🧜🏽‍♂️;ប្រុសមច្ឆា: សម្បុរស្រអែម;ត្រាយតុន|ប្រុសមច្ឆា|ប្រុសមច្ឆា: សម្បុរស្រអែម|សម្បុរស្រអែម
	🧜🏾‍♂️;ប្រុសមច្ឆា: សម្បុរខ្មៅល្មម;ត្រាយតុន|ប្រុសមច្ឆា|ប្រុសមច្ឆា: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🧜🏿‍♂️;ប្រុសមច្ឆា: សម្បុរខ្មៅ;ត្រាយតុន|ប្រុសមច្ឆា|ប្រុសមច្ឆា: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🧜‍♀️;នាងមច្ឆា;នាងមច្ឆា|ស្រីមច្ឆា
	🧜🏻‍♀️;នាងមច្ឆា: សម្បុរស;នាងមច្ឆា|នាងមច្ឆា: សម្បុរស|សម្បុរស|ស្រីមច្ឆា
	🧜🏼‍♀️;នាងមច្ឆា: សម្បុរសល្មម;នាងមច្ឆា|នាងមច្ឆា: សម្បុរសល្មម|សម្បុរសល្មម|ស្រីមច្ឆា
	🧜🏽‍♀️;នាងមច្ឆា: សម្បុរស្រអែម;នាងមច្ឆា|នាងមច្ឆា: សម្បុរស្រអែម|សម្បុរស្រអែម|ស្រីមច្ឆា
	🧜🏾‍♀️;នាងមច្ឆា: សម្បុរខ្មៅល្មម;នាងមច្ឆា|នាងមច្ឆា: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|ស្រីមច្ឆា
	🧜🏿‍♀️;នាងមច្ឆា: សម្បុរខ្មៅ;នាងមច្ឆា|នាងមច្ឆា: សម្បុរខ្មៅ|សម្បុរខ្មៅ|ស្រីមច្ឆា
🧝;អែលហ្វ;ដែលចេះវេទមន្ត|អែលហ្វ
	🧝🏻;អែលហ្វ: សម្បុរស;ដែលចេះវេទមន្ត|សម្បុរស|អែលហ្វ|អែលហ្វ: សម្បុរស
	🧝🏼;អែលហ្វ: សម្បុរសល្មម;ដែលចេះវេទមន្ត|សម្បុរសល្មម|អែលហ្វ|អែលហ្វ: សម្បុរសល្មម
	🧝🏽;អែលហ្វ: សម្បុរស្រអែម;ដែលចេះវេទមន្ត|សម្បុរស្រអែម|អែលហ្វ|អែលហ្វ: សម្បុរស្រអែម
	🧝🏾;អែលហ្វ: សម្បុរខ្មៅល្មម;ដែលចេះវេទមន្ត|សម្បុរខ្មៅល្មម|អែលហ្វ|អែលហ្វ: សម្បុរខ្មៅល្មម
	🧝🏿;អែលហ្វ: សម្បុរខ្មៅ;ដែលចេះវេទមន្ត|សម្បុរខ្មៅ|អែលហ្វ|អែលហ្វ: សម្បុរខ្មៅ
🧝‍♂️;អែលហ្វប្រុស;ដែលចេះវេទមន្ត|អែលហ្វប្រុស
	🧝🏻‍♂️;អែលហ្វប្រុស: សម្បុរស;ដែលចេះវេទមន្ត|សម្បុរស|អែលហ្វប្រុស|អែលហ្វប្រុស: សម្បុរស
	🧝🏼‍♂️;អែលហ្វប្រុស: សម្បុរសល្មម;ដែលចេះវេទមន្ត|សម្បុរសល្មម|អែលហ្វប្រុស|អែលហ្វប្រុស: សម្បុរសល្មម
	🧝🏽‍♂️;អែលហ្វប្រុស: សម្បុរស្រអែម;ដែលចេះវេទមន្ត|សម្បុរស្រអែម|អែលហ្វប្រុស|អែលហ្វប្រុស: សម្បុរស្រអែម
