# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
😾;មុខឆ្មាខឹងបែរទៅស្តាំ;ខឹង|ឆ្មា|មុខឆ្មាខឹងបែរទៅស្តាំ
🙈;ស្វាយកដៃបិទភ្នែកខ្លួនឯង;បិទភ្នែក|ស្វា|ស្វាយកដៃបិទភ្នែកខ្លួនឯង
🙉;ស្វាយកដៃបិទត្រចៀកខ្លួនឯង;បិទត្រចៀក|ស្វា|ស្វាយកដៃបិទត្រចៀកខ្លួនឯង
🙊;ស្វាយកដៃខ្ទប់ច្រមុះ;បិទច្រមុះ|ស្វា|ស្វាយកដៃខ្ទប់ច្រមុះ
💌;សំបុត្រស្នេហា;សំបុត្រ|សំបុត្រស្នេហា|ស្នេហា
💘;បេះដូងត្រូវគ្រាប់ព្រួញ;បេះដូង|បេះដូងត្រូវគ្រាប់ព្រួញ|ព្រួញស្នេហ៍|ស្នេហ៍
💝;បេះដូងចងបូ;ចងបូ|បេះដូង|បេះដូងចងបូ|ស្រឡាញ់
💖;បេះដូចចែងចាំង;ចែងចាំង|បេដូង|បេះដូចចែងចាំង
💗;បេះដូងរីកធំធាត់;បេះដូង|បេះដូងរីកធំធាត់|បេះដូងលោតញាប់|រំភើប
💓;បេះដូងកំពុងញ័រ;ញ័រ|បេះដូង|បេះដូងកំពុងញ័រ
💞;បេះដូងកំពុុងរង្វិលជុំ;បេះដូង|បេះដូងកំពុុងរង្វិលជុំ|វិល
💕;បេះដូងពីរ;បេះដូង|បេះដូងពីរ|បេះដូងមួយគូ|ស្នេហា
💟;ពុម្ពបេះដូង;បេះដូង|ពុម្ពបេះដូង
❣️;សញ្ញាឧទានរូបបេះដូង;បេះដូង|សញ្ញាឧទាន|សញ្ញាឧទានរូបបេះដូង
💔;បេះដូងបែកជាពីរ;បេះដូងបែកជាពីរ|បេះដូងប្រេះស្រាំ|បែកបេះដូង
❤️‍🔥;បេះដូងពុះកញ្ជ្រោល;ឆេះ|តណ្ហា|បេះដូង|បេះដូងពិសិដ្ឋ|បេះដូងពុះកញ្ជ្រោល|ស្រឡាញ់
❤️‍🩹;បេះដូងរុំរបួស;ជាសះស្បើយ|ជួសជុល|ធូរស្បើយ|បេះដូងរុំរបួស|ប្រសើរឡើង|សុខភាពល្អ|សុខភាពល្អជាងមុន
❤️;បេះដូង;បេះដូង|ស្រឡាញ់
🩷;បេះដូងពណ៌ផ្កាឈូក;គួរឱ្យស្រឡាញ់|ចូលចិត្ត|បេះដូង|បេះដូងពណ៌ផ្កាឈូក|ផ្កាឈូក|ស្រឡាញ់
🧡;បេះដូងពណ៌ទឹកក្រូច;បេះដូងពណ៌ទឹកក្រូច|ពណ៌ទឹកក្រូច
💛;បេះដូងពណ៌លឿង;បេះដូង|បេះដូងពណ៌លឿង|លឿង
💚;បេះដូងពណ៌បៃតង;បេះដូង|បេះដូងពណ៌បៃតង|បៃតង
💙;បេះដូងពណ៌ខៀវ;ខៀវ|បេះដូង|បេះដូងពណ៌ខៀវ
🩵;បេះដូងពណ៌ខៀវស្រាល;កាប់ស្ដាំង|ខៀវស្រាល|បេះដូង|បេះដូងពណ៌ខៀវស្រាល|ស៊ីលាប
💜;បេះដូងពណ៌ស្វាយ;បេះដូង|បេះដូងពណ៌ស្វាយ|ពណ៌ស្វាយ
🤎;បេះដូងពណ៌ត្នោត;បេះដូង|បេះដូងពណ៌ត្នោត|ពណ៌ត្នោត
🖤;បេះដូងពណ៌ខ្មៅ;ខ្មៅ|ធ្មប់|បិសាច|បេះដូងពណ៌ខ្មៅ|បេះដូវ
🩶;បេះដូងពណ៌ប្រផេះ;បេះដូង|បេះដូងពណ៌ប្រផេះ|ប្រផេះ|ប្រាក់|ភក់
🤍;បេះដូងពណ៌ស;បេះដូង|បេះដូងពណ៌ស|ពណ៌ស
💋;ស្នាមថើប;បបេរមាត់|ស្នាមថើប
💯;ពិន្ទុ១០០;100|ពិន្ទុ១០០
💢;សញ្ញាខឹង;ខឹង​|សញ្ញាខឹង
💥;បុកគ្នា;បុកគ្នា|ផ្ទុុះ
💫;វិលវល់;វិល|វិលវល់
💦;តំណក់ទឹកបី;តំណក់ទឹក|តំណក់ទឹកបី|ភ្លៀង
💨;សន្ទុះខ្យល់ពីការរត់យ៉ាងលឿន;រត់់|សន្ទុះខ្យល់ពីការរត់យ៉ាងលឿន
🕳️;ប្រហោយ;ប្រហោង|ប្រហោយ
💬;រង្វង់បង្ហាញពាក្យកំពុងនិយាយខាងស្តាំ;និយាយ|ពាក្យសម្តី|រង្វង់បង្ហាញពាក្យកំពុងនិយាយខាងស្តាំ
