# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
💧;تامچە;تامچە|تەر|سوغۇق|كۈلكىلىك
🌊;سۇ دولقۇنى;ئوكيان|دولقۇن|سۇ|سۇ دولقۇنى

[activities]
🎃;كاۋا چىراق;پانۇس|پەرىشتە بايرىمى|تەبرىكلەش|چىراق|كاۋا چىراق
🎄;مىلاد دەرىخى;تەبرىكلەش|دەرەخ|مىلاد|مىلاد دەرىخى
🎆;ساليۇت;تەبرىكلەش|ساليۇت
🎇;پارسىلداق;ئۇچقۇن|پارسىلداق|تەبرىكلەش|ساليۇت
🧨;;
✨;ۋالدۇر-ۋۇلدۇر;ئۇچقۇن|ۋالدۇر-ۋۇلدۇر|يۇلتۇز
🎈;شار;تەبرىكلەش|شار
🎉;سورۇن پارسىلدىقى;پارسىلداق|تەبرىكلەش|سورۇن|سورۇن پارسىلدىقى|يورۇق
🎊;قەغەز ئۇۋاق;ئۇۋاق|تەبرىكلەش|توپ|قەغەز ئۇۋاق
🎋;تاناباتا دەرىخى;پىلاكات|تاناباتا دەرىخى|تەبرىكلەش|دەرەخ|ياپونچە
🎍;قارىغاي بېزەك;بامبۇك|تەبرىكلەش|قارىغاي|قارىغاي بېزەك|ياپونچە
🎎;ياپونچە قونچاق;ئويۇنچۇق|بايرام|تەبرىكلەش|ياپونچە|ياپونچە قونچاق
🎏;بېلىق لەپ-لەپ;بېلىق لەپ-لەپ|تەبرىكلەش|قاسقان|لەپ-لەپ
🎐;شامال كاناي;تەبرىكلەش|شامال|قوڭغۇراق|كاناي
🎑;ئاي كۆرۈش مۇراسىمى;ئاي|ئاي كۆرۈش مۇراسىمى|تەبرىكلەش|مۇراسىم
🧧;;
🎀;لېنتا;تەبرىكلەش|لېنتا
🎁;ئوراق سوۋغات;ئوراق سوۋغات|بولاق|تەبرىكلەش|سوۋغات|قاپ|قۇتا
🎗️;ئەسلەش لېنتىسى;ئاگاھلاندۇرۇش|ئەسلەش لېنتىسى|تەبرىكلەش|لېنتا
🎟️;قوبۇللاش بېلىتى;بېلەت|قوبۇل|قوبۇللاش بېلىتى
🎫;بېلەت;بېلەت|قوبۇل
🎖️;ھەربىي مېدال;تەبرىكلەش|مېدال|ھەربى|ھەربىي مېدال
🏆;مۇكاپات لوڭقىسى;مۇكاپات|مۇكاپات لوڭقىسى
🏅;تەنتەربىيە مېدالى;تەنتەربىيە مېدالى|مېدال
🥇;بىرىنچىلىك مېدالى;ئالتۇن|بىرىنچى|بىرىنچىلىك مېدالى|مېدال
🥈;ئىككىنچىلىك مېدالى;ئىككىنچى|ئىككىنچىلىك مېدالى|كۈمۈش|مېدال
🥉;ئۈچىنچىلىك مېدالى;ئۈچىنچى|ئۈچىنچىلىك مېدالى|مىس|مېدال
⚽;پۇتبول;پۇتبول|پۇتتوپ|توپ
⚾;قورغانتوپ;توپ|قورغانتوپ
🥎;;
🏀;ۋاسكېتبول;توپ|سېۋەت|ۋاسكېتبول
🏐;ۋالىبول;ئويۇن|توپ|ۋالىبول
🏈;ئامېرىكا پۇتبولى;ئامېرىكا|ئامېرىكا پۇتبولى|پۇتبول|توپ
🏉;زەيتۇن توپ;پۇتبول|توپ|زەيتۇن
🎾;چويلا توپ;توپ|تورلۇق|چويلا توپ
🥏;;
🎳;دومىلىما توپ;ئويۇن|توپ|دومىلىما توپ
🏏;كالتەكتوپ ئويۇنى;ئويۇن|پالاقلاش|توپ|كالتەكتوپ ئويۇنى
🏑;كالتەكتوپ;ئويۇن|توپ|كالتەك|كالتەكتوپ|يەر
🏒;مۇزتوپ;ئويۇن|كالتەك|كالتەكتوپ|مۇز|مۇزتوپ
🥍;;
🏓;تىكتاكتوپ;ئويۇن|پالاق|تەپكە|توپ|تىكتاكتوپ|چويلا توپ
🏸;پەيتوپ;ئويۇن|پەيتوپ|تورلۇق|قۇشقاچ
🥊;بوكس پەلىيى;بوكس|پەلىيى
🥋;جانبازلىق كىيىمى;تايكۋوندو|جانبازلىق|جانبازلىق كىيىمى|جۇدو|فورما|كاراتې
🥅;ۋارتا تورى;تور|ۋارتا|ۋارتا تورى
⛳;ئورەكتىكى بايراق;ئورەكتىكى بايراق|تۆشۈك|گولف
⛸️;مۇز تېيىلىش;تېيىلىش|مۇز
🎣;قارماق سېپى;بېلىق|ساپ|قارماق سېپى
🤿;;
🎽;يۈگۈرۈش كۆڭلىكى;تەنتەربىيە|رامكا|كۆڭلەك|يۈگۈرۈش|يۈگۈرۈش كۆڭلىكى
🎿;چاڭغا;چاڭغا|قار
🛷;تېيىلغا;تېيىلغا|چاڭغا ھارۋا
🥌;ئەگمە تاش;ئەگمە تاش|ئويۇن|تاش
🎯;دەل تېگىش;ئوقتام|ئويۇن|ئېتىش|بۇقا|دەل تېگىش|قارىغا|كۆز|نىشان
🪀;;
🪁;;
🔫;تاپانچا;ئايلانما تاپانچا|تاپانچا|قورال|مىلتىق|ياراغ
🎱;8 لىك بىليارت;8|8 لىك بىليارت|ئويۇن|بىليارت|توپ|سەككىز
🔮;كىرىستال توپ;توپ|چۆچەك|خەزىنە|فانتازىيە|قورال|كىرىستال
🪄;;
🎮;ئېلېكتىرونلۇق ئويۇن;ئويۇن|ئېلېكتىرونلۇق ئويۇن|تىزگىن
🕹️;ئويۇن تىزگىنىكى;ئويۇن|ئويۇن تىزگىنىكى|ئېلېكتىرونلۇق ئويۇن
🎰;مال ساتقۇچ;ئويۇن|سېتىش|مال ساتقۇچ
🎲;شىشىخال ئويۇنى;ئوشۇق|ئويۇن|شىشىخال|شىشىخال ئويۇنى
🧩;;
🧸;;
🪅;;
🪩;;
🪆;;
♠️;قاغا;ئويۇن|قارتا|قاغا
♥️;تاپان;ئويۇن|تاپان|قارتا
♦️;غىچ;ئويۇن|غىچ|قارتا
♣️;چىتتىر;ئويۇن|چىتتىر|قارتا
♟️;;
🃏;جوكېر;ئويۇن|جوكېر|سىرتقى قارتا|قارتا
🀄;ماجاڭ قىزىل ئەجدىھا;ئويۇن|قىزىل|ماجاڭ|ماجاڭ قىزىل ئەجدىھا
🎴;گۈللۈك قارتا;ئويناش|ئويۇن|قارتا|گۈل|گۈللۈك قارتا|ياپونچە
🎭;ئويۇن كۆرسىتىش;ئويۇن كۆرسىتىش|تىياتىرخانا|سەنئەت|كۆرسىتىش|كىنوخانا|ماسكا
🖼️;رامكىلىق رەسىم;رامكا|رامكىلىق رەسىم|رەسىم|رەسىم سىزىش|سەنئەت|مۇزېي
🎨;بوياق تاختىسى;بوياق تاختىسى|سەنئەت|سىزىش|مۇزېي
🧵;;
🪡;;
🧶;;
🪢;;

[objects]
👓;ئەينەك;ئەينەك|كۆز|كۆزەينەك|كىيىم
🕶️;كۈن ئەينىكى;ئەينەك|قاراڭغۇ|كۆز|كۆزەينەك|كۈن ئەينىكى
🥽;;
🥼;;
🦺;;
👔;گالىستۇك;كىيىم-كېچەك|گالىستۇك
👕;كۆڭلەك;كۆڭلەك|كۆينەك|كىيىم
👖;پادىچىلار ئىشتىنى;ئىشتان|پادىچىلار ئىشتىنى|شىم|كىيىم
🧣;شارپا;بويۇن|شارپا
🧤;پەلەي;پەلەي|قول
🧥;پەلتو;پەلتو|چاپان
🧦;پايپاق;پايپاق|دۆۋىلىنىش
👗;كىيىم;كىيىم|كىيىم-كېچەك
👘;كىمونو;كىمونو|كىيىم-كېچەك
🥻;;
🩱;;
🩲;;
🩳;;
👙;باغىرداق;ئۈزۈش|باغىرداق|كىيىم-كېچەك
👚;ئايالچە كىيىم;ئايال|ئايالچە كىيىم|كىيىم-كېچەك
🪭;;
👛;ھەميان;پۇل|كىيىم-كېچەك|ھەميان
👜;قولسومكا;خالتا|قولسومكا|كىيىم|ھەميان
👝;قولبوغچا;خالتا|سومكا|قولبوغچا|كىيىم
🛍️;مال سېتىۋېلىش خالتىسى;خالتا|سېتىۋېلىش|مال سېتىۋېلىش خالتىسى|مېھمانخانا
🎒;كىتاب بوغچىسى;خالتا|سومكا|كىتاب بوغچىسى|مەكتەپ
🩴;;
👞;ئەرەنچە ئاياغ;ئاياغ|ئەر|ئەرەنچە ئاياغ|كىيىم
👟;يۈگۈرۈش ئايىغى;ئاياغ|تەنتەربىيە|توپ ئايىغى|كىيىم|يۈگۈرۈش ئايىغى
🥾;;
🥿;;
👠;ئېگىز پاشنىلىق ئاياغ;ئاياغ|ئايال|ئېگىز پاشنىلىق ئاياغ|پاشنا|كىيىم
👡;ئايالچە سالقىن ئاياغ;ئاياغ|ئايال|ئايالچە سالقىن ئاياغ|سالقىن|كىيىم
🩰;;
👢;ئايالچە ئۆتۈك;ئاياغ|ئايال|ئايالچە ئۆتۈك|ئۆتۈك|كىيىم
🪮;;
👑;تاج;تاج|خان|خانىش|كىيىم
👒;ئايالچە قالپاق;ئايال|ئايالچە قالپاق|قالپاق|كىيىم
🎩;ئۇزۇن قالپاق;ئۇزۇن قالپاق|باش|قالپاق|كىيىم
🎓;ئوقۇش پۈتتۈرۈش قالپىقى;ئوقۇش پۈتتۈرۈش|ئوقۇش پۈتتۈرۈش قالپىقى|تەبرىكلەش|شەپكە|قالپاق|كىيىم
🧢;ئۇزۇن تۇمشۇق شەپكە;ئۇزۇن تۇمشۇق شەپكە|قورغانتوپ قالپىقى
🪖;;
⛑️;قۇتقۇزغۇچى قالپىقى;بىخەتەرلىك قالپىقى|قالپاق|قوشۇش بەلگىسى|قۇتقۇزغۇچى قالپىقى|ياردەم
📿;تەسۋى;تەسۋى|دۇئا|دىن|زەنجىر|كىيىم|مارجان
💄;لەۋسۇرۇخ;گىرىم|لەۋسۇرۇخ|ياسىنىش
💍;ئۈزۈك;ئالماس|ئۈزۈك
💎;گۆھەر تاش;ئالماس|زىننەت|گۆھەر|گۆھەر تاش
🔇;ئۈنسىز ياڭراتقۇ;ئۈنسىز|تىنچ|جىم|ياڭراتقۇ
🔈;تۆۋەن ئۈنلۈك ياڭراتقۇ;تۆۋەن ئۈنلۈك ياڭراتقۇ|يۇمشاق
🔉;ئارا ئۈنلۈك ياڭراتقۇ;ئارا|ئارا ئۈنلۈك ياڭراتقۇ
🔊;يۇقىرى ئۈنلۈك ياڭراتقۇ;ئۈنلۈك|يۇقىرى ئۈنلۈك ياڭراتقۇ
📢;ياڭراتقۇ;ئاممىۋىي ئادرېس|ئۈنلۈك|ياڭراتقۇ
📣;ئۈنلەتكۈچ;ئۈنلەتكۈچ|روھلىنىش
📯;پوچتا گۈدۈكى;پوچتا|پوچتا گۈدۈكى|پوچتىچىلىق|سۇناي
🔔;قوڭغۇراق;قوڭغۇراق
🔕;چەكلەنگەن قوڭغۇراق;ئەمەس|ئۈنسىز|تىنچ|جىم|چەكلەنگەن|قوڭغۇراق|قىلماڭ|ياق
🎼;مۇزىكا يازمىسى;مۇزىكا|مۇزىكا يازمىسى|يازما
🎵;نوتا;مۇزىكا|نوتا
🎶;نوتىلار;مۇزىكا|نوتا|نوتىلار
🎙️;ئىستۇدىيە مىكروفونى;ئىستۇدىيە|ئىستۇدىيە مىكروفونى|مۇزىكا|مىك|مىكروفون
🎚️;دەرىجە سىيرىگۈچ;دەرىجە|سىيرىگۈچ|مۇزىكا
🎛️;تىزگىن تۇتقا;تۇتقا|تىزگىن|مۇزىكا
🎤;مىكروفون;كارائوكى|مىكروفون
🎧;تاقىما تىڭشىغۇچ;تاقىما تىڭشىغۇچ|تىڭشىغۇچ
📻;رادىيو;رادىيو|سىن
🎷;ساكسوفون;ساز|ساكس|ساكسوفون|مۇزىكا
🪗;;
🎸;گىتار;ساز|ساكس|گىتار
🎹;مۇزىكا تىل تاختىسى;پىيانىنو|چالغۇ|ساز|مۇزىكا|مۇزىكا تىل تاختىسى
🎺;سۇناي;ساز|ساكس|سۇناي
🎻;ئىسكىرىپكا;ئىسكىرىپكا|ساز|ساكس
🪕;;
🥁;دۇمباق;چالغۇچ|دۇمباق|مۇزىكا
🪘;;
🪇;;
🪈;;
📱;يانفون;تېلېفون|فون|كۆچمە|يانفون
📲;كۆرسەتكۈچلۈك يانفون;ئېلىش|تېلېفون|چاقىرىش|فون|كۆچمە|كۆرسەتكۈچ|كۆرسەتكۈچلۈك يانفون|يانفون
☎️;تېلېفون;تېلېفون
📞;تېلېفون ئالغۇچ;ئالغۇچ|تېلېفون|فون
📟;چاقىرغۇ;چاقىرغۇ
📠;فاكسچى;فاكس|فاكسچى
🔋;باتارېيە;باتارېيە
🪫;;
🔌;چاتقۇچ;ئېلېكتىر|توك|چاتقۇچ
💻;خاتىرە كومپيۇتېر;خاتىرە كومپيۇتېر|شەخسىي|كومپيۇتېر
🖥️;ئۈستەل كومپيۇتېرى;ئۈستەل|ئۈستەل كومپيۇتېرى|كومپيۇتېر
🖨️;باسقۇچ;باسقۇچ|كومپيۇتېر
⌨️;كۇنۇپكا تاختىسى;كومپيۇتېر|كۇنۇپكا تاختىسى
🖱️;مائۇس;كومپيۇتېر|مائۇس
🖲️;مائۇس شارچىسى;كومپيۇتېر|مائۇس شارچىسى
💽;كومپيۇتېر دىسكىسى;دىسكا|كومپيۇتېر|كومپيۇتېر دىسكىسى|كىچىك دىسكا|نۇر
💾;يۇمشاق دىسكا;دىسكا|كومپيۇتېر|يۇمشاق
💿;نۇر دىسكا;cd|دىسكا|كومپيۇتېر|نۇر
📀;dvd;blu-ray|dvd|دىسكا|كومپيۇتېر|نۇر
🧮;;
🎥;كىنو كامېراسى;كامېرا|كىنو|كىنو كامېراسى|كىنوخانا
🎞️;كىنو رامكىسى;رامكا|فىلىم|كىنو|كىنو رامكىسى|كىنوخانا
📽️;فىلىم قويغۇچ;سىن|فىلىم|قويغۇچ|كىنو|كىنوخانا
🎬;چىك-چاك;چىك-چاك|كىنو
📺;تېلېۋىزور;تېلېۋىزور|تېلېۋىزىيە|سىن
📷;كامېرا;سىن|كامېرا
📸;چىراقلىق كامېرا;چاقماق چىراق|چىراقلىق كامېرا|سىن|كامېرا
📹;سىن كامېرا;سىن|كامېرا
📼;سىنئالغۇ لېنتىسى;سىن|سىنئالغۇ|سىنئالغۇ لېنتىسى|لېنتا
🔍;سولغا قارىغان چوڭايتقۇچ;ئەينەك|ئىزدەش|چوڭايتقۇچ|سولغا قارىغان چوڭايتقۇچ|قورال
🔎;ئوڭغا قارىغان چوڭايتقۇچ;ئەينەك|ئوڭغا قارىغان چوڭايتقۇچ|ئىزدەش|چوڭايتقۇچ|قورال
🕯️;شام;چىراق|شام
💡;لامپۇچكا;توكلۇق|چىراق|كۆزقاراش|كۈلكىلىك|لامپا|لامپۇچكا
🔦;قولچىراق;توك|چىراق|قورال|قولچىراق|يورۇتۇش
🏮;قىزىل پانۇس;پانۇس|چىراق|قاۋاق|قىزىل
🪔;;
📔;رەڭلىك خاتىرە;بېزەك|تاش|خاتىرە|رەڭلىك خاتىرە|كىتاب
📕;يېپىق كىتاب;كىتاب|يېپىق
📖;ئوچۇق كىتاب;ئوچۇق|كىتاب
📗;يېشىل كىتاب;كىتاب|يېشىل
📘;كۆك كىتاب;كۆك|كىتاب
📙;قىزغۇچ كىتاب;قىزغۇچ|كىتاب
📚;كىتابلار;كىتاب|كىتابلار
📓;خاتىرە دەپتەر;خاتىرە دەپتەر
📒;دەپتەر;خاتىرە دەپتەر|دەپتەر
📃;ئەگمە بەت;ئەگمە|بەت|پۈتۈك
📜;سىيرىش;سىيرىش|قەغەز
📄;ئۈستىگە قارىغان بەت;ئۈستىگە قارىغان بەت|پۈتۈك|قەغەز
📰;گېزىت;خەۋەر|قەغەز|گېزىت
🗞️;ئوراق گېزىت;ئوراق گېزىت|ئورام|خەۋەر|قەغەز|گېزىت
📑;يىغقۇچ بەتكۈچى;بەتكۈچ|بەلگە|خەتكۈچ|يىغقۇچ|يىغقۇچ بەتكۈچى
🔖;يىغقۇچ;بەلگە|يىغقۇچ
🏷️;خەتكۈچ;خەتكۈچ
💰;پۇل خالتىسى;پۇل|پۇل خالتىسى|خالتا|دوللار|ھەميان
🪙;;
💴;يېن;ئاقچا|بانكا|پۇل|تەڭگە|قەغەز پۇل|يارماق|يېن
💵;دوللار;ئاقچا|بانكا|پۇل|تەڭگە|دوللار|قەغەز پۇل|يارماق
💶;ياۋرو;ئاقچا|بانكا|پۇل|تەڭگە|قەغەز پۇل|يارماق|ياۋرو
💷;پوندستېرلىڭ;ئاقچا|بانكا|پوند|پوندستېرلىڭ|پۇل|تەڭگە|قەغەز پۇل|يارماق
💸;قاناتلىق پۇل;ئاقچا|ئۇچۇش|بانكا|پۇل|تەڭگە|قانات|قاناتلىق پۇل|قەغەز پۇل|يارماق
💳;ئىناۋەتلىك كارتا;ئىناۋەت|ئىناۋەتلىك كارتا|بانكا|پۇل|كارتا
🧾;;
💹;يېن ئاشما گىرافىكى;ئاقچا|ئۆرلەش|ئېشىش|بازار|بانكا|پۇل|جەدۋەل|گىرافىك|يۇقىرىغا|يۈزلىنىش|يېن|يېن ئاشما گىرافىكى
✉️;كونۋېرت;تورخەت|خەت|كونۋېرت
📧;تورخەت;تورخەت|خەت|سالام خەت
📨;كەلگەن خەت;ئېلخەت|تاپشۇرۇۋېلىش|تورخەت|خەت|سالامخەت|كەلگەن|كونۋېرت
📩;كۆرسەتكۈچلۈك خەت;ئەۋەتكەن|ئېلخەت|تورخەت|تۆۋەن|خەت|سالامخەت|كەتكەن|كونۋېرت|كۆرسەتكۈچ|كۆرسەتكۈچلۈك خەت
📤;خەت يوللاش بەلگىسى;ئەۋەتكەن|خەت|خەت يوللاش بەلگىسى|سالامخەت|ساندۇق|قۇتا|يوللاش ساندۇقى
📥;خەت كېلىش بەلگىسى;بەلگە|تاپشۇرۇۋېلىش|خەت|خەت ساندۇقى|خەت كېلىش بەلگىسى|سالامخەت|ساندۇق
📦;خالتا;خالتا|ساندۇق
📫;تۇغلانغان يېپىق خەت ساندۇقى;پوچتا ساندۇقى|تۇغلانغان يېپىق خەت ساندۇقى|خەت|خەت ساندۇقى|يېپىق
📪;تۇغ چۈشۈرۈلگەن يېپىق خەت ساندۇقى;پوچتا ساندۇقى|تۇغ چۈشۈرۈلگەن يېپىق خەت ساندۇقى|چۈشكەن|خەت|خەت ساندۇقى|يېپىق
📬;تۇغلانغان ئوچۇق خەت ساندۇقى;ئوچۇق|پوچتا ساندۇقى|تۇغلانغان ئوچۇق خەت ساندۇقى|خەت|خەت ساندۇقى
📭;تۇغ چۈشۈرۈلگەن ئوچۇق خەت ساندۇقى;ئوچۇق|پوچتا ساندۇقى|تۇغ چۈشۈرۈلگەن ئوچۇق خەت ساندۇقى|چۈشكەن|خەت|خەت ساندۇقى
📮;پوچتا ساندۇقى;پوچتا ساندۇقى|خەت|خەت ساندۇقى
🗳️;بېلەت چۈشكەن بېلەت ساندۇقى;بېلەت|بېلەت چۈشكەن بېلەت ساندۇقى|ساندۇق
✏️;قېرىنداش;قېرىنداش
✒️;قارا ئۇچ;ئۇچ|قارا ئۇچ|قەلەم
🖋️;سىياھ قەلەم;سىياھ|قەلەم
🖊️;قەلەم;قەلەم|ماي قەلەم
🖌️;چوتكا;چوتكا|سىزىش
🖍️;بوياق قەلەم;بوياق قەلەم
📝;ئەسلەتمە;ئەسلەتمە|قېرىنداش
💼;سومكا;سومكا|قول سومكا
📁;ھۆججەت قىسقۇچ;قىسقۇچ|ھۆججەت
📂;ئوچۇق قىسقۇچ;ئوچۇق|قىسقۇچ|ھۆججەت
🗂️;ئايرىق ساندۇق;ئايرىق ساندۇق|ئىندېكس|بۆلگۈچ|كارتا
📅;كالېندار;چېسلا|كالېندار
📆;يىرتىق كالېندار;كالېندار|يىرتىق كالېندار
🗒️;ھالقىسىمان خاتىرە;تاختا|خاتىرە|ھالقا|ھالقىسىمان خاتىرە
🗓️;ھالقىسىمان كالېندار;تاختا|كالېندار|ھالقا|ھالقىسىمان كالېندار
📇;كارتا كۆرسەتكۈچ;ئايلانما|ئىندېكس|كارتا|كارتا كۆرسەتكۈچ
📈;ئاشما گىرافىك;ئاشما گىرافىك|ئېشىش|جەدۋەل|گىرافىك|يۇقىرىغا|يۈزلىنىش
📉;چۈشمە گىرافىك;جەدۋەل|چۈشمە گىرافىك|چۈشۈش|گىرافىك|يۈزلىنىش
📊;تۈۋرۈكلۈك گىرافىك;تۈۋرۈك|تۈۋرۈكلۈك گىرافىك|جەدۋەل|گىرافىك
📋;كېسىش تاختىسى;كېسىش تاختىسى
📌;كۇنۇپكا;قاداق|كۇنۇپكا
📍;يۇمىلاق مىخ;قاداق|كۇنۇپكا|يۇمىلاق مىخ
📎;قەغەز قىسقۇچ;قەغەز قىسقۇچ
🖇️;ئۇلىنىش;ئۇلانما|ئۇلىنىش|قەغەز قىسقۇچ
📏;تۈز سىزغۇچ;تۈز سىزغۇچ|تۈز قىر|سىزغۇچ
📐;ئۈچ بۇلۇڭلۇق سىزغۇچ;ئۈچ بۇلۇڭلۇق سىزغۇچ|بۇلۇڭ|سىزغۇچ|يۈرۈشلۈك
✂️;قايچا;قايچا|قورال|كېسىش
🗃️;قەغەز ھۆججەت ساندۇقى;ساندۇق|قەغەز ھۆججەت ساندۇقى|كارتا|ھۆججەت
🗄️;ھۆججەت ئىشكاپى;ئارخىپ|ئىشكاپ|ھۆججەت|ھۆججەت ئىشكاپى
🗑️;ئەخلەت سېۋىتى;ئەخلەت سېۋىتى
🔒;قۇلۇپلاق;قۇلۇپلاق|يېپىق
🔓;قۇلۇپسىز;ئېچىش|قۇلۇپ|قۇلۇپسىز
🔏;قەلەملىك قۇلۇپ;ئۇچ|بوياق|قەلەم|قەلەملىك قۇلۇپ|قۇلۇپ|مەخپىيەتلىك
🔐;ئاچقۇچلۇق قۇلۇپ;ئاچقۇچ|ئاچقۇچلۇق قۇلۇپ|بىخەتەر|قۇلۇپ|يېپىق
🔑;ئاچقۇچ;ئاچقۇچ|پارول|قۇلۇپ
🗝️;كونا ئاچقۇچ;ئاچقۇچ|قۇلۇپ|كونا|يىپ ئۇچى
🔨;بولقا;بولقا|قورال
🪓;;
⛏️;چوت;چوت|قورال|كان
⚒️;بولقا ۋە چوت;بولقا|بولقا ۋە چوت|چوت|قورال
🛠️;بولقا ۋە كۇلۇچ;بولقا|بولقا ۋە كۇلۇچ|جابدۇق|قورال|كۇلۇچ
🗡️;خەنجەر;پىچاق|خەنجەر|قورال-ياراغ
⚔️;قايچىلانما شەمشەرلەر;شەمشەر|قايچىلانما|قايچىلانما شەمشەرلەر|ياراغ
💣;پارتلاتقۇچ;پارتلاتقۇچ|كۈلكىلىك
🪃;;
🏹;يا ۋە ئوق;ئوق|ئوقياچى|ئوقياچىلىق|قورال|مۆچەل|يا|يا ۋە ئوق|ياچاق|ياراغ
🛡️;قالقان;قالقان|قورال
🪚;;
🔧;كۇلۇچ;جابدۇق|قورال|كۇلۇچ
🪛;;
🔩;گايكا ۋە ۋىنتا;قورال|گايكا|گايكا ۋە ۋىنتا|ۋىنتا
⚙️;چىشلىق چاق;چىشلىق چاق|قورال
🗜️;قىسقۇچ;باستۇرۇق|قورال|قىسقۇچ|قىسىش
⚖️;تەڭپۇڭلۇق ئۆلچىگۈچ;ئۆلچەم|ئېغىرلىق|تەڭپۇڭ|تەڭپۇڭلۇق ئۆلچىگۈچ|تەڭلىك|چەل|قورال|مۆچەل
🦯;;
🔗;ئۇلانما;ئۇلانما
⛓️‍💥;;
⛓️;زەنجىرلەر;زەنجىر|زەنجىرلەر
🪝;;
🧰;;
🧲;;
🪜;;
⚗️;ھورلاندۇرغۇچ;خىمىيە|قورال|ھورلاندۇرغۇچ
🧪;;
🧫;;
🧬;;
🔬;مىكروسكوپ;پەن|قورال|مىكروسكوپ
🔭;تېلېسكوپ;پەن|تېلېسكوپ|قورال
📡;سۈنئىي ھەمرا ئانتېنناسى;ئانتېننا|تەخسە|سۈنئىي ھەمرا ئانتېنناسى|سۈنئىي ھەمراھ
💉;ئىشپىرىس;ئوكۇل|ئىشپىرىس|دوختۇر|دورا|قورال|كېسەل|يىڭنە
🩸;;
💊;تابلېتكا;تابلېتكا|دوختۇر|دورا|كېسەل
🩹;;
🩼;;
🩺;;
🩻;;
🚪;ئىشىك;ئىشىك
🛗;;
🪞;;
🪟;;
🛏️;كارىۋات;ئۇخلاش|كارىۋات|مېھمانخانا
🛋️;دىۋان ۋە چىراق;چىراق|دىۋان|دىۋان ۋە چىراق|مېھمانخانا
🪑;;
🚽;ھاجەتخانا;ھاجەتخانا
🪠;;
🚿;يۇيۇنۇش;سۇ|يۇيۇنۇش
🛁;يۇيۇنداق;مۇنچا|يۇيۇنداق
🪤;;
🪒;;
🧴;;
🧷;;
🧹;;
🧺;;
🧻;;
🪣;;
🧼;;
🫧;;
🪥;;
🧽;;
🧯;;
🛒;مال ھارۋىسى;سودىلىق|سۆرەم|مال ھارۋىسى|ھارۋا
🚬;تاماكا;تاماكا|تاماكا چېكىش
⚰️;تاۋۇت;ئۆلۈم|تاۋۇت
🪦;;
⚱️;مېيىت قاچىسى;ئۆلۈم|دەپنە|كۈل|كۈل قاچىسى|مېيىت قاچىسى
🧿;;
🪬;;
🗿;تاش ھەيكەل;تاش ھەيكەل|چىراي|موياي|ھەيكەل
🪧;;
🪪;;

[symbols]
🏧;پۇلئالغۇ بەلگىسى;atm|ئاپتوماتىك|بانكا|پۇلئالغۇ|پۇلئالغۇ بەلگىسى
🚮;سېۋەتكە ئەخلەت تاشلاش بەلگىسى;ئەخلەت|ئەخلەت قاچىسى|سېۋەتكە ئەخلەت تاشلاش بەلگىسى
🚰;ئىچىملىك سۇ;ئىچىش|ئىچىملىك|سۇ
♿;مېيىپلار ھارۋىسىنىڭ بەلگىسى;كىرىش|مېيىپلار ھارۋىسىنىڭ بەلگىسى
🚹;ئەرلەر ھاجەتخانىسى;ئەر|ئەرلەر ھاجەتخانىسى|تازىلىق ئۆيى|سۇخانا|ھاجەتخانا
🚺;ئاياللار ھاجەتخانىسى;ئايال|ئاياللار ھاجەتخانىسى|تازىلىق ئۆيى|سۇخانا|ھاجەتخانا
🚻;تازىلىق ئۆيى;تازىلىق ئۆيى|سۇخانا|ھاجەتخانا
🚼;بوۋاق بەلگىسى;ئۆزگىرىش|بوۋاق|بوۋاق بەلگىسى
🚾;سۇخانا;تازىلىق ئۆيى|سۇ|سۇخانا|ھاجەتخانا
🛂;پارول تىزگىنى;پارول|پارول تىزگىنى|تىزگىن
🛃;تاموژنا;تاموژنا
🛄;يۈك-تاق ئورنى;ئېلىش|يۈك-تاق|يۈك-تاق ئورنى
🛅;قالدۇق يۈك-تاق;ئىشكاپ|سومكا|قالدۇق يۈك-تاق|يۈك-تاق
⚠️;ئاگاھلاندۇرۇش;ئاگاھلاندۇرۇش
🚸;بالىلار ئۆتۈۋاتىدۇ;ئۆتۈش|بالا|بالىلار ئۆتۈۋاتىدۇ|پىيادە|قاتناش
⛔;كىرمەڭ;ئەمەس|چەكلەنگەن|قاتناش|كىرمەڭ|كىرىش|ياق
🚫;چەكلەنگەن;چەكلەنگەن|كىرىش|ياق|يوق
🚳;ۋېلىسىپىت مىنمەڭ;چەكلەنگەن|مىنمەڭ|مىنىش|ۋېلىسىپىت|ياق
🚭;تاماكا چەكمەڭ;تاماكا|چەكلەنگەن|چەكمەڭ|ياق|يوق
🚯;ئەخلەت تاشلىماڭ;ئەخلەت|تاشلىماڭ|چەكلەنگەن|ياق|يوق
🚱;ئىچىلمەس سۇ;ئىچكىلى بولمايدۇ|ئىچمەڭ|ئىچىلمەس سۇ|سۇ
🚷;پىيادە ماڭماڭ;پىيادە|چەكلەنگەن|ماڭماڭ|ياق|يوق
