# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	👨🏼‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏽‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏾‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏿‍🔬;ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👩‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ;ᎠᎨᏯ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏻‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏼‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏽‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏾‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏿‍🔬;ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎤᎦᏛᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎦᏛᎲᏍᎩ|ᎤᎦᏛᏂᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏗᏎᏍᏗ ᏧᎦᏎᏍᏗ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
🧑‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	🧑🏻‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	🧑🏼‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	🧑🏽‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	🧑🏾‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	🧑🏿‍💻;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
👨‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
	👨🏻‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
	👨🏼‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
	👨🏽‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
	👨🏾‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
	👨🏿‍💻;ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏍᎦᏯ ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏓᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏩᏂᎨ ᎦᏅᏗᏅᏗ
👩‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	👩🏻‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	👩🏼‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	👩🏽‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	👩🏾‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
	👩🏿‍💻;ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᎨᏯ ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏏᎳᏕᏫᏒᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏙᎷᏩᏘᏍᎩ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏓ ᎧᏁᎩ|ᎪᏢᏍᎩ|ᏩᏂᎨ ᎦᎾᏗᏅᏗ
🧑‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ;ᎠᏛᏁᎵᏍᎩ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ
	🧑🏻‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏛᏁᎵᏍᎩ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧑🏼‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏛᏁᎵᏍᎩ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	🧑🏽‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏛᏁᎵᏍᎩ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏾‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏛᏁᎵᏍᎩ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏿‍🎤;ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏛᏁᎵᏍᎩ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ|ᏗᎧᏃᎩᏍᏗᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
👨‍🎤;ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ;ᎠᏍᎦᏯ|ᎠᏛᏁᎵᏍᎩ|ᎠᏛᏁᎸᏍᎩ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ
	👨🏻‍🎤;ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎠᏛᏁᎵᏍᎩ|ᎠᏛᏁᎸᏍᎩ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ
	👨🏼‍🎤;ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏛᏁᎵᏍᎩ|ᎠᏛᏁᎸᏍᎩ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ
	👨🏽‍🎤;ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎧᏃᎩᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏛᏁᎵᏍᎩ|ᎠᏛᏁᎸᏍᎩ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏃᏈᏏ|ᏅᏯ|ᏗᎧᏃᎩᏍᎩ
