# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
	🏋🏼;ẹni fa ìwọ̀n sókè: amọ́lára díẹ̀;a fà ńkan sókè|amọ́lára díẹ̀|ẹni fa ìwọ̀n sókè|ẹni fa ìwọ̀n sókè: amọ́lára díẹ̀|ìwọ̀n
	🏋🏽;ẹni fa ìwọ̀n sókè: amọ́láwọ̀ díẹ̀;a fà ńkan sókè|amọ́láwọ̀ díẹ̀|ẹni fa ìwọ̀n sókè|ẹni fa ìwọ̀n sókè: amọ́láwọ̀ díẹ̀|ìwọ̀n
	🏋🏾;ẹni fa ìwọ̀n sókè: adúláwọ̀ díẹ̀;a fà ńkan sókè|adúláwọ̀ díẹ̀|ẹni fa ìwọ̀n sókè|ẹni fa ìwọ̀n sókè: adúláwọ̀ díẹ̀|ìwọ̀n
	🏋🏿;ẹni fa ìwọ̀n sókè: adúláwọ̀;a fà ńkan sókè|adúláwọ̀|ẹni fa ìwọ̀n sókè|ẹni fa ìwọ̀n sókè: adúláwọ̀|ìwọ̀n
🏋️‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè;a fà ìwọ̀n sókè|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè
	🏋🏻‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́lára;a fà ìwọ̀n sókè|amọ́lára|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè|ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́lára
	🏋🏼‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́lára díẹ̀;a fà ìwọ̀n sókè|amọ́lára díẹ̀|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè|ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́lára díẹ̀
	🏋🏽‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́láwọ̀ díẹ̀;a fà ìwọ̀n sókè|amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè|ọkùnrin tí ń a fà ìwọ̀n sókè: amọ́láwọ̀ díẹ̀
	🏋🏾‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀ díẹ̀;a fà ìwọ̀n sókè|adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè|ọkùnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀ díẹ̀
	🏋🏿‍♂️;ọkùnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀;a fà ìwọ̀n sókè|adúláwọ̀|ọkùnrin|ọkùnrin tí ń a fà ìwọ̀n sókè|ọkùnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀
🏋️‍♀️;obìnrin tí ń a fà ìwọ̀n sókè;a fà ìwọ̀n sókè|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè
	🏋🏻‍♀️;obìnrin tí ń a fà ìwọ̀n sókè: amọ́lára;a fà ìwọ̀n sókè|amọ́lára|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè|obìnrin tí ń a fà ìwọ̀n sókè: amọ́lára
	🏋🏼‍♀️;obìnrin tí ń a fà ìwọ̀n sókè: amọ́lára díẹ̀;a fà ìwọ̀n sókè|amọ́lára díẹ̀|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè|obìnrin tí ń a fà ìwọ̀n sókè: amọ́lára díẹ̀
	🏋🏽‍♀️;obìnrin tí ń a fà ìwọ̀n sókè: amọ́láwọ̀ díẹ̀;a fà ìwọ̀n sókè|amọ́láwọ̀ díẹ̀|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè|obìnrin tí ń a fà ìwọ̀n sókè: amọ́láwọ̀ díẹ̀
	🏋🏾‍♀️;obìnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀ díẹ̀;a fà ìwọ̀n sókè|adúláwọ̀ díẹ̀|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè|obìnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀ díẹ̀
	🏋🏿‍♀️;obìnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀;a fà ìwọ̀n sókè|adúláwọ̀|obìnrin|obìnrin tí ń a fà ìwọ̀n sókè|obìnrin tí ń a fà ìwọ̀n sókè: adúláwọ̀
🚴;Ẹni N Gun Kẹkẹ;awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|ìwákẹ̀kẹ́|kẹ̀kẹ́
	🚴🏻;Ẹni N Gun Kẹkẹ: amọ́lára;amọ́lára|awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|Ẹni N Gun Kẹkẹ: amọ́lára|ìwákẹ̀kẹ́|kẹ̀kẹ́
	🚴🏼;Ẹni N Gun Kẹkẹ: amọ́lára díẹ̀;amọ́lára díẹ̀|awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|Ẹni N Gun Kẹkẹ: amọ́lára díẹ̀|ìwákẹ̀kẹ́|kẹ̀kẹ́
	🚴🏽;Ẹni N Gun Kẹkẹ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|Ẹni N Gun Kẹkẹ: amọ́láwọ̀ díẹ̀|ìwákẹ̀kẹ́|kẹ̀kẹ́
	🚴🏾;Ẹni N Gun Kẹkẹ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|Ẹni N Gun Kẹkẹ: adúláwọ̀ díẹ̀|ìwákẹ̀kẹ́|kẹ̀kẹ́
	🚴🏿;Ẹni N Gun Kẹkẹ: adúláwọ̀;adúláwọ̀|awa kẹ̀kẹ́|Ẹni N Gun Kẹkẹ|Ẹni N Gun Kẹkẹ: adúláwọ̀|ìwákẹ̀kẹ́|kẹ̀kẹ́
🚴‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́;awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́
	🚴🏻‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́: amọ́lára;amọ́lára|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́|ọkùnrin tí ń wa kẹ̀kẹ́: amọ́lára
	🚴🏼‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́|ọkùnrin tí ń wa kẹ̀kẹ́: amọ́lára díẹ̀
	🚴🏽‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́|ọkùnrin tí ń wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀
	🚴🏾‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́|ọkùnrin tí ń wa kẹ̀kẹ́: adúláwọ̀ díẹ̀
	🚴🏿‍♂️;ọkùnrin tí ń wa kẹ̀kẹ́: adúláwọ̀;adúláwọ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|ọkùnrin|ọkùnrin tí ń wa kẹ̀kẹ́|ọkùnrin tí ń wa kẹ̀kẹ́: adúláwọ̀
🚴‍♀️;obìnrin tí ń wa kẹ̀kẹ́;awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́
	🚴🏻‍♀️;obìnrin tí ń wa kẹ̀kẹ́: amọ́lára;amọ́lára|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́|obìnrin tí ń wa kẹ̀kẹ́: amọ́lára
	🚴🏼‍♀️;obìnrin tí ń wa kẹ̀kẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́|obìnrin tí ń wa kẹ̀kẹ́: amọ́lára díẹ̀
	🚴🏽‍♀️;obìnrin tí ń wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́|obìnrin tí ń wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀
	🚴🏾‍♀️;obìnrin tí ń wa kẹ̀kẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́|obìnrin tí ń wa kẹ̀kẹ́: adúláwọ̀ díẹ̀
	🚴🏿‍♀️;obìnrin tí ń wa kẹ̀kẹ́: adúláwọ̀;adúláwọ̀|awa kẹ̀kẹ́|ìwákẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tí ń wa kẹ̀kẹ́|obìnrin tí ń wa kẹ̀kẹ́: adúláwọ̀
🚵;Ẹni N Gun Kẹkẹ Gun Apata;awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|kẹ̀kẹ́|òkè
	🚵🏻;Ẹni N Gun Kẹkẹ Gun Apata: amọ́lára;amọ́lára|awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|Ẹni N Gun Kẹkẹ Gun Apata: amọ́lára|kẹ̀kẹ́|òkè
	🚵🏼;Ẹni N Gun Kẹkẹ Gun Apata: amọ́lára díẹ̀;amọ́lára díẹ̀|awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|Ẹni N Gun Kẹkẹ Gun Apata: amọ́lára díẹ̀|kẹ̀kẹ́|òkè
	🚵🏽;Ẹni N Gun Kẹkẹ Gun Apata: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|Ẹni N Gun Kẹkẹ Gun Apata: amọ́láwọ̀ díẹ̀|kẹ̀kẹ́|òkè
	🚵🏾;Ẹni N Gun Kẹkẹ Gun Apata: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|Ẹni N Gun Kẹkẹ Gun Apata: adúláwọ̀ díẹ̀|kẹ̀kẹ́|òkè
	🚵🏿;Ẹni N Gun Kẹkẹ Gun Apata: adúláwọ̀;adúláwọ̀|awakẹ̀kẹ́|Ẹni N Gun Kẹkẹ Gun Apata|Ẹni N Gun Kẹkẹ Gun Apata: adúláwọ̀|kẹ̀kẹ́|òkè
🚵‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́;awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́
	🚵🏻‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára;amọ́lára|awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́|ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára
	🚵🏼‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́|ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára díẹ̀
	🚵🏽‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́|ọkùnrin tín gùn kè wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀
	🚵🏾‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́|ọkùnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀ díẹ̀
	🚵🏿‍♂️;ọkùnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀;adúláwọ̀|awakẹ̀kẹ́|kẹ̀kẹ́|òkè|ọkùnrin|ọkùnrin tín gùn kè wa kẹ̀kẹ́|ọkùnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀
🚵‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́;awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|òkè
	🚵🏻‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára;amọ́lára|awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára|òkè
	🚵🏼‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́lára díẹ̀|òkè
	🚵🏽‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|obìnrin tín gùn kè wa kẹ̀kẹ́: amọ́láwọ̀ díẹ̀|òkè
	🚵🏾‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|obìnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀ díẹ̀|òkè
	🚵🏿‍♀️;obìnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀;adúláwọ̀|awakẹ̀kẹ́|ìwa kẹ̀kẹ́|kẹ̀kẹ́|obìnrin|obìnrin tín gùn kè wa kẹ̀kẹ́|obìnrin tín gùn kè wa kẹ̀kẹ́: adúláwọ̀|òkè
🤸;Ẹni Kawọ Tilẹ Kẹsẹ Soke;Ẹni Kawọ Tilẹ Kẹsẹ Soke|ìdárayá|kẹ̀kẹ́ alágbọ̀n
	🤸🏻;Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́lára;amọ́lára|Ẹni Kawọ Tilẹ Kẹsẹ Soke|Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́lára|ìdárayá|kẹ̀kẹ́ alágbọ̀n
	🤸🏼;Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́lára díẹ̀;amọ́lára díẹ̀|Ẹni Kawọ Tilẹ Kẹsẹ Soke|Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́lára díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n
	🤸🏽;Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|Ẹni Kawọ Tilẹ Kẹsẹ Soke|Ẹni Kawọ Tilẹ Kẹsẹ Soke: amọ́láwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n
	🤸🏾;Ẹni Kawọ Tilẹ Kẹsẹ Soke: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|Ẹni Kawọ Tilẹ Kẹsẹ Soke|Ẹni Kawọ Tilẹ Kẹsẹ Soke: adúláwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n
	🤸🏿;Ẹni Kawọ Tilẹ Kẹsẹ Soke: adúláwọ̀;adúláwọ̀|Ẹni Kawọ Tilẹ Kẹsẹ Soke|Ẹni Kawọ Tilẹ Kẹsẹ Soke: adúláwọ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n
🤸‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n;ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n
	🤸🏻‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára;amọ́lára|ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára
	🤸🏼‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára díẹ̀;amọ́lára díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára díẹ̀
	🤸🏽‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́láwọ̀ díẹ̀
	🤸🏾‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀ díẹ̀
	🤸🏿‍♂️;ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀;adúláwọ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|ọkùnrin|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|ọkùnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀
🤸‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n;ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n
	🤸🏻‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára;amọ́lára|ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára
	🤸🏼‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára díẹ̀;amọ́lára díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́lára díẹ̀
	🤸🏽‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: amọ́láwọ̀ díẹ̀
	🤸🏾‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀ díẹ̀
	🤸🏿‍♀️;obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀;adúláwọ̀|ìdárayá|kẹ̀kẹ́ alágbọ̀n|obìnrin|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n|obìnrin tí ń yí kẹ̀kẹ́ alágbọ̀n: adúláwọ̀
🤼;Awọn Onigidigbo;Awọn Onigidigbo|gídígò|onígídígbò
🤼‍♂️;àwọn ọkùnrin gídígbò;àwọn ọkùnrin|àwọn ọkùnrin gídígbò|gídígbò
🤼‍♀️;àwọn obìnrn tí ń jà;àwọn obìnrin|àwọn obìnrn tí ń jà|gídígbò
🤽;Ẹni N ṣere Olomi;Ẹni N ṣere Olomi|omi|pólò
	🤽🏻;Ẹni N ṣere Olomi: amọ́lára;amọ́lára|Ẹni N ṣere Olomi|Ẹni N ṣere Olomi: amọ́lára|omi|pólò
	🤽🏼;Ẹni N ṣere Olomi: amọ́lára díẹ̀;amọ́lára díẹ̀|Ẹni N ṣere Olomi|Ẹni N ṣere Olomi: amọ́lára díẹ̀|omi|pólò
	🤽🏽;Ẹni N ṣere Olomi: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|Ẹni N ṣere Olomi|Ẹni N ṣere Olomi: amọ́láwọ̀ díẹ̀|omi|pólò
	🤽🏾;Ẹni N ṣere Olomi: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|Ẹni N ṣere Olomi|Ẹni N ṣere Olomi: adúláwọ̀ díẹ̀|omi|pólò
	🤽🏿;Ẹni N ṣere Olomi: adúláwọ̀;adúláwọ̀|Ẹni N ṣere Olomi|Ẹni N ṣere Olomi: adúláwọ̀|omi|pólò
🤽‍♂️;ọkùnrin n ṣere olomi;eré omi|okùnrin|ọkùnrin n ṣere olomi
	🤽🏻‍♂️;ọkùnrin n ṣere olomi: amọ́lára;amọ́lára|eré omi|okùnrin|ọkùnrin n ṣere olomi|ọkùnrin n ṣere olomi: amọ́lára
	🤽🏼‍♂️;ọkùnrin n ṣere olomi: amọ́lára díẹ̀;amọ́lára díẹ̀|eré omi|okùnrin|ọkùnrin n ṣere olomi|ọkùnrin n ṣere olomi: amọ́lára díẹ̀
	🤽🏽‍♂️;ọkùnrin n ṣere olomi: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|eré omi|okùnrin|ọkùnrin n ṣere olomi|ọkùnrin n ṣere olomi: amọ́láwọ̀ díẹ̀
	🤽🏾‍♂️;ọkùnrin n ṣere olomi: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|eré omi|okùnrin|ọkùnrin n ṣere olomi|ọkùnrin n ṣere olomi: adúláwọ̀ díẹ̀
	🤽🏿‍♂️;ọkùnrin n ṣere olomi: adúláwọ̀;adúláwọ̀|eré omi|okùnrin|ọkùnrin n ṣere olomi|ọkùnrin n ṣere olomi: adúláwọ̀
🤽‍♀️;obìnrin n ṣere olomi;eré omi|obìnrin|obìnrin n ṣere olomi
	🤽🏻‍♀️;obìnrin n ṣere olomi: amọ́lára;amọ́lára|eré omi|obìnrin|obìnrin n ṣere olomi|obìnrin n ṣere olomi: amọ́lára
	🤽🏼‍♀️;obìnrin n ṣere olomi: amọ́lára díẹ̀;amọ́lára díẹ̀|eré omi|obìnrin|obìnrin n ṣere olomi|obìnrin n ṣere olomi: amọ́lára díẹ̀
	🤽🏽‍♀️;obìnrin n ṣere olomi: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|eré omi|obìnrin|obìnrin n ṣere olomi|obìnrin n ṣere olomi: amọ́láwọ̀ díẹ̀
	🤽🏾‍♀️;obìnrin n ṣere olomi: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|eré omi|obìnrin|obìnrin n ṣere olomi|obìnrin n ṣere olomi: adúláwọ̀ díẹ̀
	🤽🏿‍♀️;obìnrin n ṣere olomi: adúláwọ̀;adúláwọ̀|eré omi|obìnrin|obìnrin n ṣere olomi|obìnrin n ṣere olomi: adúláwọ̀
🤾;Ẹni N Ṣere Bọọlu Ọlọwọ;bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ
	🤾🏻;Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́lára;amọ́lára|bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ|Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́lára
	🤾🏼;Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ|Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́lára díẹ̀
	🤾🏽;Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ|Ẹni N Ṣere Bọọlu Ọlọwọ: amọ́láwọ̀ díẹ̀
	🤾🏾;Ẹni N Ṣere Bọọlu Ọlọwọ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ|Ẹni N Ṣere Bọọlu Ọlọwọ: adúláwọ̀ díẹ̀
	🤾🏿;Ẹni N Ṣere Bọọlu Ọlọwọ: adúláwọ̀;adúláwọ̀|bọ́ọ̀lù|bọ́ọ̀lù ọlọ́wọ́|Ẹni N Ṣere Bọọlu Ọlọwọ|Ẹni N Ṣere Bọọlu Ọlọwọ: adúláwọ̀
🤾‍♂️;ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́;bọ́ọ̀lù ọlọ́wọ́|ọkùnrin|ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́
	🤾🏻‍♂️;ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́: amọ́lára;amọ́lára|bọ́ọ̀lù ọlọ́wọ́|ọkùnrin|ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́|ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́: amọ́lára
	🤾🏼‍♂️;ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù ọlọ́wọ́|ọkùnrin|ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́|ọkùnrin tí ń gbá bọ́ọ̀lù ọlọ́wọ́: amọ́lára díẹ̀
