# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	👨🏻‍🎓;tata yachakuq: chuya qara niraq;chuya qara niraq|graduado|tata|tata yachakuq: chuya qara niraq|yachakuq
	👨🏼‍🎓;tata yachakuq: tunpa chuya qara niraq;graduado|tata|tata yachakuq: tunpa chuya qara niraq|tunpa chuya qara niraq|yachakuq
	👨🏽‍🎓;tata yachakuq: tunpa qara niraq;graduado|tata|tata yachakuq: tunpa qara niraq|tunpa qara niraq|yachakuq
	👨🏾‍🎓;tata yachakuq: tunpa yana qara niraq;graduado|tata|tata yachakuq: tunpa yana qara niraq|tunpa yana qara niraq|yachakuq
	👨🏿‍🎓;tata yachakuq: yana qara niraq;graduado|tata|tata yachakuq: yana qara niraq|yachakuq|yana qara niraq
👩‍🎓;warmi yachakuq;graduada|warmi|yachakuq
	👩🏻‍🎓;warmi yachakuq: chuya qara niraq;chuya qara niraq|graduada|warmi|warmi yachakuq: chuya qara niraq|yachakuq
	👩🏼‍🎓;warmi yachakuq: tunpa chuya qara niraq;graduada|tunpa chuya qara niraq|warmi|warmi yachakuq: tunpa chuya qara niraq|yachakuq
	👩🏽‍🎓;warmi yachakuq: tunpa qara niraq;graduada|tunpa qara niraq|warmi|warmi yachakuq: tunpa qara niraq|yachakuq
	👩🏾‍🎓;warmi yachakuq: tunpa yana qara niraq;graduada|tunpa yana qara niraq|warmi|warmi yachakuq: tunpa yana qara niraq|yachakuq
	👩🏿‍🎓;warmi yachakuq: yana qara niraq;graduada|warmi|warmi yachakuq: yana qara niraq|yachakuq|yana qara niraq
🧑‍🏫;maestro;instructor|maestro|yachachiq
	🧑🏻‍🏫;maestro: chuya qara niraq;chuya qara niraq|instructor|maestro|maestro: chuya qara niraq|yachachiq
	🧑🏼‍🏫;maestro: tunpa chuya qara niraq;instructor|maestro|maestro: tunpa chuya qara niraq|tunpa chuya qara niraq|yachachiq
	🧑🏽‍🏫;maestro: tunpa qara niraq;instructor|maestro|maestro: tunpa qara niraq|tunpa qara niraq|yachachiq
	🧑🏾‍🏫;maestro: tunpa yana qara niraq;instructor|maestro|maestro: tunpa yana qara niraq|tunpa yana qara niraq|yachachiq
	🧑🏿‍🏫;maestro: yana qara niraq;instructor|maestro|maestro: yana qara niraq|yachachiq|yana qara niraq
👨‍🏫;tata yachachiq;instructor|maestro|tata|yachachiq
	👨🏻‍🏫;tata yachachiq: chuya qara niraq;chuya qara niraq|instructor|maestro|tata|tata yachachiq: chuya qara niraq|yachachiq
	👨🏼‍🏫;tata yachachiq: tunpa chuya qara niraq;instructor|maestro|tata|tata yachachiq: tunpa chuya qara niraq|tunpa chuya qara niraq|yachachiq
	👨🏽‍🏫;tata yachachiq: tunpa qara niraq;instructor|maestro|tata|tata yachachiq: tunpa qara niraq|tunpa qara niraq|yachachiq
	👨🏾‍🏫;tata yachachiq: tunpa yana qara niraq;instructor|maestro|tata|tata yachachiq: tunpa yana qara niraq|tunpa yana qara niraq|yachachiq
	👨🏿‍🏫;tata yachachiq: yana qara niraq;instructor|maestro|tata|tata yachachiq: yana qara niraq|yachachiq|yana qara niraq
👩‍🏫;warmi yachachiq;instructor|maestro|warmi|yachachiq
	👩🏻‍🏫;warmi yachachiq: chuya qara niraq;chuya qara niraq|instructor|maestro|warmi|warmi yachachiq: chuya qara niraq|yachachiq
	👩🏼‍🏫;warmi yachachiq: tunpa chuya qara niraq;instructor|maestro|tunpa chuya qara niraq|warmi|warmi yachachiq: tunpa chuya qara niraq|yachachiq
	👩🏽‍🏫;warmi yachachiq: tunpa qara niraq;instructor|maestro|tunpa qara niraq|warmi|warmi yachachiq: tunpa qara niraq|yachachiq
	👩🏾‍🏫;warmi yachachiq: tunpa yana qara niraq;instructor|maestro|tunpa yana qara niraq|warmi|warmi yachachiq: tunpa yana qara niraq|yachachiq
	👩🏿‍🏫;warmi yachachiq: yana qara niraq;instructor|maestro|warmi|warmi yachachiq: yana qara niraq|yachachiq|yana qara niraq
🧑‍⚖️;juez;aysana|juez
	🧑🏻‍⚖️;juez: chuya qara niraq;aysana|chuya qara niraq|juez|juez: chuya qara niraq
	🧑🏼‍⚖️;juez: tunpa chuya qara niraq;aysana|juez|juez: tunpa chuya qara niraq|tunpa chuya qara niraq
	🧑🏽‍⚖️;juez: tunpa qara niraq;aysana|juez|juez: tunpa qara niraq|tunpa qara niraq
	🧑🏾‍⚖️;juez: tunpa yana qara niraq;aysana|juez|juez: tunpa yana qara niraq|tunpa yana qara niraq
	🧑🏿‍⚖️;juez: yana qara niraq;aysana|juez|juez: yana qara niraq|yana qara niraq
👨‍⚖️;tata juez;aysana|justicia|tata|tata juez
	👨🏻‍⚖️;tata juez: chuya qara niraq;aysana|chuya qara niraq|justicia|tata|tata juez|tata juez: chuya qara niraq
	👨🏼‍⚖️;tata juez: tunpa chuya qara niraq;aysana|justicia|tata|tata juez|tata juez: tunpa chuya qara niraq|tunpa chuya qara niraq
	👨🏽‍⚖️;tata juez: tunpa qara niraq;aysana|justicia|tata|tata juez|tata juez: tunpa qara niraq|tunpa qara niraq
	👨🏾‍⚖️;tata juez: tunpa yana qara niraq;aysana|justicia|tata|tata juez|tata juez: tunpa yana qara niraq|tunpa yana qara niraq
	👨🏿‍⚖️;tata juez: yana qara niraq;aysana|justicia|tata|tata juez|tata juez: yana qara niraq|yana qara niraq
👩‍⚖️;warmi jueza;aysana|jueza|warmi
	👩🏻‍⚖️;warmi jueza: chuya qara niraq;aysana|chuya qara niraq|jueza|warmi|warmi jueza: chuya qara niraq
	👩🏼‍⚖️;warmi jueza: tunpa chuya qara niraq;aysana|jueza|tunpa chuya qara niraq|warmi|warmi jueza: tunpa chuya qara niraq
	👩🏽‍⚖️;warmi jueza: tunpa qara niraq;aysana|jueza|tunpa qara niraq|warmi|warmi jueza: tunpa qara niraq
	👩🏾‍⚖️;warmi jueza: tunpa yana qara niraq;aysana|jueza|tunpa yana qara niraq|warmi|warmi jueza: tunpa yana qara niraq
	👩🏿‍⚖️;warmi jueza: yana qara niraq;aysana|jueza|warmi|warmi jueza: yana qara niraq|yana qara niraq
🧑‍🌾;granjero;granjero|jardinero|ranchero
	🧑🏻‍🌾;granjero: chuya qara niraq;chuya qara niraq|granjero|granjero: chuya qara niraq|jardinero|ranchero
	🧑🏼‍🌾;granjero: tunpa chuya qara niraq;granjero|granjero: tunpa chuya qara niraq|jardinero|ranchero|tunpa chuya qara niraq
	🧑🏽‍🌾;granjero: tunpa qara niraq;granjero|granjero: tunpa qara niraq|jardinero|ranchero|tunpa qara niraq
	🧑🏾‍🌾;granjero: tunpa yana qara niraq;granjero|granjero: tunpa yana qara niraq|jardinero|ranchero|tunpa yana qara niraq
	🧑🏿‍🌾;granjero: yana qara niraq;granjero|granjero: yana qara niraq|jardinero|ranchero|yana qara niraq
👨‍🌾;tata granjero;granjero|jardinero|ranchero|tata
	👨🏻‍🌾;tata granjero: chuya qara niraq;chuya qara niraq|granjero|jardinero|ranchero|tata|tata granjero: chuya qara niraq
	👨🏼‍🌾;tata granjero: tunpa chuya qara niraq;granjero|jardinero|ranchero|tata|tata granjero: tunpa chuya qara niraq|tunpa chuya qara niraq
	👨🏽‍🌾;tata granjero: tunpa qara niraq;granjero|jardinero|ranchero|tata|tata granjero: tunpa qara niraq|tunpa qara niraq
	👨🏾‍🌾;tata granjero: tunpa yana qara niraq;granjero|jardinero|ranchero|tata|tata granjero: tunpa yana qara niraq|tunpa yana qara niraq
	👨🏿‍🌾;tata granjero: yana qara niraq;granjero|jardinero|ranchero|tata|tata granjero: yana qara niraq|yana qara niraq
👩‍🌾;warmi granjera;granjero|jardinero|ranchero|warmi|warmi granjera
	👩🏻‍🌾;warmi granjera: chuya qara niraq;chuya qara niraq|granjero|jardinero|ranchero|warmi|warmi granjera|warmi granjera: chuya qara niraq
	👩🏼‍🌾;warmi granjera: tunpa chuya qara niraq;granjero|jardinero|ranchero|tunpa chuya qara niraq|warmi|warmi granjera|warmi granjera: tunpa chuya qara niraq
	👩🏽‍🌾;warmi granjera: tunpa qara niraq;granjero|jardinero|ranchero|tunpa qara niraq|warmi|warmi granjera|warmi granjera: tunpa qara niraq
	👩🏾‍🌾;warmi granjera: tunpa yana qara niraq;granjero|jardinero|ranchero|tunpa yana qara niraq|warmi|warmi granjera|warmi granjera: tunpa yana qara niraq
	👩🏿‍🌾;warmi granjera: yana qara niraq;granjero|jardinero|ranchero|warmi|warmi granjera|warmi granjera: yana qara niraq|yana qara niraq
🧑‍🍳;wayk’uq;chef|wayk’uq
	🧑🏻‍🍳;wayk’uq: chuya qara niraq;chef|chuya qara niraq|wayk’uq|wayk’uq: chuya qara niraq
	🧑🏼‍🍳;wayk’uq: tunpa chuya qara niraq;chef|tunpa chuya qara niraq|wayk’uq|wayk’uq: tunpa chuya qara niraq
	🧑🏽‍🍳;wayk’uq: tunpa qara niraq;chef|tunpa qara niraq|wayk’uq|wayk’uq: tunpa qara niraq
	🧑🏾‍🍳;wayk’uq: tunpa yana qara niraq;chef|tunpa yana qara niraq|wayk’uq|wayk’uq: tunpa yana qara niraq
	🧑🏿‍🍳;wayk’uq: yana qara niraq;chef|wayk’uq|wayk’uq: yana qara niraq|yana qara niraq
👨‍🍳;tata wayk’uq;chef|tata|wayk’uq
	👨🏻‍🍳;tata wayk’uq: chuya qara niraq;chef|chuya qara niraq|tata|tata wayk’uq: chuya qara niraq|wayk’uq
	👨🏼‍🍳;tata wayk’uq: tunpa chuya qara niraq;chef|tata|tata wayk’uq: tunpa chuya qara niraq|tunpa chuya qara niraq|wayk’uq
	👨🏽‍🍳;tata wayk’uq: tunpa qara niraq;chef|tata|tata wayk’uq: tunpa qara niraq|tunpa qara niraq|wayk’uq
	👨🏾‍🍳;tata wayk’uq: tunpa yana qara niraq;chef|tata|tata wayk’uq: tunpa yana qara niraq|tunpa yana qara niraq|wayk’uq
	👨🏿‍🍳;tata wayk’uq: yana qara niraq;chef|tata|tata wayk’uq: yana qara niraq|wayk’uq|yana qara niraq
👩‍🍳;warmi wayk’uq;chef|warmi|wayk’uq
	👩🏻‍🍳;warmi wayk’uq: chuya qara niraq;chef|chuya qara niraq|warmi|warmi wayk’uq: chuya qara niraq|wayk’uq
	👩🏼‍🍳;warmi wayk’uq: tunpa chuya qara niraq;chef|tunpa chuya qara niraq|warmi|warmi wayk’uq: tunpa chuya qara niraq|wayk’uq
	👩🏽‍🍳;warmi wayk’uq: tunpa qara niraq;chef|tunpa qara niraq|warmi|warmi wayk’uq: tunpa qara niraq|wayk’uq
	👩🏾‍🍳;warmi wayk’uq: tunpa yana qara niraq;chef|tunpa yana qara niraq|warmi|warmi wayk’uq: tunpa yana qara niraq|wayk’uq
	👩🏿‍🍳;warmi wayk’uq: yana qara niraq;chef|warmi|warmi wayk’uq: yana qara niraq|wayk’uq|yana qara niraq
🧑‍🔧;mecanico;electrico|mecanico|plomero|ranqhaq
	🧑🏻‍🔧;mecanico: chuya qara niraq;chuya qara niraq|electrico|mecanico|mecanico: chuya qara niraq|plomero|ranqhaq
	🧑🏼‍🔧;mecanico: tunpa chuya qara niraq;electrico|mecanico|mecanico: tunpa chuya qara niraq|plomero|ranqhaq|tunpa chuya qara niraq
	🧑🏽‍🔧;mecanico: tunpa qara niraq;electrico|mecanico|mecanico: tunpa qara niraq|plomero|ranqhaq|tunpa qara niraq
	🧑🏾‍🔧;mecanico: tunpa yana qara niraq;electrico|mecanico|mecanico: tunpa yana qara niraq|plomero|ranqhaq|tunpa yana qara niraq
	🧑🏿‍🔧;mecanico: yana qara niraq;electrico|mecanico|mecanico: yana qara niraq|plomero|ranqhaq|yana qara niraq
👨‍🔧;tata mecanico;electrico|mecanico|plomero|ranqhaq|tata
	👨🏻‍🔧;tata mecanico: chuya qara niraq;chuya qara niraq|electrico|mecanico|plomero|ranqhaq|tata|tata mecanico: chuya qara niraq
	👨🏼‍🔧;tata mecanico: tunpa chuya qara niraq;electrico|mecanico|plomero|ranqhaq|tata|tata mecanico: tunpa chuya qara niraq|tunpa chuya qara niraq
	👨🏽‍🔧;tata mecanico: tunpa qara niraq;electrico|mecanico|plomero|ranqhaq|tata|tata mecanico: tunpa qara niraq|tunpa qara niraq
	👨🏾‍🔧;tata mecanico: tunpa yana qara niraq;electrico|mecanico|plomero|ranqhaq|tata|tata mecanico: tunpa yana qara niraq|tunpa yana qara niraq
	👨🏿‍🔧;tata mecanico: yana qara niraq;electrico|mecanico|plomero|ranqhaq|tata|tata mecanico: yana qara niraq|yana qara niraq
👩‍🔧;warmi mecanico;electrico|mecanico|plomero|ranqhaq|warmi
	👩🏻‍🔧;warmi mecanico: chuya qara niraq;chuya qara niraq|electrico|mecanico|plomero|ranqhaq|warmi|warmi mecanico: chuya qara niraq
	👩🏼‍🔧;warmi mecanico: tunpa chuya qara niraq;electrico|mecanico|plomero|ranqhaq|tunpa chuya qara niraq|warmi|warmi mecanico: tunpa chuya qara niraq
	👩🏽‍🔧;warmi mecanico: tunpa qara niraq;electrico|mecanico|plomero|ranqhaq|tunpa qara niraq|warmi|warmi mecanico: tunpa qara niraq
	👩🏾‍🔧;warmi mecanico: tunpa yana qara niraq;electrico|mecanico|plomero|ranqhaq|tunpa yana qara niraq|warmi|warmi mecanico: tunpa yana qara niraq
	👩🏿‍🔧;warmi mecanico: yana qara niraq;electrico|mecanico|plomero|ranqhaq|warmi|warmi mecanico: yana qara niraq|yana qara niraq
🧑‍🏭;fabrica llamkaq;asamblea|fabrica|industrial|llamkaq
	🧑🏻‍🏭;fabrica llamkaq: chuya qara niraq;asamblea|chuya qara niraq|fabrica|fabrica llamkaq: chuya qara niraq|industrial|llamkaq
	🧑🏼‍🏭;fabrica llamkaq: tunpa chuya qara niraq;asamblea|fabrica|fabrica llamkaq: tunpa chuya qara niraq|industrial|llamkaq|tunpa chuya qara niraq
	🧑🏽‍🏭;fabrica llamkaq: tunpa qara niraq;asamblea|fabrica|fabrica llamkaq: tunpa qara niraq|industrial|llamkaq|tunpa qara niraq
	🧑🏾‍🏭;fabrica llamkaq: tunpa yana qara niraq;asamblea|fabrica|fabrica llamkaq: tunpa yana qara niraq|industrial|llamkaq|tunpa yana qara niraq
	🧑🏿‍🏭;fabrica llamkaq: yana qara niraq;asamblea|fabrica|fabrica llamkaq: yana qara niraq|industrial|llamkaq|yana qara niraq
👨‍🏭;tata fabrica llamkaq;asamblea|fabrica|industrial|llamkaq|tata
	👨🏻‍🏭;tata fabrica llamkaq: chuya qara niraq;asamblea|chuya qara niraq|fabrica|industrial|llamkaq|tata|tata fabrica llamkaq: chuya qara niraq
	👨🏼‍🏭;tata fabrica llamkaq: tunpa chuya qara niraq;asamblea|fabrica|industrial|llamkaq|tata|tata fabrica llamkaq: tunpa chuya qara niraq|tunpa chuya qara niraq
	👨🏽‍🏭;tata fabrica llamkaq: tunpa qara niraq;asamblea|fabrica|industrial|llamkaq|tata|tata fabrica llamkaq: tunpa qara niraq|tunpa qara niraq
	👨🏾‍🏭;tata fabrica llamkaq: tunpa yana qara niraq;asamblea|fabrica|industrial|llamkaq|tata|tata fabrica llamkaq: tunpa yana qara niraq|tunpa yana qara niraq
	👨🏿‍🏭;tata fabrica llamkaq: yana qara niraq;asamblea|fabrica|industrial|llamkaq|tata|tata fabrica llamkaq: yana qara niraq|yana qara niraq
👩‍🏭;warmi fabrica llamkaq;asamblea|fabrica|industrial|llamkaq|warmi
	👩🏻‍🏭;warmi fabrica llamkaq: chuya qara niraq;asamblea|chuya qara niraq|fabrica|industrial|llamkaq|warmi|warmi fabrica llamkaq: chuya qara niraq
	👩🏼‍🏭;warmi fabrica llamkaq: tunpa chuya qara niraq;asamblea|fabrica|industrial|llamkaq|tunpa chuya qara niraq|warmi|warmi fabrica llamkaq: tunpa chuya qara niraq
	👩🏽‍🏭;warmi fabrica llamkaq: tunpa qara niraq;asamblea|fabrica|industrial|llamkaq|tunpa qara niraq|warmi|warmi fabrica llamkaq: tunpa qara niraq
	👩🏾‍🏭;warmi fabrica llamkaq: tunpa yana qara niraq;asamblea|fabrica|industrial|llamkaq|tunpa yana qara niraq|warmi|warmi fabrica llamkaq: tunpa yana qara niraq
	👩🏿‍🏭;warmi fabrica llamkaq: yana qara niraq;asamblea|fabrica|industrial|llamkaq|warmi|warmi fabrica llamkaq: yana qara niraq|yana qara niraq
🧑‍💼;oficina llamkaq;kamachiq|oficina llamkaq|oficinista|qatuna|wasi k’achanchaq
	🧑🏻‍💼;oficina llamkaq: chuya qara niraq;chuya qara niraq|kamachiq|oficina llamkaq|oficina llamkaq: chuya qara niraq|oficinista|qatuna|wasi k’achanchaq
	🧑🏼‍💼;oficina llamkaq: tunpa chuya qara niraq;kamachiq|oficina llamkaq|oficina llamkaq: tunpa chuya qara niraq|oficinista|qatuna|tunpa chuya qara niraq|wasi k’achanchaq
	🧑🏽‍💼;oficina llamkaq: tunpa qara niraq;kamachiq|oficina llamkaq|oficina llamkaq: tunpa qara niraq|oficinista|qatuna|tunpa qara niraq|wasi k’achanchaq
	🧑🏾‍💼;oficina llamkaq: tunpa yana qara niraq;kamachiq|oficina llamkaq|oficina llamkaq: tunpa yana qara niraq|oficinista|qatuna|tunpa yana qara niraq|wasi k’achanchaq
	🧑🏿‍💼;oficina llamkaq: yana qara niraq;kamachiq|oficina llamkaq|oficina llamkaq: yana qara niraq|oficinista|qatuna|wasi k’achanchaq|yana qara niraq
👨‍💼;tata oficina llamkaq;kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|wasi k’achanchaq
	👨🏻‍💼;tata oficina llamkaq: chuya qara niraq;chuya qara niraq|kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|tata oficina llamkaq: chuya qara niraq|wasi k’achanchaq
	👨🏼‍💼;tata oficina llamkaq: tunpa chuya qara niraq;kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|tata oficina llamkaq: tunpa chuya qara niraq|tunpa chuya qara niraq|wasi k’achanchaq
	👨🏽‍💼;tata oficina llamkaq: tunpa qara niraq;kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|tata oficina llamkaq: tunpa qara niraq|tunpa qara niraq|wasi k’achanchaq
	👨🏾‍💼;tata oficina llamkaq: tunpa yana qara niraq;kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|tata oficina llamkaq: tunpa yana qara niraq|tunpa yana qara niraq|wasi k’achanchaq
	👨🏿‍💼;tata oficina llamkaq: yana qara niraq;kamachiq|oficinista|qatuna|tata|tata oficina llamkaq|tata oficina llamkaq: yana qara niraq|wasi k’achanchaq|yana qara niraq
👩‍💼;warmi oficina llamkaq;kamachiq|oficinista|qatuna|warmi|warmi oficina llamkaq|wasi k’achanchaq
	👩🏻‍💼;warmi oficina llamkaq: chuya qara niraq;chuya qara niraq|kamachiq|oficinista|qatuna|warmi|warmi oficina llamkaq|warmi oficina llamkaq: chuya qara niraq|wasi k’achanchaq
	👩🏼‍💼;warmi oficina llamkaq: tunpa chuya qara niraq;kamachiq|oficinista|qatuna|tunpa chuya qara niraq|warmi|warmi oficina llamkaq|warmi oficina llamkaq: tunpa chuya qara niraq|wasi k’achanchaq
	👩🏽‍💼;warmi oficina llamkaq: tunpa qara niraq;kamachiq|oficinista|qatuna|tunpa qara niraq|warmi|warmi oficina llamkaq|warmi oficina llamkaq: tunpa qara niraq|wasi k’achanchaq
	👩🏾‍💼;warmi oficina llamkaq: tunpa yana qara niraq;kamachiq|oficinista|qatuna|tunpa yana qara niraq|warmi|warmi oficina llamkaq|warmi oficina llamkaq: tunpa yana qara niraq|wasi k’achanchaq
	👩🏿‍💼;warmi oficina llamkaq: yana qara niraq;kamachiq|oficinista|qatuna|warmi|warmi oficina llamkaq|warmi oficina llamkaq: yana qara niraq|wasi k’achanchaq|yana qara niraq
🧑‍🔬;hamut’asqa;biologo|fisico|hamut’asqa|ingeniero|quimico
	🧑🏻‍🔬;hamut’asqa: chuya qara niraq;biologo|chuya qara niraq|fisico|hamut’asqa|hamut’asqa: chuya qara niraq|ingeniero|quimico
	🧑🏼‍🔬;hamut’asqa: tunpa chuya qara niraq;biologo|fisico|hamut’asqa|hamut’asqa: tunpa chuya qara niraq|ingeniero|quimico|tunpa chuya qara niraq
	🧑🏽‍🔬;hamut’asqa: tunpa qara niraq;biologo|fisico|hamut’asqa|hamut’asqa: tunpa qara niraq|ingeniero|quimico|tunpa qara niraq
	🧑🏾‍🔬;hamut’asqa: tunpa yana qara niraq;biologo|fisico|hamut’asqa|hamut’asqa: tunpa yana qara niraq|ingeniero|quimico|tunpa yana qara niraq
	🧑🏿‍🔬;hamut’asqa: yana qara niraq;biologo|fisico|hamut’asqa|hamut’asqa: yana qara niraq|ingeniero|quimico|yana qara niraq
👨‍🔬;tata hamut’asqa;biologo|fisico|hamut’asqa|ingeniero|quimico|tata
	👨🏻‍🔬;tata hamut’asqa: chuya qara niraq;biologo|chuya qara niraq|fisico|hamut’asqa|ingeniero|quimico|tata|tata hamut’asqa: chuya qara niraq
	👨🏼‍🔬;tata hamut’asqa: tunpa chuya qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tata hamut’asqa: tunpa chuya qara niraq|tunpa chuya qara niraq
	👨🏽‍🔬;tata hamut’asqa: tunpa qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tata hamut’asqa: tunpa qara niraq|tunpa qara niraq
	👨🏾‍🔬;tata hamut’asqa: tunpa yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tata hamut’asqa: tunpa yana qara niraq|tunpa yana qara niraq
	👨🏿‍🔬;tata hamut’asqa: yana qara niraq;biologo|fisico|hamut’asqa|ingeniero|quimico|tata|tata hamut’asqa: yana qara niraq|yana qara niraq
👩‍🔬;warmi hamut’asqa;biologa|fisica|hamut’asqa|ingeniera|quimica|warmi
	👩🏻‍🔬;warmi hamut’asqa: chuya qara niraq;biologa|chuya qara niraq|fisica|hamut’asqa|ingeniera|quimica|warmi|warmi hamut’asqa: chuya qara niraq
	👩🏼‍🔬;warmi hamut’asqa: tunpa chuya qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa chuya qara niraq|warmi|warmi hamut’asqa: tunpa chuya qara niraq
	👩🏽‍🔬;warmi hamut’asqa: tunpa qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa qara niraq|warmi|warmi hamut’asqa: tunpa qara niraq
	👩🏾‍🔬;warmi hamut’asqa: tunpa yana qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|tunpa yana qara niraq|warmi|warmi hamut’asqa: tunpa yana qara niraq
	👩🏿‍🔬;warmi hamut’asqa: yana qara niraq;biologa|fisica|hamut’asqa|ingeniera|quimica|warmi|warmi hamut’asqa: yana qara niraq|yana qara niraq
🧑‍💻;tecnico;descifrador|kamaq|paqariq|software|tecnico
	🧑🏻‍💻;tecnico: chuya qara niraq;chuya qara niraq|descifrador|kamaq|paqariq|software|tecnico|tecnico: chuya qara niraq
	🧑🏼‍💻;tecnico: tunpa chuya qara niraq;descifrador|kamaq|paqariq|software|tecnico|tecnico: tunpa chuya qara niraq|tunpa chuya qara niraq
	🧑🏽‍💻;tecnico: tunpa qara niraq;descifrador|kamaq|paqariq|software|tecnico|tecnico: tunpa qara niraq|tunpa qara niraq
	🧑🏾‍💻;tecnico: tunpa yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|tecnico: tunpa yana qara niraq|tunpa yana qara niraq
	🧑🏿‍💻;tecnico: yana qara niraq;descifrador|kamaq|paqariq|software|tecnico|tecnico: yana qara niraq|yana qara niraq
👨‍💻;tata tecnico;descifrador|kamaq|paqariq|software|tata|tecnico
	👨🏻‍💻;tata tecnico: chuya qara niraq;chuya qara niraq|descifrador|kamaq|paqariq|software|tata|tata tecnico: chuya qara niraq|tecnico
	👨🏼‍💻;tata tecnico: tunpa chuya qara niraq;descifrador|kamaq|paqariq|software|tata|tata tecnico: tunpa chuya qara niraq|tecnico|tunpa chuya qara niraq
	👨🏽‍💻;tata tecnico: tunpa qara niraq;descifrador|kamaq|paqariq|software|tata|tata tecnico: tunpa qara niraq|tecnico|tunpa qara niraq
	👨🏾‍💻;tata tecnico: tunpa yana qara niraq;descifrador|kamaq|paqariq|software|tata|tata tecnico: tunpa yana qara niraq|tecnico|tunpa yana qara niraq
