# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
🌉;chaka tutapi;chaka|chaka tutapi|tuta
♨️;q’uñi yaku;q’uñi|q’uñi yaku|t’ikmu|wapsi
🎠;carrusel kawallu;carrusel|kawallu
🛝;resbalín nisqa;kusisqa parke|pukllay|resbalin|resbalín nisqa
🎡;noria qhatunapi;jawka parque|muyu|noria|noria qhatunapi
🎢;montaña rusa;jawka parque|montaña rusa|muyuq
💈;poste barberopaq;barbero|poste|poste barberopaq|rutuy
🎪;circo qatu;circo|qatu
🚂;locomotora;ferrocarril|locomotora|motor|puriy|tren
🚃;tren ferrocarrilpaq;carru|electrico|ferrocarril|ñan|tren ferrocarrilpaq|trolebus
🚄;utqhay tren;ferrocarril|shinkansen|tren|utqhay
🚅;bala tren;bala tren|ferrocarril|shinkansen|tren|utqay
🚆;tren;ferrocarril|tren
🚇;metro;metro|subterraneo
🚈;tren ligero;ferrocarril|tren ligero|tren logero
🚉;estacion;estacion|ferrocarril|tren
🚊;tranvia;ñan|tranvia|trolebus
🚝;monorrail;carru|monorrail
🚞;ferrocarril urqupaq;autu|ferrocarril|ferrocarril urqupaq|urqu
🚋;vagon tranviapaq;carru|ñan|trolebus|vagon tranviapaq
🚌;bus;bus|carru
🚍;qatiq autobus;autobus|bus|qatiq
🚎;trolebus;bus|carretilla|tranvia|trolebus
🚐;minibus;bus|minibus
🚑;ambulancia;ambulancia|carru
🚒;carru bomberospaq;carru|carru bomberospaq|motor|nina
🚓;policia carru;carru|paco|patrulla|policia carru
🚔;qatiq carru policiapaq;carru|policia|qatiq|qatiq carru policiapaq
🚕;taxi;carru|taxi
🚖;qatiq taxi;qatiq taxi
🚗;carru;auto|carru
🚘;qatiq carru;auto|carru|qatiq
🚙;autocaravana;autocaravana|recreacional|ruwasqa pukllay
🛻;carru pallaypaq;carru|carru pallaypaq|pallay
🚚;qupuspa camión;camión|qupuspa
🚛;articulado caminón;articulado caminón
🚜;tractor;carru|tractor
🏎️;carrera carrupi;carrera|carrera carrupi|carru
🏍️;motocicleta;carrera|motocicleta
🛵;patinador motorwan;patinador motorwan
🦽;manual ruedaswan tiyana;manual ruedaswan tiyana|yaykurinalla
🦼;muturwan ruedaswan tiyana;muturwan ruedaswan tiyana|yaykurinalla
🛺;kikin calesa;kikin cales|kikin calesa|tuk tuk
🚲;bicicleta;bici|bicicleta
🛴;patinador;jayt’a|patinador|scooter
🛹;patineta;patineta|tawla
🛼;ruedaswan patines;muyuq|patinar|ruedaswan patines
🚏;parada autobúspaq;autibus|bus|parada autobus|parada autobúspaq|tatichiy
🛣️;autopista;autopista|hatun ñan|ñan
🛤️;ferrocarril tren;ferrocarril|tren
🛢️;tambor aceitewan;aceite|tambor|tambor aceitewan
⛽;bomba gasolinera;bomba gasolinera
🛞;rueda;llanta|muyu|muyuy|rueda
🚨;sirena policia carrumanta;auto|faro|k’anchay|muyusqa|policia|sirena policia carrumanta
🚥;kinranpa semaforo;k’anchay|kinranpa semaforo|trafico|unancha
🚦;sayanpa semaforo;k’anchay|sayanpa semaforo|trafico|unancha
🛑;alto unancha;alto|octagonal|unancha
🚧;wasichiy;kancha|wasichiy
⚓;linderuyachiq;apachiy|linderuyachiq|llamkana
🛟;salvavidas anillu;harkasqa|kawsay churaq|kawsay waqaychaq|paway|rescatay|salvavidas anillu
⛵;velero;samaypaq kiti|tiyana|velero|wamp’u|yate
🛶;canoa;canoa|wamp’u
🚤;utqhay lancha;utqhay lancha|wamp’u
🛳️;pasajero barcomanta;barco|pasajero|pasajero barcomanta
⛴️;apay;apay|pasajero|wamp’u
🛥️;lancha motorwan;lancha motorwan|wamp’u
🚢;nave;nave|pasajero|wamp’u
✈️;latap’isqu;aeroplano|latap’isqu
🛩️;huchuy latap’isqu;aeroplano|huchuy latap’isqu|latap’isqu
🛫;lata pʼisqu luqsina;aeroplane|airplane|check-in|departure|departures|lata pʼisqu luqsina
🛬;lata pʼisqu chayana;aeroplano|chayachkan|chayanakuna|chayaspa|lata pʼisqu chayana|latap’isqu
🪂;paracaídas;paracaídas|pawaypaq
💺;;
🚁;helicoptero;carru|helicoptero
🚟;warkhusqa ferrocarril;ferrocarril|warkhusqa
🚠;teleferico urqupi;cable|gondola|teleferico urqupi|urqu
🚡;teleferico;aereo|cable|carru|gondola|teleferico
🛰️;satelite;kampu|satelite
🚀;cohete;cohete|kampu
🛸;platillo volador;ovni|platillo volador
🛎️;chhullupi botonespaq;botones|chhullupi|chhullupi botonespaq|tampu wasi
🧳;equipaje;equipaje
⌛;tukusqa arenawan intiwatana;tukusqa arenawan intiwatana
⏳;manam tukusqa arenawan intiwatana;arena|manam tukusqa arenawan|manam tukusqa arenawan intiwatana|pachaq|tukusqa
⌚;inti watana;inti watana|reloj
⏰;despertador;despertador
⏱️;cronografo;cronografo|reloj
⏲️;reloj temporizador;pacha|reloj|reloj temporizador
🕰️;reloj chimeneapaq;reloj|reloj chimeneapaq
🕛;chunka iskayniyuq;00|12|12:00|chunka iskayniyuq|iskayniyuq
🕧;chunka iskayniyuq-kimsa chunkawan;chunka iskayniyuq chaymanta kimsa chunkawan|chunka iskayniyuq-kimsa chunkawan
🕐;huk;00|1|1:00|huk
🕜;huk chaymanta kimsa chunkawan;huk chaymanta kimsa chunkawan
🕑;iskay;00|2|2:00|iskay
🕝;iskay chaymanta kimsa chunkawan;iskay chaymanta kimsa chunkawan
🕒;kimsa;00|3|3:00|kimsa
🕞;kimsa chaymanta kimsa chunkawan;kimsa chaymanta kimsa chunkawan
🕓;tawa;00|4|4:00|tawa
🕟;tawa chaymanta kimsa chunkawan;tawa chaymanta kimsa chunkawan
🕔;phisqa;00|5|5:00|phisqa
🕠;phisqa chaymanta kimsa chunkawan;phisqa chaymanta kimsa chunkawan
🕕;suqta;00|6|6:00|suqta
🕡;suqta chaymanta kimsa chunkawan;suqta chaymanta kimsa chunkawan
🕖;qanchis;00|7|7:00|qanchis
🕢;qanchis chaymanta kimsa chunkawan;qanchis chaymanta kimsa chunkawan
🕗;pusaq;00|8|8:00|pusaq
🕣;pusaq chaymanta kimsa chunkawan;30|8|8:30|kimsa chunka|pusaq|pusaq-kimsa chunkawan|ura
🕘;jisqʼun;00|9|9:00|isquk¡n|jisq’un|jisqʼun|pacha
🕤;jisqʼun chaymanta kimsa chunkawan;30|9|9:30|isqun|jisqʼun|jisqʼun-kimsa chunkawan|kimsa chunka|pacha
🕙;chunka;00|10|10:00|chunka
🕥;chunka chaymanta kimsa chunkawan;10|10:30|30|chunka|chunka-kimsa chunkawan|kimsa chunka|pacha
🕚;chunka hukniyuq;00|11|11:00|chunka hukniyuq
🕦;chunka hukniyuq-kimsa chunkawan;11|11:30|30|chunka hukniyuq|chunka hukniyuq-kimsa chunkawan|kimsa chunka|pacha
🌑;unu Killa;killa|tuta|unu Killa
🌒;tukuspa chawpi killa;chawpi|killa|tukuspa
🌓;hukñiqi wañu killa;hukñiqi wañu|hukñiqi wañu killa|killa
🌔;chawpi gibosa killa;chawpi|gibosa|killa
🌕;pura killa;hunta|killa|pacha|pura
🌖;wañu gibosa killa;chawpi|gibosa|killa|wañu
🌗;qhipa wañu killa;hukñiqi wañu|killa|qhipa wañu killa
🌘;wañu killa;chawpi|killa|wañu
🌙;chawpi killa;chawpi|killa|pacha|ramadan
🌚;unu killa uya;killa|unu killa uya|uya
🌛;chawpi killa uya;chawpi killa uya|killa|uya
🌜;qipa chawpi killa uya;killa|qipa chawpi killa uya|uya
🌡️;termometro;llaphiya|termometro
☀️;inti;inti|k’anchay|wach’i
🌝;hunta killa uya;chuya|hunta|killa|uya
🌞;inti uyawan;inti|inti uyawan|k’anchay|uya
🪐;anillukunawan planeta;anillukunawan planeta|saturnino|saturno
⭐;quyllur;quyllur
🌟;lliphisqa quyllur;k’anchay|k’anchaynin|lliphisqa|quyllur
🌠;utqhay quyllur;quyllur|urmay|utqhay
🌌;via lactea;kampu|via lactea
☁️;puyu;llaphiya|puyu
⛅;inti qhipa puyuman;inti|inti qhipa puyuman|puyu
⛈️;puyu k’anchasqa parawan;cloud|kunuñunu|para|puyu k’anchasqa parawan
🌤️;inti qhipa huchuy puyu;inti|inti qhipa huchuy puyu|puyu
🌥️;inti qhipa hatun puyu;inti|inti qhipa hatun puyu|puyu
🌦️;inti qhipa para puyupi;inti|inti qhipa para puyupi|para|puyu
🌧️;puyu parawan;para|puyu|puyu parawan
🌨️;puyu rit’iwan;chiri|puyu|puyu rit’iwan|rit’i
🌩️;puyu lliphiwan;k’anchaynin|puyu|puyu lliphiwan
🌪️;wayrakuna;puyu|wayra|wayrakuna
🌫️;pukutay;pukutay|puyu
🌬️;wayra uya;phukuy|puyu|uya|wayra
🌀;ciclón;ciclón|huracan|tifon
🌈;kʼuychi;kʼuychi|para
🌂;wichqasqa para achiwa;para|para achiwa|pʼacha|wichqasqa para achiwa
☂️;para achiwa;achiwa|p’acha|para
☔;para achiwa para sutʼukunawan;achiwa|p’acha|para|para achiwa para sutʼukunawan|sut’u
⛱️;para achiwa jallp’api;achiwa|inti|para|para achiwa jallp’api
⚡;kuraq voltaje;electrico|kuraq voltaje|manchakuypaq|voltaje
❄️;rit’i urpu;chiri|rit’i|rit’i urpu
☃️;runa rit’imanta;chiri|rit’i|runa rit’imanta
⛄;ritʼi urpu mana ritʼiwan;chiri|rit’i|ritʼi urpu mana ritʼiwan|runa rit’imanta
☄️;cometa;cometa|kampu
🔥;nina;llamkana|nina
💧;sutʼu;chiri|kusi|miski|sut’u|sutʼu
🌊;yaku wallcha;mama qucha|wallcha|yaku

[activities]
🎃;mathi;halloween|jack|linterna|mathi|raymi
🎄;Navidad sacha;Navidad|raymi|sacha
🎆;fuegos artificiales;fuegos artificiales|raymi
🎇;pinchi;fuegos artificiales|k’anchay|pinchi|raymi
🧨;petardo;dinamita|petardo|tuqyay
✨;pinchikuna;*|k’anchay|pinchikuna|quyllur
🎈;glubu;glubu|raymi
🎉;confeti chamqaq;chamqaq|confeti|raymi
🎊;muyu confetiwan;confeti|muyu|muyu confetiwan|raymi
🎋;tanabata sachʼa;baner|Japones|raymi|sach’a|tanabata sachʼa
🎍;pino achhachala;bambu|Japones|pino|pino achhachala|raymi
🎎;Japonesa urpukuna;Japonesa|Japonesa urpukuna|raymi|urpu
🎏;wipala carpaswan;carpa|qawaq|raymi|wipala carpaswan
🎐;chhullupi wayrapaq;chhullupi wayrapaq|chhulluqi|chuullu|raymi|wayra
🎑;killa itu qawaypaq;killa|killa itu qawaypaq|raymi
🧧;puka carta;allinmi kay|puka carta|qullqi|suñay
🎀;cinta;cinta|raymi
🎁;pʼintusqa suña;p’intusqa|pʼintusqa suña|raymi|suña|tawak’uchu
🎗️;yuyarinapaq cinta;cinta|raymi|yuyarinapaq
🎟️;uyakuynin boletokunapaq;boleto|uyakuynin|uyakuynin boletokunapaq
🎫;boleto;boleto|uyakuynin
🎖️;militar medalla;medalla|militar|raymi
🏆;trofeo;premio|trofeo
🏅;pukllaypaq medalla;medalla|pukllaypaq medalla
🥇;medalla 1qi kitipaq;hukñiqi|medalla|medalla 1qi kitipaq|quri
🥈;medalla 2qi kitipaq;iskayñiqi|medalla|medalla 2qi kitipaq|qullqi
🥉;medalla 3qi kitipaq;bronce|kimsañiqi|medalla|medalla 3qi kitipaq
⚽;futbol pʼulu;futbol|futbol pʼulu|p’ulu
⚾;beisbol;beisbol|p’ulu
🥎;softball nisqa;muyu|softball|softball nisqa
🏀;basket;aro|basket|p’ulu
🏐;voleibol;p’ulu|pukllay|voleibol
🏈;futbol americano;americano|futbol|p’ulu
🏉;rugby pʼulu;futbol|p’ulu|rugby|rugby pʼulu
🎾;tenis;p’ulu|raqueta|tenis
🥏;pawasqa disku;pawasqa disku|tukuq
🎳;bolos;bolos|p’ulu|pukllay
🏏;cricket pukllay;cricket pukllay|masu|p’ulu|pukllay
🏑;hockey chʼampapi;hockey|hockey chʼampapi|k’aspi|kampu|p’ulu|pukllay
🏒;hockey ritʼipi;chhullunka|hockey|hockey ritʼipi|k’aspi|puck|pukllay
🥍;lacrosse nisqa;gol|kaspa|lacrosse nisqa|pulu
🏓;ping pong;masu|p’ulu|paleta|ping pong|pukllay|tenis tawla
🏸;badminton;badminton|p’isqu|pukllay|raqueta
🥊;guante boxeopaq;boxeopaq|guante
🥋;artes marciales pʼacha;artes marciales|artes marciales pʼacha|judo|karate|p’acha|taekwondo
🥅;arco;arco
⛳;wiphala tʼuqupi;golf|t’uqu|wiphala tʼuqupi
⛸️;chhullunka patinar;chhullunka|patinar
🎣;caña challawaypaq challwawan;callwa|caña challawaypaq challwawan|poste
🤿;buceo lentekuna;buceo|buceo lentekuna
🎽;camiseta phawaypaq;atletico|camiseta|camiseta phawaypaq|faja|phawachkan
🎿;esquis;esqui|esquis|rit’i
🛷;trineo;trineo
🥌;muyusqa rumi;muyusqa rumi|pukllay|rumi
🎯;diana;chiqaq chusu|dardu|diana|pukllay
🪀;yoyo;pukllana|yoyo
🪁;cometa nisqa;cometa nisqa|paway
🔫;yaku pistola;arma|llamkana|pistola|revolver|yaku
🎱;billar;8|billar|pukllay|pusaq
🔮;muyu qhispillu;fantasia|hadas willana|llamkana|muyu qhispillu|p’ulu|qhispillu|qulli
🪄;magica warra;magica|magica warra
🎮;video pukllay;patachaq|pukllay|video pukllay
🕹️;palanca patachaqpaq;palanca patachaqpaq|pukllay|video pukllay
🎰;casinopaq maquina;casinopaq maquina|kampu|pukllay
🎲;dado;dado|pukllay|wañuy
🧩;rompecabeza parti;parti|patma|rompecabeza parti|rompecabezas
🧸;peluche;peluche|pukllana
🪅;piñata;piñata|raymi
🪩;muyusqa espejokuna;disco|muyusqa espejokuna|raymi
🪆;qisa urpukuna;qisa|qisa urpukuna|rusia|urpu
♠️;espada tarhita;espada tarhita|pukllay|tarhita
♥️;sunqu tarhita;pukllay|sunqu tarhita|tarhita
♦️;diamante tarhita;diamante tarhita|pukllay|tarhita
♣️;trebol tarhita;pukllay|tarhita|trebol tarhita
♟️;peon;ajedres|peon|peón
🃏;joker;joker|pukllay|tarhita
🀄;mahjong puka dragon;mahjong|mahjong puka dragon|puka|pukllay
🎴;tʼika naipes;Japones|pukllachkan|pukllay|t’ika|tarhita|tʼika naipes
🎭;artes escenicas;artes escenicas|arti|maskara|teatro
🖼️;kanchapi rikchay;kancha|kanchapi rikchay|llimpi|museo|rikchay|t’iktu
🎨;paleta llimpiq;llimpi|museo|paleta|paleta llimpiq|t’iktu
🧵;hilo;hilo|qisa
🪡;uku hilopaq;hilo|sutura|uku|uku hilopaq
🧶;watu;crochet|pelota|punto|watu
🪢;nudo;arwiy|cordel|nudo|qiwiy|watay|watu

[objects]
👓;lentes;lentes|lentes intipaq|lenteskuna|ñawi|pacha
🕶️;lentes intipaq;lentes|lentes intipaq|ñawi|yana
🥽;goggles nisqa;goggles|goggles nisqa|naryay|ñawipaq harkaynin
🥼;laboratoriomanta pacha;cientifico|experimentu|hampiq|laboratorio pacha|laboratoriomanta pacha
🦺;chaleku harkaypaq;chaleku harkaypaq|emergencia|harkay|pacha
👔;corbata;corbata|pacha
👕;camisa;camisa|pacha
👖;jeans;jeans|pacha
🧣;chalina;chalina|kunka
🧤;guantes;guantes|maki
🧥;abrigo;abrigo|pacha
🧦;medias;medias|pacha
👗;aqsu;aqsu|pacha
👘;kimono;kimono|pacha
🥻;sari;aqsu|pacha|sari
🩱;naryaypaq pacha;naryaypaq pacha|pacha
🩲;yakupaq pacha;huk pacha|naryaypaq|yakupaq pacha
🩳;uchuy pantalon;naryaypaq|uchuy pantalon
👙;bikini;bikini|pacha
👚;warmipa pachan;pacha|warmi|warmipa pachan
🪭;abanico;abanico|rupay|tusuy
👛;pulcera;pacha|pulcera|qullqi
👜;bolso;bolso|manilla|pacha
👝;cartera;cartera|pacha|qipi
🛍️;ratina qamaña;qamaña|rantikuna|ratina qamaña|samana wasikuna
🎒;qipi;mochila|qamaña|qipi|yachaywasi
🩴;sandalia;sandalia|sandalia playapaq
👞;runapa papatun;pacha|qari|runapa papatun
👟;pawasqa papatu;atletiku|pacha|pawasqa papatu
🥾;bota;acampar|bota|saqiypaq bota
🥿;planu papatu;balet papatu|planu papatu
👠;tacones phapatu;tacones phapatu
👡;warmip sandalian;warmip sandalian
🩰;↑↑↑;↑↑↑
👢;warmip botan;warmip botan
🪮;chukchapaq peine;Afro|chukcha|chukchapaq peine|peine
👑;pillu;corona nisqa|pillu|reina|rey
👒;warmip chikun;pacha|sombreru nisqa|warmi|warmip chikun|warmipa chikun
🎩;hanaq chiku;hanaq|hanaq chiku|pacha
🎓;graduacion chiku;gorra|graduacion|graduacion chiku|pacha|raymi|sumbriru
🧢;gorra;baseball gorra|gorra|gorra nisqa
🪖;militar casco nisqa;armada|casco|gerrero|militar|militar casco nisqa|soldado
⛑️;yanapaq llamkaqmanta casco;yanapaq llamkaqmanta casco
📿;rosario;collar|pacha|religion|rezar|rosario
💄;llimpʼi simipaq;llimpʼi simipaq
💍;siwi;siwi
💎;gema;gema
🔇;chʼin altavoz;chʼin altavoz
🔈;altavoz pisi chanrawan;altavoz pisi chanrawan|qapya
🔉;altavoz chawpi chanrawan;altavoz chawpi chanrawan|chawpi
🔊;altavoz hatun chanrawan;altavoz hatun chanrawan|hatun
📢;altoparlante;altoparlante|hatun|riqsisqa maypi kasqan
📣;megáfono;kusirikuy|megáfono|megágono nisqa
📯;chakipaq waqra;chakipaq waqra|chaski|chaski wasi|waqra
🔔;kampana;kampana
🔕;chʼin chhullupi;campana|chin|chin warrawan|chʼin chhullupi|michakuy|suyariy
🎼;partitura;chusukuna|partitura|takiy
🎵;notas musical;nota|nota musical|notas musical|takiy
🎶;notas musicales;nota|notas|notas musicales|takiy
🎙️;microfono estudiomanta;estudio|micro|microfono|microfono estudiomanta|takiy
🎚️;kuyuq ñiqi;kuyuq|ñiqi|takiy
🎛️;perillas patachaqpaq;patachaq|perillas|perillas patachaqpaq|takiy
🎤;micrófono;karaoke|micrófono
🎧;audifono;audifono|auricular
📻;radio;radio|video
🎷;saxofon;instrumento|saxofon|takiy
🎺;trompeta;instrumento|takiy|trompeta
🪊;trombón nisqa;diapositiva|instrumento|jazz|latón|llakisqa|musiku
🪗;acordion;acordion|concertina|tawa kuchu
🎸;guitarra;guitarra|instrumento|takiy
🎹;teclas musicales;instrumento|ñitina|piano|takiy|teclas musicales
🎻;violin;instrumento|takiy|violin
🪕;banjo;banjo|cadenaswan|takiy
🥁;tambor;baquetas|takiy|tambor
🪘;tambor kullumanta;atipay|conga|takiy|tambor|tambor kullumanta
🪇;maracas;cascabel|instrumento|kuyuy|maracas|percusion|takiy
🪈;flauta;flauta|graway|kullu|pipa|takiy
🪉;arpa;arpa|cupido|instrumento|munakuy|musiku|orquesta nisqa
📱;apaykachana telefono;apaykachana|celular|telefono
📲;apaykachana telefono wachʼiwan;apaykachana telefono wachiwan|apaykachana telefono wachʼiwan|celular|chaskiy|telefono|wachi
☎️;fono;fono|telefono
📞;auricular telefonomanta;auricular telefonomanta|chaskiq|fono|telefono
📟;tariq;tariq
📠;maquina faxpaq;fax|maquina faxpaq
🔋;kallpa waqaychaq;kallpa waqaychaq
🪫;pisi kallpa waqaychaq;electronico|pisi kallpa waqaychaq
🔌;enchufe;electricidad|enchufe|kallpa
💻;computadora;computadora|pc|personal|sapalla
🖥️;hanpara computadora;computadora|hanpara
🖨️;impresora;computadora|impresora
⌨️;ñitina;computadora|ñitina
🖱️;mouse computadorapaq;computadora|mouse computadorapaq
🖲️;muyu mousepi;computadora|muyu mousepi
💽;computadora ruyru;computadora|optico|ruyru|uchy disku
💾;disquete;computadora|disquete|muyu
💿;disku;CD|computadora|disku|optico
📀;dvd;Blu-ray|computadora|disku|DVD|optico
🧮;abaco;abaco|tantiyay
🎥;camara cinepaq;camara|camara cinepaq|cine|pelikula
🎞️;kanchakuna peliculamanta;cine|kanchakuna|kanchakuna peliculamanta|pelicula|pelikula
📽️;proyector cinepaq;cine|pelicula|pelikula|proyector|proyector cinepaq|video
🎬;claqueta;claqueta|pelikula
📺;television;television|tv|video
📷;camara;camara|video
📸;camara flash kaqwan;camara|camara flash kaqwan|flash|video
📹;videocamara;camara|video|videocamara
📼;videocaset;vhs|video|videocaset
🔍;lupa lluqiman;chuya|llamkana|lupa|lupa lluqiman|maskay
🔎;lupa pañaman;chuya|llamkana|lupa|lupa pañaman|lupa pañawan|maskay
🕯️;vela;kanchay|vela
💡;kʼancha;chuya|comic|electrico|kancha|kʼancha|yuyay
🔦;flash;antorcha|chuya|electrico|flash|llamkana
🏮;izakaya linterna;chuya|izakaya linterna|linterna|puka|warra
🪔;diya lampara;aceite|diya|lampara
📔;yachaykunapaq pʼanqa kʼacha rapiwan;kacha rapiwan|panqa|sumaq|yachaykunapaq panqa kacha rapiwan|yachaykunapaq pʼanqa kʼacha rapiwan|yachaykunapaq qillqa
📕;wichqasqa pʼanqa;p’anqa|wichqasqa|wichqasqa pʼanqa
📖;kichasqa pʼanqa;kichasqa pʼanqa|kichay|p’anqa
📗;qʼumir pʼanqa;p’anqa|q’umir|qʼumir pʼanqa
📘;anqas p’anqa;anqas p’anqa|anqas pʼanqa
📙;willapi pʼanqa;p’anqa|willapi|willapi pʼanqa
📚;pʼanqakuna;panqa|panqakuna|pʼanqakuna
📓;huchuy qillqanacha;huchuy qillqanacha
📒;pʼanqa siwukunawan;panqa siwukunawan|pʼanqa siwukunawan|yachaykunapaq qillqa
📃;llinkʼu rapi;llinku|llinkʼu rapi|qillqa willakuq|rapi
📜;suchuririy;rapi|suchuririy|suchuriy
📄;hanaqman rapi;hanaqman rapi|qillqa willakuq|rapi
📰;periodico;periodico|rapi|yachaykuna
🗞️;periodico ch’umisqa;muyusqa|periodico|periodico ch’umisqa|periodico chumisqa|rapi|yachaykuna
📑;rapi chinpuqkunawan;chinpuq|chinpuy|qawachiqkuna|rapi chinpuq|rapi chinpuqkunawan
🔖;chinpuq;chinpuq
🏷️;sutichaq;sutichaq
🪙;moneda;metal|moneda|paqu|qullqi|tesoro
💰;qulli qipi;qipi|qulli qipi|qullqi
🪎;qulliwan kufri;chanin|gema|joyas|qullqi|qullqiwan|quri
💴;yen billete;billete|chanin|qullqi|yen
💵;dolar billete;billete|chanin|dolar|qullqi
💶;euro billete;billete|chanin|euro|qullqi
💷;libras esterlinas billete;billete|chanin|libras esterlinas|libras esterlinas billete|qullqi
💸;qullqi raprakunawan;billete|chanin|paway|qullqi|qullqi raprakunawan|raprakuna
💳;qullqi mañaypa tarjetan;mañay|qullqi|qullqi mañaypa tarjetan|tarhita
🧾;recibo;chaskiy|contabilidad|evidencia|prueba|recibo
💹;tawa kuchu yaparispa yenwan;qullqi|siqisiqi|tawa kuchu yaparispa yenwan|tawakuchu|yapariy|yen
✉️;karta;chaski|correo electronico|karta
📧;correo electronico;chasi|correo electronico|qillqa
📨;yaykumuq carta;carta|chakiy|correo electronico|yaykumuq
📩;carta wachiwan;carta|carta wachiwan|correo electronico|lluqsina|wachi
📤;lluqsina wandiha;apachisqa|carta|chaski|kuchu|lluqsina|wandiha
📥;bandeja de entrada;bandeja|caja|carta|chaskiy|chusaq|correo|correo electrónico|inbox
📦;;
📫;wisq’asqa correo caja hoqarisqa banderayuq;bandera|caja de correo|correo|correo caja|wichasqa|willanakuy|wisqʼasqa
📪;wisq’asqa correo caja uraykachisqa banderayuq;bandera|caja de correo|correo|correo caja|uraykachisqa|wisqʼasqa
📬;open mailbox with raised flag;bandera|caja de correo|correo|correo caja|kichasqa|wichasqa
📭;uraykachisqa banderayuq correo cajata kichay;bandera|caja de correo|correo|correo caja|kichasqa|uraykachisqa
📮;chaski churana;chaski churana
🗳️;urna caja de voto nisqawan;papel de voto|tawa kuchu
✏️;qillqana;qillqana
✒️;yana lapisiru;pumilla|qillqana|yana pumilla
🖋️;fuente qillqana;fuente|qillqana
🖊️;tintawan qillqana;tintawan qillqana
🖌️;pincel;pincel|pintura
🖍️;crayon;crayon|crayon nisqa
📝;qillqa;qillqa|qillqana
💼;maletín;maletín|oficina
📁;willañiqi qillqana maytʼu;archivo|carpeta nisqapi
📂;willañiqi qillqana maytʼuta kichay;archivo|carpeta|kichasqa
🗂️;tarjeta indis rakiqkuna;indis nisqa|rakiqkuna|tarjeta
📅;calendario nisqa;calendario nisqa|imay pacha
📆;llikisqa calendario nisqa;calendario nisqa|llikisqa
🗒️;bloc de notas espiral nisqa;bloc de notas|espiral nisqa|nota|pad
🗓️;calendario espiral nisqa;calendario nisqa|espiral nisqa|pad
📇;tarjetapa indisnin;indis|mawkʼa|rolodex nisqa|tarjeta|yachay wasi
📈;tabla yapakuq;chʼiku|datos|derecho|grafico|tendencia|wichayman|wiñaynin|yapakuq
📉;tabla pisiyachiq;chʼiku|datos|grafico|negativo|pisiyachiq|tendencia|urayman
📊;tabla de barras nisqa;barra|chʼiku|datos|grafico nisqa
📋;portapapeles nisqa;lista|notakuna|portapapeles|ruway
📌;t’ikakuna;collage|pin|pushpin
📍;round pushpin;mapa|maypi kasqan|muyu|pin|pushpin
📎;clip rapipaq;clip rapipaq
🖇️;tinkisqa clipkuna rapipaq;tinkisqa clipkuna rapipaq
📏;chiqan kamachiq;chiqan|chiqanchay|kamachiq|kantu|kʼuchu|matemáticas
📐;kimsa kuchuyuq kamachiq;churay|diapositiva|kamachiq|kamachiy|kimsa kuchu|kimsa kuchuyuq|kʼuchu|matemáticas
✂️;kuchuna;kuchusqa|kuchuy|llamkana|papel|tijeras
🗃️;tarjeta archivo caja;caja|kipu|tarjeta
🗄️;file cabinet;cabinet|file|filing|paper
🗑️;basura;basura|puede|usuchiy
🔒;harkana;harkana|harkasqa|wichqasqa
🔓;mana wichqasqa;bloqueo|desbloquear|kichasqa|mana wichqasqa|raqrasqa
🔏;plumawan wichqasqa;bloqueo|nib|pluma|sapanchasqa|tinta|wichqʼasqa
