# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🫲🏻;lluqiman maki: chuya qara niraq;chuya qara niraq|lluqi|lluqiman|maki
	🫲🏼;lluqiman maki: tunpa chuya qara niraq;lluqi|lluqiman|maki|tunpa chuya qara niraq
	🫲🏽;lluqiman maki: tunpa qara niraq;lluqi|lluqiman|maki|tunpa qara niraq
	🫲🏾;lluqiman maki: tunpa yana qara niraq;lluqi|lluqiman|maki|tunpa yana qara niraq
	🫲🏿;lluqiman maki: yana qara niraq;lluqi|lluqiman|maki|yana qara niraq
🫳;uranman maki pampa;chinkachiy|kachaykuy|uranman maki pampa
	🫳🏻;uranman maki pampa: chuya qara niraq;chinkachiy|chuya qara niraq|kachaykuy|uranman maki pampa
	🫳🏼;uranman maki pampa: tunpa chuya qara niraq;chinkachiy|kachaykuy|tunpa chuya qara niraq|uranman maki pampa
	🫳🏽;uranman maki pampa: tunpa qara niraq;chinkachiy|kachaykuy|tunpa qara niraq|uranman maki pampa
	🫳🏾;uranman maki pampa: tunpa yana qara niraq;chinkachiy|kachaykuy|tunpa yana qara niraq|uranman maki pampa
	🫳🏿;uranman maki pampa: yana qara niraq;chinkachiy|kachaykuy|uranman maki pampa|yana qara niraq
🫴;hanaqman maki pampa;hamuy|hanaqman maki pampa|hapiy|mañay|quy
	🫴🏻;hanaqman maki pampa: chuya qara niraq;chuya qara niraq|hamuy|hanaqman maki pampa|hapiy|mañay|quy
	🫴🏼;hanaqman maki pampa: tunpa chuya qara niraq;hamuy|hanaqman maki pampa|hapiy|mañay|quy|tunpa chuya qara niraq
	🫴🏽;hanaqman maki pampa: tunpa qara niraq;hamuy|hanaqman maki pampa|hapiy|mañay|quy|tunpa qara niraq
	🫴🏾;hanaqman maki pampa: tunpa yana qara niraq;hamuy|hanaqman maki pampa|hapiy|mañay|quy|tunpa yana qara niraq
	🫴🏿;hanaqman maki pampa: yana qara niraq;hamuy|hanaqman maki pampa|hapiy|mañay|quy|yana qara niraq
🫷;tanqaspa lluqi maki;lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy
	🫷🏻;tanqaspa lluqi maki: chuya qara niraq;chuya qara niraq|lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy
	🫷🏼;tanqaspa lluqi maki: tunpa chuya qara niraq;lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy|tunpa chuya qara niraq
	🫷🏽;tanqaspa lluqi maki: tunpa qara niraq;lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy|tunpa qara niraq
	🫷🏾;tanqaspa lluqi maki: tunpa yana qara niraq;lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy|tunpa yana qara niraq
	🫷🏿;tanqaspa lluqi maki: yana qara niraq;lluqi|pichqa rukanakuna|suyay|tanqaspa|tanqaspa lluqi maki|tatichiy|yana qara niraq
🫸;tanqaspa paña maki;paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy
	🫸🏻;tanqaspa paña maki: chuya qara niraq;chuya qara niraq|paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy
	🫸🏼;tanqaspa paña maki: tunpa chuya qara niraq;paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy|tunpa chuya qara niraq
	🫸🏽;tanqaspa paña maki: tunpa qara niraq;paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy|tunpa qara niraq
	🫸🏾;tanqaspa paña maki: tunpa yana qara niraq;paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy|tunpa yana qara niraq
	🫸🏿;tanqaspa paña maki: yana qara niraq;paña|pichqa rukanakuna|suyay|tanqaspa|tanqaspa paña maki|tatichiy|yana qara niraq
👌;UYAKUY maki;maki|UYAKUY
	👌🏻;UYAKUY maki: chuya qara niraq;chuya qara niraq|maki|UYAKUY
	👌🏼;UYAKUY maki: tunpa chuya qara niraq;maki|tunpa chuya qara niraq|UYAKUY
	👌🏽;UYAKUY maki: tunpa qara niraq;maki|tunpa qara niraq|UYAKUY
	👌🏾;UYAKUY maki: tunpa yana qara niraq;maki|tunpa yana qara niraq|UYAKUY
	👌🏿;UYAKUY maki: yana qara niraq;maki|UYAKUY|yana qara niraq
