# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
	🚣🏼‍♀️;jigéen juy joow gaal: xeesaayu der bu xeereer;gaal|gaalu-joow|jigéen|jigéen juy joow gaal|xeesaayu der bu xeereer
	🚣🏽‍♀️;jigéen juy joow gaal: xeesaayu der bu yam;gaal|gaalu-joow|jigéen|jigéen juy joow gaal|xeesaayu der bu yam
	🚣🏾‍♀️;jigéen juy joow gaal: xeesaayu der bu xawa ñuul;gaal|gaalu-joow|jigéen|jigéen juy joow gaal|xeesaayu der bu xawa ñuul
	🚣🏿‍♀️;jigéen juy joow gaal: xeesaayu der bu ñuul;gaal|gaalu-joow|jigéen|jigéen juy joow gaal|xeesaayu der bu ñuul
🏊;nit kuy féey;féey|nit kuy féey
	🏊🏻;nit kuy féey: xeesaayu der bu woyof;féey|nit kuy féey|xeesaayu der bu woyof
	🏊🏼;nit kuy féey: xeesaayu der bu xeereer;féey|nit kuy féey|xeesaayu der bu xeereer
	🏊🏽;nit kuy féey: xeesaayu der bu yam;féey|nit kuy féey|xeesaayu der bu yam
	🏊🏾;nit kuy féey: xeesaayu der bu xawa ñuul;féey|nit kuy féey|xeesaayu der bu xawa ñuul
	🏊🏿;nit kuy féey: xeesaayu der bu ñuul;féey|nit kuy féey|xeesaayu der bu ñuul
🏊‍♂️;góor guy féey;féey|góor|góor guy féey
	🏊🏻‍♂️;góor guy féey: xeesaayu der bu woyof;féey|góor|góor guy féey|xeesaayu der bu woyof
	🏊🏼‍♂️;góor guy féey: xeesaayu der bu xeereer;féey|góor|góor guy féey|xeesaayu der bu xeereer
	🏊🏽‍♂️;góor guy féey: xeesaayu der bu yam;féey|góor|góor guy féey|xeesaayu der bu yam
	🏊🏾‍♂️;góor guy féey: xeesaayu der bu xawa ñuul;féey|góor|góor guy féey|xeesaayu der bu xawa ñuul
	🏊🏿‍♂️;góor guy féey: xeesaayu der bu ñuul;féey|góor|góor guy féey|xeesaayu der bu ñuul
🏊‍♀️;jigéen juy féey;féey|jigéen|jigéen juy féey
	🏊🏻‍♀️;jigéen juy féey: xeesaayu der bu woyof;féey|jigéen|jigéen juy féey|xeesaayu der bu woyof
	🏊🏼‍♀️;jigéen juy féey: xeesaayu der bu xeereer;féey|jigéen|jigéen juy féey|xeesaayu der bu xeereer
	🏊🏽‍♀️;jigéen juy féey: xeesaayu der bu yam;féey|jigéen|jigéen juy féey|xeesaayu der bu yam
	🏊🏾‍♀️;jigéen juy féey: xeesaayu der bu xawa ñuul;féey|jigéen|jigéen juy féey|xeesaayu der bu xawa ñuul
	🏊🏿‍♀️;jigéen juy féey: xeesaayu der bu ñuul;féey|jigéen|jigéen juy féey|xeesaayu der bu ñuul
⛹️;nit kuy bondeel bal;bal|nit kuy bondeel bal
	⛹🏻;nit kuy bondeel bal: xeesaayu der bu woyof;bal|nit kuy bondeel bal|xeesaayu der bu woyof
	⛹🏼;nit kuy bondeel bal: xeesaayu der bu xeereer;bal|nit kuy bondeel bal|xeesaayu der bu xeereer
	⛹🏽;nit kuy bondeel bal: xeesaayu der bu yam;bal|nit kuy bondeel bal|xeesaayu der bu yam
	⛹🏾;nit kuy bondeel bal: xeesaayu der bu xawa ñuul;bal|nit kuy bondeel bal|xeesaayu der bu xawa ñuul
	⛹🏿;nit kuy bondeel bal: xeesaayu der bu ñuul;bal|nit kuy bondeel bal|xeesaayu der bu ñuul
⛹️‍♂️;góor guy bondeel bal;bal|góor|góor guy bondeel bal
	⛹🏻‍♂️;góor guy bondeel bal: xeesaayu der bu woyof;bal|góor|góor guy bondeel bal|xeesaayu der bu woyof
	⛹🏼‍♂️;góor guy bondeel bal: xeesaayu der bu xeereer;bal|góor|góor guy bondeel bal|xeesaayu der bu xeereer
	⛹🏽‍♂️;góor guy bondeel bal: xeesaayu der bu yam;bal|góor|góor guy bondeel bal|xeesaayu der bu yam
	⛹🏾‍♂️;góor guy bondeel bal: xeesaayu der bu xawa ñuul;bal|góor|góor guy bondeel bal|xeesaayu der bu xawa ñuul
	⛹🏿‍♂️;góor guy bondeel bal: xeesaayu der bu ñuul;bal|góor|góor guy bondeel bal|xeesaayu der bu ñuul
⛹️‍♀️;jigéen juy bondeel bal;bal|jigéen|jigéen juy bondeel bal
	⛹🏻‍♀️;jigéen juy bondeel bal: xeesaayu der bu woyof;bal|jigéen|jigéen juy bondeel bal|xeesaayu der bu woyof
	⛹🏼‍♀️;jigéen juy bondeel bal: xeesaayu der bu xeereer;bal|jigéen|jigéen juy bondeel bal|xeesaayu der bu xeereer
	⛹🏽‍♀️;jigéen juy bondeel bal: xeesaayu der bu yam;bal|jigéen|jigéen juy bondeel bal|xeesaayu der bu yam
	⛹🏾‍♀️;jigéen juy bondeel bal: xeesaayu der bu xawa ñuul;bal|jigéen|jigéen juy bondeel bal|xeesaayu der bu xawa ñuul
	⛹🏿‍♀️;jigéen juy bondeel bal: xeesaayu der bu ñuul;bal|jigéen|jigéen juy bondeel bal|xeesaayu der bu ñuul
🏋️;nit kuy yëkkati lu diis;lu diis|nit kuy yëkkati lu diis|yëkkatikat
	🏋🏻;nit kuy yëkkati lu diis: xeesaayu der bu woyof;lu diis|nit kuy yëkkati lu diis|xeesaayu der bu woyof|yëkkatikat
	🏋🏼;nit kuy yëkkati lu diis: xeesaayu der bu xeereer;lu diis|nit kuy yëkkati lu diis|xeesaayu der bu xeereer|yëkkatikat
	🏋🏽;nit kuy yëkkati lu diis: xeesaayu der bu yam;lu diis|nit kuy yëkkati lu diis|xeesaayu der bu yam|yëkkatikat
	🏋🏾;nit kuy yëkkati lu diis: xeesaayu der bu xawa ñuul;lu diis|nit kuy yëkkati lu diis|xeesaayu der bu xawa ñuul|yëkkatikat
	🏋🏿;nit kuy yëkkati lu diis: xeesaayu der bu ñuul;lu diis|nit kuy yëkkati lu diis|xeesaayu der bu ñuul|yëkkatikat
🏋️‍♂️;góor guy yëkkati lu diis;góor|góor guy yëkkati lu diis|yëkkatikatu lu diis
	🏋🏻‍♂️;góor guy yëkkati lu diis: xeesaayu der bu woyof;góor|góor guy yëkkati lu diis|xeesaayu der bu woyof|yëkkatikatu lu diis
	🏋🏼‍♂️;góor guy yëkkati lu diis: xeesaayu der bu xeereer;góor|góor guy yëkkati lu diis|xeesaayu der bu xeereer|yëkkatikatu lu diis
	🏋🏽‍♂️;góor guy yëkkati lu diis: xeesaayu der bu yam;góor|góor guy yëkkati lu diis|xeesaayu der bu yam|yëkkatikatu lu diis
	🏋🏾‍♂️;góor guy yëkkati lu diis: xeesaayu der bu xawa ñuul;góor|góor guy yëkkati lu diis|xeesaayu der bu xawa ñuul|yëkkatikatu lu diis
	🏋🏿‍♂️;góor guy yëkkati lu diis: xeesaayu der bu ñuul;góor|góor guy yëkkati lu diis|xeesaayu der bu ñuul|yëkkatikatu lu diis
🏋️‍♀️;jigéen juy yëkkati lu diis;jigéen|jigéen juy yëkkati lu diis|yëkkatikatu lu diis
	🏋🏻‍♀️;jigéen juy yëkkati lu diis: xeesaayu der bu woyof;jigéen|jigéen juy yëkkati lu diis|xeesaayu der bu woyof|yëkkatikatu lu diis
	🏋🏼‍♀️;jigéen juy yëkkati lu diis: xeesaayu der bu xeereer;jigéen|jigéen juy yëkkati lu diis|xeesaayu der bu xeereer|yëkkatikatu lu diis
	🏋🏽‍♀️;jigéen juy yëkkati lu diis: xeesaayu der bu yam;jigéen|jigéen juy yëkkati lu diis|xeesaayu der bu yam|yëkkatikatu lu diis
	🏋🏾‍♀️;jigéen juy yëkkati lu diis: xeesaayu der bu xawa ñuul;jigéen|jigéen juy yëkkati lu diis|xeesaayu der bu xawa ñuul|yëkkatikatu lu diis
	🏋🏿‍♀️;jigéen juy yëkkati lu diis: xeesaayu der bu ñuul;jigéen|jigéen juy yëkkati lu diis|xeesaayu der bu ñuul|yëkkatikatu lu diis
🚴;nit kuy dawal welo;dawal welo|dawalkatu welo|nit kuy dawal welo|welo
	🚴🏻;nit kuy dawal welo: xeesaayu der bu woyof;dawal welo|dawalkatu welo|nit kuy dawal welo|welo|xeesaayu der bu woyof
	🚴🏼;nit kuy dawal welo: xeesaayu der bu xeereer;dawal welo|dawalkatu welo|nit kuy dawal welo|welo|xeesaayu der bu xeereer
	🚴🏽;nit kuy dawal welo: xeesaayu der bu yam;dawal welo|dawalkatu welo|nit kuy dawal welo|welo|xeesaayu der bu yam
	🚴🏾;nit kuy dawal welo: xeesaayu der bu xawa ñuul;dawal welo|dawalkatu welo|nit kuy dawal welo|welo|xeesaayu der bu xawa ñuul
	🚴🏿;nit kuy dawal welo: xeesaayu der bu ñuul;dawal welo|dawalkatu welo|nit kuy dawal welo|welo|xeesaayu der bu ñuul
🚴‍♂️;góor guy dawal welo;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo
	🚴🏻‍♂️;góor guy dawal welo: xeesaayu der bu woyof;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo|xeesaayu der bu woyof
	🚴🏼‍♂️;góor guy dawal welo: xeesaayu der bu xeereer;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo|xeesaayu der bu xeereer
	🚴🏽‍♂️;góor guy dawal welo: xeesaayu der bu yam;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo|xeesaayu der bu yam
	🚴🏾‍♂️;góor guy dawal welo: xeesaayu der bu xawa ñuul;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo|xeesaayu der bu xawa ñuul
	🚴🏿‍♂️;góor guy dawal welo: xeesaayu der bu ñuul;dawal welo|dawalkatu welo|góor|góor guy dawal welo|welo|xeesaayu der bu ñuul
🚴‍♀️;jigéen juy dawal welo;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo
	🚴🏻‍♀️;jigéen juy dawal welo: xeesaayu der bu woyof;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo|xeesaayu der bu woyof
	🚴🏼‍♀️;jigéen juy dawal welo: xeesaayu der bu xeereer;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo|xeesaayu der bu xeereer
	🚴🏽‍♀️;jigéen juy dawal welo: xeesaayu der bu yam;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo|xeesaayu der bu yam
	🚴🏾‍♀️;jigéen juy dawal welo: xeesaayu der bu xawa ñuul;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo|xeesaayu der bu xawa ñuul
	🚴🏿‍♀️;jigéen juy dawal welo: xeesaayu der bu ñuul;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo|welo|xeesaayu der bu ñuul
🚵;nit kuy dawal vtt;dawalkatu welo|montaañ|nit kuy dawal vtt|welo
	🚵🏻;nit kuy dawal vtt: xeesaayu der bu woyof;dawalkatu welo|montaañ|nit kuy dawal vtt|welo|xeesaayu der bu woyof
	🚵🏼;nit kuy dawal vtt: xeesaayu der bu xeereer;dawalkatu welo|montaañ|nit kuy dawal vtt|welo|xeesaayu der bu xeereer
	🚵🏽;nit kuy dawal vtt: xeesaayu der bu yam;dawalkatu welo|montaañ|nit kuy dawal vtt|welo|xeesaayu der bu yam
	🚵🏾;nit kuy dawal vtt: xeesaayu der bu xawa ñuul;dawalkatu welo|montaañ|nit kuy dawal vtt|welo|xeesaayu der bu xawa ñuul
	🚵🏿;nit kuy dawal vtt: xeesaayu der bu ñuul;dawalkatu welo|montaañ|nit kuy dawal vtt|welo|xeesaayu der bu ñuul
🚵‍♂️;góor guy dawal welo ci montaañ;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo
	🚵🏻‍♂️;góor guy dawal welo ci montaañ: xeesaayu der bu woyof;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu woyof
	🚵🏼‍♂️;góor guy dawal welo ci montaañ: xeesaayu der bu xeereer;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu xeereer
	🚵🏽‍♂️;góor guy dawal welo ci montaañ: xeesaayu der bu yam;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu yam
	🚵🏾‍♂️;góor guy dawal welo ci montaañ: xeesaayu der bu xawa ñuul;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu xawa ñuul
	🚵🏿‍♂️;góor guy dawal welo ci montaañ: xeesaayu der bu ñuul;dawalkatu welo|góor|góor guy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu ñuul
🚵‍♀️;jigéen juy dawal welo ci montaañ;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo
	🚵🏻‍♀️;jigéen juy dawal welo ci montaañ: xeesaayu der bu woyof;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu woyof
	🚵🏼‍♀️;jigéen juy dawal welo ci montaañ: xeesaayu der bu xeereer;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu xeereer
	🚵🏽‍♀️;jigéen juy dawal welo ci montaañ: xeesaayu der bu yam;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu yam
	🚵🏾‍♀️;jigéen juy dawal welo ci montaañ: xeesaayu der bu xawa ñuul;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu xawa ñuul
	🚵🏿‍♀️;jigéen juy dawal welo ci montaañ: xeesaayu der bu ñuul;dawal welo|dawalkatu welo|jigéen|jigéen juy dawal welo ci montaañ|montaañ|welo|xeesaayu der bu ñuul
🤸;nit ñuy ànd bërëŋu;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet
	🤸🏻;nit ñuy ànd bërëŋu: xeesaayu der bu woyof;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet|xeesaayu der bu woyof
	🤸🏼;nit ñuy ànd bërëŋu: xeesaayu der bu xeereer;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet|xeesaayu der bu xeereer
	🤸🏽;nit ñuy ànd bërëŋu: xeesaayu der bu yam;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet|xeesaayu der bu yam
	🤸🏾;nit ñuy ànd bërëŋu: xeesaayu der bu xawa ñuul;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet|xeesaayu der bu xawa ñuul
	🤸🏿;nit ñuy ànd bërëŋu: xeesaayu der bu ñuul;jimnastik|nit ñuy ànd bërëŋu|pëno-sareet|xeesaayu der bu ñuul
🤸‍♂️;góor guy pëno-sareet;góor|góor guy pëno-sareet|jimnastik|pëno-sareet
	🤸🏻‍♂️;góor guy pëno-sareet: xeesaayu der bu woyof;góor|góor guy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu woyof
	🤸🏼‍♂️;góor guy pëno-sareet: xeesaayu der bu xeereer;góor|góor guy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu xeereer
	🤸🏽‍♂️;góor guy pëno-sareet: xeesaayu der bu yam;góor|góor guy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu yam
	🤸🏾‍♂️;góor guy pëno-sareet: xeesaayu der bu xawa ñuul;góor|góor guy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu xawa ñuul
	🤸🏿‍♂️;góor guy pëno-sareet: xeesaayu der bu ñuul;góor|góor guy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu ñuul
🤸‍♀️;jigéen juy pëno-sareet;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet
	🤸🏻‍♀️;jigéen juy pëno-sareet: xeesaayu der bu woyof;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu woyof
	🤸🏼‍♀️;jigéen juy pëno-sareet: xeesaayu der bu xeereer;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu xeereer
	🤸🏽‍♀️;jigéen juy pëno-sareet: xeesaayu der bu yam;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu yam
	🤸🏾‍♀️;jigéen juy pëno-sareet: xeesaayu der bu xawa ñuul;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu xawa ñuul
	🤸🏿‍♀️;jigéen juy pëno-sareet: xeesaayu der bu ñuul;jigéen|jigéen juy pëno-sareet|jimnastik|pëno-sareet|xeesaayu der bu ñuul
🤼;nit ñuy bëre;bëre|bërekat|nit ñuy bëre
	🤼🏻;nit ñuy bëre: xeesaayu der bu woyof;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof
	🤼🏼;nit ñuy bëre: xeesaayu der bu xeereer;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xeereer
	🤼🏽;nit ñuy bëre: xeesaayu der bu yam;bëre|bërekat|nit ñuy bëre|xeesaayu der bu yam
	🤼🏾;nit ñuy bëre: xeesaayu der bu xawa ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xawa ñuul
	🤼🏿;nit ñuy bëre: xeesaayu der bu ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul
🤼‍♂️;góor guy bëre;bëre|góor|góor guy bëre
	🤼🏻‍♂️;góor guy bëre: xeesaayu der bu woyof;bëre|góor|góor guy bëre|xeesaayu der bu woyof
	🤼🏼‍♂️;góor guy bëre: xeesaayu der bu xeereer;bëre|góor|góor guy bëre|xeesaayu der bu xeereer
	🤼🏽‍♂️;góor guy bëre: xeesaayu der bu yam;bëre|góor|góor guy bëre|xeesaayu der bu yam
	🤼🏾‍♂️;góor guy bëre: xeesaayu der bu xawa ñuul;bëre|góor|góor guy bëre|xeesaayu der bu xawa ñuul
	🤼🏿‍♂️;góor guy bëre: xeesaayu der bu ñuul;bëre|góor|góor guy bëre|xeesaayu der bu ñuul
🤼‍♀️;jigéen juy bëre;bëre|jigéen|jigéen juy bëre
	🤼🏻‍♀️;jigéen juy bëre: xeesaayu der bu woyof;bëre|jigéen|jigéen juy bëre|xeesaayu der bu woyof
	🤼🏼‍♀️;jigéen juy bëre: xeesaayu der bu xeereer;bëre|jigéen|jigéen juy bëre|xeesaayu der bu xeereer
	🤼🏽‍♀️;jigéen juy bëre: xeesaayu der bu yam;bëre|jigéen|jigéen juy bëre|xeesaayu der bu yam
	🤼🏾‍♀️;jigéen juy bëre: xeesaayu der bu xawa ñuul;bëre|jigéen|jigéen juy bëre|xeesaayu der bu xawa ñuul
	🤼🏿‍♀️;jigéen juy bëre: xeesaayu der bu ñuul;bëre|jigéen|jigéen juy bëre|xeesaayu der bu ñuul
	🧑🏻‍🫯‍🧑🏼;nit ñuy bëre: xeesaayu der bu woyof, xeesaayu der bu xeereer;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu xeereer
	🧑🏻‍🫯‍🧑🏽;nit ñuy bëre: xeesaayu der bu woyof, xeesaayu der bu yam;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu yam
	🧑🏻‍🫯‍🧑🏾;nit ñuy bëre: xeesaayu der bu woyof, xeesaayu der bu xawa ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	🧑🏻‍🫯‍🧑🏿;nit ñuy bëre: xeesaayu der bu woyof, xeesaayu der bu ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu woyof
	🧑🏼‍🫯‍🧑🏻;nit ñuy bëre: xeesaayu der bu xeereer, xeesaayu der bu woyof;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu xeereer
	🧑🏼‍🫯‍🧑🏽;nit ñuy bëre: xeesaayu der bu xeereer, xeesaayu der bu yam;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xeereer|xeesaayu der bu yam
	🧑🏼‍🫯‍🧑🏾;nit ñuy bëre: xeesaayu der bu xeereer, xeesaayu der bu xawa ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	🧑🏼‍🫯‍🧑🏿;nit ñuy bëre: xeesaayu der bu xeereer, xeesaayu der bu ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu xeereer
	🧑🏽‍🫯‍🧑🏻;nit ñuy bëre: xeesaayu der bu yam, xeesaayu der bu woyof;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu yam
	🧑🏽‍🫯‍🧑🏼;nit ñuy bëre: xeesaayu der bu yam, xeesaayu der bu xeereer;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xeereer|xeesaayu der bu yam
	🧑🏽‍🫯‍🧑🏾;nit ñuy bëre: xeesaayu der bu yam, xeesaayu der bu xawa ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	🧑🏽‍🫯‍🧑🏿;nit ñuy bëre: xeesaayu der bu yam, xeesaayu der bu ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu yam
	🧑🏾‍🫯‍🧑🏻;nit ñuy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu woyof;bëre|bërekat|nit ñuy bëre|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	🧑🏾‍🫯‍🧑🏼;nit ñuy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu xeereer;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	🧑🏾‍🫯‍🧑🏽;nit ñuy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu yam;bëre|bërekat|nit ñuy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	🧑🏾‍🫯‍🧑🏿;nit ñuy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul
	🧑🏿‍🫯‍🧑🏻;nit ñuy bëre: xeesaayu der bu ñuul, xeesaayu der bu woyof;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu woyof
	🧑🏿‍🫯‍🧑🏼;nit ñuy bëre: xeesaayu der bu ñuul, xeesaayu der bu xeereer;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu xeereer
	🧑🏿‍🫯‍🧑🏽;nit ñuy bëre: xeesaayu der bu ñuul, xeesaayu der bu yam;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu yam
	🧑🏿‍🫯‍🧑🏾;nit ñuy bëre: xeesaayu der bu ñuul, xeesaayu der bu xawa ñuul;bëre|bërekat|nit ñuy bëre|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul
	👨🏻‍🫯‍👨🏼;góor guy bëre: xeesaayu der bu woyof, xeesaayu der bu xeereer;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu xeereer
	👨🏻‍🫯‍👨🏽;góor guy bëre: xeesaayu der bu woyof, xeesaayu der bu yam;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu yam
	👨🏻‍🫯‍👨🏾;góor guy bëre: xeesaayu der bu woyof, xeesaayu der bu xawa ñuul;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	👨🏻‍🫯‍👨🏿;góor guy bëre: xeesaayu der bu woyof, xeesaayu der bu ñuul;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu woyof
	👨🏼‍🫯‍👨🏻;góor guy bëre: xeesaayu der bu xeereer, xeesaayu der bu woyof;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu xeereer
	👨🏼‍🫯‍👨🏽;góor guy bëre: xeesaayu der bu xeereer, xeesaayu der bu yam;bëre|góor|góor guy bëre|xeesaayu der bu xeereer|xeesaayu der bu yam
	👨🏼‍🫯‍👨🏾;góor guy bëre: xeesaayu der bu xeereer, xeesaayu der bu xawa ñuul;bëre|góor|góor guy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	👨🏼‍🫯‍👨🏿;góor guy bëre: xeesaayu der bu xeereer, xeesaayu der bu ñuul;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu xeereer
	👨🏽‍🫯‍👨🏻;góor guy bëre: xeesaayu der bu yam, xeesaayu der bu woyof;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu yam
	👨🏽‍🫯‍👨🏼;góor guy bëre: xeesaayu der bu yam, xeesaayu der bu xeereer;bëre|góor|góor guy bëre|xeesaayu der bu xeereer|xeesaayu der bu yam
	👨🏽‍🫯‍👨🏾;góor guy bëre: xeesaayu der bu yam, xeesaayu der bu xawa ñuul;bëre|góor|góor guy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	👨🏽‍🫯‍👨🏿;góor guy bëre: xeesaayu der bu yam, xeesaayu der bu ñuul;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu yam
	👨🏾‍🫯‍👨🏻;góor guy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu woyof;bëre|góor|góor guy bëre|xeesaayu der bu woyof|xeesaayu der bu xawa ñuul
	👨🏾‍🫯‍👨🏼;góor guy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu xeereer;bëre|góor|góor guy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu xeereer
	👨🏾‍🫯‍👨🏽;góor guy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu yam;bëre|góor|góor guy bëre|xeesaayu der bu xawa ñuul|xeesaayu der bu yam
	👨🏾‍🫯‍👨🏿;góor guy bëre: xeesaayu der bu xawa ñuul, xeesaayu der bu ñuul;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul
	👨🏿‍🫯‍👨🏻;góor guy bëre: xeesaayu der bu ñuul, xeesaayu der bu woyof;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu woyof
	👨🏿‍🫯‍👨🏼;góor guy bëre: xeesaayu der bu ñuul, xeesaayu der bu xeereer;bëre|góor|góor guy bëre|xeesaayu der bu ñuul|xeesaayu der bu xeereer
