# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
👁️‍🗨️;bët ci rëddu-bind-wax;bët|bët ci rëddu-bind-wax|rëddu-bind-wax|seede
🗨️;bulu bind waxu càmmoñ;bulu bind waxu càmmoñ|jalog|kàddu
🗯️;ndijoor mer bul;bul|dof|mànq|mer|ndijoor mer bul
💭;rëddu bind xalaat;bul|mànq|rëddu bind xalaat|reelu|xalaat
💤;zzz;nelaw|reelu|zzz

[people_body]
👋;tàllal loxo;buy tàllal|loxo|tàllal
	👋🏻;tàllal loxo: xeesaayu der bu woyof;buy tàllal|loxo|tàllal|xeesaayu der bu woyof
	👋🏼;tàllal loxo: xeesaayu der bu xeereer;buy tàllal|loxo|tàllal|xeesaayu der bu xeereer
	👋🏽;tàllal loxo: xeesaayu der bu yam;buy tàllal|loxo|tàllal|xeesaayu der bu yam
	👋🏾;tàllal loxo: xeesaayu der bu xawa ñuul;buy tàllal|loxo|tàllal|xeesaayu der bu xawa ñuul
	👋🏿;tàllal loxo: xeesaayu der bu ñuul;buy tàllal|loxo|tàllal|xeesaayu der bu ñuul
🤚;ginaawu loxo bu jog;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog
	🤚🏻;ginaawu loxo bu jog: xeesaayu der bu woyof;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog|xeesaayu der bu woyof
	🤚🏼;ginaawu loxo bu jog: xeesaayu der bu xeereer;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog|xeesaayu der bu xeereer
	🤚🏽;ginaawu loxo bu jog: xeesaayu der bu yam;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog|xeesaayu der bu yam
	🤚🏾;ginaawu loxo bu jog: xeesaayu der bu xawa ñuul;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog|xeesaayu der bu xawa ñuul
	🤚🏿;ginaawu loxo bu jog: xeesaayu der bu ñuul;buñ yëkkati|ginaaw loxo|ginaawu loxo bu jog|xeesaayu der bu ñuul
🖐️;buñ yëkkati loxo ak baaraam yuñ tàllal;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal
	🖐🏻;buñ yëkkati loxo ak baaraam yuñ tàllal: xeesaayu der bu woyof;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal|xeesaayu der bu woyof
	🖐🏼;buñ yëkkati loxo ak baaraam yuñ tàllal: xeesaayu der bu xeereer;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal|xeesaayu der bu xeereer
	🖐🏽;buñ yëkkati loxo ak baaraam yuñ tàllal: xeesaayu der bu yam;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal|xeesaayu der bu yam
	🖐🏾;buñ yëkkati loxo ak baaraam yuñ tàllal: xeesaayu der bu xawa ñuul;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal|xeesaayu der bu xawa ñuul
	🖐🏿;buñ yëkkati loxo ak baaraam yuñ tàllal: xeesaayu der bu ñuul;baaraam|buñ yëkkati loxo ak baaraam yuñ tàllal|loxo|tàllal|xeesaayu der bu ñuul
✋;loxo bu jog;loxo|loxo bu jog
	✋🏻;loxo bu jog: xeesaayu der bu woyof;loxo|loxo bu jog|xeesaayu der bu woyof
	✋🏼;loxo bu jog: xeesaayu der bu xeereer;loxo|loxo bu jog|xeesaayu der bu xeereer
	✋🏽;loxo bu jog: xeesaayu der bu yam;loxo|loxo bu jog|xeesaayu der bu yam
	✋🏾;loxo bu jog: xeesaayu der bu xawa ñuul;loxo|loxo bu jog|xeesaayu der bu xawa ñuul
	✋🏿;loxo bu jog: xeesaayu der bu ñuul;loxo|loxo bu jog|xeesaayu der bu ñuul
🖖;loxo xaajale ñeenti baaraam;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa
	🖖🏻;loxo xaajale ñeenti baaraam: xeesaayu der bu woyof;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa|xeesaayu der bu woyof
	🖖🏼;loxo xaajale ñeenti baaraam: xeesaayu der bu xeereer;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa|xeesaayu der bu xeereer
	🖖🏽;loxo xaajale ñeenti baaraam: xeesaayu der bu yam;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa|xeesaayu der bu yam
	🖖🏾;loxo xaajale ñeenti baaraam: xeesaayu der bu xawa ñuul;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa|xeesaayu der bu xawa ñuul
	🖖🏿;loxo xaajale ñeenti baaraam: xeesaayu der bu ñuul;baaraam|ferñet|loxo|loxo xaajale ñeenti baaraam|wolkaa|xeesaayu der bu ñuul
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;laxo waaw-kay;laxo waaw-kay|loxo|waaw-kay
	👌🏻;laxo waaw-kay: xeesaayu der bu woyof;laxo waaw-kay|loxo|waaw-kay|xeesaayu der bu woyof
	👌🏼;laxo waaw-kay: xeesaayu der bu xeereer;laxo waaw-kay|loxo|waaw-kay|xeesaayu der bu xeereer
	👌🏽;laxo waaw-kay: xeesaayu der bu yam;laxo waaw-kay|loxo|waaw-kay|xeesaayu der bu yam
	👌🏾;laxo waaw-kay: xeesaayu der bu xawa ñuul;laxo waaw-kay|loxo|waaw-kay|xeesaayu der bu xawa ñuul
