# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
🏈;American Football;American Football|amerikanesch|Ball|Fussball
🏉;Rugby;Ball|Fussball|Rugby
🎾;Tennis;Ball|Rackett|Tennis
🥏;;
🎳;Bowling;Bowling|Kugel|Spill
🏏;Cricketmatch;Ball|Cricketmatch|Match|Schléier|Spill
🏑;Feldhockey;Ball|Feld|Feldhockey|Hockey|Match|Schléier|Spill
🏒;Äishockey;Äis|Äishockey|Hockey|Match|Puck|Schléier|Spill
🥍;;
🏓;Pingpong;Ball|Dëschtennis|Match|Pingpong|Rackett|Schléier|Spill
🏸;Badminton;Badminton|Fiederball|Match|Rackett|Spill|Volant
🥊;Boxhändchen;Boxen|Boxhändchen|Händchen
🥋;Kampfsportstenue;Judo|Kampfsport|Kampfsportstenue|Karate|Taekwondo|Tenue
🥅;Goalnetz;Goal|Goalnetz|Netz
⛳;Golflach mat Fändel;Golf|Golflach mat Fändel|Lach
⛸️;Schlittschong;Äis|Schlittschong
🎣;Fëscheraangel;Aangel|Fësch|Fëscheraangel
🤿;;
🎽;Laftricot;lafen|Laftricot|Schärp|Sport|Tricot
🎿;Skier;Schnéi|Ski|Skier
🛷;Schlitt;Schlitt
🥌;Curling-Steen;Curling-Steen|Spill|Steen
🎯;an d’Mëtt getraff;an d’Mëtt getraff|Dart|Match|Mëtt|Spill|treffen|Volltreffer|Zilscheif
🪀;;
🪁;;
🔫;Pistoul;Pistoul|Revolver|Utensil|Waff
🎱;Billardkugel;8|8-Ball|aacht|Billardkugel|Billiard|Kugel|Spill
🔮;Kristallkugel;Fantasie|Kristall|Kristallkugel|Kugel|Mäerchen|Utensil|Zukunft
🪄;;
🎮;Videospill;Controller|Manette|Spill|Videospill
🕹️;Joystick;Joystick|Spill|Videospill
🎰;Spillautomat;Automat|Spill|Spillautomat
🎲;Spillwierfel;Spill|Spillwierfel|Wierfel|wierfelen
🧩;;
🧸;;
🪅;;
🪩;;
🪆;;
♠️;Schëppen;Kaart|Schëppen|Spill
♥️;Häerzer;Häerzer|Kaart|Spill
♦️;Rauten;Kaart|Rauten|Spill
♣️;Kräizer;Kaart|Kräizer|Spill
♟️;;
🃏;Joker;Jocker|Joker|Kaart|Spill
🀄;Rouden Draach (Mahjong);Mahjong|Rouden Draach (Mahjong)|rout|Spill
🎴;Spillkaarte mat Blummen;Blumm|japanesch|Kaart|Spill|spillen|Spillkaarte mat Blummen
🎭;duerstellend Konscht;duerstellend|Konscht|Mask|Theater
🖼️;agerummt Bild;agerummt Bild|Bild|Konscht|Musée|Rumm|Tableau
🎨;Faarfpalett;Bild|Faarfpalett|Konscht|Musée|Palett|Tableau
🧵;;
🪡;;
🧶;;
🪢;;

[objects]
👓;Brëll;A|Brëll|Kleedung
🕶️;Sonnebrëll;A|Brëll|däischter|Sonnebrëll
🥽;;
🥼;;
🦺;;
👔;Krawatt;Kleedung|Krawatt
👕;T-Shirt;Hiem|Kleedung|T-Shirt
👖;Jeans;Box|Jeans|Kleedung
🧣;Schal;Hals|Schal
🧤;Händchen;Hand|Händchen
🧥;Mantel;Jackett|Mantel
🧦;Strëmp;Collant|Strëmp
👗;Rack;Kleedung|Rack
👘;Kimono;Kimono|Kleedung
🥻;;
🩱;;
🩲;;
🩳;;
👙;Bikini;Bikini|Kleedung|schwammen
👚;Fraekleedung;Fra|Fraekleedung|Kleedung
🪭;;
👛;Portmonni;Geld|Kleedung|Portmonni|Suen
👜;Posch;Kleedung|Portmonni|Posch
👝;Clutch;Clutch|Kleedung|Posch
🛍️;Akafstuten;akafen|Akafstuten|Hotel|Shopping|Tut
🎒;Schoulsak;Posch|Schoul|Schoulsak
🩴;;
👞;Männerschong;Kleedung|Mann|Männerschong|Schong
👟;Lafschong;Kleedung|Lafschong|Schong|Sport|Turnschlappen
🥾;;
🥿;;
👠;Tallekeschong;Fra|Kleedung|Schong|Tallek|Tallekeschong
👡;Fraesandal;Fra|Fraesandal|Kleedung|Sandal|Schong
🩰;;
👢;Fraestiwwel;Fra|Fraestiwwel|Kleedung|Schong|Stiwwel
🪮;;
👑;Kroun;Kinnek|Kinnigin|Kleedung|Kroun
👒;Fraenhutt;Fra|Fraenhutt|Hutt|Kleedung
🎩;Zilinder;héich|Hutt|Kleedung|Zilinder
🎓;Diplomiwwerreechungshutt;Diplomiwwerreechung|Diplomiwwerreechungshutt|Feier|Hutt|Kap|Kleedung
🧢;Kap mat Bild;Baseballkap|Kap mat Bild
🪖;;
⛑️;Rettungsdéngscht;Gesiicht|Hëllef|Helm|Hutt|Kräiz|Rettungsdéngscht
📿;Rousekranz;Gebiet|Ketten|Kleedung|Kranz|Pärelen|Relioun|Rousekranz
💄;Lëppestëft;Kosmetik|Lëppestëft|Schmink
💍;Rank;Diamant|Rank
💎;Diamant;Diamant|Juwel|Steen
🔇;Lautsprecher op lautlos;keen Toun|lautlos|Lautsprecher|Lautsprecher op lautlos|roueg
🔈;Lautsprecher op lues agestallt;Lautsprecher op lues agestallt|lues
🔉;Lautsprecher op mëttel agestallt;Lautsprecher op mëttel agestallt|mëttel
🔊;Lautsprecher op haart agestallt;haart|Lautsprecher op haart agestallt
📢;Lautsprecher;ëffentlech Adress|haart|Lautsprecher
📣;Megafon;Megafon|ufeierend
📯;Posttroter;Post|Posttroter|Troter
🔔;Klack;Klack|Schell
🔕;duerchgestrache Klack;duerchgestrach|duerchgestrache Klack|keen Toun|Klack|lautlos|neen|net|roueg|verbueden
🎼;Partitioun;Musek|Partitioun
🎵;Museksnout;Musek|Museksnout|Nout
🎶;Museksnouten;Musek|Museksnouten|Nout|Nouten
🎙️;Studiosmikro;Mikro|Musek|Studio|Studiosmikro
🎚️;Reegler;Musek|Niveau|Reegler
🎛️;Steierungsknäppercher;Knäppercher|Musek|Steierung|Steierungsknäppercher
🎤;Mikro;Karaoke|Mikro
🎧;Kopfhörer;Kopfhörer
📻;Radio;Radio|Video
🎷;Saxofon;Instrument|Musek|Sax|Saxofon
🎺;Trompett;Instrument|Musek|Trompett
🪊;;
🪗;;
🎸;Gittar;Gittar|Instrument|Musek
🎹;Keyboard;Instrument|Keyboard|Musek|Piano
🎻;Gei;Gei|Instrument|Musek
🪕;;
🥁;Trommel;Bengelen|Musek|Trommel
🪘;;
🪇;;
🪈;;
🪉;;
📱;Handy;Funk|Handy|Mobil|Telefon
📲;Handy mat feil;empfänken|Feil|Funk|Handy|Handy mat feil|Mobil|Telefon|Uruff
☎️;Telefon;Telefon
📞;Telefonshörer;Hörer|Telefon|Telefonshörer
📟;Pager;Pager
📠;Fax;Fax
🔋;Batterie;Batterie
🪫;;
🔌;Stecker;elektresch|Stecker|Stroum
💻;Laptop;Computer|Laptop|PC|perséinlech
🖥️;Desktopcomputer;Computer|Desktop|Desktopcomputer
🖨️;Drécker;Computer|Drécker
⌨️;Tastatur;Computer|Tastatur
🖱️;Computermaus;Computer|Computermaus
🖲️;Trackball;Computer|Trackball
💽;Minidisk;Computer|Disk|Minidisk|optesch
💾;Diskett;Computer|Disk|Diskett
💿;CD;CD|Computer|Disk|optesch
📀;DVD;Blu-ray|Computer|Disk|DVD|optesch
🧮;;
🎥;Kamera;Film|Kamera|Kino
🎞️;Filmklappen;Film|Filmklappen|Kino|Klappen
📽️;Filmprojekter;Film|Filmprojekter|Kino|Projekter|Video
🎬;Filmklapp;Film|Filmklapp|Klapp
📺;Fernseh;Fernseh|TV|Video
📷;Fotoapparat;Fotoapparat|Video
📸;Fotoapparat mat Blëtz;Blëtz|Flash|Fotoapparat|Fotoapparat mat Blëtz|Kamera|Video
📹;Videokamera;Kamera|Video|Videokamera
📼;Videokassett;Kassett|VHS|Video|Videokassett
🔍;no lénks geriicht Lupp;Glas|Lupp|no lénks geriicht Lupp|sichen|Utensil
🔎;no riets geriicht Lupp;Glas|Lupp|no riets geriicht Lupp|sichen|Utensil
🕯️;Käerz;Käerz|Luucht
💡;Bir;Bir|Comic|elektresch|Iddi|Liicht|Luucht
🔦;Täscheluucht;Apparat|elektresch|Luucht|Täsch|Täscheluucht
🏮;roude Lampion;Bar|Lampion|Lanter|Luucht|roude Lampion|rout
🪔;;
📔;dekoréierten Notizblock;Buch|Deckel|dekoréiert|dekoréierten Notizblock|Notizblock
📕;zouent Buch;Buch|zou|zouent Buch
📖;oppent Buch;Buch|oppen|oppent Buch
📗;gréngt Buch;Buch|gréng|gréngt Buch
📘;blot Buch;blo|blot Buch|Buch
📙;oranget Buch;Buch|orange|oranget Buch
📚;Bicher;Bicher|Buch
📓;Notizblock;Notizblock
📒;Haaptbuch;Haaptbuch|Notizblock
📃;opgerullte Säit;Dokument|Kréngel|opgerullt|opgerullte Säit|Säit
📜;Schrëftrullo;Pabeier|Schrëftrullo
📄;bedréckt Säit;bedréckt Säit|Dokument|Säit
📰;Zeitung;Neiegkeeten|Pabeier|Zeitung
🗞️;opgerullt Zeitung;gerullt|Neiegkeeten|opgerullt Zeitung|Pabeier|Zeitung
📑;Lieszeechestickeren;Lieszeechen|Lieszeechestickeren|Markéierung|Stickeren|Zeechen
🔖;Lieszeechen;Lieszeechen|Zeechen
🏷️;Etikett;Etikett
🪙;;
💰;Geldsak;Dollar|Geld|Geldsak|Sak|Suen
🪎;;
💴;Yen;Bank|Geld|Geldschäin|Rechnung|Schäin|Suen|Währung|Yen
💵;Dollar;Bank|Dollar|Geld|Geldschäin|Rechnung|Schäin|Suen|Währung
💶;Euro;Bank|Euro|Geld|Geldschäin|Rechnung|Schäin|Suen|Währung
💷;Pound;Bank|Geld|Geldschäin|Pound|Rechnung|Schäin|Suen|Währung
💸;Geldschäiner mat Flilleken;Bank|Dollar|fléien|Flilleken|Geld|Geldschäin|Geldschäiner mat Flilleken|Rechnung|Schäin|Suen
💳;Kreditkaart;Bank|Geld|Kaart|Kredit|Kreditkaart|Suen
🧾;;
💹;steigende Coursdiagramm mat Yen;Bank|Cours|Diagramm|Geld|Maart|Marché|Steierung|steigen|steigend|steigende Coursdiagramm mat Yen|Suen|Tendenz|Währung|Yen
✉️;Enveloppe;Bréif|E-Mail|Enveloppe
📧;E-Mail;Bréif|E-Mail|Post
📨;antreffende Bréif;antreffend|antreffende Bréif|Bréif|E-Mail|emailen|empfänken|Enveloppe|Post
📩;Enveloppe mat Feil;Bréif|E-Mail|emailen|Enveloppe|Enveloppe mat Feil|erausgoend|Feil|no ënnen|Post|schécken
📤;Fach fir erausgoend Post;Boîte|Bréif|erausgoend|Fach|Fach fir erausgoend Post|Post|schécken
📥;Fach fir erakommend Post;Boîte|Bréif|empfänken|Fach|Fach fir erakommend Post|Inbox|Post
📦;Pak;Këscht|Pak
📫;zoue Bréifkëscht mat Fändel no uewen;Bréifboîte|Bréifkëscht|Post|zou|zoue Bréifkëscht mat Fändel no uewen
📪;zoue Bréifkëscht mat Fändel no ënnen;Bréifboîte|Bréifkëscht|no ënnen|Post|zou|zoue Bréifkëscht mat Fändel no ënnen
📬;oppe Bréifkëscht mat Fändel no uewen;Bréifboîte|Bréifkëscht|oppe Bréifkëscht mat Fändel no uewen|oppen|Post
📭;oppe Bréifkëscht mat Fändel no ënnen;Bréifboîte|Bréifkëscht|no ënnen|oppe Bréifkëscht mat Fändel no ënnen|oppen|Post
📮;Bréifboîte;Bréifboîte|Bréifkëscht|Post
🗳️;Urn mat Stëmmziedel;Këscht|Urn|Urn mat Stëmmziedel
✏️;Bläistëft;Bläistëft
✒️;schwaarz Fieder;Bic|Fieder|schwaarz Fieder|Spëtz
🖋️;Füllfieder;Bic|Füllfieder
🖊️;Bic;Bic
🖌️;Pinsel;molen|Pinsel
🖍️;Faarf;Faarf
📝;Memo;Bläistëft|Memo
💼;Aktekoffer;Aktekoffer
📁;Fichiersdossier;Dossier|Fichier|Fichiersdossier
📂;oppene Fichiersdossier;Dossier|Fichier|oppen|oppene Fichiersdossier
🗂️;Intercalairen;Index|Intercalairen|Kaart
📅;Kalenner;Datum|Kalenner
📆;Ofräisskalenner;Kalenner|Ofräisskalenner
🗒️;Réngelchersnotizblock;Block|Notiz|Réngelcher|Réngelchersnotizblock
🗓️;Réngelcherskalenner;Block|Kalenner|Réngelcher|Réngelcherskalenner
📇;Indexkaart;Index|Indexkaart|Kaart|Rolodex
📈;steigenden Diagramm;Diagramm|Grafik|steigend|steigenden Diagramm|Steigerung|Tendenz
📉;senkenden Diagramm;Diagramm|Grafik|senkend|senkenden Diagramm|Tendenz
📊;Balkendiagramm;Balken|Balkendiagramm|Diagramm|Grafik
📋;Notizbriet;Notizbriet
📌;Punaise;Punaise
📍;ronn Punaise;Punaise|ronn Punaise
📎;Bürosklamer;Bürosklamer
🖇️;verbonne Bürosklameren;Bürosklamer|verbonne Bürosklameren|verbonnen
📏;Lineal;Lineal|riicht
📐;Zeechendräieck;Dräieck|Lineal|Zeechen|Zeechendräieck
✂️;Schéier;Handwierksgeschir|Schéier|schneiden
🗃️;Fichierskëscht;Fichier|Fichierskëscht|Kaart|Këscht
🗄️;Fichiersschaf;Fichier|Fichiersschaf|klasséieren|Schaf
🗑️;Dreckskëscht;Dreckskëscht
🔒;zouent Schlass;zou|zouent Schlass
🔓;oppent Schlass;entspären|oppen|oppent Schlass|Schlass|zou
🔏;zouent Schlass mat Bic;Bic|Fieder|privat|Schlass|Tënt|zou|zouent Schlass mat Bic
🔐;zouent Schlass mat Schlëssel;Schlass|Schlëssel|sécher|zou|zouent Schlass mat Schlëssel
🔑;Schlëssel;Passwuert|Schlass|Schlëssel
🗝️;ale Schlëssel;al|ale Schlëssel|Hiwäis|Schlass|Schlëssel
🔨;Hummer;Handwierksgeschir|Hummer
🪓;;
⛏️;Piosch;Grouf|Handwierksgeschir|Piosch
⚒️;Hummer a Piosch;Handwierksgeschir|Hummer|Hummer a Piosch|Piosch
🛠️;Hummer a Schrauweschlëssel;Handwierksgeschir|Hummer|Hummer a Schrauweschlëssel|Schrauwenzéier|Schrauweschlëssel
🗡️;Dolch;Dolch|Messer|Waff
⚔️;gekräizt Schwäerter;gekräizt|Schwäerter|Waff
💣;Bomm;Bomm|Comic
🪃;;
🏹;Bou mat Feiler;Bou|Bou mat Feiler|Bouschéissen|Bouschéisser|Feil|Schütze|Stärzeechen|Utensil|Waff
🛡️;Schëld;Schëld|Waff
🪚;;
🔧;Schrauweschlëssel;Handwierksgeschir|Schrauwenzéier|Schrauweschlëssel
🪛;;
🔩;Mudder a Schrauf;Handwierksgeschir|Mudder|Mudder a Schrauf|Schrauf
⚙️;Zännrad;Handwierksgeschir|Zännrad
🗜️;Schraufstack;Handwierksgeschir|Kompresser|Schraufstack
⚖️;Wo;Apparat|Gewiicht|Gläichgewiicht|Justiz|Riichter|Stärzeechen|Wo
🦯;;
🔗;Glidd;Glidd
⛓️‍💥;;
⛓️;Ketten;Ketten
🪝;;
🧰;;
🧲;;
🪜;;
🪏;;
⚗️;Alembique;Alembique|Chimie|Handwierksgeschir
🧪;;
🧫;;
🧬;;
🔬;Mikroskop;Apparat|Mikroskop|Wëssenschaft
🔭;Teleskop;Apparat|Teleskop|Wëssenschaft
📡;Satellittenantenn;Antenn|Satellitt|Satellittenantenn|Teller
💉;Sprëtz;Dokter|krank|Medezin|Nol|Sprëtz|Utensil
🩸;;
💊;Pëll;Dokter|krank|Medezin|Pëll
🩹;;
🩼;;
🩺;;
🩻;;
🚪;Dier;Dier
🛗;;
🪞;;
🪟;;
🛏️;Bett;Bett|Hotel|schlofen
🛋️;Couche a Luucht;Couche|Couche a Luucht|Hotel|Luucht
🪑;;
🚽;Toilett;Toilett
🪠;;
🚿;Dusch;Dusch|Waasser
🛁;Buedbidden;Bidden|Buedbidden
🪤;;
🪒;;
🧴;;
🧷;;
🧹;;
🧺;;
🧻;;
🪣;;
🧼;;
🫧;;
🪥;;
🧽;;
🧯;;
🛒;Akafsweenchen;akafen|Akafsweenchen|Shopping|Weenchen
🚬;Zigarett;fëmmen|Zigarett
⚰️;Sarg;Doud|Sarg
🪦;;
⚱️;Urn;Äschen|Begriefnis|Doud|Urn
🧿;;
🪬;;
🗿;Moai-Statu;Gesiicht|Moai-Statu|Moyai|Statu
🪧;;
🪪;;

[symbols]
🏧;Bancomat;ATM|Bancomat|Bank|ophiewen
🚮;Poubelleszeechen;Dreck|Poubelle|Poubelleszeechen
🚰;Drénkwaasser;drénkbar|drénken|Drénkwaasser|Waasser
♿;Rollstullzeechen;Rollstullzeechen|Zougank
🚹;Männertoilett;Mann|Männer|Männertoilett|Toilett|WC
🚺;Fraentoilett;Fra|Fraen|Fraentoilett|Toilett|WC
🚻;Toiletten;Toilett|Toiletten|WC
🚼;Bëbeeszeechen;Bëbee|Bëbeeszeechen|wéckelen
🚾;WC-Zeechen;Toilett|Toiletten|Waasser|WC|WC-Zeechen
🛂;Passkontroll;Kontroll|Pass|Passkontroll
🛃;Douane;Douane
🛄;Gepäckausgab;Ausgab|Gepäck|Gepäckausgab
🛅;Gepäckschléissfach;Casier|Gepäck|Gepäckschléissfach|Schléissfach
⚠️;Warnung;Warnung
🚸;opgepasst Kanner;eriwwergoen|Foussgänger|Kand|opgepasst Kanner|Verkéier
⛔;keen Accès;Accès|keen|neen|net|verbueden|Verkéier
🚫;verbueden;Accès|keen|neen|verbueden
🚳;keng Vëloen;keng|keng Vëloen|neen|net|Vëlo|verbueden
🚭;Fëmme verbueden;Fëmme verbueden|fëmmen|neen|net|verbueden
🚯;keng Poubelle;keng|neen|net|Poubelle|verbueden
🚱;keen Drénkwaasser;keen|keen Drénkwaasser|net drénkbar|Waasser
🚷;Foussgänger verbueden;Foussgänger|neen|net|verbueden
📵;Handye verbueden;Funk|Handy|Handye verbueden|keen|Mobil|neen|net|Telefon|verbueden
🔞;ënner uechzéng Joer verbueden;18|Altersbeschränkung|ënner|ënner uechzéng Joer verbueden|neen|net|uechzéng|verbueden
☢️;radioaktiv;radioaktiv|Zeechen
☣️;Ëmweltgefor;Ëmweltgefor|Zeechen
⬆️;Feil no uewen;Feil|Feil no uewen|Himmelsrichtung|Norden|Richtung
↗️;Feil no uewen a riets;Feil|Feil no uewen a riets|Himmelsrichtung|Nordosten|Richtung
➡️;Feil no riets;Feil|Feil no riets|Himmelsrichtung|Osten|Richtung
↘️;Feil no ënnen a riets;Feil|Feil no ënnen a riets|Himmelsrichtung|Richtung|Südosten
⬇️;Feil no ënnen;Feil|Feil no ënnen|Himmelsrichtung|no ënnen|Richtung|Süden
↙️;Feil no ënnen a lénks;Feil|Feil no ënnen a lénks|Himmelsrichtung|Richtung|Südwesten
⬅️;Feil no lénks;Feil|Feil no lénks|Himmelsrichtung|Richtung|Westen
↖️;Feil no uewen a lénks;Feil|Feil no uewen a lénks|Himmelsrichtung|Nordwesten|Richtung
↕️;Feil no uewen an ënnen;Feil no uewen an ënnen|Feiler
↔️;Feil no lénks a riets;Feil no lénks a riets|Feiler
↩️;Rietsfeil mat Lénkskéier;Feiler|Rietsfeil mat Lénkskéier
↪️;Lénksfeil mat Rietskéier;Feiler|Lénksfeil mat Rietskéier
⤴️;Rietsfeil mat Kéier no uewen;Feiler|Rietsfeil mat Kéier no uewen
⤵️;Rietsfeil mat Kéier no ënnen;Feil|no ënnen|Rietsfeil mat Kéier no ënnen
🔃;vertikal Feiler an Zärerichtung;an Zärerichtung|Feil|opzéien|vertikal Feiler an Zärerichtung
🔄;vertikal Feiler géint Zärerichtung;a géigegesat Richtung|counterclockwise|Feil|géint Zärerichtung|vertikal Feiler géint Zärerichtung
🔙;ZERÉCK-Feil;Feil|zeréck|ZERÉCK-Feil
🔚;ENN-Feil;Enn|ENN-Feil|Feil
🔛;UN!-Feil;Feil|Markéierung|un|UN!-Feil
🔜;GESCHWËNN-Feil;Feil|geschwënn|GESCHWËNN-Feil
🔝;TOP-Feil;Feil|no uewen|Top|TOP-Feil
🛐;Gotteshaus;Gotteshaus|Relioun|Veréierung
⚛️;Atomzeechen;Atheist|Atom|Atomzeechen
🕉️;OM;Hindu|OM|Relioun
✡️;Davidstär;David|Davidstär|jiddesch|Judd|Relioun|Stär
☸️;Dharma-Rad;Buddhist|Dharma|Dharma-Rad|Rad|Relioun
☯️;Yin-Yang;Relioun|Tao|Taoist|Yang|Yin|Yin-Yang
✝️;latäinescht Kräiz;chrëschtlech|Kräiz|latäinescht Kräiz|Relioun
☦️;orthodoxt Kräiz;chrëschtlech|Kräiz|orthodoxt Kräiz|Relioun
☪️;Stär an Hallefmound;Islam|Moslem|Relioun|Stär an Hallefmound
☮️;Friddenszeechen;Fridden|Friddenszeechen
🕎;Menorah;Käerzestänner|Menorah|Relioun
🔯;sechszackege Stär mat Punkt an der Mëtt;Gléck|sechszackege Stär mat Punkt an der Mëtt|Stär
🪯;;
♈;Widder (Stärzeechen);Stärzeechen|Widder|Widder (Stärzeechen)
♉;Stéier;Ochs|Stärzeechen|Stéier
♊;Zwilling;Stärzeechen|Zwilling
♋;Kriibs (Stärzeechen);Kriibs|Kriibs (Stärzeechen)|Stärzeechen
♌;Léif;Léif|Stärzeechen
♍;Jongfra;Jongfra|Stärzeechen
♎;Wo (Stärzeechen);Geriicht|Justiz|Stärzeechen|Wo|Wo (Stärzeechen)
♏;Skorpioun (Stärzeechen);Skorpioun|Skorpioun (Stärzeechen)|Stärzeechen
♐;Schütze;Bouschéisser|Schütze|Stärzeechen
♑;Steebock;Gees|Stärzeechen|Steebock
♒;Waassermann;Stärzeechen|Träger|Waasser|Waassermann
♓;Fësch (Stärzeechen);Fësch|Fësch (Stärzeechen)|Stärzeechen
⛎;Schlaangenträger (Ophiuchus);Schlaang|Schlaangenträger|Schlaangenträger (Ophiuchus)|Stärzeechen|Träger
🔀;Zoufallslecture-Knäppchen;Feil|gekräizt|Zoufallslecture-Knäppchen
🔁;Widderhuelknäppchen;an Zärerichtung|Feil|widderhuelen|Widderhuelknäppchen
🔂;Widderhuelknäppche fir ee Lidd;an Zärerichtung|eemol|Feil|Widderhuelknäppche fir ee Lidd
▶️;Ofspillknäppchen;Dräieck|Feil|ofspillen|Ofspillknäppchen|riets
⏩;Schnellvirlafknäppchen;duebel|Feil|schnell|Schnellvirlafknäppchen|Virlaf
⏭️;Knäppche „Nächst Lidd“;Dräieck|Feil|Knäppche „Nächst Lidd“|nächst Kapitel|nächst Lidd
⏯️;Ofspill- oder Pausknäppchen;Dräieck|Feil|Ofspill- oder Pausknäppchen|ofspillen|pausen|riets
◀️;Récklafknäppchen;Dräieck|Feil|lénks|Récklaf|Récklafknäppchen
⏪;Schnellrécklafknäppchen;duebel|Feil|Récklaf|Schnellrécklafknäppchen
⏮️;Knäppchen „Lescht Lidd“;Dräieck|Feil|Knäppchen „Lescht Lidd“|viregt Kapitel|viregt Lidd
🔼;Knäppchen „No uewen“;Feil|Knäppchen|Knäppchen „No uewen“|rout
⏫;Knäppchen „Séier no uewen“;duebel|Feil|Knäppchen „Séier no uewen“
🔽;Knäppchen „No ënnen“;Feil|Knäppchen|Knäppchen „No ënnen“|no ënnen|rout
⏬;Knäppchen „Séier no ënnen“;duebel|Feil|Knäppchen „Séier no ënnen“|no ënnen
⏸️;Pausknäppchen;duebel|Paus|Pausknäppchen|Stréch|vertikal
⏹️;Stoppknäppchen;Quadrat|Stop|Stoppknäppchen
⏺️;Opnamknäppchen;Krees|ophuelen|Opnamknäppchen
⏏️;Auswerfknäppchen;auswerfen|Auswerfknäppchen
🎦;Kino;Film|Kamera|Kino
🔅;Dimmerknäppchen;dimmen|Dimmerknäppchen|Hellegkeet|niddereg
🔆;Ophellknäppchen;hell|Hellegkeet|Ophellknäppchen
📶;Empfangbalken;Balken|Empfang|Empfangbalken|Funk|Handy|Mobil|Signal|Telefon
🛜;;
📳;Vibratiounsmodus;Funk|Handy|Mobil|Modus|Telefon|Vibratioun|Vibratiounsmodus
📴;Handy aus;aus|Funk|Handy|Mobil|Telefon
♀️;weiblecht Zeechen;Fra|weiblecht Zeechen
♂️;männlecht Zeechen;Mann|männlecht Zeechen
⚧️;;
✖️;fettgedrécktent Multiplikatiounszeechen;fettgedrécktent Multiplikatiounszeechen|Multiplikatioun|multiplizéieren|ofbriechen|x
➕;fettgedrécktent Pluszeechen;fettgedrécktent Pluszeechen|Mathematik|Plus
➖;fettgedrécktent Minuszeechen;fettgedrécktent Minuszeechen|Mathematik|Minus
➗;fettgedrécktent Divisiounszeechen;Divisioun|fettgedrécktent Divisiounszeechen|Mathematik
🟰;;
♾️;;
‼️;duebelt Ausruffzeechen;Ausruff|duebelt Ausruffzeechen|Interpunktioun|Zeechen
⁉️;Ausrufffragezeechen;Ausruff|Ausrufffragezeechen|Fragezeechen|Fro|Interpunktioun|Zeechen
❓;Fragezeechen;Fragezeechen|Fro|Interpunktioun|Zeechen
❔;wäisst Fragezeechen;Fro|Interpunktioun|Kontur|wäisst Fragezeechen|Zeechen
❕;wäisst Ausruffzeechen;Ausruff|Interpunktioun|Kontur|wäisst Ausruffzeechen|Zeechen
❗;Ausruffzeechen;Ausruff|Ausruffzeechen|Interpunktioun|Zeechen
〰️;gewellte Stréch;gewellt|gewellte Stréch|Interpunktioun|Stréch
💱;Wiesselcours;Bank|Geld|Suen|Währung|Wiesselcours
💲;déckt Dollarzeechen;déckt Dollarzeechen|Dollar|Geld|Suen|Währung
⚕️;medezinescht Symbol;Asklepios|Medezin|medezinescht Symbol|Personal
♻️;Recycling-Zeechen;Recycling-Zeechen|recyléieren
⚜️;Lilie;Lilie
🔱;Dräizack;Anker|Dräizack|Handwierksgeschir|Ofzeechen|Schëff
📛;Nummschëld;Numm|Nummschëld|Schëld
🔰;Ufängerzeechen (Japan);Blat|giel|gréng|japanesch|Ufänger|Ufängerzeechen (Japan)|Wopen
⭕;groussen décke Krees;groussen décke Krees|Krees|o
✅;fettgedréckte wäisse Kreepchen;fettgedréckte wäisse Kreepchen|Kreepchen|Krop
☑️;Urn mat Kreepchen;Këscht|Kreepchen|Krop|Urn|Urn mat Kreepchen
✔️;fettgedréckte Kreepchen;fettgedréckte Kreepchen|Kreepchen|Krop
❌;Kräizzeechen;Kräizzeechen|Multiplikatioun|multiplizéieren|ofbriechen|x|Zeechen
❎;X-Knäppchen;Quadrat|X-Knäppchen|Zeechen
➰;Schleef;Kréngel|Schleef
➿;duebel Schleef;duebel|Kréngel|Schleef
〽️;Deelzeechen;deelen|Deelzeechen|Zeechen
✳️;aachtzackege Stärchen;aachtzackege Stärchen|Asterisk
✴️;aachtzackege Stär;aachtzackege Stär|Stär
❇️;Fonken;Fonken
©️;Copyright;Copyright
®️;agedroen;agedroen
™️;Markenzeechen;Markenzeechen|TM|Trademark|Zeechen
🫟;;
#️⃣;;
*️⃣;;
0️⃣;;0|keycap|null
1️⃣;;1|eent|keycap
2️⃣;;2|keycap|zwee
3️⃣;;3|dräi|keycap
4️⃣;;4|keycap|véier
5️⃣;;5|fënnef|keycap
6️⃣;;6|keycap|sechs
7️⃣;;7|keycap|siwen
8️⃣;;8|aacht|keycap
9️⃣;;9|keycap|néng
🔟;;
🔠;Groussbuschtawen (Latäin);ABCD|Buschtawen|Eingab|grouss|Groussbuschtawen (Latäin)|latäin
🔡;Klengbuschtawen (Latäin);abcd|Buschtawen|Eingab|kleng|Klengbuschtawen (Latäin)|latäin
🔢;Zueleneingab;1234|Eingab|Zuelen|Zueleneingab
🔣;Symbolereingab;〒♪&amp;%|Eingab|Symbolereingab
🔤;Buschtaweneingab (Latäin);abc|Alphabet|Buschtawen|Buschtaweneingab (Latäin)|Eingab|latäin
🅰️;A-Knäppchen (Bluttgrupp);A|A-Knäppchen (Bluttgrupp)|Bluttgrupp
🆎;AB-Knäppchen (Bluttgrupp);AB|AB-Knäppchen (Bluttgrupp)|Bluttgrupp
