# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	🧗🏽‍♂️;indoda enyukayo: ithoni yesikhumba esiphakathi;indoda enyukayo|ithoni yesikhumba esiphakathi|umntu onobuvhule bokunyuka
	🧗🏾‍♂️;indoda enyukayo: ithoni yesikhumba esiphakathi mnyama;indoda enyukayo|ithoni yesikhumba esiphakathi mnyama|umntu onobuvhule bokunyuka
	🧗🏿‍♂️;indoda enyukayo: ithoni yesikhumba emnyama;indoda enyukayo|ithoni yesikhumba emnyama|umntu onobuvhule bokunyuka
🧗‍♀️;ibhinqa elinyukayo;ibhinqa elinyukayo|umntu onobuvhule bokunyuka
	🧗🏻‍♀️;ibhinqa elinyukayo: ithoni yesikhumba esikhanyayo;ibhinqa elinyukayo|ithoni yesikhumba esikhanyayo|umntu onobuvhule bokunyuka
	🧗🏼‍♀️;ibhinqa elinyukayo: ithoni yesikhumba esikhanyayo phakathi;ibhinqa elinyukayo|ithoni yesikhumba esikhanyayo phakathi|umntu onobuvhule bokunyuka
	🧗🏽‍♀️;ibhinqa elinyukayo: ithoni yesikhumba esiphakathi;ibhinqa elinyukayo|ithoni yesikhumba esiphakathi|umntu onobuvhule bokunyuka
	🧗🏾‍♀️;ibhinqa elinyukayo: ithoni yesikhumba esiphakathi mnyama;ibhinqa elinyukayo|ithoni yesikhumba esiphakathi mnyama|umntu onobuvhule bokunyuka
	🧗🏿‍♀️;ibhinqa elinyukayo: ithoni yesikhumba emnyama;ibhinqa elinyukayo|ithoni yesikhumba emnyama|umntu onobuvhule bokunyuka
🤺;umntu olwa ngesabile;ikrele|ukulwa ngesabile|umntu olwa ngesabile
🏇;ihashe elikumdyarho;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|umdyarho
	🏇🏻;ihashe elikumdyarho: ithoni yesikhumba esikhanyayo;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|ithoni yesikhumba esikhanyayo|umdyarho
	🏇🏼;ihashe elikumdyarho: ithoni yesikhumba esikhanyayo phakathi;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|ithoni yesikhumba esikhanyayo phakathi|umdyarho
	🏇🏽;ihashe elikumdyarho: ithoni yesikhumba esiphakathi;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|ithoni yesikhumba esiphakathi|umdyarho
	🏇🏾;ihashe elikumdyarho: ithoni yesikhumba esiphakathi mnyama;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|ithoni yesikhumba esiphakathi mnyama|umdyarho
	🏇🏿;ihashe elikumdyarho: ithoni yesikhumba emnyama;i-jockey|ihashe|ihashe elikumdyarho|ihashe lomdyarho|ithoni yesikhumba emnyama|umdyarho
⛷️;umntu otyibilika kwikhephu;i-ski|ikhephu|umntu otyibilika kwikhephu
🏂;umtyibilizi kwikhephu;i-ski|ikhephu|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
	🏂🏻;umtyibilizi kwikhephu: ithoni yesikhumba esikhanyayo;i-ski|ikhephu|ithoni yesikhumba esikhanyayo|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
	🏂🏼;umtyibilizi kwikhephu: ithoni yesikhumba esikhanyayo phakathi;i-ski|ikhephu|ithoni yesikhumba esikhanyayo phakathi|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
	🏂🏽;umtyibilizi kwikhephu: ithoni yesikhumba esiphakathi;i-ski|ikhephu|ithoni yesikhumba esiphakathi|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
	🏂🏾;umtyibilizi kwikhephu: ithoni yesikhumba esiphakathi mnyama;i-ski|ikhephu|ithoni yesikhumba esiphakathi mnyama|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
	🏂🏿;umtyibilizi kwikhephu: ithoni yesikhumba emnyama;i-ski|ikhephu|ithoni yesikhumba emnyama|ukutyibiliza kwikhephu|umtyibilizi kwikhephu
🏌️;umntu odlala igalufa;ibhola|igalufa|umntu odlala igalufa
	🏌🏻;umntu odlala igalufa: ithoni yesikhumba esikhanyayo;ibhola|igalufa|ithoni yesikhumba esikhanyayo|umntu odlala igalufa
	🏌🏼;umntu odlala igalufa: ithoni yesikhumba esikhanyayo phakathi;ibhola|igalufa|ithoni yesikhumba esikhanyayo phakathi|umntu odlala igalufa
	🏌🏽;umntu odlala igalufa: ithoni yesikhumba esiphakathi;ibhola|igalufa|ithoni yesikhumba esiphakathi|umntu odlala igalufa
	🏌🏾;umntu odlala igalufa: ithoni yesikhumba esiphakathi mnyama;ibhola|igalufa|ithoni yesikhumba esiphakathi mnyama|umntu odlala igalufa
	🏌🏿;umntu odlala igalufa: ithoni yesikhumba emnyama;ibhola|igalufa|ithoni yesikhumba emnyama|umntu odlala igalufa
🏌️‍♂️;indoda edlala igalufa;igalufa|indoda|indoda edlala igalufa
	🏌🏻‍♂️;indoda edlala igalufa: ithoni yesikhumba esikhanyayo;igalufa|indoda|indoda edlala igalufa|ithoni yesikhumba esikhanyayo
	🏌🏼‍♂️;indoda edlala igalufa: ithoni yesikhumba esikhanyayo phakathi;igalufa|indoda|indoda edlala igalufa|ithoni yesikhumba esikhanyayo phakathi
	🏌🏽‍♂️;indoda edlala igalufa: ithoni yesikhumba esiphakathi;igalufa|indoda|indoda edlala igalufa|ithoni yesikhumba esiphakathi
	🏌🏾‍♂️;indoda edlala igalufa: ithoni yesikhumba esiphakathi mnyama;igalufa|indoda|indoda edlala igalufa|ithoni yesikhumba esiphakathi mnyama
	🏌🏿‍♂️;indoda edlala igalufa: ithoni yesikhumba emnyama;igalufa|indoda|indoda edlala igalufa|ithoni yesikhumba emnyama
🏌️‍♀️;ibhinqa elidlala igalufa;ibhinqa|ibhinqa elidlala igalufa|igalufa
	🏌🏻‍♀️;ibhinqa elidlala igalufa: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elidlala igalufa|igalufa|ithoni yesikhumba esikhanyayo
	🏌🏼‍♀️;ibhinqa elidlala igalufa: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elidlala igalufa|igalufa|ithoni yesikhumba esikhanyayo phakathi
	🏌🏽‍♀️;ibhinqa elidlala igalufa: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elidlala igalufa|igalufa|ithoni yesikhumba esiphakathi
	🏌🏾‍♀️;ibhinqa elidlala igalufa: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elidlala igalufa|igalufa|ithoni yesikhumba esiphakathi mnyama
	🏌🏿‍♀️;ibhinqa elidlala igalufa: ithoni yesikhumba emnyama;ibhinqa|ibhinqa elidlala igalufa|igalufa|ithoni yesikhumba emnyama
🏄;umntu otyibiliza phezu kwamaza;ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
	🏄🏻;umntu otyibiliza phezu kwamaza: ithoni yesikhumba esikhanyayo;ithoni yesikhumba esikhanyayo|ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
	🏄🏼;umntu otyibiliza phezu kwamaza: ithoni yesikhumba esikhanyayo phakathi;ithoni yesikhumba esikhanyayo phakathi|ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
	🏄🏽;umntu otyibiliza phezu kwamaza: ithoni yesikhumba esiphakathi;ithoni yesikhumba esiphakathi|ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
	🏄🏾;umntu otyibiliza phezu kwamaza: ithoni yesikhumba esiphakathi mnyama;ithoni yesikhumba esiphakathi mnyama|ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
	🏄🏿;umntu otyibiliza phezu kwamaza: ithoni yesikhumba emnyama;ithoni yesikhumba emnyama|ukutyibiliza emanzini|umntu otyibiliza phezu kwamaza
🏄‍♂️;indoda etyibiliza emanzini;indoda|indoda etyibiliza emanzini|ukutyibiliza emanzini
	🏄🏻‍♂️;indoda etyibiliza emanzini: ithoni yesikhumba esikhanyayo;indoda|indoda etyibiliza emanzini|ithoni yesikhumba esikhanyayo|ukutyibiliza emanzini
	🏄🏼‍♂️;indoda etyibiliza emanzini: ithoni yesikhumba esikhanyayo phakathi;indoda|indoda etyibiliza emanzini|ithoni yesikhumba esikhanyayo phakathi|ukutyibiliza emanzini
	🏄🏽‍♂️;indoda etyibiliza emanzini: ithoni yesikhumba esiphakathi;indoda|indoda etyibiliza emanzini|ithoni yesikhumba esiphakathi|ukutyibiliza emanzini
	🏄🏾‍♂️;indoda etyibiliza emanzini: ithoni yesikhumba esiphakathi mnyama;indoda|indoda etyibiliza emanzini|ithoni yesikhumba esiphakathi mnyama|ukutyibiliza emanzini
	🏄🏿‍♂️;indoda etyibiliza emanzini: ithoni yesikhumba emnyama;indoda|indoda etyibiliza emanzini|ithoni yesikhumba emnyama|ukutyibiliza emanzini
🏄‍♀️;ibhinqa elityibiliza emanzini;ibhinqa|ibhinqa elityibiliza emanzini|ukutyibiliza emanzini
	🏄🏻‍♀️;ibhinqa elityibiliza emanzini: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elityibiliza emanzini|ithoni yesikhumba esikhanyayo|ukutyibiliza emanzini
	🏄🏼‍♀️;ibhinqa elityibiliza emanzini: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elityibiliza emanzini|ithoni yesikhumba esikhanyayo phakathi|ukutyibiliza emanzini
	🏄🏽‍♀️;ibhinqa elityibiliza emanzini: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elityibiliza emanzini|ithoni yesikhumba esiphakathi|ukutyibiliza emanzini
	🏄🏾‍♀️;ibhinqa elityibiliza emanzini: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elityibiliza emanzini|ithoni yesikhumba esiphakathi mnyama|ukutyibiliza emanzini
	🏄🏿‍♀️;ibhinqa elityibiliza emanzini: ithoni yesikhumba emnyama;ibhinqa|ibhinqa elityibiliza emanzini|ithoni yesikhumba emnyama|ukutyibiliza emanzini
🚣;umntu obheqa iphenyane;iphenyana|iphenyana elibheqwayo|umntu obheqa iphenyane
	🚣🏻;umntu obheqa iphenyane: ithoni yesikhumba esikhanyayo;iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo|umntu obheqa iphenyane
	🚣🏼;umntu obheqa iphenyane: ithoni yesikhumba esikhanyayo phakathi;iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo phakathi|umntu obheqa iphenyane
	🚣🏽;umntu obheqa iphenyane: ithoni yesikhumba esiphakathi;iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi|umntu obheqa iphenyane
	🚣🏾;umntu obheqa iphenyane: ithoni yesikhumba esiphakathi mnyama;iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi mnyama|umntu obheqa iphenyane
	🚣🏿;umntu obheqa iphenyane: ithoni yesikhumba emnyama;iphenyana|iphenyana elibheqwayo|ithoni yesikhumba emnyama|umntu obheqa iphenyane
🚣‍♂️;indoda ebheqa iphenyana;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo
	🚣🏻‍♂️;indoda ebheqa iphenyana: ithoni yesikhumba esikhanyayo;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo
	🚣🏼‍♂️;indoda ebheqa iphenyana: ithoni yesikhumba esikhanyayo phakathi;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo phakathi
	🚣🏽‍♂️;indoda ebheqa iphenyana: ithoni yesikhumba esiphakathi;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi
	🚣🏾‍♂️;indoda ebheqa iphenyana: ithoni yesikhumba esiphakathi mnyama;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi mnyama
	🚣🏿‍♂️;indoda ebheqa iphenyana: ithoni yesikhumba emnyama;indoda|indoda ebheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba emnyama
🚣‍♀️;ibhinqa elibheqa iphenyana;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo
	🚣🏻‍♀️;ibhinqa elibheqa iphenyana: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo
	🚣🏼‍♀️;ibhinqa elibheqa iphenyana: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esikhanyayo phakathi
	🚣🏽‍♀️;ibhinqa elibheqa iphenyana: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi
	🚣🏾‍♀️;ibhinqa elibheqa iphenyana: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba esiphakathi mnyama
	🚣🏿‍♀️;ibhinqa elibheqa iphenyana: ithoni yesikhumba emnyama;ibhinqa|ibhinqa elibheqa iphenyana|iphenyana|iphenyana elibheqwayo|ithoni yesikhumba emnyama
🏊;umntu oqubhayo;qubha|umntu oqubhayo
	🏊🏻;umntu oqubhayo: ithoni yesikhumba esikhanyayo;ithoni yesikhumba esikhanyayo|qubha|umntu oqubhayo
	🏊🏼;umntu oqubhayo: ithoni yesikhumba esikhanyayo phakathi;ithoni yesikhumba esikhanyayo phakathi|qubha|umntu oqubhayo
	🏊🏽;umntu oqubhayo: ithoni yesikhumba esiphakathi;ithoni yesikhumba esiphakathi|qubha|umntu oqubhayo
	🏊🏾;umntu oqubhayo: ithoni yesikhumba esiphakathi mnyama;ithoni yesikhumba esiphakathi mnyama|qubha|umntu oqubhayo
	🏊🏿;umntu oqubhayo: ithoni yesikhumba emnyama;ithoni yesikhumba emnyama|qubha|umntu oqubhayo
🏊‍♂️;indoda equbhayo;indoda|indoda equbhayo|qubha
	🏊🏻‍♂️;indoda equbhayo: ithoni yesikhumba esikhanyayo;indoda|indoda equbhayo|ithoni yesikhumba esikhanyayo|qubha
	🏊🏼‍♂️;indoda equbhayo: ithoni yesikhumba esikhanyayo phakathi;indoda|indoda equbhayo|ithoni yesikhumba esikhanyayo phakathi|qubha
	🏊🏽‍♂️;indoda equbhayo: ithoni yesikhumba esiphakathi;indoda|indoda equbhayo|ithoni yesikhumba esiphakathi|qubha
	🏊🏾‍♂️;indoda equbhayo: ithoni yesikhumba esiphakathi mnyama;indoda|indoda equbhayo|ithoni yesikhumba esiphakathi mnyama|qubha
	🏊🏿‍♂️;indoda equbhayo: ithoni yesikhumba emnyama;indoda|indoda equbhayo|ithoni yesikhumba emnyama|qubha
🏊‍♀️;ibhinqa eliqubhayo;ibhinqa|ibhinqa eliqubhayo|qubha
	🏊🏻‍♀️;ibhinqa eliqubhayo: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa eliqubhayo|ithoni yesikhumba esikhanyayo|qubha
	🏊🏼‍♀️;ibhinqa eliqubhayo: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa eliqubhayo|ithoni yesikhumba esikhanyayo phakathi|qubha
	🏊🏽‍♀️;ibhinqa eliqubhayo: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa eliqubhayo|ithoni yesikhumba esiphakathi|qubha
	🏊🏾‍♀️;ibhinqa eliqubhayo: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa eliqubhayo|ithoni yesikhumba esiphakathi mnyama|qubha
	🏊🏿‍♀️;ibhinqa eliqubhayo: ithoni yesikhumba emnyama;ibhinqa|ibhinqa eliqubhayo|ithoni yesikhumba emnyama|qubha
⛹️;umntu ogqampisa ibhola;ibhola|umntu ogqampisa ibhola
	⛹🏻;umntu ogqampisa ibhola: ithoni yesikhumba esikhanyayo;ibhola|ithoni yesikhumba esikhanyayo|umntu ogqampisa ibhola
	⛹🏼;umntu ogqampisa ibhola: ithoni yesikhumba esikhanyayo phakathi;ibhola|ithoni yesikhumba esikhanyayo phakathi|umntu ogqampisa ibhola
	⛹🏽;umntu ogqampisa ibhola: ithoni yesikhumba esiphakathi;ibhola|ithoni yesikhumba esiphakathi|umntu ogqampisa ibhola
	⛹🏾;umntu ogqampisa ibhola: ithoni yesikhumba esiphakathi mnyama;ibhola|ithoni yesikhumba esiphakathi mnyama|umntu ogqampisa ibhola
	⛹🏿;umntu ogqampisa ibhola: ithoni yesikhumba emnyama;ibhola|ithoni yesikhumba emnyama|umntu ogqampisa ibhola
⛹️‍♂️;indoda egqampisa ibhola;ibhola|indoda|indoda egqampisa ibhola
	⛹🏻‍♂️;indoda egqampisa ibhola: ithoni yesikhumba esikhanyayo;ibhola|indoda|indoda egqampisa ibhola|ithoni yesikhumba esikhanyayo
	⛹🏼‍♂️;indoda egqampisa ibhola: ithoni yesikhumba esikhanyayo phakathi;ibhola|indoda|indoda egqampisa ibhola|ithoni yesikhumba esikhanyayo phakathi
	⛹🏽‍♂️;indoda egqampisa ibhola: ithoni yesikhumba esiphakathi;ibhola|indoda|indoda egqampisa ibhola|ithoni yesikhumba esiphakathi
	⛹🏾‍♂️;indoda egqampisa ibhola: ithoni yesikhumba esiphakathi mnyama;ibhola|indoda|indoda egqampisa ibhola|ithoni yesikhumba esiphakathi mnyama
	⛹🏿‍♂️;indoda egqampisa ibhola: ithoni yesikhumba emnyama;ibhola|indoda|indoda egqampisa ibhola|ithoni yesikhumba emnyama
⛹️‍♀️;ibhinqa eligqampisa ibhola;ibhinqa|ibhinqa eligqampisa ibhola|ibhola
	⛹🏻‍♀️;ibhinqa eligqampisa ibhola: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa eligqampisa ibhola|ibhola|ithoni yesikhumba esikhanyayo
	⛹🏼‍♀️;ibhinqa eligqampisa ibhola: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa eligqampisa ibhola|ibhola|ithoni yesikhumba esikhanyayo phakathi
	⛹🏽‍♀️;ibhinqa eligqampisa ibhola: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa eligqampisa ibhola|ibhola|ithoni yesikhumba esiphakathi
	⛹🏾‍♀️;ibhinqa eligqampisa ibhola: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa eligqampisa ibhola|ibhola|ithoni yesikhumba esiphakathi mnyama
	⛹🏿‍♀️;ibhinqa eligqampisa ibhola: ithoni yesikhumba emnyama;ibhinqa|ibhinqa eligqampisa ibhola|ibhola|ithoni yesikhumba emnyama
🏋️;umntu ophakamisa iintsimbi;ubunzima|umntu ophakamisa iintsimbi|umphakamisi
	🏋🏻;umntu ophakamisa iintsimbi: ithoni yesikhumba esikhanyayo;ithoni yesikhumba esikhanyayo|ubunzima|umntu ophakamisa iintsimbi|umphakamisi
	🏋🏼;umntu ophakamisa iintsimbi: ithoni yesikhumba esikhanyayo phakathi;ithoni yesikhumba esikhanyayo phakathi|ubunzima|umntu ophakamisa iintsimbi|umphakamisi
	🏋🏽;umntu ophakamisa iintsimbi: ithoni yesikhumba esiphakathi;ithoni yesikhumba esiphakathi|ubunzima|umntu ophakamisa iintsimbi|umphakamisi
	🏋🏾;umntu ophakamisa iintsimbi: ithoni yesikhumba esiphakathi mnyama;ithoni yesikhumba esiphakathi mnyama|ubunzima|umntu ophakamisa iintsimbi|umphakamisi
	🏋🏿;umntu ophakamisa iintsimbi: ithoni yesikhumba emnyama;ithoni yesikhumba emnyama|ubunzima|umntu ophakamisa iintsimbi|umphakamisi
🏋️‍♂️;indoda ephakamisa iintsimbi;indoda|indoda ephakamisa iintsimbi|umntu ophakamisa iintsimbi
	🏋🏻‍♂️;indoda ephakamisa iintsimbi: ithoni yesikhumba esikhanyayo;indoda|indoda ephakamisa iintsimbi|ithoni yesikhumba esikhanyayo|umntu ophakamisa iintsimbi
	🏋🏼‍♂️;indoda ephakamisa iintsimbi: ithoni yesikhumba esikhanyayo phakathi;indoda|indoda ephakamisa iintsimbi|ithoni yesikhumba esikhanyayo phakathi|umntu ophakamisa iintsimbi
	🏋🏽‍♂️;indoda ephakamisa iintsimbi: ithoni yesikhumba esiphakathi;indoda|indoda ephakamisa iintsimbi|ithoni yesikhumba esiphakathi|umntu ophakamisa iintsimbi
	🏋🏾‍♂️;indoda ephakamisa iintsimbi: ithoni yesikhumba esiphakathi mnyama;indoda|indoda ephakamisa iintsimbi|ithoni yesikhumba esiphakathi mnyama|umntu ophakamisa iintsimbi
	🏋🏿‍♂️;indoda ephakamisa iintsimbi: ithoni yesikhumba emnyama;indoda|indoda ephakamisa iintsimbi|ithoni yesikhumba emnyama|umntu ophakamisa iintsimbi
🏋️‍♀️;ibhinqa eliphakamisa iintsimbi;ibhinqa|ibhinqa eliphakamisa iintsimbi|umntu ophakamisa iintsimbi
	🏋🏻‍♀️;ibhinqa eliphakamisa iintsimbi: ithoni yesikhumba esikhanyayo;ibhinqa|ibhinqa eliphakamisa iintsimbi|ithoni yesikhumba esikhanyayo|umntu ophakamisa iintsimbi
	🏋🏼‍♀️;ibhinqa eliphakamisa iintsimbi: ithoni yesikhumba esikhanyayo phakathi;ibhinqa|ibhinqa eliphakamisa iintsimbi|ithoni yesikhumba esikhanyayo phakathi|umntu ophakamisa iintsimbi
	🏋🏽‍♀️;ibhinqa eliphakamisa iintsimbi: ithoni yesikhumba esiphakathi;ibhinqa|ibhinqa eliphakamisa iintsimbi|ithoni yesikhumba esiphakathi|umntu ophakamisa iintsimbi
	🏋🏾‍♀️;ibhinqa eliphakamisa iintsimbi: ithoni yesikhumba esiphakathi mnyama;ibhinqa|ibhinqa eliphakamisa iintsimbi|ithoni yesikhumba esiphakathi mnyama|umntu ophakamisa iintsimbi
	🏋🏿‍♀️;ibhinqa eliphakamisa iintsimbi: ithoni yesikhumba emnyama;ibhinqa|ibhinqa eliphakamisa iintsimbi|ithoni yesikhumba emnyama|umntu ophakamisa iintsimbi
🚴;umntu oqhuba ibhayisekile;ibhayisekile|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
	🚴🏻;umntu oqhuba ibhayisekile: ithoni yesikhumba esikhanyayo;ibhayisekile|ithoni yesikhumba esikhanyayo|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
	🚴🏼;umntu oqhuba ibhayisekile: ithoni yesikhumba esikhanyayo phakathi;ibhayisekile|ithoni yesikhumba esikhanyayo phakathi|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
	🚴🏽;umntu oqhuba ibhayisekile: ithoni yesikhumba esiphakathi;ibhayisekile|ithoni yesikhumba esiphakathi|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
	🚴🏾;umntu oqhuba ibhayisekile: ithoni yesikhumba esiphakathi mnyama;ibhayisekile|ithoni yesikhumba esiphakathi mnyama|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
	🚴🏿;umntu oqhuba ibhayisekile: ithoni yesikhumba emnyama;ibhayisekile|ithoni yesikhumba emnyama|ukuqhuba|umntu oqhuba ibhayisekile|umqhubi webhayisekile
🚴‍♂️;indoda eqhuba ibhayisekile;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ukuqhuba|umqhubi webhayisekile
	🚴🏻‍♂️;indoda eqhuba ibhayisekile: ithoni yesikhumba esikhanyayo;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ithoni yesikhumba esikhanyayo|ukuqhuba|umqhubi webhayisekile
	🚴🏼‍♂️;indoda eqhuba ibhayisekile: ithoni yesikhumba esikhanyayo phakathi;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ithoni yesikhumba esikhanyayo phakathi|ukuqhuba|umqhubi webhayisekile
	🚴🏽‍♂️;indoda eqhuba ibhayisekile: ithoni yesikhumba esiphakathi;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ithoni yesikhumba esiphakathi|ukuqhuba|umqhubi webhayisekile
	🚴🏾‍♂️;indoda eqhuba ibhayisekile: ithoni yesikhumba esiphakathi mnyama;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ithoni yesikhumba esiphakathi mnyama|ukuqhuba|umqhubi webhayisekile
	🚴🏿‍♂️;indoda eqhuba ibhayisekile: ithoni yesikhumba emnyama;ibhayisekile|indoda|indoda eqhuba ibhayisekile|ithoni yesikhumba emnyama|ukuqhuba|umqhubi webhayisekile
🚴‍♀️;ibhinqa eliqhuba ibhayisekile;ibhayisekile|ibhinqa|ibhinqa eliqhuba ibhayisekile|ukuqhuba|umqhubi webhayisekile
	🚴🏻‍♀️;ibhinqa eliqhuba ibhayisekile: ithoni yesikhumba esikhanyayo;ibhayisekile|ibhinqa|ibhinqa eliqhuba ibhayisekile|ithoni yesikhumba esikhanyayo|ukuqhuba|umqhubi webhayisekile
	🚴🏼‍♀️;ibhinqa eliqhuba ibhayisekile: ithoni yesikhumba esikhanyayo phakathi;ibhayisekile|ibhinqa|ibhinqa eliqhuba ibhayisekile|ithoni yesikhumba esikhanyayo phakathi|ukuqhuba|umqhubi webhayisekile
	🚴🏽‍♀️;ibhinqa eliqhuba ibhayisekile: ithoni yesikhumba esiphakathi;ibhayisekile|ibhinqa|ibhinqa eliqhuba ibhayisekile|ithoni yesikhumba esiphakathi|ukuqhuba|umqhubi webhayisekile
