# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	🖐🏽;isandla esiphakanyisiweyo esineminwe ethe saa: ithoni yesikhumba esiphakathi;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|ithoni yesikhumba esiphakathi|saa|umnwe
	🖐🏾;isandla esiphakanyisiweyo esineminwe ethe saa: ithoni yesikhumba esiphakathi mnyama;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|ithoni yesikhumba esiphakathi mnyama|saa|umnwe
	🖐🏿;isandla esiphakanyisiweyo esineminwe ethe saa: ithoni yesikhumba emnyama;isandla|isandla esiphakanyisiweyo esineminwe ethe saa|ithoni yesikhumba emnyama|saa|umnwe
✋;isandla esinyusiweyo;isandla|isandla esinyusiweyo
	✋🏻;isandla esinyusiweyo: ithoni yesikhumba esikhanyayo;isandla|isandla esinyusiweyo|ithoni yesikhumba esikhanyayo
	✋🏼;isandla esinyusiweyo: ithoni yesikhumba esikhanyayo phakathi;isandla|isandla esinyusiweyo|ithoni yesikhumba esikhanyayo phakathi
	✋🏽;isandla esinyusiweyo: ithoni yesikhumba esiphakathi;isandla|isandla esinyusiweyo|ithoni yesikhumba esiphakathi
	✋🏾;isandla esinyusiweyo: ithoni yesikhumba esiphakathi mnyama;isandla|isandla esinyusiweyo|ithoni yesikhumba esiphakathi mnyama
	✋🏿;isandla esinyusiweyo: ithoni yesikhumba emnyama;isandla|isandla esinyusiweyo|ithoni yesikhumba emnyama
🖖;umbuliso we-vulcan;i-spock|i-vulcan|isandla|umbuliso we-vulcan|umnwe
	🖖🏻;umbuliso we-vulcan: ithoni yesikhumba esikhanyayo;i-spock|i-vulcan|isandla|ithoni yesikhumba esikhanyayo|umbuliso we-vulcan|umnwe
	🖖🏼;umbuliso we-vulcan: ithoni yesikhumba esikhanyayo phakathi;i-spock|i-vulcan|isandla|ithoni yesikhumba esikhanyayo phakathi|umbuliso we-vulcan|umnwe
	🖖🏽;umbuliso we-vulcan: ithoni yesikhumba esiphakathi;i-spock|i-vulcan|isandla|ithoni yesikhumba esiphakathi|umbuliso we-vulcan|umnwe
	🖖🏾;umbuliso we-vulcan: ithoni yesikhumba esiphakathi mnyama;i-spock|i-vulcan|isandla|ithoni yesikhumba esiphakathi mnyama|umbuliso we-vulcan|umnwe
	🖖🏿;umbuliso we-vulcan: ithoni yesikhumba emnyama;i-spock|i-vulcan|isandla|ithoni yesikhumba emnyama|umbuliso we-vulcan|umnwe
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;isandla esithi Kulungile;isandla|isandla esithi Kulungile|Kulungile
	👌🏻;isandla esithi Kulungile: ithoni yesikhumba esikhanyayo;isandla|isandla esithi Kulungile|ithoni yesikhumba esikhanyayo|Kulungile
	👌🏼;isandla esithi Kulungile: ithoni yesikhumba esikhanyayo phakathi;isandla|isandla esithi Kulungile|ithoni yesikhumba esikhanyayo phakathi|Kulungile
	👌🏽;isandla esithi Kulungile: ithoni yesikhumba esiphakathi;isandla|isandla esithi Kulungile|ithoni yesikhumba esiphakathi|Kulungile
	👌🏾;isandla esithi Kulungile: ithoni yesikhumba esiphakathi mnyama;isandla|isandla esithi Kulungile|ithoni yesikhumba esiphakathi mnyama|Kulungile
	👌🏿;isandla esithi Kulungile: ithoni yesikhumba emnyama;isandla|isandla esithi Kulungile|ithoni yesikhumba emnyama|Kulungile
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;isandla sempumelelo;impumelelo|isandla|isandla sempumelelo|v
	✌🏻;isandla sempumelelo: ithoni yesikhumba esikhanyayo;impumelelo|isandla|isandla sempumelelo|ithoni yesikhumba esikhanyayo|v
	✌🏼;isandla sempumelelo: ithoni yesikhumba esikhanyayo phakathi;impumelelo|isandla|isandla sempumelelo|ithoni yesikhumba esikhanyayo phakathi|v
	✌🏽;isandla sempumelelo: ithoni yesikhumba esiphakathi;impumelelo|isandla|isandla sempumelelo|ithoni yesikhumba esiphakathi|v
	✌🏾;isandla sempumelelo: ithoni yesikhumba esiphakathi mnyama;impumelelo|isandla|isandla sempumelelo|ithoni yesikhumba esiphakathi mnyama|v
	✌🏿;isandla sempumelelo: ithoni yesikhumba emnyama;impumelelo|isandla|isandla sempumelelo|ithoni yesikhumba emnyama|v
🤞;iminwe enqamlezeneyo;iminwe enqamlezeneyo|intlahla|isandla|ukunqamleza|umnwe
	🤞🏻;iminwe enqamlezeneyo: ithoni yesikhumba esikhanyayo;iminwe enqamlezeneyo|intlahla|isandla|ithoni yesikhumba esikhanyayo|ukunqamleza|umnwe
	🤞🏼;iminwe enqamlezeneyo: ithoni yesikhumba esikhanyayo phakathi;iminwe enqamlezeneyo|intlahla|isandla|ithoni yesikhumba esikhanyayo phakathi|ukunqamleza|umnwe
	🤞🏽;iminwe enqamlezeneyo: ithoni yesikhumba esiphakathi;iminwe enqamlezeneyo|intlahla|isandla|ithoni yesikhumba esiphakathi|ukunqamleza|umnwe
	🤞🏾;iminwe enqamlezeneyo: ithoni yesikhumba esiphakathi mnyama;iminwe enqamlezeneyo|intlahla|isandla|ithoni yesikhumba esiphakathi mnyama|ukunqamleza|umnwe
	🤞🏿;iminwe enqamlezeneyo: ithoni yesikhumba emnyama;iminwe enqamlezeneyo|intlahla|isandla|ithoni yesikhumba emnyama|ukunqamleza|umnwe
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;umjekulo othi ndiyakuthanda;I-ILY|isandla|umjekulo othi ndiyakuthanda
	🤟🏻;umjekulo othi ndiyakuthanda: ithoni yesikhumba esikhanyayo;I-ILY|isandla|ithoni yesikhumba esikhanyayo|umjekulo othi ndiyakuthanda
	🤟🏼;umjekulo othi ndiyakuthanda: ithoni yesikhumba esikhanyayo phakathi;I-ILY|isandla|ithoni yesikhumba esikhanyayo phakathi|umjekulo othi ndiyakuthanda
	🤟🏽;umjekulo othi ndiyakuthanda: ithoni yesikhumba esiphakathi;I-ILY|isandla|ithoni yesikhumba esiphakathi|umjekulo othi ndiyakuthanda
	🤟🏾;umjekulo othi ndiyakuthanda: ithoni yesikhumba esiphakathi mnyama;I-ILY|isandla|ithoni yesikhumba esiphakathi mnyama|umjekulo othi ndiyakuthanda
	🤟🏿;umjekulo othi ndiyakuthanda: ithoni yesikhumba emnyama;I-ILY|isandla|ithoni yesikhumba emnyama|umjekulo othi ndiyakuthanda
🤘;uphawu lweempondo;iimpondo|isandla|qhubeka|umnwe|uphawu lweempondo
