# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
	👨🏽‍🏭;tangata ngāue fale faʻuʻanga: kili melomelo;kili melomelo|tangata ngāue fale faʻuʻanga
	👨🏾‍🏭;tangata ngāue fale faʻuʻanga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ngāue fale faʻuʻanga
	👨🏿‍🏭;tangata ngāue fale faʻuʻanga: kili ʻuliʻuli;kili ʻuliʻuli|tangata ngāue fale faʻuʻanga
👩‍🏭;fefine ngāue fale faʻuʻanga;fefine ngāue fale faʻuʻanga
	👩🏻‍🏭;fefine ngāue fale faʻuʻanga: kili hinehina;fefine ngāue fale faʻuʻanga|kili hinehina
	👩🏼‍🏭;fefine ngāue fale faʻuʻanga: kili kelokelo;fefine ngāue fale faʻuʻanga|kili kelokelo
	👩🏽‍🏭;fefine ngāue fale faʻuʻanga: kili melomelo;fefine ngāue fale faʻuʻanga|kili melomelo
	👩🏾‍🏭;fefine ngāue fale faʻuʻanga: kili melomelo-ʻuliʻuli;fefine ngāue fale faʻuʻanga|kili melomelo-ʻuliʻuli
	👩🏿‍🏭;fefine ngāue fale faʻuʻanga: kili ʻuliʻuli;fefine ngāue fale faʻuʻanga|kili ʻuliʻuli
🧑‍💼;tokotaha ngāue ʻōfisi;tokotaha ngāue ʻōfisi
	🧑🏻‍💼;tokotaha ngāue ʻōfisi: kili hinehina;kili hinehina|tokotaha ngāue ʻōfisi
	🧑🏼‍💼;tokotaha ngāue ʻōfisi: kili kelokelo;kili kelokelo|tokotaha ngāue ʻōfisi
	🧑🏽‍💼;tokotaha ngāue ʻōfisi: kili melomelo;kili melomelo|tokotaha ngāue ʻōfisi
	🧑🏾‍💼;tokotaha ngāue ʻōfisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha ngāue ʻōfisi
	🧑🏿‍💼;tokotaha ngāue ʻōfisi: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha ngāue ʻōfisi
👨‍💼;tangata ngāue ʻōfisi;tangata ngāue ʻōfisi
	👨🏻‍💼;tangata ngāue ʻōfisi: kili hinehina;kili hinehina|tangata ngāue ʻōfisi
	👨🏼‍💼;tangata ngāue ʻōfisi: kili kelokelo;kili kelokelo|tangata ngāue ʻōfisi
	👨🏽‍💼;tangata ngāue ʻōfisi: kili melomelo;kili melomelo|tangata ngāue ʻōfisi
	👨🏾‍💼;tangata ngāue ʻōfisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ngāue ʻōfisi
	👨🏿‍💼;tangata ngāue ʻōfisi: kili ʻuliʻuli;kili ʻuliʻuli|tangata ngāue ʻōfisi
👩‍💼;fefine ngāue ʻōfisi;fefine ngāue ʻōfisi
	👩🏻‍💼;fefine ngāue ʻōfisi: kili hinehina;fefine ngāue ʻōfisi|kili hinehina
	👩🏼‍💼;fefine ngāue ʻōfisi: kili kelokelo;fefine ngāue ʻōfisi|kili kelokelo
	👩🏽‍💼;fefine ngāue ʻōfisi: kili melomelo;fefine ngāue ʻōfisi|kili melomelo
	👩🏾‍💼;fefine ngāue ʻōfisi: kili melomelo-ʻuliʻuli;fefine ngāue ʻōfisi|kili melomelo-ʻuliʻuli
	👩🏿‍💼;fefine ngāue ʻōfisi: kili ʻuliʻuli;fefine ngāue ʻōfisi|kili ʻuliʻuli
🧑‍🔬;tokotaha faisaienisi;tokotaha faisaienisi
	🧑🏻‍🔬;tokotaha faisaienisi: kili hinehina;kili hinehina|tokotaha faisaienisi
	🧑🏼‍🔬;tokotaha faisaienisi: kili kelokelo;kili kelokelo|tokotaha faisaienisi
	🧑🏽‍🔬;tokotaha faisaienisi: kili melomelo;kili melomelo|tokotaha faisaienisi
	🧑🏾‍🔬;tokotaha faisaienisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha faisaienisi
	🧑🏿‍🔬;tokotaha faisaienisi: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha faisaienisi
👨‍🔬;tangata faisaienisi;tangata faisaienisi
	👨🏻‍🔬;tangata faisaienisi: kili hinehina;kili hinehina|tangata faisaienisi
	👨🏼‍🔬;tangata faisaienisi: kili kelokelo;kili kelokelo|tangata faisaienisi
	👨🏽‍🔬;tangata faisaienisi: kili melomelo;kili melomelo|tangata faisaienisi
	👨🏾‍🔬;tangata faisaienisi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata faisaienisi
	👨🏿‍🔬;tangata faisaienisi: kili ʻuliʻuli;kili ʻuliʻuli|tangata faisaienisi
👩‍🔬;fefine faisaienisi;fefine faisaienisi
	👩🏻‍🔬;fefine faisaienisi: kili hinehina;fefine faisaienisi|kili hinehina
	👩🏼‍🔬;fefine faisaienisi: kili kelokelo;fefine faisaienisi|kili kelokelo
	👩🏽‍🔬;fefine faisaienisi: kili melomelo;fefine faisaienisi|kili melomelo
	👩🏾‍🔬;fefine faisaienisi: kili melomelo-ʻuliʻuli;fefine faisaienisi|kili melomelo-ʻuliʻuli
	👩🏿‍🔬;fefine faisaienisi: kili ʻuliʻuli;fefine faisaienisi|kili ʻuliʻuli
🧑‍💻;tokotaha fakatekinolosia;tokotaha fakatekinolosia
	🧑🏻‍💻;tokotaha fakatekinolosia: kili hinehina;kili hinehina|tokotaha fakatekinolosia
	🧑🏼‍💻;tokotaha fakatekinolosia: kili kelokelo;kili kelokelo|tokotaha fakatekinolosia
	🧑🏽‍💻;tokotaha fakatekinolosia: kili melomelo;kili melomelo|tokotaha fakatekinolosia
	🧑🏾‍💻;tokotaha fakatekinolosia: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha fakatekinolosia
	🧑🏿‍💻;tokotaha fakatekinolosia: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha fakatekinolosia
👨‍💻;tangata fakatekinolosia;tangata fakatekinolosia
	👨🏻‍💻;tangata fakatekinolosia: kili hinehina;kili hinehina|tangata fakatekinolosia
	👨🏼‍💻;tangata fakatekinolosia: kili kelokelo;kili kelokelo|tangata fakatekinolosia
	👨🏽‍💻;tangata fakatekinolosia: kili melomelo;kili melomelo|tangata fakatekinolosia
	👨🏾‍💻;tangata fakatekinolosia: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata fakatekinolosia
	👨🏿‍💻;tangata fakatekinolosia: kili ʻuliʻuli;kili ʻuliʻuli|tangata fakatekinolosia
👩‍💻;fefine fakatekinolosia;fefine fakatekinolosia
	👩🏻‍💻;fefine fakatekinolosia: kili hinehina;fefine fakatekinolosia|kili hinehina
	👩🏼‍💻;fefine fakatekinolosia: kili kelokelo;fefine fakatekinolosia|kili kelokelo
	👩🏽‍💻;fefine fakatekinolosia: kili melomelo;fefine fakatekinolosia|kili melomelo
	👩🏾‍💻;fefine fakatekinolosia: kili melomelo-ʻuliʻuli;fefine fakatekinolosia|kili melomelo-ʻuliʻuli
	👩🏿‍💻;fefine fakatekinolosia: kili ʻuliʻuli;fefine fakatekinolosia|kili ʻuliʻuli
🧑‍🎤;tokotaha hiva;tokotaha hiva
	🧑🏻‍🎤;tokotaha hiva: kili hinehina;kili hinehina|tokotaha hiva
	🧑🏼‍🎤;tokotaha hiva: kili kelokelo;kili kelokelo|tokotaha hiva
	🧑🏽‍🎤;tokotaha hiva: kili melomelo;kili melomelo|tokotaha hiva
	🧑🏾‍🎤;tokotaha hiva: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha hiva
	🧑🏿‍🎤;tokotaha hiva: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha hiva
👨‍🎤;tangata hiva;tangata hiva
	👨🏻‍🎤;tangata hiva: kili hinehina;kili hinehina|tangata hiva
	👨🏼‍🎤;tangata hiva: kili kelokelo;kili kelokelo|tangata hiva
	👨🏽‍🎤;tangata hiva: kili melomelo;kili melomelo|tangata hiva
	👨🏾‍🎤;tangata hiva: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata hiva
	👨🏿‍🎤;tangata hiva: kili ʻuliʻuli;kili ʻuliʻuli|tangata hiva
👩‍🎤;fefine hiva;fefine hiva
	👩🏻‍🎤;fefine hiva: kili hinehina;fefine hiva|kili hinehina
	👩🏼‍🎤;fefine hiva: kili kelokelo;fefine hiva|kili kelokelo
	👩🏽‍🎤;fefine hiva: kili melomelo;fefine hiva|kili melomelo
	👩🏾‍🎤;fefine hiva: kili melomelo-ʻuliʻuli;fefine hiva|kili melomelo-ʻuliʻuli
	👩🏿‍🎤;fefine hiva: kili ʻuliʻuli;fefine hiva|kili ʻuliʻuli
🧑‍🎨;tokotaha tā-fakatātā;tokotaha tā-fakatātā
	🧑🏻‍🎨;tokotaha tā-fakatātā: kili hinehina;kili hinehina|tokotaha tā-fakatātā
	🧑🏼‍🎨;tokotaha tā-fakatātā: kili kelokelo;kili kelokelo|tokotaha tā-fakatātā
	🧑🏽‍🎨;tokotaha tā-fakatātā: kili melomelo;kili melomelo|tokotaha tā-fakatātā
	🧑🏾‍🎨;tokotaha tā-fakatātā: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha tā-fakatātā
	🧑🏿‍🎨;tokotaha tā-fakatātā: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha tā-fakatātā
👨‍🎨;tangata tā-fakatātā;tangata tā-fakatātā
	👨🏻‍🎨;tangata tā-fakatātā: kili hinehina;kili hinehina|tangata tā-fakatātā
	👨🏼‍🎨;tangata tā-fakatātā: kili kelokelo;kili kelokelo|tangata tā-fakatātā
	👨🏽‍🎨;tangata tā-fakatātā: kili melomelo;kili melomelo|tangata tā-fakatātā
	👨🏾‍🎨;tangata tā-fakatātā: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tā-fakatātā
	👨🏿‍🎨;tangata tā-fakatātā: kili ʻuliʻuli;kili ʻuliʻuli|tangata tā-fakatātā
👩‍🎨;fefine tā-fakatātā;fefine tā-fakatātā
	👩🏻‍🎨;fefine tā-fakatātā: kili hinehina;fefine tā-fakatātā|kili hinehina
	👩🏼‍🎨;fefine tā-fakatātā: kili kelokelo;fefine tā-fakatātā|kili kelokelo
	👩🏽‍🎨;fefine tā-fakatātā: kili melomelo;fefine tā-fakatātā|kili melomelo
	👩🏾‍🎨;fefine tā-fakatātā: kili melomelo-ʻuliʻuli;fefine tā-fakatātā|kili melomelo-ʻuliʻuli
	👩🏿‍🎨;fefine tā-fakatātā: kili ʻuliʻuli;fefine tā-fakatātā|kili ʻuliʻuli
🧑‍✈️;pailate;pailate
	🧑🏻‍✈️;pailate: kili hinehina;kili hinehina|pailate
	🧑🏼‍✈️;pailate: kili kelokelo;kili kelokelo|pailate
	🧑🏽‍✈️;pailate: kili melomelo;kili melomelo|pailate
	🧑🏾‍✈️;pailate: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|pailate
	🧑🏿‍✈️;pailate: kili ʻuliʻuli;kili ʻuliʻuli|pailate
👨‍✈️;pailate tangata;pailate tangata
	👨🏻‍✈️;pailate tangata: kili hinehina;kili hinehina|pailate tangata
	👨🏼‍✈️;pailate tangata: kili kelokelo;kili kelokelo|pailate tangata
	👨🏽‍✈️;pailate tangata: kili melomelo;kili melomelo|pailate tangata
	👨🏾‍✈️;pailate tangata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|pailate tangata
	👨🏿‍✈️;pailate tangata: kili ʻuliʻuli;kili ʻuliʻuli|pailate tangata
👩‍✈️;pailate fefine;pailate fefine
	👩🏻‍✈️;pailate fefine: kili hinehina;kili hinehina|pailate fefine
	👩🏼‍✈️;pailate fefine: kili kelokelo;kili kelokelo|pailate fefine
	👩🏽‍✈️;pailate fefine: kili melomelo;kili melomelo|pailate fefine
	👩🏾‍✈️;pailate fefine: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|pailate fefine
	👩🏿‍✈️;pailate fefine: kili ʻuliʻuli;kili ʻuliʻuli|pailate fefine
🧑‍🚀;tokotaha folaufetuʻu;tokotaha folaufetuʻu
	🧑🏻‍🚀;tokotaha folaufetuʻu: kili hinehina;kili hinehina|tokotaha folaufetuʻu
	🧑🏼‍🚀;tokotaha folaufetuʻu: kili kelokelo;kili kelokelo|tokotaha folaufetuʻu
	🧑🏽‍🚀;tokotaha folaufetuʻu: kili melomelo;kili melomelo|tokotaha folaufetuʻu
	🧑🏾‍🚀;tokotaha folaufetuʻu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha folaufetuʻu
	🧑🏿‍🚀;tokotaha folaufetuʻu: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha folaufetuʻu
👨‍🚀;tama folaufetuʻu;tama folaufetuʻu
	👨🏻‍🚀;tama folaufetuʻu: kili hinehina;kili hinehina|tama folaufetuʻu
	👨🏼‍🚀;tama folaufetuʻu: kili kelokelo;kili kelokelo|tama folaufetuʻu
	👨🏽‍🚀;tama folaufetuʻu: kili melomelo;kili melomelo|tama folaufetuʻu
	👨🏾‍🚀;tama folaufetuʻu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tama folaufetuʻu
	👨🏿‍🚀;tama folaufetuʻu: kili ʻuliʻuli;kili ʻuliʻuli|tama folaufetuʻu
👩‍🚀;fefine folaufetuʻu;fefine folaufetuʻu
	👩🏻‍🚀;fefine folaufetuʻu: kili hinehina;fefine folaufetuʻu|kili hinehina
	👩🏼‍🚀;fefine folaufetuʻu: kili kelokelo;fefine folaufetuʻu|kili kelokelo
	👩🏽‍🚀;fefine folaufetuʻu: kili melomelo;fefine folaufetuʻu|kili melomelo
	👩🏾‍🚀;fefine folaufetuʻu: kili melomelo-ʻuliʻuli;fefine folaufetuʻu|kili melomelo-ʻuliʻuli
	👩🏿‍🚀;fefine folaufetuʻu: kili ʻuliʻuli;fefine folaufetuʻu|kili ʻuliʻuli
🧑‍🚒;tokotaha tāmate-afi;tokotaha tāmate-afi
	🧑🏻‍🚒;tokotaha tāmate-afi: kili hinehina;kili hinehina|tokotaha tāmate-afi
	🧑🏼‍🚒;tokotaha tāmate-afi: kili kelokelo;kili kelokelo|tokotaha tāmate-afi
	🧑🏽‍🚒;tokotaha tāmate-afi: kili melomelo;kili melomelo|tokotaha tāmate-afi
	🧑🏾‍🚒;tokotaha tāmate-afi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tokotaha tāmate-afi
	🧑🏿‍🚒;tokotaha tāmate-afi: kili ʻuliʻuli;kili ʻuliʻuli|tokotaha tāmate-afi
👨‍🚒;tangata tāmate-afi;tangata tāmate-afi
	👨🏻‍🚒;tangata tāmate-afi: kili hinehina;kili hinehina|tangata tāmate-afi
	👨🏼‍🚒;tangata tāmate-afi: kili kelokelo;kili kelokelo|tangata tāmate-afi
	👨🏽‍🚒;tangata tāmate-afi: kili melomelo;kili melomelo|tangata tāmate-afi
	👨🏾‍🚒;tangata tāmate-afi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tāmate-afi
	👨🏿‍🚒;tangata tāmate-afi: kili ʻuliʻuli;kili ʻuliʻuli|tangata tāmate-afi
👩‍🚒;fefine tāmate-afi;fefine tāmate-afi
	👩🏻‍🚒;fefine tāmate-afi: kili hinehina;fefine tāmate-afi|kili hinehina
	👩🏼‍🚒;fefine tāmate-afi: kili kelokelo;fefine tāmate-afi|kili kelokelo
	👩🏽‍🚒;fefine tāmate-afi: kili melomelo;fefine tāmate-afi|kili melomelo
	👩🏾‍🚒;fefine tāmate-afi: kili melomelo-ʻuliʻuli;fefine tāmate-afi|kili melomelo-ʻuliʻuli
	👩🏿‍🚒;fefine tāmate-afi: kili ʻuliʻuli;fefine tāmate-afi|kili ʻuliʻuli
👮;ʻofisa polisi;ʻofisa|polisi
	👮🏻;ʻofisa polisi: kili hinehina;ʻofisa|kili hinehina|polisi
	👮🏼;ʻofisa polisi: kili kelokelo;ʻofisa|kili kelokelo|polisi
	👮🏽;ʻofisa polisi: kili melomelo;ʻofisa|kili melomelo|polisi
	👮🏾;ʻofisa polisi: kili melomelo-ʻuliʻuli;ʻofisa|kili melomelo-ʻuliʻuli|polisi
	👮🏿;ʻofisa polisi: kili ʻuliʻuli;ʻofisa|kili ʻuliʻuli|polisi
👮‍♂️;ʻofisa polisi tangata;ʻofisa polisi tangata
	👮🏻‍♂️;ʻofisa polisi tangata: kili hinehina;ʻofisa polisi tangata|kili hinehina
	👮🏼‍♂️;ʻofisa polisi tangata: kili kelokelo;ʻofisa polisi tangata|kili kelokelo
	👮🏽‍♂️;ʻofisa polisi tangata: kili melomelo;ʻofisa polisi tangata|kili melomelo
	👮🏾‍♂️;ʻofisa polisi tangata: kili melomelo-ʻuliʻuli;ʻofisa polisi tangata|kili melomelo-ʻuliʻuli
	👮🏿‍♂️;ʻofisa polisi tangata: kili ʻuliʻuli;ʻofisa polisi tangata|kili ʻuliʻuli
👮‍♀️;ʻofisa polisi fefine;ʻofisa polisi fefine
	👮🏻‍♀️;ʻofisa polisi fefine: kili hinehina;ʻofisa polisi fefine|kili hinehina
	👮🏼‍♀️;ʻofisa polisi fefine: kili kelokelo;ʻofisa polisi fefine|kili kelokelo
	👮🏽‍♀️;ʻofisa polisi fefine: kili melomelo;ʻofisa polisi fefine|kili melomelo
	👮🏾‍♀️;ʻofisa polisi fefine: kili melomelo-ʻuliʻuli;ʻofisa polisi fefine|kili melomelo-ʻuliʻuli
	👮🏿‍♀️;ʻofisa polisi fefine: kili ʻuliʻuli;ʻofisa polisi fefine|kili ʻuliʻuli
🕵️;tokotaha fakatotolo;fakatotolo|ʻinisipēkita|tokotaha fakatotolo
	🕵🏻;tokotaha fakatotolo: kili hinehina;fakatotolo|ʻinisipēkita|kili hinehina|tokotaha fakatotolo
	🕵🏼;tokotaha fakatotolo: kili kelokelo;fakatotolo|ʻinisipēkita|kili kelokelo|tokotaha fakatotolo
	🕵🏽;tokotaha fakatotolo: kili melomelo;fakatotolo|ʻinisipēkita|kili melomelo|tokotaha fakatotolo
	🕵🏾;tokotaha fakatotolo: kili melomelo-ʻuliʻuli;fakatotolo|ʻinisipēkita|kili melomelo-ʻuliʻuli|tokotaha fakatotolo
	🕵🏿;tokotaha fakatotolo: kili ʻuliʻuli;fakatotolo|ʻinisipēkita|kili ʻuliʻuli|tokotaha fakatotolo
🕵️‍♂️;tangata fakatotolo;tangata fakatotolo
	🕵🏻‍♂️;tangata fakatotolo: kili hinehina;kili hinehina|tangata fakatotolo
	🕵🏼‍♂️;tangata fakatotolo: kili kelokelo;kili kelokelo|tangata fakatotolo
	🕵🏽‍♂️;tangata fakatotolo: kili melomelo;kili melomelo|tangata fakatotolo
	🕵🏾‍♂️;tangata fakatotolo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata fakatotolo
	🕵🏿‍♂️;tangata fakatotolo: kili ʻuliʻuli;kili ʻuliʻuli|tangata fakatotolo
🕵️‍♀️;fefine fakatotolo;fefine fakatotolo
	🕵🏻‍♀️;fefine fakatotolo: kili hinehina;fefine fakatotolo|kili hinehina
	🕵🏼‍♀️;fefine fakatotolo: kili kelokelo;fefine fakatotolo|kili kelokelo
	🕵🏽‍♀️;fefine fakatotolo: kili melomelo;fefine fakatotolo|kili melomelo
	🕵🏾‍♀️;fefine fakatotolo: kili melomelo-ʻuliʻuli;fefine fakatotolo|kili melomelo-ʻuliʻuli
	🕵🏿‍♀️;fefine fakatotolo: kili ʻuliʻuli;fefine fakatotolo|kili ʻuliʻuli
💂;leʻo;leʻo
	💂🏻;leʻo: kili hinehina;kili hinehina|leʻo
	💂🏼;leʻo: kili kelokelo;kili kelokelo|leʻo
	💂🏽;leʻo: kili melomelo;kili melomelo|leʻo
	💂🏾;leʻo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|leʻo
	💂🏿;leʻo: kili ʻuliʻuli;kili ʻuliʻuli|leʻo
💂‍♂️;leʻo tangata;leʻo tangata
	💂🏻‍♂️;leʻo tangata: kili hinehina;kili hinehina|leʻo tangata
	💂🏼‍♂️;leʻo tangata: kili kelokelo;kili kelokelo|leʻo tangata
	💂🏽‍♂️;leʻo tangata: kili melomelo;kili melomelo|leʻo tangata
	💂🏾‍♂️;leʻo tangata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|leʻo tangata
	💂🏿‍♂️;leʻo tangata: kili ʻuliʻuli;kili ʻuliʻuli|leʻo tangata
💂‍♀️;leʻo fefine;leʻo fefine
	💂🏻‍♀️;leʻo fefine: kili hinehina;kili hinehina|leʻo fefine
	💂🏼‍♀️;leʻo fefine: kili kelokelo;kili kelokelo|leʻo fefine
	💂🏽‍♀️;leʻo fefine: kili melomelo;kili melomelo|leʻo fefine
	💂🏾‍♀️;leʻo fefine: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|leʻo fefine
	💂🏿‍♀️;leʻo fefine: kili ʻuliʻuli;kili ʻuliʻuli|leʻo fefine
🥷;mata ninisā;mata ninisā
	🥷🏻;mata ninisā: kili hinehina;kili hinehina|mata ninisā
	🥷🏼;mata ninisā: kili kelokelo;kili kelokelo|mata ninisā
	🥷🏽;mata ninisā: kili melomelo;kili melomelo|mata ninisā
	🥷🏾;mata ninisā: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mata ninisā
	🥷🏿;mata ninisā: kili ʻuliʻuli;kili ʻuliʻuli|mata ninisā
👷;tokotaha ngāue langa;langa|ngāue|tokotaha ngāue langa
	👷🏻;tokotaha ngāue langa: kili hinehina;kili hinehina|langa|ngāue|tokotaha ngāue langa
	👷🏼;tokotaha ngāue langa: kili kelokelo;kili kelokelo|langa|ngāue|tokotaha ngāue langa
	👷🏽;tokotaha ngāue langa: kili melomelo;kili melomelo|langa|ngāue|tokotaha ngāue langa
	👷🏾;tokotaha ngāue langa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|langa|ngāue|tokotaha ngāue langa
	👷🏿;tokotaha ngāue langa: kili ʻuliʻuli;kili ʻuliʻuli|langa|ngāue|tokotaha ngāue langa
👷‍♂️;tangata ngāue langa;tangata ngāue langa
	👷🏻‍♂️;tangata ngāue langa: kili hinehina;kili hinehina|tangata ngāue langa
	👷🏼‍♂️;tangata ngāue langa: kili kelokelo;kili kelokelo|tangata ngāue langa
	👷🏽‍♂️;tangata ngāue langa: kili melomelo;kili melomelo|tangata ngāue langa
	👷🏾‍♂️;tangata ngāue langa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata ngāue langa
	👷🏿‍♂️;tangata ngāue langa: kili ʻuliʻuli;kili ʻuliʻuli|tangata ngāue langa
👷‍♀️;fefine ngāue langa;fefine ngāue langa
	👷🏻‍♀️;fefine ngāue langa: kili hinehina;fefine ngāue langa|kili hinehina
	👷🏼‍♀️;fefine ngāue langa: kili kelokelo;fefine ngāue langa|kili kelokelo
	👷🏽‍♀️;fefine ngāue langa: kili melomelo;fefine ngāue langa|kili melomelo
	👷🏾‍♀️;fefine ngāue langa: kili melomelo-ʻuliʻuli;fefine ngāue langa|kili melomelo-ʻuliʻuli
	👷🏿‍♀️;fefine ngāue langa: kili ʻuliʻuli;fefine ngāue langa|kili ʻuliʻuli
🫅;tokotaha ʻai kalauni;kalauni|tokotaha ʻai kalauni|tuʻi
	🫅🏻;tokotaha ʻai kalauni: kili hinehina;kalauni|kili hinehina|tokotaha ʻai kalauni|tuʻi
	🫅🏼;tokotaha ʻai kalauni: kili kelokelo;kalauni|kili kelokelo|tokotaha ʻai kalauni|tuʻi
	🫅🏽;tokotaha ʻai kalauni: kili melomelo;kalauni|kili melomelo|tokotaha ʻai kalauni|tuʻi
	🫅🏾;tokotaha ʻai kalauni: kili melomelo-ʻuliʻuli;kalauni|kili melomelo-ʻuliʻuli|tokotaha ʻai kalauni|tuʻi
	🫅🏿;tokotaha ʻai kalauni: kili ʻuliʻuli;kalauni|kili ʻuliʻuli|tokotaha ʻai kalauni|tuʻi
🤴;ʻalo tangata;ʻalo|pilinisi|tangata
	🤴🏻;ʻalo tangata: kili hinehina;ʻalo|kili hinehina|pilinisi|tangata
	🤴🏼;ʻalo tangata: kili kelokelo;ʻalo|kili kelokelo|pilinisi|tangata
	🤴🏽;ʻalo tangata: kili melomelo;ʻalo|kili melomelo|pilinisi|tangata
	🤴🏾;ʻalo tangata: kili melomelo-ʻuliʻuli;ʻalo|kili melomelo-ʻuliʻuli|pilinisi|tangata
	🤴🏿;ʻalo tangata: kili ʻuliʻuli;ʻalo|kili ʻuliʻuli|pilinisi|tangata
👸;ʻalo fefine;fefine|ʻalo|pilinisesi
	👸🏻;ʻalo fefine: kili hinehina;fefine|ʻalo|kili hinehina|pilinisesi
	👸🏼;ʻalo fefine: kili kelokelo;fefine|ʻalo|kili kelokelo|pilinisesi
	👸🏽;ʻalo fefine: kili melomelo;fefine|ʻalo|kili melomelo|pilinisesi
	👸🏾;ʻalo fefine: kili melomelo-ʻuliʻuli;fefine|ʻalo|kili melomelo-ʻuliʻuli|pilinisesi
	👸🏿;ʻalo fefine: kili ʻuliʻuli;fefine|ʻalo|kili ʻuliʻuli|pilinisesi
👳;tokotaha tui faʻu;ao|faʻu|tokotaha tui faʻu|tui
	👳🏻;tokotaha tui faʻu: kili hinehina;ao|faʻu|kili hinehina|tokotaha tui faʻu|tui
	👳🏼;tokotaha tui faʻu: kili kelokelo;ao|faʻu|kili kelokelo|tokotaha tui faʻu|tui
	👳🏽;tokotaha tui faʻu: kili melomelo;ao|faʻu|kili melomelo|tokotaha tui faʻu|tui
	👳🏾;tokotaha tui faʻu: kili melomelo-ʻuliʻuli;ao|faʻu|kili melomelo-ʻuliʻuli|tokotaha tui faʻu|tui
	👳🏿;tokotaha tui faʻu: kili ʻuliʻuli;ao|faʻu|kili ʻuliʻuli|tokotaha tui faʻu|tui
👳‍♂️;tangata tui faʻu;tangata tui faʻu
	👳🏻‍♂️;tangata tui faʻu: kili hinehina;kili hinehina|tangata tui faʻu
	👳🏼‍♂️;tangata tui faʻu: kili kelokelo;kili kelokelo|tangata tui faʻu
	👳🏽‍♂️;tangata tui faʻu: kili melomelo;kili melomelo|tangata tui faʻu
	👳🏾‍♂️;tangata tui faʻu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata tui faʻu
	👳🏿‍♂️;tangata tui faʻu: kili ʻuliʻuli;kili ʻuliʻuli|tangata tui faʻu
👳‍♀️;fefine tui faʻu;fefine tui faʻu
	👳🏻‍♀️;fefine tui faʻu: kili hinehina;fefine tui faʻu|kili hinehina
	👳🏼‍♀️;fefine tui faʻu: kili kelokelo;fefine tui faʻu|kili kelokelo
	👳🏽‍♀️;fefine tui faʻu: kili melomelo;fefine tui faʻu|kili melomelo
	👳🏾‍♀️;fefine tui faʻu: kili melomelo-ʻuliʻuli;fefine tui faʻu|kili melomelo-ʻuliʻuli
