# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	🙋🏼;شخص لاس اوچتوي: غنمی-روښانه پوستکۍ;اشاره|اوچت کړي|خوشاله|شخص لاس اوچتوي|غنمی-روښانه پوستکۍ|لاس
	🙋🏽;شخص لاس اوچتوي: غنم رنګه;اشاره|اوچت کړي|خوشاله|شخص لاس اوچتوي|غنم رنګه|لاس
	🙋🏾;شخص لاس اوچتوي: غنمی-تورنګه پوستکۍ;اشاره|اوچت کړي|خوشاله|شخص لاس اوچتوي|غنمی-تورنګه پوستکۍ|لاس
	🙋🏿;شخص لاس اوچتوي: تور پوستکۍ;اشاره|اوچت کړي|تور پوستکۍ|خوشاله|شخص لاس اوچتوي|لاس
🙋‍♂️;سړی لاس اوچتوي;اشاره|سړی|سړی لاس اوچتوي|لاس اوچتول
	🙋🏻‍♂️;سړی لاس اوچتوي: د روڼ پوستکي ټون;اشاره|د روڼ پوستکي ټون|سړی|سړی لاس اوچتوي|لاس اوچتول
	🙋🏼‍♂️;سړی لاس اوچتوي: غنمی-روښانه پوستکۍ;اشاره|سړی|سړی لاس اوچتوي|غنمی-روښانه پوستکۍ|لاس اوچتول
	🙋🏽‍♂️;سړی لاس اوچتوي: غنم رنګه;اشاره|سړی|سړی لاس اوچتوي|غنم رنګه|لاس اوچتول
	🙋🏾‍♂️;سړی لاس اوچتوي: غنمی-تورنګه پوستکۍ;اشاره|سړی|سړی لاس اوچتوي|غنمی-تورنګه پوستکۍ|لاس اوچتول
	🙋🏿‍♂️;سړی لاس اوچتوي: تور پوستکۍ;اشاره|تور پوستکۍ|سړی|سړی لاس اوچتوي|لاس اوچتول
🙋‍♀️;ښځه لاس اوچتوي;اشاره|ښځه|ښځه لاس اوچتوي|لاس اوچتول
	🙋🏻‍♀️;ښځه لاس اوچتوي: د روڼ پوستکي ټون;اشاره|د روڼ پوستکي ټون|ښځه|ښځه لاس اوچتوي|لاس اوچتول
	🙋🏼‍♀️;ښځه لاس اوچتوي: غنمی-روښانه پوستکۍ;اشاره|ښځه|ښځه لاس اوچتوي|غنمی-روښانه پوستکۍ|لاس اوچتول
	🙋🏽‍♀️;ښځه لاس اوچتوي: غنم رنګه;اشاره|ښځه|ښځه لاس اوچتوي|غنم رنګه|لاس اوچتول
	🙋🏾‍♀️;ښځه لاس اوچتوي: غنمی-تورنګه پوستکۍ;اشاره|ښځه|ښځه لاس اوچتوي|غنمی-تورنګه پوستکۍ|لاس اوچتول
	🙋🏿‍♀️;ښځه لاس اوچتوي: تور پوستکۍ;اشاره|تور پوستکۍ|ښځه|ښځه لاس اوچتوي|لاس اوچتول
🧏;کوڼ شخص;اورېدل|غوږ|کوڼ|کوڼ شخص|لاسرسی
	🧏🏻;کوڼ شخص: د روڼ پوستکي ټون;اورېدل|د روڼ پوستکي ټون|غوږ|کوڼ|کوڼ شخص|لاسرسی
	🧏🏼;کوڼ شخص: غنمی-روښانه پوستکۍ;اورېدل|غنمی-روښانه پوستکۍ|غوږ|کوڼ|کوڼ شخص|لاسرسی
	🧏🏽;کوڼ شخص: غنم رنګه;اورېدل|غنم رنګه|غوږ|کوڼ|کوڼ شخص|لاسرسی
	🧏🏾;کوڼ شخص: غنمی-تورنګه پوستکۍ;اورېدل|غنمی-تورنګه پوستکۍ|غوږ|کوڼ|کوڼ شخص|لاسرسی
	🧏🏿;کوڼ شخص: تور پوستکۍ;اورېدل|تور پوستکۍ|غوږ|کوڼ|کوڼ شخص|لاسرسی
🧏‍♂️;کوڼ سړی;سړی|کوڼ
	🧏🏻‍♂️;کوڼ سړی: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|کوڼ
	🧏🏼‍♂️;کوڼ سړی: غنمی-روښانه پوستکۍ;سړی|غنمی-روښانه پوستکۍ|کوڼ
	🧏🏽‍♂️;کوڼ سړی: غنم رنګه;سړی|غنم رنګه|کوڼ
	🧏🏾‍♂️;کوڼ سړی: غنمی-تورنګه پوستکۍ;سړی|غنمی-تورنګه پوستکۍ|کوڼ
	🧏🏿‍♂️;کوڼ سړی: تور پوستکۍ;تور پوستکۍ|سړی|کوڼ
🧏‍♀️;کڼه ښځه;ښځه|کڼه
	🧏🏻‍♀️;کڼه ښځه: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|کڼه
	🧏🏼‍♀️;کڼه ښځه: غنمی-روښانه پوستکۍ;ښځه|غنمی-روښانه پوستکۍ|کڼه
	🧏🏽‍♀️;کڼه ښځه: غنم رنګه;ښځه|غنم رنګه|کڼه
	🧏🏾‍♀️;کڼه ښځه: غنمی-تورنګه پوستکۍ;ښځه|غنمی-تورنګه پوستکۍ|کڼه
	🧏🏿‍♀️;کڼه ښځه: تور پوستکۍ;تور پوستکۍ|ښځه|کڼه
🙇;شخص ښکته کيږي;اشاره|بخښنه|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|معذرت
	🙇🏻;شخص ښکته کيږي: د روڼ پوستکي ټون;اشاره|بخښنه|د روڼ پوستکي ټون|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|معذرت
	🙇🏼;شخص ښکته کيږي: غنمی-روښانه پوستکۍ;اشاره|بخښنه|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|غنمی-روښانه پوستکۍ|معذرت
	🙇🏽;شخص ښکته کيږي: غنم رنګه;اشاره|بخښنه|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|غنم رنګه|معذرت
	🙇🏾;شخص ښکته کيږي: غنمی-تورنګه پوستکۍ;اشاره|بخښنه|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|غنمی-تورنګه پوستکۍ|معذرت
	🙇🏿;شخص ښکته کيږي: تور پوستکۍ;اشاره|بخښنه|تور پوستکۍ|شخص ښکته کيږي|شخص ښکته کيږې|ښکته کېدل|معذرت
🙇‍♂️;سړی ښکته کيږي;اشاره|بخښنه|سړی|سړی ښکته کيږي|ښکته کېدل|مرسته|معذرت
	🙇🏻‍♂️;سړی ښکته کيږي: د روڼ پوستکي ټون;اشاره|بخښنه|د روڼ پوستکي ټون|سړی|سړی ښکته کيږي|ښکته کېدل|مرسته|معذرت
	🙇🏼‍♂️;سړی ښکته کيږي: غنمی-روښانه پوستکۍ;اشاره|بخښنه|سړی|سړی ښکته کيږي|ښکته کېدل|غنمی-روښانه پوستکۍ|مرسته|معذرت
	🙇🏽‍♂️;سړی ښکته کيږي: غنم رنګه;اشاره|بخښنه|سړی|سړی ښکته کيږي|ښکته کېدل|غنم رنګه|مرسته|معذرت
	🙇🏾‍♂️;سړی ښکته کيږي: غنمی-تورنګه پوستکۍ;اشاره|بخښنه|سړی|سړی ښکته کيږي|ښکته کېدل|غنمی-تورنګه پوستکۍ|مرسته|معذرت
	🙇🏿‍♂️;سړی ښکته کيږي: تور پوستکۍ;اشاره|بخښنه|تور پوستکۍ|سړی|سړی ښکته کيږي|ښکته کېدل|مرسته|معذرت
🙇‍♀️;ښځه ښکته کيږې;اشاره|بخښنه|ښځه|ښځه ښکته کيږې|ښکته کېدل|معذرت
	🙇🏻‍♀️;ښځه ښکته کيږې: د روڼ پوستکي ټون;اشاره|بخښنه|د روڼ پوستکي ټون|ښځه|ښځه ښکته کيږې|ښکته کېدل|معذرت
	🙇🏼‍♀️;ښځه ښکته کيږې: غنمی-روښانه پوستکۍ;اشاره|بخښنه|ښځه|ښځه ښکته کيږې|ښکته کېدل|غنمی-روښانه پوستکۍ|معذرت
	🙇🏽‍♀️;ښځه ښکته کيږې: غنم رنګه;اشاره|بخښنه|ښځه|ښځه ښکته کيږې|ښکته کېدل|غنم رنګه|معذرت
	🙇🏾‍♀️;ښځه ښکته کيږې: غنمی-تورنګه پوستکۍ;اشاره|بخښنه|ښځه|ښځه ښکته کيږې|ښکته کېدل|غنمی-تورنګه پوستکۍ|معذرت
	🙇🏿‍♀️;ښځه ښکته کيږې: تور پوستکۍ;اشاره|بخښنه|تور پوستکۍ|ښځه|ښځه ښکته کيږې|ښکته کېدل|معذرت
🤦;شخص مخ ته لاس نيولي;بې زړه کيدل|بې يقيني|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|مخ ته لاس نيول|ورغوی
	🤦🏻;شخص مخ ته لاس نيولي: د روڼ پوستکي ټون;بې زړه کيدل|بې يقيني|د روڼ پوستکي ټون|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|مخ ته لاس نيول|ورغوی
	🤦🏼;شخص مخ ته لاس نيولي: غنمی-روښانه پوستکۍ;بې زړه کيدل|بې يقيني|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|غنمی-روښانه پوستکۍ|مخ ته لاس نيول|ورغوی
	🤦🏽;شخص مخ ته لاس نيولي: غنم رنګه;بې زړه کيدل|بې يقيني|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|غنم رنګه|مخ ته لاس نيول|ورغوی
	🤦🏾;شخص مخ ته لاس نيولي: غنمی-تورنګه پوستکۍ;بې زړه کيدل|بې يقيني|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|غنمی-تورنګه پوستکۍ|مخ ته لاس نيول|ورغوی
	🤦🏿;شخص مخ ته لاس نيولي: تور پوستکۍ;بې زړه کيدل|بې يقيني|تور پوستکۍ|شخص مخ ته لاس نيولي|شخص مخ ته لاس نيولی|مخ ته لاس نيول|ورغوی
🤦‍♂️;سړي مخ ته لاس نيولی;بې زړه کيدل|بې يقيني|سړي مخ ته لاس نيولی|سړی|مخ ته لاس نيول
	🤦🏻‍♂️;سړي مخ ته لاس نيولی: د روڼ پوستکي ټون;بې زړه کيدل|بې يقيني|د روڼ پوستکي ټون|سړي مخ ته لاس نيولی|سړی|مخ ته لاس نيول
	🤦🏼‍♂️;سړي مخ ته لاس نيولی: غنمی-روښانه پوستکۍ;بې زړه کيدل|بې يقيني|سړي مخ ته لاس نيولی|سړی|غنمی-روښانه پوستکۍ|مخ ته لاس نيول
	🤦🏽‍♂️;سړي مخ ته لاس نيولی: غنم رنګه;بې زړه کيدل|بې يقيني|سړي مخ ته لاس نيولی|سړی|غنم رنګه|مخ ته لاس نيول
	🤦🏾‍♂️;سړي مخ ته لاس نيولی: غنمی-تورنګه پوستکۍ;بې زړه کيدل|بې يقيني|سړي مخ ته لاس نيولی|سړی|غنمی-تورنګه پوستکۍ|مخ ته لاس نيول
	🤦🏿‍♂️;سړي مخ ته لاس نيولی: تور پوستکۍ;بې زړه کيدل|بې يقيني|تور پوستکۍ|سړي مخ ته لاس نيولی|سړی|مخ ته لاس نيول
🤦‍♀️;ښځې مخ ته لاس نيولی;بې زړه کيدل|بې يقيني|ښځه|ښځې مخ ته لاس نيولی|مخ ته لاس نيول
	🤦🏻‍♀️;ښځې مخ ته لاس نيولی: د روڼ پوستکي ټون;بې زړه کيدل|بې يقيني|د روڼ پوستکي ټون|ښځه|ښځې مخ ته لاس نيولی|مخ ته لاس نيول
	🤦🏼‍♀️;ښځې مخ ته لاس نيولی: غنمی-روښانه پوستکۍ;بې زړه کيدل|بې يقيني|ښځه|ښځې مخ ته لاس نيولی|غنمی-روښانه پوستکۍ|مخ ته لاس نيول
	🤦🏽‍♀️;ښځې مخ ته لاس نيولی: غنم رنګه;بې زړه کيدل|بې يقيني|ښځه|ښځې مخ ته لاس نيولی|غنم رنګه|مخ ته لاس نيول
	🤦🏾‍♀️;ښځې مخ ته لاس نيولی: غنمی-تورنګه پوستکۍ;بې زړه کيدل|بې يقيني|ښځه|ښځې مخ ته لاس نيولی|غنمی-تورنګه پوستکۍ|مخ ته لاس نيول
	🤦🏿‍♀️;ښځې مخ ته لاس نيولی: تور پوستکۍ;بې زړه کيدل|بې يقيني|تور پوستکۍ|ښځه|ښځې مخ ته لاس نيولی|مخ ته لاس نيول
🤷;شخص اوږې پورته کوي;اوږې وهل|بې توپيرتوب|شخص اوږې پورته کوي|شک|ناپوهي
	🤷🏻;شخص اوږې پورته کوي: د روڼ پوستکي ټون;اوږې وهل|بې توپيرتوب|د روڼ پوستکي ټون|شخص اوږې پورته کوي|شک|ناپوهي
	🤷🏼;شخص اوږې پورته کوي: غنمی-روښانه پوستکۍ;اوږې وهل|بې توپيرتوب|شخص اوږې پورته کوي|شک|غنمی-روښانه پوستکۍ|ناپوهي
	🤷🏽;شخص اوږې پورته کوي: غنم رنګه;اوږې وهل|بې توپيرتوب|شخص اوږې پورته کوي|شک|غنم رنګه|ناپوهي
	🤷🏾;شخص اوږې پورته کوي: غنمی-تورنګه پوستکۍ;اوږې وهل|بې توپيرتوب|شخص اوږې پورته کوي|شک|غنمی-تورنګه پوستکۍ|ناپوهي
	🤷🏿;شخص اوږې پورته کوي: تور پوستکۍ;اوږې وهل|بې توپيرتوب|تور پوستکۍ|شخص اوږې پورته کوي|شک|ناپوهي
🤷‍♂️;سړی اوږې پورته کوي;اوږې وهل|بې توپيرتوب|سړی اوږې پورته کوي|شک|ناپوهي
	🤷🏻‍♂️;سړی اوږې پورته کوي: د روڼ پوستکي ټون;اوږې وهل|بې توپيرتوب|د روڼ پوستکي ټون|سړی اوږې پورته کوي|شک|ناپوهي
	🤷🏼‍♂️;سړی اوږې پورته کوي: غنمی-روښانه پوستکۍ;اوږې وهل|بې توپيرتوب|سړی اوږې پورته کوي|شک|غنمی-روښانه پوستکۍ|ناپوهي
	🤷🏽‍♂️;سړی اوږې پورته کوي: غنم رنګه;اوږې وهل|بې توپيرتوب|سړی اوږې پورته کوي|شک|غنم رنګه|ناپوهي
	🤷🏾‍♂️;سړی اوږې پورته کوي: غنمی-تورنګه پوستکۍ;اوږې وهل|بې توپيرتوب|سړی اوږې پورته کوي|شک|غنمی-تورنګه پوستکۍ|ناپوهي
	🤷🏿‍♂️;سړی اوږې پورته کوي: تور پوستکۍ;اوږې وهل|بې توپيرتوب|تور پوستکۍ|سړی اوږې پورته کوي|شک|ناپوهي
🤷‍♀️;ښځه اوږې پورته کوي;اوږې وهل|بې توپيرتوب|شک|ښځه اوږې پورته کوي|ناپوهي
	🤷🏻‍♀️;ښځه اوږې پورته کوي: د روڼ پوستکي ټون;اوږې وهل|بې توپيرتوب|د روڼ پوستکي ټون|شک|ښځه اوږې پورته کوي|ناپوهي
	🤷🏼‍♀️;ښځه اوږې پورته کوي: غنمی-روښانه پوستکۍ;اوږې وهل|بې توپيرتوب|شک|ښځه اوږې پورته کوي|غنمی-روښانه پوستکۍ|ناپوهي
	🤷🏽‍♀️;ښځه اوږې پورته کوي: غنم رنګه;اوږې وهل|بې توپيرتوب|شک|ښځه اوږې پورته کوي|غنم رنګه|ناپوهي
	🤷🏾‍♀️;ښځه اوږې پورته کوي: غنمی-تورنګه پوستکۍ;اوږې وهل|بې توپيرتوب|شک|ښځه اوږې پورته کوي|غنمی-تورنګه پوستکۍ|ناپوهي
	🤷🏿‍♀️;ښځه اوږې پورته کوي: تور پوستکۍ;اوږې وهل|بې توپيرتوب|تور پوستکۍ|شک|ښځه اوږې پورته کوي|ناپوهي
🧑‍⚕️;روغتيايي کارمند;تهراپسټ|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|نرس
	🧑🏻‍⚕️;روغتيايي کارمند: د روڼ پوستکي ټون;تهراپسټ|د روڼ پوستکي ټون|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|نرس
	🧑🏼‍⚕️;روغتيايي کارمند: غنمی-روښانه پوستکۍ;تهراپسټ|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|غنمی-روښانه پوستکۍ|نرس
	🧑🏽‍⚕️;روغتيايي کارمند: غنم رنګه;تهراپسټ|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|غنم رنګه|نرس
	🧑🏾‍⚕️;روغتيايي کارمند: غنمی-تورنګه پوستکۍ;تهراپسټ|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|غنمی-تورنګه پوستکۍ|نرس
	🧑🏿‍⚕️;روغتيايي کارمند: تور پوستکۍ;تهراپسټ|تور پوستکۍ|ډاکټر|روغتيا ساتنه|روغتيايي کارمند|نرس
👨‍⚕️;سړی روغتيايي کارکوونکی;تهراپسټ|د روغتيا پاملرنه|ډاکټر|سړی روغتيايي کارکوونکی|نرس
	👨🏻‍⚕️;سړی روغتيايي کارکوونکی: د روڼ پوستکي ټون;تهراپسټ|د روغتيا پاملرنه|د روڼ پوستکي ټون|ډاکټر|سړی روغتيايي کارکوونکی|نرس
	👨🏼‍⚕️;سړی روغتيايي کارکوونکی: غنمی-روښانه پوستکۍ;تهراپسټ|د روغتيا پاملرنه|ډاکټر|سړی روغتيايي کارکوونکی|غنمی-روښانه پوستکۍ|نرس
	👨🏽‍⚕️;سړی روغتيايي کارکوونکی: غنم رنګه;تهراپسټ|د روغتيا پاملرنه|ډاکټر|سړی روغتيايي کارکوونکی|غنم رنګه|نرس
	👨🏾‍⚕️;سړی روغتيايي کارکوونکی: غنمی-تورنګه پوستکۍ;تهراپسټ|د روغتيا پاملرنه|ډاکټر|سړی روغتيايي کارکوونکی|غنمی-تورنګه پوستکۍ|نرس
	👨🏿‍⚕️;سړی روغتيايي کارکوونکی: تور پوستکۍ;تهراپسټ|تور پوستکۍ|د روغتيا پاملرنه|ډاکټر|سړی روغتيايي کارکوونکی|نرس
