# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	👩🏻‍🤝‍👨🏾;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏻‍🤝‍👨🏿;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏼‍🤝‍👨🏻;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👫🏼;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏼‍🤝‍👨🏽;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏼‍🤝‍👨🏾;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏼‍🤝‍👨🏿;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏽‍🤝‍👨🏻;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏽‍🤝‍👨🏼;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👫🏽;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏽‍🤝‍👨🏾;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏽‍🤝‍👨🏿;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏾‍🤝‍👨🏻;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏾‍🤝‍👨🏼;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏾‍🤝‍👨🏽;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👫🏾;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏾‍🤝‍👨🏿;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏿‍🤝‍👨🏻;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏿‍🤝‍👨🏼;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏿‍🤝‍👨🏽;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👩🏿‍🤝‍👨🏾;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
	👫🏿;ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏬᏱ|ᏗᎾᏤᎯ|ᏚᎾᏙᏯᏂᎠᎩ
👬;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👬🏻;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏻‍🤝‍👨🏼;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏻‍🤝‍👨🏽;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏻‍🤝‍👨🏾;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏻‍🤝‍👨🏿;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏼‍🤝‍👨🏻;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👬🏼;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏼‍🤝‍👨🏽;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏼‍🤝‍👨🏾;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏼‍🤝‍👨🏿;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
	👨🏽‍🤝‍👨🏻;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ|ᎠᏍᎦᏯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏂᏴᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ|ᏗᏂᏝᏫ|ᏗᏂᏝᏫ ᏧᎾᏦᏟ|ᏚᎾᏙᏯᏂᎠᎩ
