# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	🚴🏻‍♀️;велосипед тээп бара жаткан аял: акжуумал;акжуумал|аял|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи
	🚴🏼‍♀️;велосипед тээп бара жаткан аял: буудай жүздүү;аял|буудай жүздүү|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи
	🚴🏽‍♀️;велосипед тээп бара жаткан аял: орточо;аял|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи|орточо
	🚴🏾‍♀️;велосипед тээп бара жаткан аял: кара тору;аял|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи|кара тору
	🚴🏿‍♀️;велосипед тээп бара жаткан аял: кара;аял|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи|кара
🚵;тоо велосипедчиси;велосипед|велосипедчи|тоо|тоо велосипедчиси
	🚵🏻;тоо велосипедчиси: акжуумал;акжуумал|велосипед|велосипедчи|тоо|тоо велосипедчиси
	🚵🏼;тоо велосипедчиси: буудай жүздүү;буудай жүздүү|велосипед|велосипедчи|тоо|тоо велосипедчиси
	🚵🏽;тоо велосипедчиси: орточо;велосипед|велосипедчи|орточо|тоо|тоо велосипедчиси
	🚵🏾;тоо велосипедчиси: кара тору;велосипед|велосипедчи|кара тору|тоо|тоо велосипедчиси
	🚵🏿;тоо велосипедчиси: кара;велосипед|велосипедчи|кара|тоо|тоо велосипедчиси
🚵‍♂️;тоодо велосипед тээп бара жаткан эркек;велосипед|велосипедчи|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
	🚵🏻‍♂️;тоодо велосипед тээп бара жаткан эркек: акжуумал;акжуумал|велосипед|велосипедчи|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
	🚵🏼‍♂️;тоодо велосипед тээп бара жаткан эркек: буудай жүздүү;буудай жүздүү|велосипед|велосипедчи|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
	🚵🏽‍♂️;тоодо велосипед тээп бара жаткан эркек: орточо;велосипед|велосипедчи|орточо|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
	🚵🏾‍♂️;тоодо велосипед тээп бара жаткан эркек: кара тору;велосипед|велосипедчи|кара тору|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
	🚵🏿‍♂️;тоодо велосипед тээп бара жаткан эркек: кара;велосипед|велосипедчи|кара|тоо|тоодо велосипед тээп бара жаткан эркек|эркек
🚵‍♀️;тоодо велосипед тээп бара жаткан аял;аял|велосипед|велосипед тебүү|велосипедчи|тоо|тоодо велосипед тээп бара жаткан аял
	🚵🏻‍♀️;тоодо велосипед тээп бара жаткан аял: акжуумал;акжуумал|аял|велосипед|велосипед тебүү|велосипедчи|тоо|тоодо велосипед тээп бара жаткан аял
	🚵🏼‍♀️;тоодо велосипед тээп бара жаткан аял: буудай жүздүү;аял|буудай жүздүү|велосипед|велосипед тебүү|велосипедчи|тоо|тоодо велосипед тээп бара жаткан аял
	🚵🏽‍♀️;тоодо велосипед тээп бара жаткан аял: орточо;аял|велосипед|велосипед тебүү|велосипедчи|орточо|тоо|тоодо велосипед тээп бара жаткан аял
	🚵🏾‍♀️;тоодо велосипед тээп бара жаткан аял: кара тору;аял|велосипед|велосипед тебүү|велосипедчи|кара тору|тоо|тоодо велосипед тээп бара жаткан аял
	🚵🏿‍♀️;тоодо велосипед тээп бара жаткан аял: кара;аял|велосипед|велосипед тебүү|велосипедчи|кара|тоо|тоодо велосипед тээп бара жаткан аял
🤸;акробатикалык көнүгүү;адам|акробатика|акробатикалык көнүгүү|гимнастика|дөңгөлөк|спорт
	🤸🏻;акробатикалык көнүгүү: акжуумал;адам|акжуумал|акробатика|акробатикалык көнүгүү|гимнастика|дөңгөлөк|спорт
	🤸🏼;акробатикалык көнүгүү: буудай жүздүү;адам|акробатика|акробатикалык көнүгүү|буудай жүздүү|гимнастика|дөңгөлөк|спорт
	🤸🏽;акробатикалык көнүгүү: орточо;адам|акробатика|акробатикалык көнүгүү|гимнастика|дөңгөлөк|орточо|спорт
	🤸🏾;акробатикалык көнүгүү: кара тору;адам|акробатика|акробатикалык көнүгүү|гимнастика|дөңгөлөк|кара тору|спорт
