# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
🐀;kiore rahi;kiore rahi
🐹;kanohi hamikiore;hamikiore|kanohi|mōkai
🐰;kanohi rāpeti;kanohi|mōkai|rāpeti
🐇;rāpeti;mōkai|rāpeti
🐿️;timahaki;timahaki
🦫;;
🦔;tuatete;pūtaratara|tuatete
🦇;pekapeka;pekapeka|pekapeka kaitoto
🐻;kanohi pea;kanohi|pea
🐻‍❄️;;
🐨;koara;koara|pea
🐼;kanohi panara;kanohi|panara
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;ngā tā tapuwae;ngā tā tapuwae|tā tapuwae|tapuwae|waewae
🦃;korukoru;korukoru|manu
🐔;heihei;heihei|manu
🐓;tameheihei;manu|tameheihei
🐣;pīpī timotimo;manu|pī|pīpī|pīpī timotimo|timotimo ana
🐤;pīpī manu;manu|pī|pīpī
🐥;pīpī manu anga mua;manu|pī|pīpī|pīpī manu anga mua
🐦;manu;manu
🐧;kororā;kororā|manu
🕊️;kupupa;kupupa|manu|rere|rongomau
🦅;ekara;ekara|manu
🦆;parera;manu|parera
🦢;;
🦉;ruru;manu|mōhio|ruru
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;kanohi poraka;kanohi|poraka
🐊;nguturoa;nguturoa
🐢;honu;honu|terapine
🦎;mokomoko;mokomoko|ngārara
🐍;nākahi;kaihāpai|nākahi|Ophiuchus|poutiriao
🐲;kanohi tarakona;kanohi|pakiwaitara|tarakona
🐉;tarakona;pakiwaitara|tarakona
🦕;sauropod;brachiosaurus|brontosaurus|diplodocus|sauropod
🦖;T-Rex;T-Rex|Tyrannosaurus Rex
🐳;tohorā pupuhi;kanohi|pupuhi|tohorā
🐋;tohorā;tohorā
🐬;aihe;aihe|pakihau
🫍;;
🦭;;
🐟;ika;ika|Pisces|poutiriao
🐠;ika pārūrū;ika|pārūrū
🐡;ikapupuhi;ika|ikapupuhi
🦈;mangō;ika|mangō
🐙;wheke;wheke
🐚;anga tōrino;anga|tōrino
🪸;;
🪼;;
🦀;pāpaka;Cancer|pāpaka|poutiriao
🦞;;
🦐;kōuraura;kai|kōuraura|mātaitai|ririki
🦑;ngū;kai|kota|ngū
🦪;;
🐌;hātaretare;hātaretare
🦋;pūrerehua;ātaahua|pēpeke|pūrerehua
🐛;tātaka;pēpeke|tātaka
🐜;pōpokorua;pēpeke|pōpokorua
🐝;hanipī;hanipī|ngārara|pī
🪲;;
🐞;pāpapa kōpure;pāpapa|pāpapa kōpure|pēpeke
🦗;kirikiti;kirikiti|māwhitiwhiti
🪳;;
🕷️;ngārara;ngārara|pēpeke
🕸️;tukutuku ngārara;ngārara|tukutuku
🦂;kopiona;kopiona|poutiriao|scorpio|Scorpius
🦟;;
🪰;;
🪱;;
🦠;;
💐;tākai putiputi;putiputi|tākai putiputi
🌸;putiputi tieri;puāwai|putiputi|tieri
💮;putiputi mā;putiputi|putiputi mā
🪷;;
🏵️;rōhiti;rōhiti|tipu
🌹;rōhi;putiputi|rōhi
🥀;putiputi kautaka;menge|putiputi|putiputi kautaka
🌺;puarangi;puarangi|putiputi
🌻;putiputirā;putiputi|putiputirā|rā
🌼;puāwai;puāwai|putiputi
🌷;tūripi;putiputi|tūripi
🪻;;
🌱;tipu;hōu|tipu
🪴;;
🌲;rākau māota;rākau|rākau māota
🌳;rākau whakamakere rau;rākau|rākau whakamakere rau|tukurau|whakamakere rau
🌴;nīkau;nīkau|rākau
🌵;tātā tiotio;tātā tiotio|tipu
🌾;kākati raihi;kākati raihi|pata|puku|raihi
🌿;amiami;amiami|rau
☘️;hamitoka;hamitoka|tipu
🍀;koroa whā rau;4|koroa|rau|whā
🍁;rau mapera;hinga|mapera|rau
🍂;rau makere;makere ana|rau|rau makere
🍃;rau kapakapa hau;hau|kapakapa|puhi|rau
🪹;;
🪺;;
🍄;harore;harore|tūruporaka
🪾;;

[food_drink]
🍇;ngā karepe;hua|karepe|ngā karepe
🍈;merengi;hua|merengi
🍉;merengiwai;hua|merengiwai
🍊;tāngarīni;ārani|hua|tāngarīni
🍋;rēmana;hua|rēmana|waikawa
🍋‍🟩;;
🍌;panana;hua|panana
🍍;paināporo;hua|paināporo
🥭;;
🍎;āporo whero;āporo|hua|whero
🍏;āporo kākāriki;āporo|hua|kākāriki
🍐;pea;hua|pea
🍑;pītiti;hua|pītiti
🍒;ngā tieri;hua|ngā tieri|tieri
🍓;rōpere;hua|pere|rōpere
🫐;;
🥝;hua kiwi;hua|kai|kiwi
🍅;tomato;hua|huawhenua|tomato
🫒;;
🥥;kokonati;kokonati|nīkau|pīna korara
🥑;awakāro;awakāro|huarākau|kai
🍆;otahua;huawhenua|otahua
🥔;rīwai;huawhenua|kai|rīwai
🥕;kāroti;huawhenua|kai|kāroti
🌽;puku kānga;kānga|puku kānga|taringa
🌶️;pepa wera;pepa|wera
🫑;;
🥒;kūkama;huawhenua|kai|kūkama|pīkara
🥬;;
🥦;porokori;kāpeti kōraha|porokori
🧄;;
🧅;;
🥜;pīnati;huawhenua|kai|nati|pīnati
🫘;;
🌰;hetenati;hetenati|tipu
🫚;;
🫛;;
🍄‍🟫;;
🫜;;
🍞;parāoa;parāoa|rohi
🥐;parāoarīpeka;kai|parāoa|parāoarīpeka|pōkai pewa|wīwī
🥖;parāoa pakete;kai|pakete|parāoa|wīwī
🫓;;
🥨;pretzel;pretzel|whiri
🥯;;
🥞;panekeke;kai|kekewera|kerēpe|panekeke
🧇;;
🧀;matakahi tīhi;matakahi tīhi|tīhi
🍖;mīti runga kōiwi;kōiwi|mīti|mīti runga kōiwi
🍗;waewae manu;heihei|kōiwi|manu|waewae
🥩;tapahitanga mīti;rara|rara poaka|rara reme|tapahitanga mīti|tēki
🥓;pēkana;kai|mīti|pēkana
🍔;hāmipēka;hāmipēka|pāki
🍟;ngā parai wīwī;ngā parai wīwī|parai|wīwī
🍕;parehe;parehe|poro|tīhi
🌭;kurī wera;hōtiti|hōtiti pakipeta|kurī wera|kurīwera
🥪;hanewiti;hanewiti|parāoa
🌮;tako;mehikana|tako
🌯;purito;mehikana|purito|takai
🫔;;
🥙;parāoapapa whakakī;kai|kepapa|parāoapapa|tōrino|whakakī|wharawhere
🧆;;
🥚;hēki;hēki|kai
🍳;tao ana;hēki|parai|pēne|tao ana
🥘;pēne kai pāpaku;kaherora|kai|paera|pāpaku|pēne
🍲;kōhua kai;kōhua|kōhua kai|tiu
🫕;;
🥣;paepae me te pūnu;congee|hereara|paepae me te pūnu|parakuihi
🥗;huamata kākāriki;huamata|kai|kākāriki
🍿;kāngapahū;kāngapahū
🧈;;
🧂;;
🥫;kai kēne;kai kēne|kēne
🍱;pouaka peneto;pouaka peneto
🍘;pihikete raihi;pihikete|raihi
🍙;pōro raihi;Hapanīhi|pōro|raihi
🍚;raihi maoa;maoa|raihi
🍛;raihi kari;kari|raihi
🍜;paepae korohū;korohū|nūru|paepae|ramen
🍝;pakēti;pakēti|parāoa rimurapa
🍠;kūmara tunutunu;kūmara tunutunu|reka|rīwai|tukutuku
🍢;otene;kaimoana|kepapa|otene|rākau|wero
🍣;hūhi;hūhi
🍤;kōuraura parai;kōura|kōuraura|parai|temepura
🍥;keke ika whai koru;ika|keke|keke ika whai koru|koru|pōhā
🥮;;
🍡;tāngoro;Hapanīhi|puruni|rākau|reka|tāngoro|wero
🥟;parāoa kinikini;empanada|gyōza|jiaozi|parāoa kinikini|pierogi
🥠;pihikete matapae;pihikete matapae|poropititanga
🥡;pouaka kaweatu;paepae tio|pouaka kaweatu
🍦;aihikirīmi ngohengohe;aihikirīmi|huka|kirīmi|ngohengohe|puruni|reka
🍧;huka heuheu;heua|huka|huka heuheu|puruni|reka
🍨;aihikirīmi;aihikirīmi|huka|kirīmi|puruni
🍩;tōnati;puruni|reka|tōnati
🍪;pihikete;pihikete|puruni|reka
🎂;keke rāwhānau;keke|pōhā|puruni|rāwhānau|reka|whakanuinga
🍰;kekepoto;keke|kekepoto|pōhā|poro|puruni|reka
🧁;;
🥧;pāi;pāi|pōhā|whakakī
🍫;pae tiokorete;pae|pae tiokorete|puruni|reka|tiokoreti
🍬;rare;puruni|rare|reka
🍭;rarepapa;puruni|rare|rarepapa|reka
🍮;katete;katete|puruni|reka
🍯;paepae honi;honi|kōhua|paepae honi|reka
🍼;pātara pēpi;miraka|pātara|pēpi|unu
🥛;karāhe miraka;karāhe|miraka|unu
☕;unu wera;mamaoa|puruni|reka wera|tī|unu wera
🫖;;
🍵;tīkapu kore kakau;kapu|tī|tīkapu|tīkapu kore kakau|unu
🍶;hake;hake|kapu|pae|pātara|unu
🍾;pātara puru pahū;pae|pahū ana|pātara|pātara puru pahū|puru|unu
🍷;karāhe waina;karāhe|pae|unu|waina
🍸;karāhe unuranu;karāhe|pae|unu|unuranu
🍹;unu pārūrū;pae|pārūrū|unu
🍺;maka pia;maka|pae|pia|unu
🍻;ngā maka pia tutuki;maka|ngā maka pia tutuki|pae|pia|tutuki|unu
🥂;karāhe tutuki;karāhe|tutuki|unu|whakanui
🥃;karāhe ipurau;ipurau|karāhe|pota|waipiro|wihike
🫗;;
🥤;kapu me te ngongo;kapu me te ngongo|wai huarākau|wai reka
🧋;;
🧃;;
🧉;;
🧊;;
🥢;rākaukai;hashi|rākaukai
🍽️;paoka me naihi me pereti;naihi|paoka|paoka me naihi me pereti|pereti|tao ana
🍴;paoka me te naihi;naihi|paoka|paoka me te naihi|tao ana
🥄;pūnu;pūnu|taongatēpu
🔪;naihi kīhini;hocho|naihi|naihi kīhini|rākau-riri|tao ana|utauta
🫙;;
🏺;amapora;amapora|Aquarius|poutiriao|rākau|tao ana|tiaka|unu|utauta

[travel_places]
🌍;ao whakakite Uropi-Āwherika;ao|ao whakakite Uropi-Āwherika|Āwherika|Uropi|whenua
🌎;ao whakakite i ngā Amerika;ao|ao whakakite i ngā Amerika|ngā Amerika|whenua
🌏;ao whakakite Āhia-Ahitereiria;Āhia|Ahitereiria|ao|ao whakakite Āhia-Ahitereiria|whenua
🌐;ao whai poutūmārō;ao|ao whai poutūmārō|ngā poutūmārō|whenua
🗺️;mahere ao;ao|mahere
🗾;mahere o Hapani;Hapani|mahere|mahere o Hapani
🧭;;
🏔️;maunga tihi-hukarere;hukarere|makariri|maunga|maunga tihi-hukarere
⛰️;maunga;maunga
🛘;;
🌋;puia;maunga|puia
🗻;maunga fuji;fuji|maunga
🏕️;puninga;puninga
🏖️;onepū me te hāmarara;hāmarara|onepū|onepū me te hāmarara
🏜️;kōraha;kōraha
🏝️;motu kōraha;kōraha|motu
🏞️;papa rēhia ā-motu;papa rēhia|papa rēhia ā-motu
🏟️;taiwhanga hākinakina;taiwhanga hākinakina
🏛️;hanganga tauhira;hanganga tauhira|tauhira
🏗️;hangatanga whare;hangatanga|hangatanga whare
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;ngā whare;ngā whare
🏚️;whare pāea;pāea|whare
🏠;whare;kainga|whare
🏡;whare me te māra;kāinga|māra|whare|whare me te māra
🏢;hanganga tari;hanganga|hanganga tari
🏣;poutāpeta Hapanīhi;Hapanīhi|pōhi|poutāpeta Hapanīhi
🏤;poutāpeta;pōhi|poutāpeta|Uropi
🏥;hōhipera;hōhipera|rata|rongoā
🏦;pēke;hanganga|pēke
🏨;hōtēra;hanganga|hōtēra
🏩;hōtēra aroha;aroha|hōtēra
🏪;pātaka haratau;haratau|pātaka
🏫;kura;hanganga|kura
🏬;pātaka taiwhanga maha;pātaka|pātaka taiwhanga maha|taiwhanga maha
🏭;wheketere;hanganga|wheketere
🏯;whare kīngi Hapanīhi;Hapanīhi|whare kīngi|whare kīngi Hapanīhi
🏰;whare kīngi;Uropi|whare kīngi
💒;mārenatanga;mārenatanga|whakawhaiāipo|whare karakia
🗼;pourewa Tōkio;pourewa|Tōkio
🗽;te whakapakoko rangatiratanga;rangatiratanga|te whakapakoko rangatiratanga|whakapakoko
⛪;hāhi;hāhi|karaitiana|momo karakia|rīpeka
🕌;mōhiku;ihirama|mōhiku|momo karakia|muhurimi
🛕;;
🕍;whare karakia hūrae;hūrae|momo karakia|temepara|whare karakia hūrae
⛩️;wāhi tapu hinito;hinito|momo karakia|wāhi tapu|wāhi tapu hinito
🕋;kaapa;ihirama|kaapa|momo karakia|muhurimi
⛲;puna torotī;puna torotī
⛺;tēneti;puninga|tēneti
🌁;kohukohu;kohu|kohukohu
🌃;pō whai whetū;pō|pō whai whetū|whetū
🏙️;ataata tāonenui;ataata tāonenui|tāonenui
🌄;whitinga rā runga maunga;ata|maunga|rā|rā whiti|whitinga rā runga maunga
🌅;whitinga o te rā;ata|rā|whitinga o te rā
🌆;whakahuahua tāonenui porehu;ahiahi|paewhenua|porehu|rā|rātō|tāonenui|whakahuahua tāonenui porehu
🌇;tōnga o te rā;porehu|rā|tōnga o te rā
🌉;arawhata i te pō;arawhata|arawhata i te pō|pō
♨️;wai ariki;korohuhū|puna|wai ariki|waiariki|wera
🎠;hōiho porowhawhe;hōiho|porowhawhe
🛝;;
🎡;wīra pērihi;papa whakangahau|pērihi|wīra
🎢;tereina tō-ā-papa whakangahau;papa whakangahau|pūkawe|takataka|tereina tō-ā-papa whakangahau
💈;pou kaikuti-makawe;kaikuti-makawe|kutinga-makawe|pou
🎪;tēneti manini rau;manini rau|tēneti|tēneti manini rau
🚂;pūkaha tereina;mamaoa|pūkaha|rerewē|tereina
🚃;waka rerewē;pūhiko|rerewē|tarāme|tereina|waka|waka pāhiko
🚄;tereina tino tere;rerewē|shinkansen|tere|tereina|tereina tino tere
🚅;tereina tino tere ihu matā;matā|rerewē|shinkansen|tere|tereina|tereina tino tere ihu matā
🚆;tereina;rerewē|tereina
🚇;rarowhenua;rarowhenua|rerewē rarowhenua
🚈;rerewē māmā;rerewē|rerewē māmā
🚉;teihana;rerewē|teihana|tereina
🚊;tarāme;tarāme|waka pāhiko
🚝;rōautahi;rōautahi|waka
🚞;rerewē maunga;maunga|rerewē|waka
🚋;waka tarāme;tarāme|waka|waka pāhiko
🚌;pahi;pahi|waka
🚍;pahi anga mai;anga mai|pahi|pahi anga mai
🚎;waka pāhiko;pahi|tarāme|waka pāhiko
🚐;pahi iti;pahi|pahi iti
🚑;waka tūroro;waka|waka tūroro
🚒;waka tinei ahi;ahi|mīhini|taraka|waka tinei ahi
🚓;waka pirihimana;motokā|pirihimana|tira|waka pirihimana
🚔;waka pirihimana anga mai;anga mai|motokā|pirihimana|waka pirihimana anga mai
🚕;takihī;takihī|waka
🚖;takihī anga mai;anga mai|takihī|takihī anga mai
🚗;motokā;motokā
🚘;motokā anga mai;anga mai|motokā|motokā anga mai
🚙;taraka hākinakina;hākinakina|taraka hākinakina
🛻;;
🚚;taraka tiki;taraka|tiki
🚛;taraka tautō;hemi|taraka|taraka tautō
🚜;tarakita;tarakita|waka
🏎️;motokā tauwhainga;motokā|tauwhainga
🏍️;motopaika;motopaika|tauwhainga
🛵;hūpaika;hūpaika|pūkaha
🦽;;
🦼;;
🛺;;
🚲;pahikara;pahikara
🛴;kuta whana;kuta|whana
🛹;;
🛼;;
🚏;tūnga pahi;pahi|tūnga
🛣️;huanui;ara|huanui
🛤️;ara rerewē;ara rerewē|rerewē|tereina
🛢️;taramu hinu;hinu|taramu
⛽;papu hinu;hinu|papu|papuhinu|penehīni|teihana
🛞;;
🚨;rama waka pirihimana;hurihuri|māmā|motokā|pirihimana|rama|rama waka pirihimana
🚥;rama huarahi haupae;ngā waka|poutohu|rama|rama huarahi haupae
🚦;rama huarahi poutū;ngā waka|poutohu|rama|rama huarahi poutū
🛑;tohu tū;tapawaru|tohu|tū
🚧;hangatanga;hangatanga|tauārai
⚓;punga;punga|utauta|waipuke
🛟;;
⛵;waka pere;moana|pere rua|poti|wāhi hararei|waka pere
🛶;waka;poti|waka
🚤;wakatere;poti|wakatere
🛳️;kaipuke pāhihi;kaipuke|pāhihi
⛴️;waka kawekawe;pāhihi|poti|waka kawekawe
🛥️;waka pūkaha;poti|waka pūkaha
🚢;kaipuke;kaipuke|pāhihi|poti
✈️;waka rererangi;rererangi|waka rererangi
🛩️;rererangi iti;rererangi|rererangi iti|waka rererangi
🛫;wehenga rererangi;ngā wehenga|pae takiuru|rererangi|waka rererangi|wehenga
🛬;taunga rererangi;ngā taunga mai|rererangi|tau ana|tau mai ana|taunga rererangi|waka rererangi
🪂;;
💺;nohoanga;nohoanga|tūru
🚁;toparere;toparere|waka
🚟;rerewē whakairi;rerewē|whakairi
🚠;arataura maunga;arataura maunga|maunga|taura|waka taura
🚡;aratarāme rererangi;ā-rangi|aratarāme|aratarāme rererangi|taura|waka
🛰️;āmiorangi;āmiorangi|ātea
🚀;tākirirangi;ātea|tākirirangi
🛸;waka ātea nō ao kē;waka ātea nō ao kē|waka tuarangi kāore i mōhiotia
🛎️;pere kaikawe;hōtēra|kaikawe|pere
🧳;;
⌛;karāhe-hāora;karāhe-hāora|kirikiri|pūtaki
⏳;karāhe-hāora kirikiri rere;karāhe-hāora|karāhe-hāora kirikiri rere|kirikiri|pūtaki
⌚;matawā;karaka|matawā
⏰;karaka pūoho;karaka|pūoho
⏱️;matawā-tū;karaka|matawā-tū
⏲️;karaka pūtaki;karaka|pūtaki
🕰️;karaka whatanga-ahi;karaka|karaka whatanga-ahi
🕛;te tekau-mā-rua o ngā hāora;00|12|12:00|karaka|o ngā hāora|te tekau-mā-rua o ngā hāora|tekau-mā-rua
🕧;te tekau-mā-rua me te toru tekau meneti;12|12:30|30|karaka|te tekau-mā-rua me te toru tekau meneti|tekau-mā-rua|toru tekau
🕐;te tahi o ngā hāora;00|1|1:00|karaka|o ngā hāora|tahi|te tahi o ngā hāora
🕜;te tahi me te toru tekau meneti;1|1:30|30|karaka|tahi|te tahi me te toru tekau meneti|toru tekau
🕑;te rua o ngā hāora;00|2|2:00|karaka|o ngā hāora|rua|te rua o ngā hāora
🕝;te rua me te toru tekau meneti;2|2:30|30|karaka|rua|te rua me te toru tekau meneti|toru tekau
🕒;te toru o ngā hāora;00|3|3:00|karaka|o ngā hāora|te toru o ngā hāora|toru
🕞;te toru me te toru tekau meneti;3|3:30|30|karaka|te toru me te toru tekau meneti|toru|toru tekau
🕓;te whā o ngā hāora;00|4|4:00|karaka|o ngā hāora|te whā o ngā hāora|whā
🕟;te whā me te toru tekau meneti;30|4|4:30|karaka|te whā me te toru tekau meneti|toru tekau|whā
🕔;te rima o ngā hāora;00|5|5:00|karaka|o ngā hāora|rima|te rima o ngā hāora
🕠;te rima me te toru tekau meneti;30|5|5:30|karaka|rima|te rima me te toru tekau meneti|toru tekau
🕕;te ono o ngā hāora;00|6|6:00|karaka|o ngā hāora|ono|te ono o ngā hāora
🕡;te ono me te toru tekau meneti;30|6|6:30|karaka|ono|te ono me te toru tekau meneti|toru tekau
🕖;te whitu o ngā hāora;00|7|7:00|karaka|o ngā hāora|te whitu o ngā hāora|whitu
🕢;te whitu me te toru tekau meneti;30|7|7:30|karaka|te whitu me te toru tekau meneti|toru tekau|whitu
🕗;te waru o ngā hāora;00|8|8:00|karaka|o ngā hāora|te waru o ngā hāora|waru
🕣;te waru me te toru tekau meneti;30|8|8:30|karaka|te waru me te toru tekau meneti|toru tekau|waru
🕘;te iwa o ngā hāora;00|9|9:00|iwa|karaka|o ngā hāora|te iwa o ngā hāora
🕤;te iwa me te toru tekau meneti;30|9|9:30|iwa|karaka|te iwa me te toru tekau meneti|toru tekau
🕙;te tekau o ngā hāora;00|10|10:00|karaka|o ngā hāora|te tekau o ngā hāora|tekau
🕥;te tekau me te toru tekau meneti;10|10:30|30|karaka|te tekau me te toru tekau meneti|tekau|toru tekau
🕚;te tekau-mā-tahi o ngā hāora;00|11|11:00|karaka|o ngā hāora|te tekau-mā-tahi o ngā hāora|tekau-ma-tahi
🕦;te tekau-mā-tahi me te toru tekau meneti;11|11:30|30|karaka|te tekau-mā-tahi me te toru tekau meneti|tekau-ma-tahi|toru tekau
🌑;marama kōhiti;marama|marama kōhiti|pōuri
🌒;marama hua tipihori;hua|marama|marama hua tipihori|pewa
🌓;marama ahotū;hauwhā|marama|marama ahotū
🌔;marama hua;hua|kipuha|marama
🌕;rākaunui;marama|rākaunui
🌖;marama roroku;kipuha|marama|roroku
🌗;marama korekore;hauwhā|marama|marama korekore
🌘;marama tohi;marama|marama tohi|pewa|roroku
🌙;marama pewa;marama|pewa
🌚;mata marama kōhiti;marama|mata|mata marama kōhiti
🌛;marama ahotū whai mata;hauwhā|marama|marama ahotū whai mata|mata
🌜;marama korekore whai mata;hauwhā|marama|marama korekore whai mata|mata
🌡️;inemahana;huarere|inemahana
☀️;rā;ihi|kanapa|paki|rā
🌝;rākaunui whai mata;kanapa|kī|marama|mata|rākaunui whai mata
🌞;rā whai mata;kanapa|mata|rā|rā whai mata
🪐;;
⭐;whetū mā waenga;whetū|whetū mā waenga
🌟;whetū mumura;hana|korakora|tīaho|wheriko|whetū|whetū mumura
🌠;unahi o takero;hinga ana|unahi|unahi o takero|whetū
🌌;ikarangi;ātea|ikarangi
☁️;kapua;huarere|kapua
⛅;rā muri kapua;kapua|rā|rā muri kapua
⛈️;kapua me te uira me te ua;kapua|kapua me te uira me te ua|ua|whatitiri
🌤️;rā muri kapua iti;kapua|rā|rā muri kapua iti
🌥️;rā muri kapua nui;kapua|rā|rā muri kapua nui
🌦️;rā muri kapua ua;kapua|rā|rā muri kapua ua|ua
🌧️;kapua me te ua;kapua|kapua me te ua|ua
🌨️;kapua me te hukarere;hukarere|kapua|kapua me te hukarere|makariri
🌩️;kapua me te uira;kapua|kapua me te uira|uira
🌪️;āwhā;āwhā|kapua|paroro
🌫️;kohu;kapua|kohu
🌬️;kanohi hau;hau|kanohi|kapua|pupuhi
🌀;kurahau awatea;āmaimai|huripari|kurahau awatea|paroro
🌈;kahukura;kahukura|ua
🌂;hāmarara kopi;hāmarara|hāmarara kopi|kākahu|ua
☂️;hāmarara;hāmarara|kākahu|ua
☔;hāmarara me ngā kōpata ua;hāmarara|hāmarara me ngā kōpata ua|kākahu|kōpata|ua
⛱️;hāmarara i te papa;hāmarara|hāmarara i te papa|rā|ua
⚡;ngaohiko teitei;hiko|mōrearea|ngaohiko|ngaohiko teitei|uira|whana
❄️;whā hukarere;hukarere|makariri|whā hukarere
☃️;tāne-hukarere;hukarere|makariri|tāne-hukarere
⛄;tāne-hukarere kore hukarere;hukarere|makariri|tāne-hukarere|tāne-hukarere kore hukarere
☄️;unahiroa;ātea|unahiroa
🔥;ahi;ahi|mura|utauta
💧;kōpata wai;kōpata|kōpata wai|makariri|werawera|whakakata
🌊;ngaru wai;moana|ngaru|wai

[activities]
🎃;rama kanohi paukena;haki|harowēne|rama|rama kanohi paukena|whakanuinga
🎄;rākau Kirihimete;Kirihimete|rākau|whakanuinga
🎆;pahūahi;pahūahi|whakanuinga
🎇;whakakorakora;korakora|pahūahi|whakakorakora|whakanuinga
🧨;;
✨;he korakora;he korakora|korakora|whetū
🎈;pūangi;pūangi|whakanuinga
🎉;pahū whakangahau;pahū|tarā|whakangahau|whakanuinga
🎊;pōro wāhi pepa;pōro|pōro wāhi pepa|wāhi-pepa ririki|whakanuinga
🎋;rākau tanapata;Hapanīhi|kara|rākau|rākau tanapata|whakanuinga
🎍;whakarei rākau paina;Hapanīhi|inanga|paina|whakanuinga|whakarei rākau paina
🎎;karetao Hapanīhi;Hapanīhi|karetao|taurima|whakanuinga
🎏;haki ika;haki|ika|whakanuinga
🎐;pere hau;hau|pere|whakanuinga
🎑;taurima tiro marama;marama|taurima|taurima tiro marama|whakanuinga
🧧;;
🎀;rīpene;rīpene|whakanuinga
🎁;perehana takai;koha|perehana|pouaka|takai|whakanuinga
🎗️;rīpene whakamahara;rīpene|whakamahara|whakanuinga
🎟️;tīkiti tomonga;tīkiti|tīkiti tomonga|whakatomo
🎫;tīkiti;tīkiti|tomonga
🎖️;metara ope tauā;metara|metara ope tauā|ope tauā|whakanuinga
🏆;tohu toa;paraihe|tohu toa
🏅;mētara hākinakina;mētara|mētara hākinakina
🥇;mētara wāhi 1;kōura|mētara|mētara wāhi 1|tuatahi
🥈;mētara wāhi 2;hiriwa|mētara|mētara wāhi 2|tuarua
🥉;mētara wāhi 3;mētara|mētara wāhi 3|parāhe|tuatoru
⚽;poi whana;poi whana|poiwhana|pōro|whutupōro
⚾;pēhipōro;pēhipōro|pōro
🥎;;
🏀;poitūkohu;mōwhiti|poitūkohu|pōro
🏐;poirewa;kēmu|poirewa|pōro
🏈;whutupōro amerikana;amerikana|pōro|whutupōro
