[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
🚤;↑↑↑;bote|deporte acuático|lancha|transporte
🛳️;↑↑↑;barco|barco de pasajeros|pasajeros|transporte
⛴️;↑↑↑;bote|ferry|transbordador|transporte|trasbordador
🛥️;↑↑↑;↑↑↑
🚢;↑↑↑;barco|crucero|transporte
✈️;↑↑↑;aire|avión|transporte|viajar|viaje|volar
🛩️;↑↑↑;aire|avión|avioneta|transporte|viajar|viaje
🛫;↑↑↑;avión|avión despegando|despegar|despegue|partida|salida
🛬;↑↑↑;↑↑↑
🪂;↑↑↑;↑↑↑
💺;↑↑↑;asiento|asiento de transporte
🚁;↑↑↑;↑↑↑
🚟;↑↑↑;↑↑↑
🚠;↑↑↑;↑↑↑
🚡;↑↑↑;↑↑↑
🛰️;↑↑↑;↑↑↑
🚀;↑↑↑;cohete|espacial|espacio
🛸;↑↑↑;platillo volador
🛎️;↑↑↑;↑↑↑
🧳;↑↑↑;equipaje|maleta|valija|viaje
⌛;↑↑↑;arena|reloj|reloj de arena sin tiempo|se acabó el tiempo|tiempo agotado
⏳;↑↑↑;↑↑↑
⌚;↑↑↑;↑↑↑
⏰;↑↑↑;↑↑↑
⏱️;↑↑↑;cronómetro|medición del tiempo|reloj|segundos|tiempo
⏲️;↑↑↑;medición del tiempo|reloj|segundos|temporizador|tiempo
🕰️;↑↑↑;↑↑↑
🕛;↑↑↑;↑↑↑
🕧;↑↑↑;↑↑↑
🕐;↑↑↑;↑↑↑
🕜;↑↑↑;↑↑↑
🕑;↑↑↑;↑↑↑
🕝;↑↑↑;↑↑↑
🕒;↑↑↑;↑↑↑
🕞;↑↑↑;↑↑↑
🕓;↑↑↑;↑↑↑
🕟;↑↑↑;↑↑↑
🕔;↑↑↑;↑↑↑
🕠;↑↑↑;↑↑↑
🕕;↑↑↑;↑↑↑
🕡;↑↑↑;↑↑↑
🕖;↑↑↑;↑↑↑
🕢;↑↑↑;↑↑↑
🕗;↑↑↑;↑↑↑
🕣;↑↑↑;↑↑↑
🕘;↑↑↑;↑↑↑
🕤;↑↑↑;↑↑↑
🕙;↑↑↑;↑↑↑
🕥;↑↑↑;↑↑↑
🕚;↑↑↑;↑↑↑
🕦;↑↑↑;↑↑↑
🌑;↑↑↑;espacio|fase lunar|luna|luna nueva|negra|nuev
🌒;↑↑↑;creciente|espacio|luna|nueva|visible
🌓;↑↑↑;creciente|cuarto|espacio|fase lunar|luna|luna en cuarto creciente
🌔;↑↑↑;creciente|espacio|fase lunar|gibosa|luna
🌕;↑↑↑;espacio|fase lunar|llena|luna
🌖;↑↑↑;espacio|fase lunar|gibosa|luna|menguante
🌗;↑↑↑;cuarto|espacio|fase lunar|luna|luna en cuarto menguante|menguante
🌘;↑↑↑;creciente|fase lunar|luna|menguante
🌙;↑↑↑;cruasán|cuarto creciente|fase lunar|luna creciente|media luna
🌚;↑↑↑;↑↑↑
🌛;↑↑↑;↑↑↑
🌜;↑↑↑;↑↑↑
🌡️;↑↑↑;↑↑↑
☀️;↑↑↑;↑↑↑
🌝;↑↑↑;↑↑↑
🌞;↑↑↑;↑↑↑
🪐;↑↑↑;↑↑↑
⭐;↑↑↑;↑↑↑
🌟;↑↑↑;↑↑↑
🌠;↑↑↑;↑↑↑
🌌;↑↑↑;↑↑↑
☁️;↑↑↑;↑↑↑
⛅;↑↑↑;nubes|nublado|parcialmente nublado|sol|tiempo
⛈️;↑↑↑;↑↑↑
🌤️;↑↑↑;↑↑↑
🌥️;↑↑↑;↑↑↑
🌦️;↑↑↑;↑↑↑
🌧️;↑↑↑;↑↑↑
🌨️;↑↑↑;↑↑↑
🌩️;↑↑↑;↑↑↑
🌪️;↑↑↑;↑↑↑
🌫️;↑↑↑;↑↑↑
🌬️;↑↑↑;↑↑↑
🌀;↑↑↑;↑↑↑
🌈;↑↑↑;↑↑↑
🌂;↑↑↑;↑↑↑
☂️;↑↑↑;↑↑↑
☔;↑↑↑;↑↑↑
⛱️;↑↑↑;↑↑↑
⚡;↑↑↑;↑↑↑
❄️;↑↑↑;↑↑↑
☃️;↑↑↑;invierno|muñeco|muñeco de nieve nevado|nieve
⛄;↑↑↑;↑↑↑
☄️;↑↑↑;↑↑↑
🔥;↑↑↑;↑↑↑
💧;↑↑↑;↑↑↑
🌊;↑↑↑;↑↑↑

[activities]
🎃;↑↑↑;↑↑↑
🎄;↑↑↑;árbol|árbol de Navidad|celebración|Navidad
🎆;↑↑↑;↑↑↑
🎇;↑↑↑;↑↑↑
🧨;↑↑↑;↑↑↑
✨;↑↑↑;*|bengala|chispas|estrellas|estrellas centelleantes
🎈;↑↑↑;↑↑↑
🎉;↑↑↑;↑↑↑
🎊;↑↑↑;↑↑↑
🎋;↑↑↑;↑↑↑
🎍;↑↑↑;↑↑↑
🎎;↑↑↑;↑↑↑
🎏;koinobori;bandera|banderín|banderín con forma de carpa|celebración|festejo|japonés|koinobori
🎐;↑↑↑;campanilla|campanilla de viento|fuurin|viento
🎑;ceremonia de contemplación de la luna;ceremonia de contemplación de la luna
🧧;↑↑↑;buena suerte|dinero|regalo|sobre rojo
🎀;↑↑↑;↑↑↑
🎁;↑↑↑;celebración|moño|obsequio|presente|regalo
🎗️;↑↑↑;↑↑↑
🎟️;boleto de entrada;boleto de entrada
🎫;↑↑↑;boleto|entretenimiento|evento|ticket|ticket de admisión
🎖️;↑↑↑;celebración|grado|medalla|militar
🏆;↑↑↑;copa|ganador|premio|trofeo|victoria
🏅;↑↑↑;↑↑↑
🥇;↑↑↑;↑↑↑
🥈;↑↑↑;↑↑↑
🥉;↑↑↑;↑↑↑
⚽;↑↑↑;↑↑↑
⚾;↑↑↑;↑↑↑
🥎;sóftbol;bola|pelota|pelota de softball|softball|sóftbol
🏀;↑↑↑;básquet|básquetbol|deporte|pelota|pelota de básquet
🏐;pelota de voleibol;deporte|pelota|pelota de voleibol|vóleibol
🏈;↑↑↑;americano|balón|deporte|fútbol|pelota de fútbol americano
🏉;↑↑↑;↑↑↑
🎾;↑↑↑;↑↑↑
🥏;frisbee;frisbee|ultimate
🎳;↑↑↑;↑↑↑
🏏;↑↑↑;↑↑↑
🏑;↑↑↑;↑↑↑
🏒;↑↑↑;↑↑↑
🥍;↑↑↑;gol|lacrosse|palo|pelota
🏓;↑↑↑;mesa|paleta|pelota|ping|pong|tenis de mesa
🏸;↑↑↑;↑↑↑
🥊;↑↑↑;↑↑↑
🥋;↑↑↑;artes marciales|judo|karate|taekwondo|uniforme|uniforme de artes marciales
🥅;↑↑↑;↑↑↑
⛳;↑↑↑;↑↑↑
⛸️;↑↑↑;↑↑↑
🎣;↑↑↑;caña|caña de pescar|ocio|pesca|pescado|pescar
🤿;↑↑↑;↑↑↑
🎽;↑↑↑;camiseta|camiseta para correr|correr|mangas|musculosa
🎿;↑↑↑;↑↑↑
🛷;↑↑↑;↑↑↑
🥌;↑↑↑;↑↑↑
🎯;↑↑↑;dardo|dardo en el centro|dardo en la diana|diana|objetivo
🪀;yoyo;yoyo
🪁;↑↑↑;cometa|juguete|papalote|planear|viento|volar
🔫;↑↑↑;↑↑↑
🎱;↑↑↑;↑↑↑
🔮;↑↑↑;↑↑↑
🪄;↑↑↑;varita mágica
🎮;↑↑↑;control|joystick|juego|mando|video juegos
🕹️;↑↑↑;control|joystick|juego|juego de video|video|videojuego
🎰;↑↑↑;apuestas|casino|juego|máquina|tragamonedas
🎲;↑↑↑;dado|juego de azar
🧩;↑↑↑;↑↑↑
🧸;oso de peluche;felpa|juguete|oso|oso de peluche|relleno
🪅;↑↑↑;↑↑↑
🪩;↑↑↑;↑↑↑
🪆;muñecas rusas;muñecas rusas
♠️;↑↑↑;↑↑↑
♥️;↑↑↑;↑↑↑
♦️;↑↑↑;↑↑↑
♣️;↑↑↑;↑↑↑
♟️;peón (ajedrez);ajedrez|peón|peón (ajedrez)|peón de ajedrez
🃏;↑↑↑;↑↑↑
🀄;↑↑↑;↑↑↑
🎴;↑↑↑;↑↑↑
🎭;↑↑↑;↑↑↑
🖼️;↑↑↑;↑↑↑
🎨;↑↑↑;arte|artista|paleta|paleta de pinturas|pintor
🧵;↑↑↑;aguja|bobina|carrete|cordel|coser|hilo
🪡;↑↑↑;aguja de coser
🧶;↑↑↑;croché|ovillo|pelota|tejer
🪢;↑↑↑;nudo

[objects]
👓;↑↑↑;anteojos|lentes|ropa|vestimenta
🕶️;lentes de sol;lentes de sol|lentes oscuros|sol
🥽;goggles;goggles|lentes de natación|lentes de protección|lentes para nadar|soldar
🥼;↑↑↑;bata de laboratorio|científico|experimento|médico
🦺;↑↑↑;↑↑↑
👔;↑↑↑;↑↑↑
👕;↑↑↑;camiseta|playera|ropa|vestimenta
👖;pantalones de mezclilla;jeans|pantalones de mezclilla|ropa|vaquero|vestimenta
🧣;↑↑↑;bufanda|cuello|vestimenta
🧤;↑↑↑;guantes|mano|vestimenta
🧥;↑↑↑;abrigo|chamarra|vestimenta
🧦;↑↑↑;calcetines|pies|ropa|vestimenta
👗;↑↑↑;↑↑↑
👘;↑↑↑;↑↑↑
🥻;↑↑↑;↑↑↑
🩱;↑↑↑;traje de baño|traje de baño de una pieza
🩲;↑↑↑;calzoncillos|ropa interior|slip|traje de baño
🩳;shorts;shorts
👙;↑↑↑;alberca|bikini|nadar|piscina|ropa|traje de baño
👚;↑↑↑;↑↑↑
🪭;↑↑↑;↑↑↑
👛;↑↑↑;↑↑↑
👜;↑↑↑;bolso
👝;↑↑↑;bolso de mano|cartera|ropa|sobre|vestimenta
🛍️;↑↑↑;↑↑↑
🎒;mochila escolar;escuela|estudiar|maletín|mochila escolar
🩴;↑↑↑;↑↑↑
👞;↑↑↑;↑↑↑
👟;tenis;ropa|tenis|vestimenta|zapato deportivo
🥾;botas de excursión;acampar|bota|botas de excursión|excursión|senderismo
🥿;zapato de piso;bailarina|calzado de piso|zapato de piso|zapato plano
👠;zapatilla;mujer|ropa|vestimenta|zapatilla|zapato
👡;↑↑↑;↑↑↑
🩰;↑↑↑;bailar|ballet|danza|zapatillas de ballet
👢;↑↑↑;↑↑↑
🪮;↑↑↑;↑↑↑
👑;↑↑↑;corona|realeza|reina|rey
👒;↑↑↑;↑↑↑
🎩;sombrero de copa;caballero|copa|galera|sombrero|sombrero de copa
🎓;birrete;birrete|celebración|graduación|graduado
🧢;↑↑↑;↑↑↑
🪖;↑↑↑;↑↑↑
⛑️;casco con una cruz blanca;ayuda|casco|casco con una cruz blanca|casco de rescatista
📿;↑↑↑;↑↑↑
💄;↑↑↑;↑↑↑
💍;↑↑↑;anillo|compromiso|joya|romance
💎;↑↑↑;↑↑↑
🔇;bocina silenciada;bocina selenciada|bocina silenciada|silencio|sin volumen
🔈;bocina a volumen bajo;bocina a volumen bajo
🔉;bocina a volumen medio;bocina a volumen medio
🔊;bocina a volumen alto;bocina a volumen alto
📢;altavoz;altavoz
📣;↑↑↑;↑↑↑
📯;↑↑↑;↑↑↑
🔔;↑↑↑;↑↑↑
🔕;↑↑↑;campana|campana con signo de cancelación|campana tachada|silencio
🎼;partitura;partitura
🎵;↑↑↑;↑↑↑
🎶;↑↑↑;corcheas|música|notas|notas musicales
🎙️;↑↑↑;↑↑↑
🎚️;↑↑↑;↑↑↑
🎛️;↑↑↑;↑↑↑
🎤;↑↑↑;↑↑↑
🎧;audífonos;audífonos
📻;↑↑↑;comunicación|estación de radio|música|noticias|radio
🎷;↑↑↑;↑↑↑
🪗;↑↑↑;acordeón
🎸;↑↑↑;guitarra|instrumento|música
🎹;↑↑↑;↑↑↑
🎺;↑↑↑;instrumento|música|trompeta
🎻;↑↑↑;instrumento|música|violín
🪕;↑↑↑;↑↑↑
🥁;↑↑↑;baquetas|música|palitos|tambor
🪘;↑↑↑;tamboril
🪇;↑↑↑;↑↑↑
🪈;↑↑↑;↑↑↑
📱;↑↑↑;↑↑↑
📲;flecha apuntado a teléfono celular;flecha apuntado a teléfono celular
☎️;teléfono fijo;teléfono fijo
📞;↑↑↑;↑↑↑
📟;bíper;bíper
📠;↑↑↑;↑↑↑
🔋;↑↑↑;↑↑↑
🪫;↑↑↑;batería baja|electrónico
🔌;↑↑↑;↑↑↑
💻;↑↑↑;↑↑↑
🖥️;↑↑↑;↑↑↑
🖨️;↑↑↑;↑↑↑
⌨️;↑↑↑;↑↑↑
🖱️;↑↑↑;↑↑↑
🖲️;↑↑↑;↑↑↑
💽;disco duro;disco duro
💾;↑↑↑;↑↑↑
💿;↑↑↑;↑↑↑
📀;↑↑↑;↑↑↑
🧮;↑↑↑;↑↑↑
🎥;cámara de video;cámara de video
🎞️;↑↑↑;↑↑↑
📽️;↑↑↑;↑↑↑
🎬;↑↑↑;↑↑↑
📺;televisión;televisión
📷;↑↑↑;↑↑↑
📸;↑↑↑;↑↑↑
📹;↑↑↑;↑↑↑
📼;videocasete;videocasete
🔍;↑↑↑;↑↑↑
🔎;↑↑↑;↑↑↑
🕯️;↑↑↑;↑↑↑
💡;foco;foco
🔦;↑↑↑;↑↑↑
🏮;↑↑↑;farol|farol de papel japonés|izakaya|linterna|papel
🪔;↑↑↑;↑↑↑
📔;↑↑↑;↑↑↑
📕;↑↑↑;↑↑↑
📖;↑↑↑;↑↑↑
📗;↑↑↑;↑↑↑
📘;↑↑↑;↑↑↑
📙;↑↑↑;↑↑↑
📚;↑↑↑;↑↑↑
📓;↑↑↑;↑↑↑
📒;↑↑↑;↑↑↑
📃;página doblada;página doblada
📜;↑↑↑;↑↑↑
📄;↑↑↑;↑↑↑
📰;↑↑↑;↑↑↑
🗞️;↑↑↑;↑↑↑
📑;↑↑↑;↑↑↑
🔖;↑↑↑;↑↑↑
🏷️;↑↑↑;↑↑↑
💰;↑↑↑;↑↑↑
🪙;↑↑↑;moneda
💴;↑↑↑;↑↑↑
💵;↑↑↑;↑↑↑
💶;↑↑↑;↑↑↑
💷;↑↑↑;↑↑↑
💸;↑↑↑;↑↑↑
💳;↑↑↑;↑↑↑
🧾;↑↑↑;contabilidad|contaduría|evidencia|recibo
💹;↑↑↑;gráfico|mercado|mercado en alza|tendencia|yen
✉️;↑↑↑;carta|comunicación|correo|sobre
📧;↑↑↑;comunicación|correo|electrónico|email
📨;↑↑↑;carta|correo electrónico|mensaje|mensaje entrante|recibido|sobre
📩;↑↑↑;carta|comunicación|correo electrónico|enviado|mensaje|mensaje saliente
📤;↑↑↑;bandeja|bandeja de salida|comunicación|correo|enviados|salida
📥;↑↑↑;bandeja de entrada|comunicación|correo|entrada|entrante|recibidos
📦;↑↑↑;↑↑↑
📫;↑↑↑;↑↑↑
📪;↑↑↑;↑↑↑
📬;↑↑↑;↑↑↑
📭;↑↑↑;↑↑↑
📮;↑↑↑;↑↑↑
🗳️;↑↑↑;↑↑↑
✏️;↑↑↑;↑↑↑
✒️;pluma de lapicera;pluma de lapicera
🖋️;↑↑↑;↑↑↑
🖊️;↑↑↑;bolígrafo|escribir|lapicera|pluma
🖌️;↑↑↑;↑↑↑
🖍️;↑↑↑;colorear|crayola|crayón|dibujar|pintar
📝;↑↑↑;comunicación|memo|memorándum|nota|recordatorio
💼;↑↑↑;bolso de hombre|maletín|portafolio
📁;↑↑↑;↑↑↑
📂;↑↑↑;↑↑↑
🗂️;↑↑↑;↑↑↑
📅;↑↑↑;↑↑↑
📆;↑↑↑;↑↑↑
🗒️;↑↑↑;↑↑↑
🗓️;↑↑↑;↑↑↑
📇;↑↑↑;↑↑↑
📈;↑↑↑;alza|ascendente|gráfico|tabla|tendencia ascendente
📉;↑↑↑;baja|descendente|gráfico|tabla|tendencia descendente
📊;↑↑↑;↑↑↑
📋;↑↑↑;↑↑↑
📌;↑↑↑;↑↑↑
📍;↑↑↑;↑↑↑
📎;↑↑↑;↑↑↑
🖇️;↑↑↑;↑↑↑
📏;↑↑↑;↑↑↑
📐;↑↑↑;↑↑↑
✂️;↑↑↑;↑↑↑
🗃️;↑↑↑;↑↑↑
🗄️;↑↑↑;↑↑↑
🗑️;papelera;papelera
🔒;↑↑↑;↑↑↑
🔓;↑↑↑;↑↑↑
🔏;↑↑↑;↑↑↑
🔐;↑↑↑;↑↑↑
🔑;↑↑↑;↑↑↑
🗝️;↑↑↑;↑↑↑
🔨;↑↑↑;↑↑↑
🪓;↑↑↑;↑↑↑
⛏️;↑↑↑;↑↑↑
⚒️;↑↑↑;↑↑↑
🛠️;↑↑↑;↑↑↑
🗡️;↑↑↑;↑↑↑
⚔️;↑↑↑;↑↑↑
💣;↑↑↑;bomba|cómics|explosión|explota
🪃;↑↑↑;↑↑↑
🏹;↑↑↑;↑↑↑
🛡️;↑↑↑;↑↑↑
🪚;↑↑↑;↑↑↑
🔧;↑↑↑;↑↑↑
🪛;↑↑↑;destornillador
🔩;↑↑↑;↑↑↑
⚙️;↑↑↑;↑↑↑
🗜️;abrazadera;abrazadera
⚖️;↑↑↑;↑↑↑
🦯;↑↑↑;accesibilidad|bastón|ceguera|invidente
🔗;↑↑↑;↑↑↑
⛓️‍💥;↑↑↑;cadena rota|rompiendo cadena
⛓️;↑↑↑;↑↑↑
🪝;↑↑↑;gancho
🧰;↑↑↑;caja de herramientas|cofre|herramienta|mecánico
🧲;↑↑↑;↑↑↑
🪜;↑↑↑;↑↑↑
⚗️;↑↑↑;↑↑↑
🧪;↑↑↑;↑↑↑
🧫;placa de Petri;bacteria|biología|biólogo|laboratorio|microbio|placa de Petri
🧬;ADN;ADN|biólogo|evolución|gen|genética|vida
🔬;↑↑↑;↑↑↑
🔭;↑↑↑;instrumento|microscopio|observatorio|telescopio
📡;↑↑↑;↑↑↑
💉;↑↑↑;↑↑↑
🩸;↑↑↑;↑↑↑
💊;↑↑↑;↑↑↑
🩹;curita;curita
🩼;↑↑↑;↑↑↑
🩺;↑↑↑;corazón|doctor|estetoscopio|fonendoscopio|latido|medicina
🩻;↑↑↑;↑↑↑
🚪;↑↑↑;↑↑↑
🛗;↑↑↑;ascensor
🪞;↑↑↑;espejo
🪟;↑↑↑;ventana
🛏️;↑↑↑;cama|dormir|habitación|hotel|recámara
🛋️;↑↑↑;↑↑↑
🪑;↑↑↑;↑↑↑
🚽;↑↑↑;baño|escusado|inodoro|retrete
🪠;destapacaños;destapacaños
🚿;regadera;regadera
🛁;tina;tina
🪤;trampa para ratones;trampa para ratones
🪒;navaja de afeitar;navaja de afeitar
🧴;botella de loción;botella de loción|champú|humectante|loción|protector solar
🧷;broche de seguridad;broche|broche de seguridad|pañal
🧹;↑↑↑;barrer|bruja|escoba|limpiar
🧺;canasta;campesino|canasta|lavar la ropa|picnic
🧻;↑↑↑;papel higiénico|rollo de papel|toallas de papel
🪣;balde;balde
🧼;↑↑↑;bañarse|barra|barra de jabón|jabón|lavar
🫧;↑↑↑;↑↑↑
🪥;↑↑↑;cepillo de dientes
🧽;↑↑↑;absorber|esponja|limpiar|poroso
🧯;↑↑↑;apagar|extinguir|extintor|fuego|matafuegos
🛒;↑↑↑;carriito|carrito de compras|carro|compras|supermercado
🚬;↑↑↑;↑↑↑
⚰️;↑↑↑;↑↑↑
🪦;↑↑↑;lápida
⚱️;↑↑↑;↑↑↑
🧿;nazar;cuenta|hechizo|mal de ojo|nazar|talismán
🪬;↑↑↑;↑↑↑
🗿;estatua de Isla de Pascua;estatua de Isla de Pascua
🪧;cartel;cartel
🪪;↑↑↑;↑↑↑

[symbols]
🏧;cartel de cajero automático;atm|banco|cajero|cajero automático|cartel de cajero automático|señal de cajero automático
🚮;↑↑↑;↑↑↑
🚰;↑↑↑;↑↑↑
♿;señal de acceso para silla de ruedas;acceso|acceso para silla de ruedas|señal|señal de acceso para silla de ruedas|silla de ruedas
🚹;señal del baño de los hombres;aseo de caballeros|aseo para hombres|baño|señal|señal con un hombre|señal del baño de los hombres|servicio
🚺;señal del baño de las mujeres;señal del baño de las mujeres
🚻;↑↑↑;↑↑↑
🚼;↑↑↑;bebé|cambiador|señal|señal de bebé
🚾;↑↑↑;↑↑↑
🛂;↑↑↑;↑↑↑
🛃;↑↑↑;↑↑↑
🛄;↑↑↑;↑↑↑
🛅;↑↑↑;↑↑↑
⚠️;↑↑↑;↑↑↑
🚸;↑↑↑;↑↑↑
⛔;↑↑↑;↑↑↑
🚫;↑↑↑;no|pasar|prohibido|señal|señal de prohibición
🚳;↑↑↑;↑↑↑
🚭;↑↑↑;↑↑↑
🚯;↑↑↑;↑↑↑
🚱;↑↑↑;↑↑↑
🚷;↑↑↑;↑↑↑
📵;↑↑↑;↑↑↑
🔞;↑↑↑;↑↑↑
☢️;↑↑↑;↑↑↑
☣️;↑↑↑;↑↑↑
⬆️;↑↑↑;↑↑↑
↗️;↑↑↑;derecha|dirección|flecha|flecha hacia el noreste|flecha hacia la esquina superior derecha|noreste
➡️;↑↑↑;↑↑↑
↘️;flecha hacia el sureste;flecha hacia el sureste
⬇️;↑↑↑;↑↑↑
↙️;flecha hacia el suroeste;flecha hacia el suroeste
⬅️;↑↑↑;↑↑↑
↖️;↑↑↑;arriba|dirección|flecha|flecha hacia el noroeste|flecha hacia la esquina superior izquierda|noroeste
↕️;↑↑↑;↑↑↑
↔️;↑↑↑;↑↑↑
↩️;↑↑↑;↑↑↑
↪️;↑↑↑;↑↑↑
⤴️;↑↑↑;↑↑↑
⤵️;↑↑↑;↑↑↑
🔃;↑↑↑;↑↑↑
🔄;↑↑↑;↑↑↑
🔙;↑↑↑;↑↑↑
🔚;↑↑↑;↑↑↑
🔛;↑↑↑;↑↑↑
🔜;↑↑↑;↑↑↑
🔝;↑↑↑;↑↑↑
🛐;↑↑↑;↑↑↑
⚛️;↑↑↑;↑↑↑
🕉️;↑↑↑;↑↑↑
✡️;↑↑↑;↑↑↑
☸️;rueda del dharma;↑↑↑
☯️;↑↑↑;↑↑↑
✝️;↑↑↑;↑↑↑
☦️;↑↑↑;↑↑↑
☪️;↑↑↑;↑↑↑
☮️;↑↑↑;↑↑↑
🕎;↑↑↑;↑↑↑
🔯;↑↑↑;David|estrella de David|estrella de seis puntas|hexagrama
🪯;↑↑↑;↑↑↑
♈;↑↑↑;↑↑↑
♉;↑↑↑;↑↑↑
♊;↑↑↑;↑↑↑
♋;↑↑↑;↑↑↑
♌;↑↑↑;↑↑↑
♍;↑↑↑;↑↑↑
♎;↑↑↑;↑↑↑
♏;↑↑↑;↑↑↑
♐;↑↑↑;↑↑↑
♑;↑↑↑;↑↑↑
♒;↑↑↑;↑↑↑
♓;↑↑↑;↑↑↑
⛎;↑↑↑;↑↑↑
🔀;↑↑↑;↑↑↑
🔁;↑↑↑;↑↑↑
🔂;↑↑↑;↑↑↑
▶️;↑↑↑;↑↑↑
⏩;↑↑↑;↑↑↑
⏭️;↑↑↑;avanzar|avanzar a la pista siguiente|botón|música|siguiente
⏯️;↑↑↑;↑↑↑
◀️;↑↑↑;↑↑↑
⏪;↑↑↑;↑↑↑
⏮️;↑↑↑;↑↑↑
🔼;↑↑↑;↑↑↑
⏫;↑↑↑;↑↑↑
🔽;↑↑↑;↑↑↑
⏬;↑↑↑;↑↑↑
⏸️;↑↑↑;↑↑↑
⏹️;↑↑↑;↑↑↑
⏺️;↑↑↑;↑↑↑
⏏️;↑↑↑;↑↑↑
🎦;↑↑↑;botón|cámara|cine|filmar|grabar
🔅;reducir brillo;reducir brillo
🔆;aumentar brillo;aumentar brillo
📶;↑↑↑;↑↑↑
🛜;↑↑↑;↑↑↑
📳;↑↑↑;↑↑↑
📴;↑↑↑;↑↑↑
♀️;↑↑↑;↑↑↑
♂️;↑↑↑;↑↑↑
⚧️;↑↑↑;↑↑↑
✖️;signo de multiplicación;↑↑↑
➕;↑↑↑;+|más|signo|signo de suma|suma
➖;signo de resta;-|−|menos|resta|signo|signo de resta
➗;signo de división;↑↑↑
🟰;signo igual;matemáticas|signo igual
♾️;↑↑↑;eterno|ilimitado|infinito|universal
‼️;↑↑↑;↑↑↑
⁉️;↑↑↑;↑↑↑
❓;↑↑↑;↑↑↑
❔;↑↑↑;↑↑↑
❕;↑↑↑;↑↑↑
❗;↑↑↑;↑↑↑
〰️;↑↑↑;↑↑↑
💱;↑↑↑;↑↑↑
💲;↑↑↑;dinero|divisa|dólar|símbolo|símbolo de dólar
⚕️;↑↑↑;↑↑↑
♻️;↑↑↑;reciclado|reciclaje|reciclar|símbolo|símbolo de reciclaje
⚜️;↑↑↑;↑↑↑
🔱;↑↑↑;barco|emblema|emblema de tridente|navegación|neptuno|tridente
📛;gafete;gafete
🔰;↑↑↑;bandera|hoja|japonés|principiante|símbolo japonés de principiante
⭕;↑↑↑;↑↑↑
✅;↑↑↑;↑↑↑
☑️;↑↑↑;✓|casilla|casilla seleccionada|marca|selección|verificación
✔️;marca de verificación;✓|marca|marca de verificación|selección|verificación
❌;tache;×|cancelar|cruz|marca de cruz|marca de tachado|tachar|tache
