[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	👐🏻;;abiertas|gesto|manos|manos abiertas: tono de piel claro|tono de piel claro
	👐🏼;;abiertas|gesto|manos|manos abiertas: tono de piel claro medio|tono de piel claro medio
	👐🏽;;abiertas|gesto|manos|manos abiertas: tono de piel medio|tono de piel medio
	👐🏾;;abiertas|gesto|manos|manos abiertas: tono de piel oscuro medio|tono de piel oscuro medio
	👐🏿;;abiertas|gesto|manos|manos abiertas: tono de piel oscuro|tono de piel oscuro
🤲;↑↑↑;↑↑↑
	🤲🏻;;
	🤲🏼;;
	🤲🏽;;
	🤲🏾;;
	🤲🏿;;
🤝;↑↑↑;acuerdo|apretón|apretón de manos|manos|reunión
	🤝🏻;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro|manos|reunión|tono de piel claro
	🤝🏼;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro medio|manos|reunión|tono de piel claro medio
	🤝🏽;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel medio|manos|reunión|tono de piel medio
	🤝🏾;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro medio|manos|reunión|tono de piel oscuro medio
	🤝🏿;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro|manos|reunión|tono de piel oscuro
	🫱🏻‍🫲🏼;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro y tono de piel claro medio|manos|reunión|tono de piel claro|tono de piel claro medio
	🫱🏻‍🫲🏽;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro y tono de piel medio|manos|reunión|tono de piel claro|tono de piel medio
	🫱🏻‍🫲🏾;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro y tono de piel oscuro medio|manos|reunión|tono de piel claro|tono de piel oscuro medio
	🫱🏻‍🫲🏿;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro y tono de piel oscuro|manos|reunión|tono de piel claro|tono de piel oscuro
	🫱🏼‍🫲🏻;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro medio y tono de piel claro|manos|reunión|tono de piel claro|tono de piel claro medio
	🫱🏼‍🫲🏽;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro medio y tono de piel medio|manos|reunión|tono de piel claro medio|tono de piel medio
	🫱🏼‍🫲🏾;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro medio y tono de piel oscuro medio|manos|reunión|tono de piel claro medio|tono de piel oscuro medio
	🫱🏼‍🫲🏿;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel claro medio y tono de piel oscuro|manos|reunión|tono de piel claro medio|tono de piel oscuro
	🫱🏽‍🫲🏻;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel medio y tono de piel claro|manos|reunión|tono de piel claro|tono de piel medio
	🫱🏽‍🫲🏼;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel medio y tono de piel claro medio|manos|reunión|tono de piel claro medio|tono de piel medio
	🫱🏽‍🫲🏾;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel medio y tono de piel oscuro medio|manos|reunión|tono de piel medio|tono de piel oscuro medio
	🫱🏽‍🫲🏿;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel medio y tono de piel oscuro|manos|reunión|tono de piel medio|tono de piel oscuro
	🫱🏾‍🫲🏻;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro medio y tono de piel claro|manos|reunión|tono de piel claro|tono de piel oscuro medio
	🫱🏾‍🫲🏼;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro medio y tono de piel claro medio|manos|reunión|tono de piel claro medio|tono de piel oscuro medio
	🫱🏾‍🫲🏽;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro medio y tono de piel medio|manos|reunión|tono de piel medio|tono de piel oscuro medio
	🫱🏾‍🫲🏿;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro medio y tono de piel oscuro|manos|reunión|tono de piel oscuro|tono de piel oscuro medio
	🫱🏿‍🫲🏻;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro y tono de piel claro|manos|reunión|tono de piel claro|tono de piel oscuro
	🫱🏿‍🫲🏼;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro y tono de piel claro medio|manos|reunión|tono de piel claro medio|tono de piel oscuro
	🫱🏿‍🫲🏽;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro y tono de piel medio|manos|reunión|tono de piel medio|tono de piel oscuro
	🫱🏿‍🫲🏾;;acuerdo|apretón|apretón de manos|apretón de manos: tono de piel oscuro y tono de piel oscuro medio|manos|reunión|tono de piel oscuro|tono de piel oscuro medio
🙏;↑↑↑;favor|gracias|manos|manos en oración|oración|orar|rezar
	🙏🏻;;favor|gracias|manos|manos en oración|oración|orar|rezar|tono de piel claro
	🙏🏼;;favor|gracias|manos|manos en oración|oración|orar|rezar|tono de piel claro medio
	🙏🏽;;favor|gracias|manos|manos en oración|oración|orar|rezar|tono de piel medio
	🙏🏾;;favor|gracias|manos|manos en oración|oración|orar|rezar|tono de piel oscuro medio
	🙏🏿;;favor|gracias|manos|manos en oración|oración|orar|rezar|tono de piel oscuro
✍️;↑↑↑;↑↑↑
	✍🏻;;
	✍🏼;;
	✍🏽;;
	✍🏾;;
	✍🏿;;
💅;↑↑↑;↑↑↑
	💅🏻;;
	💅🏼;;
	💅🏽;;
	💅🏾;;
	💅🏿;;
🤳;selfie;autofoto|cámara|selfie|teléfono
	🤳🏻;selfie: tono de piel claro;autofoto|cámara|selfie|selfie: tono de piel claro|teléfono|tono de piel claro
	🤳🏼;selfie: tono de piel claro medio;autofoto|cámara|selfie|selfie: tono de piel claro medio|teléfono|tono de piel claro medio
	🤳🏽;selfie: tono de piel medio;autofoto|cámara|selfie|selfie: tono de piel medio|teléfono|tono de piel medio
	🤳🏾;selfie: tono de piel oscuro medio;autofoto|cámara|selfie|selfie: tono de piel oscuro medio|teléfono|tono de piel oscuro medio
	🤳🏿;selfie: tono de piel oscuro;autofoto|cámara|selfie|selfie: tono de piel oscuro|teléfono|tono de piel oscuro
💪;↑↑↑;↑↑↑
	💪🏻;;
	💪🏼;;
	💪🏽;;
	💪🏾;;
	💪🏿;;
🦾;↑↑↑;↑↑↑
🦿;↑↑↑;↑↑↑
🦵;↑↑↑;↑↑↑
	🦵🏻;;
	🦵🏼;;
	🦵🏽;;
	🦵🏾;;
	🦵🏿;;
🦶;↑↑↑;↑↑↑
	🦶🏻;;
	🦶🏼;;
	🦶🏽;;
	🦶🏾;;
	🦶🏿;;
👂;↑↑↑;↑↑↑
	👂🏻;;
	👂🏼;;
	👂🏽;;
	👂🏾;;
	👂🏿;;
🦻;↑↑↑;↑↑↑
	🦻🏻;;
	🦻🏼;;
	🦻🏽;;
	🦻🏾;;
	🦻🏿;;
👃;↑↑↑;↑↑↑
	👃🏻;;
	👃🏼;;
	👃🏽;;
	👃🏾;;
	👃🏿;;
🧠;↑↑↑;↑↑↑
🫀;↑↑↑;↑↑↑
🫁;↑↑↑;↑↑↑
🦷;↑↑↑;↑↑↑
🦴;↑↑↑;↑↑↑
👀;↑↑↑;↑↑↑
👁️;↑↑↑;↑↑↑
👅;↑↑↑;↑↑↑
👄;↑↑↑;↑↑↑
🫦;↑↑↑;↑↑↑
👶;↑↑↑;bebé|cara|persona
	👶🏻;;bebé|bebé: tono de piel claro|cara|persona|tono de piel claro
	👶🏼;;bebé|bebé: tono de piel claro medio|cara|persona|tono de piel claro medio
	👶🏽;;bebé|bebé: tono de piel medio|cara|persona|tono de piel medio
	👶🏾;;bebé|bebé: tono de piel oscuro medio|cara|persona|tono de piel oscuro medio
	👶🏿;;bebé|bebé: tono de piel oscuro|cara|persona|tono de piel oscuro
🧒;↑↑↑;↑↑↑
	🧒🏻;;
	🧒🏼;;
	🧒🏽;;
	🧒🏾;;
	🧒🏿;;
👦;↑↑↑;cara|chico|joven|nene|niño|persona
	👦🏻;;cara|chico|joven|nene|niño|persona|tono de piel claro
	👦🏼;;cara|chico|joven|nene|niño|persona|tono de piel claro medio
	👦🏽;;cara|chico|joven|nene|niño|persona|tono de piel medio
	👦🏾;;cara|chico|joven|nene|niño|persona|tono de piel oscuro medio
	👦🏿;;cara|chico|joven|nene|niño|persona|tono de piel oscuro
👧;↑↑↑;↑↑↑
	👧🏻;;
	👧🏼;;
	👧🏽;;
	👧🏾;;
	👧🏿;;
🧑;↑↑↑;↑↑↑
	🧑🏻;;
	🧑🏼;;
	🧑🏽;;
	🧑🏾;;
	🧑🏿;;
👱;↑↑↑;cara|persona|persona adulta rubia|rubio
	👱🏻;;cara|persona|persona adulta rubia|persona adulta rubia: tono de piel claro|rubio|tono de piel claro
	👱🏼;;cara|persona|persona adulta rubia|persona adulta rubia: tono de piel claro medio|rubio|tono de piel claro medio
	👱🏽;;cara|persona|persona adulta rubia|persona adulta rubia: tono de piel medio|rubio|tono de piel medio
	👱🏾;;cara|persona|persona adulta rubia|persona adulta rubia: tono de piel oscuro medio|rubio|tono de piel oscuro medio
	👱🏿;;cara|persona|persona adulta rubia|persona adulta rubia: tono de piel oscuro|rubio|tono de piel oscuro
👨;↑↑↑;cara|hombre|persona|señor
	👨🏻;;cara|hombre|hombre: tono de piel claro|persona|señor|tono de piel claro
	👨🏼;;cara|hombre|hombre: tono de piel claro medio|persona|señor|tono de piel claro medio
	👨🏽;;cara|hombre|hombre: tono de piel medio|persona|señor|tono de piel medio
	👨🏾;;cara|hombre|hombre: tono de piel oscuro medio|persona|señor|tono de piel oscuro medio
	👨🏿;;cara|hombre|hombre: tono de piel oscuro|persona|señor|tono de piel oscuro
🧔;↑↑↑;↑↑↑
	🧔🏻;;
	🧔🏼;;
	🧔🏽;;
	🧔🏾;;
	🧔🏿;;
🧔‍♂️;↑↑↑;barba|hombre: barba
	🧔🏻‍♂️;;barba|hombre: barba|hombre: tono de piel claro y barba|tono de piel claro
	🧔🏼‍♂️;;barba|hombre: barba|hombre: tono de piel claro medio y barba|tono de piel claro medio
	🧔🏽‍♂️;;barba|hombre: barba|hombre: tono de piel medio y barba|tono de piel medio
	🧔🏾‍♂️;;barba|hombre: barba|hombre: tono de piel oscuro medio y barba|tono de piel oscuro medio
	🧔🏿‍♂️;;barba|hombre: barba|hombre: tono de piel oscuro y barba|tono de piel oscuro
🧔‍♀️;↑↑↑;↑↑↑
	🧔🏻‍♀️;;
	🧔🏼‍♀️;;
	🧔🏽‍♀️;;
	🧔🏾‍♀️;;
	🧔🏿‍♀️;;
👨‍🦰;;cara|hombre|hombre: pelo pelirrojo|pelo pelirrojo|persona|señor
	👨🏻‍🦰;;cara|hombre|hombre: tono de piel claro y pelo pelirrojo|pelo pelirrojo|persona|señor|tono de piel claro
	👨🏼‍🦰;;cara|hombre|hombre: tono de piel claro medio y pelo pelirrojo|pelo pelirrojo|persona|señor|tono de piel claro medio
	👨🏽‍🦰;;cara|hombre|hombre: tono de piel medio y pelo pelirrojo|pelo pelirrojo|persona|señor|tono de piel medio
	👨🏾‍🦰;;cara|hombre|hombre: tono de piel oscuro medio y pelo pelirrojo|pelo pelirrojo|persona|señor|tono de piel oscuro medio
	👨🏿‍🦰;;cara|hombre|hombre: tono de piel oscuro y pelo pelirrojo|pelo pelirrojo|persona|señor|tono de piel oscuro
👨‍🦱;;cara|hombre|hombre: pelo rizado|pelo rizado|persona|señor
	👨🏻‍🦱;;cara|hombre|hombre: tono de piel claro y pelo rizado|pelo rizado|persona|señor|tono de piel claro
	👨🏼‍🦱;;cara|hombre|hombre: tono de piel claro medio y pelo rizado|pelo rizado|persona|señor|tono de piel claro medio
	👨🏽‍🦱;;cara|hombre|hombre: tono de piel medio y pelo rizado|pelo rizado|persona|señor|tono de piel medio
	👨🏾‍🦱;;cara|hombre|hombre: tono de piel oscuro medio y pelo rizado|pelo rizado|persona|señor|tono de piel oscuro medio
	👨🏿‍🦱;;cara|hombre|hombre: tono de piel oscuro y pelo rizado|pelo rizado|persona|señor|tono de piel oscuro
👨‍🦳;;cara|hombre|pelo blanco|persona|señor
	👨🏻‍🦳;;cara|hombre|pelo blanco|persona|señor|tono de piel claro
	👨🏼‍🦳;;cara|hombre|pelo blanco|persona|señor|tono de piel claro medio
	👨🏽‍🦳;;cara|hombre|pelo blanco|persona|señor|tono de piel medio
	👨🏾‍🦳;;cara|hombre|pelo blanco|persona|señor|tono de piel oscuro medio
	👨🏿‍🦳;;cara|hombre|pelo blanco|persona|señor|tono de piel oscuro
👨‍🦲;;cara|hombre|hombre: sin pelo|persona|señor|sin pelo
	👨🏻‍🦲;;cara|hombre|hombre: tono de piel claro y sin pelo|persona|señor|sin pelo|tono de piel claro
	👨🏼‍🦲;;cara|hombre|hombre: tono de piel claro medio y sin pelo|persona|señor|sin pelo|tono de piel claro medio
	👨🏽‍🦲;;cara|hombre|hombre: tono de piel medio y sin pelo|persona|señor|sin pelo|tono de piel medio
	👨🏾‍🦲;;cara|hombre|hombre: tono de piel oscuro medio y sin pelo|persona|señor|sin pelo|tono de piel oscuro medio
	👨🏿‍🦲;;cara|hombre|hombre: tono de piel oscuro y sin pelo|persona|señor|sin pelo|tono de piel oscuro
👩;↑↑↑;cara|mujer|persona|señora
	👩🏻;;cara|mujer|mujer: tono de piel claro|persona|señora|tono de piel claro
	👩🏼;;cara|mujer|mujer: tono de piel claro medio|persona|señora|tono de piel claro medio
	👩🏽;;cara|mujer|mujer: tono de piel medio|persona|señora|tono de piel medio
	👩🏾;;cara|mujer|mujer: tono de piel oscuro medio|persona|señora|tono de piel oscuro medio
	👩🏿;;cara|mujer|mujer: tono de piel oscuro|persona|señora|tono de piel oscuro
👩‍🦰;;cara|mujer|mujer: pelo pelirrojo|pelo pelirrojo|persona|señora
	👩🏻‍🦰;;cara|mujer|mujer: tono de piel claro y pelo pelirrojo|pelo pelirrojo|persona|señora|tono de piel claro
	👩🏼‍🦰;;cara|mujer|mujer: tono de piel claro medio y pelo pelirrojo|pelo pelirrojo|persona|señora|tono de piel claro medio
	👩🏽‍🦰;;cara|mujer|mujer: tono de piel medio y pelo pelirrojo|pelo pelirrojo|persona|señora|tono de piel medio
	👩🏾‍🦰;;cara|mujer|mujer: tono de piel oscuro medio y pelo pelirrojo|pelo pelirrojo|persona|señora|tono de piel oscuro medio
	👩🏿‍🦰;;cara|mujer|mujer: tono de piel oscuro y pelo pelirrojo|pelo pelirrojo|persona|señora|tono de piel oscuro
🧑‍🦰;;
	🧑🏻‍🦰;;
	🧑🏼‍🦰;;
	🧑🏽‍🦰;;
	🧑🏾‍🦰;;
	🧑🏿‍🦰;;
👩‍🦱;;cara|mujer|mujer: pelo rizado|pelo rizado|persona|señora
	👩🏻‍🦱;;cara|mujer|mujer: tono de piel claro y pelo rizado|pelo rizado|persona|señora|tono de piel claro
	👩🏼‍🦱;;cara|mujer|mujer: tono de piel claro medio y pelo rizado|pelo rizado|persona|señora|tono de piel claro medio
	👩🏽‍🦱;;cara|mujer|mujer: tono de piel medio y pelo rizado|pelo rizado|persona|señora|tono de piel medio
	👩🏾‍🦱;;cara|mujer|mujer: tono de piel oscuro medio y pelo rizado|pelo rizado|persona|señora|tono de piel oscuro medio
	👩🏿‍🦱;;cara|mujer|mujer: tono de piel oscuro y pelo rizado|pelo rizado|persona|señora|tono de piel oscuro
🧑‍🦱;;
	🧑🏻‍🦱;;
	🧑🏼‍🦱;;
	🧑🏽‍🦱;;
	🧑🏾‍🦱;;
	🧑🏿‍🦱;;
👩‍🦳;;cara|mujer|pelo blanco|persona|señora
	👩🏻‍🦳;;cara|mujer|pelo blanco|persona|señora|tono de piel claro
	👩🏼‍🦳;;cara|mujer|pelo blanco|persona|señora|tono de piel claro medio
	👩🏽‍🦳;;cara|mujer|pelo blanco|persona|señora|tono de piel medio
	👩🏾‍🦳;;cara|mujer|pelo blanco|persona|señora|tono de piel oscuro medio
	👩🏿‍🦳;;cara|mujer|pelo blanco|persona|señora|tono de piel oscuro
🧑‍🦳;;
	🧑🏻‍🦳;;
	🧑🏼‍🦳;;
	🧑🏽‍🦳;;
	🧑🏾‍🦳;;
	🧑🏿‍🦳;;
👩‍🦲;;cara|mujer|mujer: sin pelo|persona|señora|sin pelo
	👩🏻‍🦲;;cara|mujer|mujer: tono de piel claro y sin pelo|persona|señora|sin pelo|tono de piel claro
	👩🏼‍🦲;;cara|mujer|mujer: tono de piel claro medio y sin pelo|persona|señora|sin pelo|tono de piel claro medio
	👩🏽‍🦲;;cara|mujer|mujer: tono de piel medio y sin pelo|persona|señora|sin pelo|tono de piel medio
	👩🏾‍🦲;;cara|mujer|mujer: tono de piel oscuro medio y sin pelo|persona|señora|sin pelo|tono de piel oscuro medio
	👩🏿‍🦲;;cara|mujer|mujer: tono de piel oscuro y sin pelo|persona|señora|sin pelo|tono de piel oscuro
🧑‍🦲;;
	🧑🏻‍🦲;;
	🧑🏼‍🦲;;
	🧑🏽‍🦲;;
	🧑🏾‍🦲;;
	🧑🏿‍🦲;;
👱‍♀️;↑↑↑;↑↑↑
	👱🏻‍♀️;;
	👱🏼‍♀️;;
	👱🏽‍♀️;;
	👱🏾‍♀️;;
	👱🏿‍♀️;;
👱‍♂️;↑↑↑;↑↑↑
	👱🏻‍♂️;;
	👱🏼‍♂️;;
	👱🏽‍♂️;;
	👱🏾‍♂️;;
	👱🏿‍♂️;;
🧓;adulto mayor;adulto mayor|género|maduro|mayor|neutro|persona adulta madura
	🧓🏻;adulto mayor: tono de piel claro;adulto mayor|adulto mayor: tono de piel claro|género|maduro|mayor|neutro|persona adulta madura|tono de piel claro
	🧓🏼;adulto mayor: tono de piel claro medio;adulto mayor|adulto mayor: tono de piel claro medio|género|maduro|mayor|neutro|persona adulta madura|tono de piel claro medio
	🧓🏽;adulto mayor: tono de piel medio;adulto mayor|adulto mayor: tono de piel medio|género|maduro|mayor|neutro|persona adulta madura|tono de piel medio
	🧓🏾;adulto mayor: tono de piel oscuro medio;adulto mayor|adulto mayor: tono de piel oscuro medio|género|maduro|mayor|neutro|persona adulta madura|tono de piel oscuro medio
	🧓🏿;adulto mayor: tono de piel oscuro;adulto mayor|adulto mayor: tono de piel oscuro|género|maduro|mayor|neutro|persona adulta madura|tono de piel oscuro
👴;hombre mayor;cara|hombre|mayor|señor|viejo
	👴🏻;hombre mayor: tono de piel claro;cara|hombre|hombre mayor: tono de piel claro|mayor|señor|tono de piel claro|viejo
	👴🏼;hombre mayor: tono de piel claro medio;cara|hombre|hombre mayor: tono de piel claro medio|mayor|señor|tono de piel claro medio|viejo
	👴🏽;hombre mayor: tono de piel medio;cara|hombre|hombre mayor: tono de piel medio|mayor|señor|tono de piel medio|viejo
	👴🏾;hombre mayor: tono de piel oscuro medio;cara|hombre|hombre mayor: tono de piel oscuro medio|mayor|señor|tono de piel oscuro medio|viejo
	👴🏿;hombre mayor: tono de piel oscuro;cara|hombre|hombre mayor: tono de piel oscuro|mayor|señor|tono de piel oscuro|viejo
👵;mujer mayor;cara|mayor|mujer|señora|vieja
	👵🏻;mujer mayor: tono de piel claro;cara|mayor|mujer|mujer mayor: tono de piel claro|señora|tono de piel claro|vieja
	👵🏼;mujer mayor: tono de piel claro medio;cara|mayor|mujer|mujer mayor: tono de piel claro medio|señora|tono de piel claro medio|vieja
	👵🏽;mujer mayor: tono de piel medio;cara|mayor|mujer|mujer mayor: tono de piel medio|señora|tono de piel medio|vieja
	👵🏾;mujer mayor: tono de piel oscuro medio;cara|mayor|mujer|mujer mayor: tono de piel oscuro medio|señora|tono de piel oscuro medio|vieja
	👵🏿;mujer mayor: tono de piel oscuro;cara|mayor|mujer|mujer mayor: tono de piel oscuro|señora|tono de piel oscuro|vieja
🙍;↑↑↑;↑↑↑
	🙍🏻;;
	🙍🏼;;
	🙍🏽;;
	🙍🏾;;
	🙍🏿;;
🙍‍♂️;↑↑↑;↑↑↑
	🙍🏻‍♂️;;
	🙍🏼‍♂️;;
	🙍🏽‍♂️;;
