[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	👈🏿;;
👉;↑↑↑;↑↑↑
	👉🏻;;
	👉🏼;;
	👉🏽;;
	👉🏾;;
	👉🏿;;
👆;dorso de mano con dedo índice hacia arriba;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con índice hacia arriba|mano
	👆🏻;dorso de mano con dedo índice hacia arriba: tono de piel claro;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con dedo índice hacia arriba: tono de piel claro|dorso de mano con índice hacia arriba|mano|tono de piel claro
	👆🏼;dorso de mano con dedo índice hacia arriba: tono de piel claro medio;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con dedo índice hacia arriba: tono de piel claro medio|dorso de mano con índice hacia arriba|mano|tono de piel claro medio
	👆🏽;dorso de mano con dedo índice hacia arriba: tono de piel medio;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con dedo índice hacia arriba: tono de piel medio|dorso de mano con índice hacia arriba|mano|tono de piel medio
	👆🏾;dorso de mano con dedo índice hacia arriba: tono de piel oscuro medio;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con dedo índice hacia arriba: tono de piel oscuro medio|dorso de mano con índice hacia arriba|mano|tono de piel oscuro medio
	👆🏿;dorso de mano con dedo índice hacia arriba: tono de piel oscuro;apuntar|arriba|dedo|dorso de mano con dedo índice hacia arriba|dorso de mano con dedo índice hacia arriba: tono de piel oscuro|dorso de mano con índice hacia arriba|mano|tono de piel oscuro
🖕;dorso de mano con dedo medio hacia arriba;dedo|dorso de mano con dedo medio hacia arriba|insulto|mano|medio
	🖕🏻;dorso de mano con dedo medio hacia arriba: tono de piel claro;dedo|dorso de mano con dedo medio hacia arriba|dorso de mano con dedo medio hacia arriba: tono de piel claro|insulto|mano|medio|tono de piel claro
	🖕🏼;dorso de mano con dedo medio hacia arriba: tono de piel claro medio;dedo|dorso de mano con dedo medio hacia arriba|dorso de mano con dedo medio hacia arriba: tono de piel claro medio|insulto|mano|medio|tono de piel claro medio
	🖕🏽;dorso de mano con dedo medio hacia arriba: tono de piel medio;dedo|dorso de mano con dedo medio hacia arriba|dorso de mano con dedo medio hacia arriba: tono de piel medio|insulto|mano|medio|tono de piel medio
	🖕🏾;dorso de mano con dedo medio hacia arriba: tono de piel oscuro medio;dedo|dorso de mano con dedo medio hacia arriba|dorso de mano con dedo medio hacia arriba: tono de piel oscuro medio|insulto|mano|medio|tono de piel oscuro medio
	🖕🏿;dorso de mano con dedo medio hacia arriba: tono de piel oscuro;dedo|dorso de mano con dedo medio hacia arriba|dorso de mano con dedo medio hacia arriba: tono de piel oscuro|insulto|mano|medio|tono de piel oscuro
👇;dorso de mano con dedo índice hacia abajo;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con índice hacia abajo|mano
	👇🏻;dorso de mano con dedo índice hacia abajo: tono de piel claro;abajo|apuntar|dedo|dorso de mano con dedo índice hacia abajo|dorso de mano con dedo índice hacia abajo: tono de piel claro|dorso de mano con índice hacia abajo|mano|tono de piel claro
