# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
	👱🏼;ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি;চুলি|ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি|ব্যক্তি: সোণালী চুলি|মধ্যমীয়া-পাতল ছালৰ ৰং|সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
	👱🏽;ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি;চুলি|ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি|ব্যক্তি: সোণালী চুলি|মধ্যমীয়া ছালৰ ৰং|সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
	👱🏾;ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি;চুলি|ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি|ব্যক্তি: সোণালী চুলি|মধ্যমীয়া-ক’লা ছালৰ ৰং|সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
	👱🏿;ব্যক্তি: ক’লা ছালৰ ৰং, সোণালী চুলি;ক’লা ছালৰ ৰং|চুলি|ব্যক্তি: ক’লা ছালৰ ৰং, সোণালী চুলি|ব্যক্তি: সোণালী চুলি|সোণালী চুলি|সোণালী চুলিৰ ব্যক্তি|স্বৰ্ণকেশী
👨;মুনিহ;পুৰুষ|মুনিহ
	👨🏻;মুনিহ: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: পাতল ছালৰ ৰং
	👨🏼;মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং;পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং
	👨🏽;মুনিহ: মধ্যমীয়া ছালৰ ৰং;পুৰুষ|মধ্যমীয়া ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া ছালৰ ৰং
	👨🏾;মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং;পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং
	👨🏿;মুনিহ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: ক’লা ছালৰ ৰং
🧔;পুৰুষ: দাঢ়ি;দাঢ়ি|পুৰুষ|পুৰুষ: দাঢ়ি|ব্যক্তি
	🧔🏻;পুৰুষ: পাতল ছালৰ ৰং, দাঢ়ি;দাঢ়ি|পাতল ছালৰ ৰং|পুৰুষ|পুৰুষ: দাঢ়ি|পুৰুষ: পাতল ছালৰ ৰং, দাঢ়ি|ব্যক্তি
	🧔🏼;পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, দাঢ়ি;দাঢ়ি|পুৰুষ|পুৰুষ: দাঢ়ি|পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, দাঢ়ি|ব্যক্তি|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧔🏽;পুৰুষ: মধ্যমীয়া ছালৰ ৰং, দাঢ়ি;দাঢ়ি|পুৰুষ|পুৰুষ: দাঢ়ি|পুৰুষ: মধ্যমীয়া ছালৰ ৰং, দাঢ়ি|ব্যক্তি|মধ্যমীয়া ছালৰ ৰং
	🧔🏾;পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাঢ়ি;দাঢ়ি|পুৰুষ|পুৰুষ: দাঢ়ি|পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাঢ়ি|ব্যক্তি|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧔🏿;পুৰুষ: ক’লা ছালৰ ৰং, দাঢ়ি;ক’লা ছালৰ ৰং|দাঢ়ি|পুৰুষ|পুৰুষ: ক’লা ছালৰ ৰং, দাঢ়ি|পুৰুষ: দাঢ়ি|ব্যক্তি
🧔‍♂️;পুৰুষ: দাড়ি;দাড়ি|পুৰুষ|পুৰুষ: দাড়ি
	🧔🏻‍♂️;পুৰুষ: পাতল ছালৰ ৰং, দাড়ি;দাড়ি|পাতল ছালৰ ৰং|পুৰুষ|পুৰুষ: দাড়ি|পুৰুষ: পাতল ছালৰ ৰং, দাড়ি
	🧔🏼‍♂️;পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, দাড়ি;দাড়ি|পুৰুষ|পুৰুষ: দাড়ি|পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, দাড়ি|মধ্যমীয়া-পাতল ছালৰ ৰং
	🧔🏽‍♂️;পুৰুষ: মধ্যমীয়া ছালৰ ৰং, দাড়ি;দাড়ি|পুৰুষ|পুৰুষ: দাড়ি|পুৰুষ: মধ্যমীয়া ছালৰ ৰং, দাড়ি|মধ্যমীয়া ছালৰ ৰং
	🧔🏾‍♂️;পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাড়ি;দাড়ি|পুৰুষ|পুৰুষ: দাড়ি|পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাড়ি|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🧔🏿‍♂️;পুৰুষ: ক’লা ছালৰ ৰং, দাড়ি;ক’লা ছালৰ ৰং|দাড়ি|পুৰুষ|পুৰুষ: ক’লা ছালৰ ৰং, দাড়ি|পুৰুষ: দাড়ি
🧔‍♀️;মহিলা: দাড়ি;দাড়ি|মহিলা|মহিলা: দাড়ি
	🧔🏻‍♀️;মহিলা: পাতল ছালৰ ৰং, দাড়ি;দাড়ি|পাতল ছালৰ ৰং|মহিলা|মহিলা: দাড়ি|মহিলা: পাতল ছালৰ ৰং, দাড়ি
	🧔🏼‍♀️;মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, দাড়ি;দাড়ি|মধ্যমীয়া-পাতল ছালৰ ৰং|মহিলা|মহিলা: দাড়ি|মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, দাড়ি
	🧔🏽‍♀️;মহিলা: মধ্যমীয়া ছালৰ ৰং, দাড়ি;দাড়ি|মধ্যমীয়া ছালৰ ৰং|মহিলা|মহিলা: দাড়ি|মহিলা: মধ্যমীয়া ছালৰ ৰং, দাড়ি
	🧔🏾‍♀️;মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাড়ি;দাড়ি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মহিলা|মহিলা: দাড়ি|মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাড়ি
	🧔🏿‍♀️;মহিলা: ক’লা ছালৰ ৰং, দাড়ি;ক’লা ছালৰ ৰং|দাড়ি|মহিলা|মহিলা: ক’লা ছালৰ ৰং, দাড়ি|মহিলা: দাড়ি
👨‍🦰;মুনিহ: ৰঙা চুলি;পুৰুষ|মুনিহ|মুনিহ: ৰঙা চুলি|ৰঙা চুলি
	👨🏻‍🦰;মুনিহ: পাতল ছালৰ ৰং, ৰঙা চুলি;পাতল ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: পাতল ছালৰ ৰং, ৰঙা চুলি|ৰঙা চুলি
	👨🏼‍🦰;মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, ৰঙা চুলি;পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, ৰঙা চুলি|ৰঙা চুলি
	👨🏽‍🦰;মুনিহ: মধ্যমীয়া ছালৰ ৰং, ৰঙা চুলি;পুৰুষ|মধ্যমীয়া ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া ছালৰ ৰং, ৰঙা চুলি|ৰঙা চুলি
	👨🏾‍🦰;মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰঙা চুলি;পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰঙা চুলি|ৰঙা চুলি
	👨🏿‍🦰;মুনিহ: ক’লা ছালৰ ৰং, ৰঙা চুলি;ক’লা ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: ক’লা ছালৰ ৰং, ৰঙা চুলি|ৰঙা চুলি
👨‍🦱;মুনিহ: কেঁকোৰা চুলি;কেঁকোৰা চুলি|পুৰুষ|মুনিহ|মুনিহ: কেঁকোৰা চুলি
	👨🏻‍🦱;মুনিহ: পাতল ছালৰ ৰং, কেঁকোৰা চুলি;কেঁকোৰা চুলি|পাতল ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: পাতল ছালৰ ৰং, কেঁকোৰা চুলি
	👨🏼‍🦱;মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, কেঁকোৰা চুলি;কেঁকোৰা চুলি|পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, কেঁকোৰা চুলি
	👨🏽‍🦱;মুনিহ: মধ্যমীয়া ছালৰ ৰং, কেঁকোৰা চুলি;কেঁকোৰা চুলি|পুৰুষ|মধ্যমীয়া ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া ছালৰ ৰং, কেঁকোৰা চুলি
	👨🏾‍🦱;মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, কেঁকোৰা চুলি;কেঁকোৰা চুলি|পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, কেঁকোৰা চুলি
	👨🏿‍🦱;মুনিহ: ক’লা ছালৰ ৰং, কেঁকোৰা চুলি;ক’লা ছালৰ ৰং|কেঁকোৰা চুলি|পুৰুষ|মুনিহ|মুনিহ: ক’লা ছালৰ ৰং, কেঁকোৰা চুলি
👨‍🦳;মুনিহ: বগা চুলি;পুৰুষ|বগা চুলি|মুনিহ|মুনিহ: বগা চুলি
	👨🏻‍🦳;মুনিহ: পাতল ছালৰ ৰং, বগা চুলি;পাতল ছালৰ ৰং|পুৰুষ|বগা চুলি|মুনিহ|মুনিহ: পাতল ছালৰ ৰং, বগা চুলি
	👨🏼‍🦳;মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, বগা চুলি;পুৰুষ|বগা চুলি|মধ্যমীয়া-পাতল ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, বগা চুলি
	👨🏽‍🦳;মুনিহ: মধ্যমীয়া ছালৰ ৰং, বগা চুলি;পুৰুষ|বগা চুলি|মধ্যমীয়া ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া ছালৰ ৰং, বগা চুলি
	👨🏾‍🦳;মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, বগা চুলি;পুৰুষ|বগা চুলি|মধ্যমীয়া-ক’লা ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, বগা চুলি
	👨🏿‍🦳;মুনিহ: ক’লা ছালৰ ৰং, বগা চুলি;ক’লা ছালৰ ৰং|পুৰুষ|বগা চুলি|মুনিহ|মুনিহ: ক’লা ছালৰ ৰং, বগা চুলি
👨‍🦲;মুনিহ: টপা মূৰীয়া;টপা মূৰীয়া|পুৰুষ|মুনিহ|মুনিহ: টপা মূৰীয়া
	👨🏻‍🦲;মুনিহ: পাতল ছালৰ ৰং, টপা মূৰীয়া;টপা মূৰীয়া|পাতল ছালৰ ৰং|পুৰুষ|মুনিহ|মুনিহ: পাতল ছালৰ ৰং, টপা মূৰীয়া
	👨🏼‍🦲;মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, টপা মূৰীয়া;টপা মূৰীয়া|পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, টপা মূৰীয়া
	👨🏽‍🦲;মুনিহ: মধ্যমীয়া ছালৰ ৰং, টপা মূৰীয়া;টপা মূৰীয়া|পুৰুষ|মধ্যমীয়া ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া ছালৰ ৰং, টপা মূৰীয়া
	👨🏾‍🦲;মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, টপা মূৰীয়া;টপা মূৰীয়া|পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মুনিহ|মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, টপা মূৰীয়া
	👨🏿‍🦲;মুনিহ: ক’লা ছালৰ ৰং, টপা মূৰীয়া;ক’লা ছালৰ ৰং|টপা মূৰীয়া|পুৰুষ|মুনিহ|মুনিহ: ক’লা ছালৰ ৰং, টপা মূৰীয়া
👩;তিৰোতা;তিৰোতা|মহিলা
	👩🏻;তিৰোতা: পাতল ছালৰ ৰং;তিৰোতা|তিৰোতা: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|মহিলা
