# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
😎;ছানগ্লাচ পৰিহিত হাস্যমুখ;উজ্জ্বল|কুল|ছানগ্লাচ|ছানগ্লাচ পৰিহিত হাস্যমুখ|মুখ|সূৰ্য্য
🤓;বুৰ্বক চেহেৰা;গীক|বুৰ্বক|বুৰ্বক চেহেৰা|মুখ
🧐;মোনোকলৰ চেহেৰা;মোনোকলৰ চেহেৰা|শ্বাসৰোধী
😕;বিভ্ৰান্ত মুখ;বিভ্ৰান্ত|মুখ
🫤;কোণীয়া মুখৰ চেহেৰা;অনিশ্চিত|অবিশ্বাসী|কোণীয়া মুখৰ চেহেৰা|নিৰাশ|মেহ
😟;চিন্তিত মুখ;চিন্তিত|মুখ
🙁;সামান্য ভ্ৰু উঠোৱা মুখ;ভ্ৰু উঠোৱা|মুখ|সামান্য ভ্ৰু উঠোৱা মুখ
☹️;ভ্ৰু উঠোৱা মুখ;ভ্ৰু উঠোৱা|ভ্ৰু উঠোৱা মুখ|মুখ
😮;খোলা মুখৰ চেহেৰা;খোলা|খোলা মুখৰ চেহেৰা|মুখ|সহানুভূতি
😯;নিস্তব্ধ চেহেৰা;নিস্তব্ধ|নিস্তব্ধ চেহেৰা|বিষ্মিত|মুখ|হতভম্ব
😲;বিস্মিত মুখ;আচম্বিত|বিস্মিত|মুখ|সম্পূৰ্ণৰূপে
😳;ৰঙা পৰা মুখ;বিস্মিত|মুখ|ৰঙা পৰা|ৰঙা পৰা মুখ
🥺;প্ৰতিবাদী মুখ;কৃপা|কোমল চকু|প্ৰতিবাদী মুখ|ভিক্ষা
🥹;চকুপানী ওলাই থকা মুখ;কন্দা|খঙাল|গৌৰৱ|চকুপানী ওলাই থকা মুখ|দুখী|বিৰোধিতা কৰা
😦;খোলা মুখেৰে ভ্ৰান্ত চেহেৰা;খোলা|খোলা মুখেৰে ভ্ৰান্ত চেহেৰা|ভ্ৰান্ত|মুখ
😧;দুখী মুখ;দুখী|মুখ
😨;ভয়ভীত চেহেৰা;ভয়|ভয়ভীত চেহেৰা|ভায়াৰ্ত|ভীতিপূৰ্ণ|মুখ
😰;ঘামেৰে উদ্বিগ্ন চেহেৰা;খোলা|ঘাম|ঘামেৰে উদ্বিগ্ন চেহেৰা|ঠাণ্ডা|তীব্ৰ|নীলা|মুখ
😥;দুঃখিত কিন্তু স্বস্তিৰ মুখ;দুঃখিত কিন্তু স্বস্তিৰ মুখ|মুখ|স্থিৰ|স্বস্তি|হতাশ
😢;ক্ৰন্দনৰত মুখ;ক্ৰন্দন|ক্ৰন্দনৰত মুখ|চকুপানী|দুখী|মুখ
😭;উচ্চস্বৰে ক্ৰন্দনৰত মুখ;উচ্চস্বৰে ক্ৰন্দনৰত মুখ|ক্ৰন্দন|চকুপানী|দুখী|ফোপনি|মুখ
😱;ভয়ত চিৎকাৰ কৰা মুখ;চিৎকাৰ|ভয়|ভয়ত চিৎকাৰ কৰা মুখ|ভয়ভীত|ভয়াৰ্ত|মাঞ্চ|মুখ
😖;হতভম্ব মুখ;মুখ|হতভম্ব
😣;কঠোৰ পৰিশ্ৰমী মুখ;উদ্যম|কঠোৰ পৰিশ্ৰমী মুখ|মুখ
😞;হতাশ মুখ;মুখ|হতাশ
😓;ঘমাৰ্ত নিৰাশ মুখ;ঘমাৰ্ত নিৰাশ মুখ|ঘাম|ঠাণ্ডা|মুখ
😩;ক্লান্ত চেহেৰা;ক্লান্ত|ক্লান্ত চেহেৰা|মুখ
😫;ক্লান্ত মুখ;ক্লান্ত|মুখ
🥱;চিৎকাৰ কৰা মুখমণ্ডল;ক্লান্ত|চিৎকাৰ কৰা মুখমণ্ডল|বিৰক্ত|হামি
😤;নাকৰ পৰা ভাপ ওলোৱা মুখ;জয়ী|নাকৰ পৰা ভাপ ওলোৱা মুখ|বিজয়|মুখ
😡;চিঞৰা মুখ;উন্মাদ|ক্ৰোধ|খং|চিঞৰা|মুখ|ৰঙা
😠;খঙাল মুখ;উন্মাদ|খং|খঙাল মুখ|মুখ
🤬;মুখত চিহ্নৰে চেহেৰা;অঙ্গীকাৰ|মুখ চিহ্নৰে চেহেৰা|মুখত চিহ্নৰে চেহেৰা
😈;শিঙাল হাস্যমুখী চেহেৰা;কল্পনা|পৰীৰ সাধু|মুখ|শিং|শিঙাল হাস্যমুখী চেহেৰা|হাঁহি
👿;শিঙাল ক্ৰোধিত মুখ;কল্পনা|দানব|দৈত্য|পৰীৰ সাধু|ভুত পোৱালী|মুখ|শিঙাল ক্ৰোধিত মুখ
💀;মুৰৰ খোলা;দৈত্য|পৰীৰ সাধু|মুখ|মুৰৰ খোলা|মৃত্যু
☠️;মুৰৰ খোলা বা মুৰৰ খোলাৰ হাড়;ক্ৰছব’ন|দৈত্য|মুখ|মুৰৰ খোলা|মুৰৰ খোলা বা মুৰৰ খোলাৰ হাড়|মৃত্যু
💩;পাইল অৱ পু;গোবৰ|দৈত্য|পাইল অৱ পু|পু|পুপ|মুখ
🤡;বিদূষকৰ চেহেৰা;বিদূষক|বিদূষকৰ চেহেৰা|মুখ
👹;দৈত্য;কল্পনা|দানব|দৈত্য|পৰীৰ সাধু|প্ৰাণী|মুখ
👺;পিশাচ;কল্পনা|দানব|পৰীৰ সাধু|পিশাচ|প্ৰাণী|মুখ
👻;ভূত;কল্পনা|দৈত্য|পৰীৰ সাধু|প্ৰাণী|ভূত|মুখ
👽;এলিয়েন;অলৌকিক|ইউফ’|এলিয়েন|কল্পনা|প্ৰাণী|মুখ
👾;এলিয়েন দৈত্য;অলৌকিক|ইউফ’|এলিয়েন|দৈত্য|প্ৰাণী|মুখ
🤖;ৰবট;দৈত্য|মুখমণ্ডল|ৰবট
😺;হাঁহি থকা মেকুৰী;খোলা|মুখ|মেকুৰী|হাঁহি|হাঁহি থকা|হাঁহি থকা মেকুৰী
😸;হাঁহি থকা চকুৰে হাস্যমুখী মেকুৰী;চকু|বিকৃত হাঁহি|মুখমণ্ডল|মেকুৰী|হাঁহি|হাঁহি থকা চকুৰে হাস্যমুখী মেকুৰী
😹;আনন্দাশ্ৰুৰ সৈতে মেকুৰী;আনন্দ|আনন্দাশ্ৰুৰ সৈতে মেকুৰী|চকুপানী|মুখমণ্ডল|মেকুৰী
😻;চকুত হৃদয়ৰ প্ৰতীক থকা হাস্যমুখী মেকুৰী;চকু|চকুত হৃদয়ৰ প্ৰতীক থকা হাস্যমুখী মেকুৰী|প্ৰেম|মেকুৰী|হাঁহি|হৃদয়
