[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
	✌🏼;Ikiganza cy’intsinzi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ikiganza|Ikiganza cy’intsinzi|Ikiganza cy’intsinzi: ibara ry’uruhu rwera gahoro|intsinzi|v
	✌🏽;Ikiganza cy’intsinzi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ikiganza|Ikiganza cy’intsinzi|Ikiganza cy’intsinzi: ibara ry’uruhu rw’inzobe|intsinzi|v
	✌🏾;Ikiganza cy’intsinzi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ikiganza|Ikiganza cy’intsinzi|Ikiganza cy’intsinzi: ibara ry’uruhu rw’inzobe yirabura|intsinzi|v
	✌🏿;Ikiganza cy’intsinzi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ikiganza|Ikiganza cy’intsinzi|Ikiganza cy’intsinzi: ibara ry’uruhu rwirabura|intsinzi|v
🤞;intoki zinyuranyemo;amahirwe|ikiganza|intoki zinyuranyemo|umusaraba|urutoki
	🤞🏻;intoki zinyuranyemo: ibara ry’uruhu rwera;amahirwe|ibara ry’uruhu rwera|ikiganza|intoki zinyuranyemo|intoki zinyuranyemo: ibara ry’uruhu rwera|umusaraba|urutoki
	🤞🏼;intoki zinyuranyemo: ibara ry’uruhu rwera gahoro;amahirwe|ibara ry’uruhu rwera gahoro|ikiganza|intoki zinyuranyemo|intoki zinyuranyemo: ibara ry’uruhu rwera gahoro|umusaraba|urutoki
	🤞🏽;intoki zinyuranyemo: ibara ry’uruhu rw’inzobe;amahirwe|ibara ry’uruhu rw’inzobe|ikiganza|intoki zinyuranyemo|intoki zinyuranyemo: ibara ry’uruhu rw’inzobe|umusaraba|urutoki
	🤞🏾;intoki zinyuranyemo: ibara ry’uruhu rw’inzobe yirabura;amahirwe|ibara ry’uruhu rw’inzobe yirabura|ikiganza|intoki zinyuranyemo|intoki zinyuranyemo: ibara ry’uruhu rw’inzobe yirabura|umusaraba|urutoki
	🤞🏿;intoki zinyuranyemo: ibara ry’uruhu rwirabura;amahirwe|ibara ry’uruhu rwirabura|ikiganza|intoki zinyuranyemo|intoki zinyuranyemo: ibara ry’uruhu rwirabura|umusaraba|urutoki
