[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
	🤘🏿;ikimenyetso cy’amahembe: ibara ry’uruhu rwirabura;amahembe|ibara ry’uruhu rwirabura|ikiganza|ikimenyetso cy’amahembe|ikimenyetso cy’amahembe: ibara ry’uruhu rwirabura|ikimenyetso cy’intsinzi|urutoki
🤙;ikiganza gisaba guhamagarwa;guhamagara|ikiganza|ikiganza gisaba guhamagarwa
	🤙🏻;ikiganza gisaba guhamagarwa: ibara ry’uruhu rwera;guhamagara|ibara ry’uruhu rwera|ikiganza|ikiganza gisaba guhamagarwa|ikiganza gisaba guhamagarwa: ibara ry’uruhu rwera
	🤙🏼;ikiganza gisaba guhamagarwa: ibara ry’uruhu rwera gahoro;guhamagara|ibara ry’uruhu rwera gahoro|ikiganza|ikiganza gisaba guhamagarwa|ikiganza gisaba guhamagarwa: ibara ry’uruhu rwera gahoro
	🤙🏽;ikiganza gisaba guhamagarwa: ibara ry’uruhu rw’inzobe;guhamagara|ibara ry’uruhu rw’inzobe|ikiganza|ikiganza gisaba guhamagarwa|ikiganza gisaba guhamagarwa: ibara ry’uruhu rw’inzobe
	🤙🏾;ikiganza gisaba guhamagarwa: ibara ry’uruhu rw’inzobe yirabura;guhamagara|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikiganza gisaba guhamagarwa|ikiganza gisaba guhamagarwa: ibara ry’uruhu rw’inzobe yirabura
	🤙🏿;ikiganza gisaba guhamagarwa: ibara ry’uruhu rwirabura;guhamagara|ibara ry’uruhu rwirabura|ikiganza|ikiganza gisaba guhamagarwa|ikiganza gisaba guhamagarwa: ibara ry’uruhu rwirabura
👈;urutoki rutunze ibumoso;gutunga|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso
	👈🏻;urutoki rutunze ibumoso: ibara ry’uruhu rwera;gutunga|ibara ry’uruhu rwera|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso|urutoki rutunze ibumoso: ibara ry’uruhu rwera
	👈🏼;urutoki rutunze ibumoso: ibara ry’uruhu rwera gahoro;gutunga|ibara ry’uruhu rwera gahoro|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso|urutoki rutunze ibumoso: ibara ry’uruhu rwera gahoro
	👈🏽;urutoki rutunze ibumoso: ibara ry’uruhu rw’inzobe;gutunga|ibara ry’uruhu rw’inzobe|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso|urutoki rutunze ibumoso: ibara ry’uruhu rw’inzobe
	👈🏾;urutoki rutunze ibumoso: ibara ry’uruhu rw’inzobe yirabura;gutunga|ibara ry’uruhu rw’inzobe yirabura|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso|urutoki rutunze ibumoso: ibara ry’uruhu rw’inzobe yirabura
	👈🏿;urutoki rutunze ibumoso: ibara ry’uruhu rwirabura;gutunga|ibara ry’uruhu rwirabura|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze ibumoso|urutoki rutunze ibumoso: ibara ry’uruhu rwirabura
👉;urutoki rutunze iburyo;gutunga|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo
	👉🏻;urutoki rutunze iburyo: ibara ry’uruhu rwera;gutunga|ibara ry’uruhu rwera|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo|urutoki rutunze iburyo: ibara ry’uruhu rwera
	👉🏼;urutoki rutunze iburyo: ibara ry’uruhu rwera gahoro;gutunga|ibara ry’uruhu rwera gahoro|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo|urutoki rutunze iburyo: ibara ry’uruhu rwera gahoro
	👉🏽;urutoki rutunze iburyo: ibara ry’uruhu rw’inzobe;gutunga|ibara ry’uruhu rw’inzobe|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo|urutoki rutunze iburyo: ibara ry’uruhu rw’inzobe
	👉🏾;urutoki rutunze iburyo: ibara ry’uruhu rw’inzobe yirabura;gutunga|ibara ry’uruhu rw’inzobe yirabura|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo|urutoki rutunze iburyo: ibara ry’uruhu rw’inzobe yirabura
	👉🏿;urutoki rutunze iburyo: ibara ry’uruhu rwirabura;gutunga|ibara ry’uruhu rwirabura|ikiganza|mukubitarukoko|umugongo w’ikiganza|urutoki|urutoki rutunze iburyo|urutoki rutunze iburyo: ibara ry’uruhu rwirabura
👆;urutoki rutunze hejuru;gutunga|hejuru|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|werekeza inyuma
	👆🏻;urutoki rutunze hejuru: ibara ry’uruhu rwera;gutunga|hejuru|ibara ry’uruhu rwera|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|urutoki rutunze hejuru: ibara ry’uruhu rwera|werekeza inyuma
	👆🏼;urutoki rutunze hejuru: ibara ry’uruhu rwera gahoro;gutunga|hejuru|ibara ry’uruhu rwera gahoro|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|urutoki rutunze hejuru: ibara ry’uruhu rwera gahoro|werekeza inyuma
	👆🏽;urutoki rutunze hejuru: ibara ry’uruhu rw’inzobe;gutunga|hejuru|ibara ry’uruhu rw’inzobe|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|urutoki rutunze hejuru: ibara ry’uruhu rw’inzobe|werekeza inyuma
	👆🏾;urutoki rutunze hejuru: ibara ry’uruhu rw’inzobe yirabura;gutunga|hejuru|ibara ry’uruhu rw’inzobe yirabura|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|urutoki rutunze hejuru: ibara ry’uruhu rw’inzobe yirabura|werekeza inyuma
	👆🏿;urutoki rutunze hejuru: ibara ry’uruhu rwirabura;gutunga|hejuru|ibara ry’uruhu rwirabura|ikiganza|mukubitarukoko|urutoki|urutoki rutunze hejuru|urutoki rutunze hejuru: ibara ry’uruhu rwirabura|werekeza inyuma
🖕;musumbazose;ikiganza|musumbazose|urutoki
	🖕🏻;musumbazose: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ikiganza|musumbazose|musumbazose: ibara ry’uruhu rwera|urutoki
	🖕🏼;musumbazose: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ikiganza|musumbazose|musumbazose: ibara ry’uruhu rwera gahoro|urutoki
	🖕🏽;musumbazose: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ikiganza|musumbazose|musumbazose: ibara ry’uruhu rw’inzobe|urutoki
	🖕🏾;musumbazose: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ikiganza|musumbazose|musumbazose: ibara ry’uruhu rw’inzobe yirabura|urutoki
	🖕🏿;musumbazose: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ikiganza|musumbazose|musumbazose: ibara ry’uruhu rwirabura|urutoki
👇;urutoki rutunze hasi;gutunga|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|werekeza inyuma
	👇🏻;urutoki rutunze hasi: ibara ry’uruhu rwera;gutunga|ibara ry’uruhu rwera|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|urutoki rutunze hasi: ibara ry’uruhu rwera|werekeza inyuma
	👇🏼;urutoki rutunze hasi: ibara ry’uruhu rwera gahoro;gutunga|ibara ry’uruhu rwera gahoro|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|urutoki rutunze hasi: ibara ry’uruhu rwera gahoro|werekeza inyuma
	👇🏽;urutoki rutunze hasi: ibara ry’uruhu rw’inzobe;gutunga|ibara ry’uruhu rw’inzobe|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|urutoki rutunze hasi: ibara ry’uruhu rw’inzobe|werekeza inyuma
	👇🏾;urutoki rutunze hasi: ibara ry’uruhu rw’inzobe yirabura;gutunga|ibara ry’uruhu rw’inzobe yirabura|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|urutoki rutunze hasi: ibara ry’uruhu rw’inzobe yirabura|werekeza inyuma
	👇🏿;urutoki rutunze hasi: ibara ry’uruhu rwirabura;gutunga|ibara ry’uruhu rwirabura|ikiganza|mukubitarukoro|rwerekeje hasi|urutoki|urutoki rutunze hasi|urutoki rutunze hasi: ibara ry’uruhu rwirabura|werekeza inyuma
☝️;gutunga mukubitarukoko hejuru;gutunga|gutunga mukubitarukoko hejuru|heju|ikiganza|mukubitarukoko|urutoki
	☝🏻;gutunga mukubitarukoko hejuru: ibara ry’uruhu rwera;gutunga|gutunga mukubitarukoko hejuru|gutunga mukubitarukoko hejuru: ibara ry’uruhu rwera|heju|ibara ry’uruhu rwera|ikiganza|mukubitarukoko|urutoki
	☝🏼;gutunga mukubitarukoko hejuru: ibara ry’uruhu rwera gahoro;gutunga|gutunga mukubitarukoko hejuru|gutunga mukubitarukoko hejuru: ibara ry’uruhu rwera gahoro|heju|ibara ry’uruhu rwera gahoro|ikiganza|mukubitarukoko|urutoki
	☝🏽;gutunga mukubitarukoko hejuru: ibara ry’uruhu rw’inzobe;gutunga|gutunga mukubitarukoko hejuru|gutunga mukubitarukoko hejuru: ibara ry’uruhu rw’inzobe|heju|ibara ry’uruhu rw’inzobe|ikiganza|mukubitarukoko|urutoki
	☝🏾;gutunga mukubitarukoko hejuru: ibara ry’uruhu rw’inzobe yirabura;gutunga|gutunga mukubitarukoko hejuru|gutunga mukubitarukoko hejuru: ibara ry’uruhu rw’inzobe yirabura|heju|ibara ry’uruhu rw’inzobe yirabura|ikiganza|mukubitarukoko|urutoki
	☝🏿;gutunga mukubitarukoko hejuru: ibara ry’uruhu rwirabura;gutunga|gutunga mukubitarukoko hejuru|gutunga mukubitarukoko hejuru: ibara ry’uruhu rwirabura|heju|ibara ry’uruhu rwirabura|ikiganza|mukubitarukoko|urutoki
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;ibikumwe bireba hejuru;+1|hejuru|ibikumwe bireba hejuru|igikumwe|ikiganza
	👍🏻;ibikumwe bireba hejuru: ibara ry’uruhu rwera;+1|hejuru|ibara ry’uruhu rwera|ibikumwe bireba hejuru|ibikumwe bireba hejuru: ibara ry’uruhu rwera|igikumwe|ikiganza
	👍🏼;ibikumwe bireba hejuru: ibara ry’uruhu rwera gahoro;+1|hejuru|ibara ry’uruhu rwera gahoro|ibikumwe bireba hejuru|ibikumwe bireba hejuru: ibara ry’uruhu rwera gahoro|igikumwe|ikiganza
	👍🏽;ibikumwe bireba hejuru: ibara ry’uruhu rw’inzobe;+1|hejuru|ibara ry’uruhu rw’inzobe|ibikumwe bireba hejuru|ibikumwe bireba hejuru: ibara ry’uruhu rw’inzobe|igikumwe|ikiganza
	👍🏾;ibikumwe bireba hejuru: ibara ry’uruhu rw’inzobe yirabura;+1|hejuru|ibara ry’uruhu rw’inzobe yirabura|ibikumwe bireba hejuru|ibikumwe bireba hejuru: ibara ry’uruhu rw’inzobe yirabura|igikumwe|ikiganza
	👍🏿;ibikumwe bireba hejuru: ibara ry’uruhu rwirabura;+1|hejuru|ibara ry’uruhu rwirabura|ibikumwe bireba hejuru|ibikumwe bireba hejuru: ibara ry’uruhu rwirabura|igikumwe|ikiganza
👎;ibikumwe bireba hasi;-1|cyerekeje hasi|ibikumwe bireba hasi|igikumwe|ikiganza
	👎🏻;ibikumwe bireba hasi: ibara ry’uruhu rwera;-1|cyerekeje hasi|ibara ry’uruhu rwera|ibikumwe bireba hasi|ibikumwe bireba hasi: ibara ry’uruhu rwera|igikumwe|ikiganza
	👎🏼;ibikumwe bireba hasi: ibara ry’uruhu rwera gahoro;-1|cyerekeje hasi|ibara ry’uruhu rwera gahoro|ibikumwe bireba hasi|ibikumwe bireba hasi: ibara ry’uruhu rwera gahoro|igikumwe|ikiganza
	👎🏽;ibikumwe bireba hasi: ibara ry’uruhu rw’inzobe;-1|cyerekeje hasi|ibara ry’uruhu rw’inzobe|ibikumwe bireba hasi|ibikumwe bireba hasi: ibara ry’uruhu rw’inzobe|igikumwe|ikiganza
	👎🏾;ibikumwe bireba hasi: ibara ry’uruhu rw’inzobe yirabura;-1|cyerekeje hasi|ibara ry’uruhu rw’inzobe yirabura|ibikumwe bireba hasi|ibikumwe bireba hasi: ibara ry’uruhu rw’inzobe yirabura|igikumwe|ikiganza
	👎🏿;ibikumwe bireba hasi: ibara ry’uruhu rwirabura;-1|cyerekeje hasi|ibara ry’uruhu rwirabura|ibikumwe bireba hasi|ibikumwe bireba hasi: ibara ry’uruhu rwirabura|igikumwe|ikiganza
✊;igipfunsi kizamuye;cyakanzwe|igipfunsi|igipfunsi kizamuye|ikiganza|ingumi
	✊🏻;igipfunsi kizamuye: ibara ry’uruhu rwera;cyakanzwe|ibara ry’uruhu rwera|igipfunsi|igipfunsi kizamuye|igipfunsi kizamuye: ibara ry’uruhu rwera|ikiganza|ingumi
	✊🏼;igipfunsi kizamuye: ibara ry’uruhu rwera gahoro;cyakanzwe|ibara ry’uruhu rwera gahoro|igipfunsi|igipfunsi kizamuye|igipfunsi kizamuye: ibara ry’uruhu rwera gahoro|ikiganza|ingumi
	✊🏽;igipfunsi kizamuye: ibara ry’uruhu rw’inzobe;cyakanzwe|ibara ry’uruhu rw’inzobe|igipfunsi|igipfunsi kizamuye|igipfunsi kizamuye: ibara ry’uruhu rw’inzobe|ikiganza|ingumi
	✊🏾;igipfunsi kizamuye: ibara ry’uruhu rw’inzobe yirabura;cyakanzwe|ibara ry’uruhu rw’inzobe yirabura|igipfunsi|igipfunsi kizamuye|igipfunsi kizamuye: ibara ry’uruhu rw’inzobe yirabura|ikiganza|ingumi
	✊🏿;igipfunsi kizamuye: ibara ry’uruhu rwirabura;cyakanzwe|ibara ry’uruhu rwirabura|igipfunsi|igipfunsi kizamuye|igipfunsi kizamuye: ibara ry’uruhu rwirabura|ikiganza|ingumi
👊;igipfunsi kikureba;cyakanzwe|igipfunsi|igipfunsi kikureba|ikiganza|ingumi
	👊🏻;igipfunsi kikureba: ibara ry’uruhu rwera;cyakanzwe|ibara ry’uruhu rwera|igipfunsi|igipfunsi kikureba|igipfunsi kikureba: ibara ry’uruhu rwera|ikiganza|ingumi
	👊🏼;igipfunsi kikureba: ibara ry’uruhu rwera gahoro;cyakanzwe|ibara ry’uruhu rwera gahoro|igipfunsi|igipfunsi kikureba|igipfunsi kikureba: ibara ry’uruhu rwera gahoro|ikiganza|ingumi
	👊🏽;igipfunsi kikureba: ibara ry’uruhu rw’inzobe;cyakanzwe|ibara ry’uruhu rw’inzobe|igipfunsi|igipfunsi kikureba|igipfunsi kikureba: ibara ry’uruhu rw’inzobe|ikiganza|ingumi
	👊🏾;igipfunsi kikureba: ibara ry’uruhu rw’inzobe yirabura;cyakanzwe|ibara ry’uruhu rw’inzobe yirabura|igipfunsi|igipfunsi kikureba|igipfunsi kikureba: ibara ry’uruhu rw’inzobe yirabura|ikiganza|ingumi
	👊🏿;igipfunsi kikureba: ibara ry’uruhu rwirabura;cyakanzwe|ibara ry’uruhu rwirabura|igipfunsi|igipfunsi kikureba|igipfunsi kikureba: ibara ry’uruhu rwirabura|ikiganza|ingumi
🤛;igipfunsi kireba ibumoso;igipfunsi|igipfunsi kireba ibumoso|kireba ibumoso
	🤛🏻;igipfunsi kireba ibumoso: ibara ry’uruhu rwera;ibara ry’uruhu rwera|igipfunsi|igipfunsi kireba ibumoso|igipfunsi kireba ibumoso: ibara ry’uruhu rwera|kireba ibumoso
	🤛🏼;igipfunsi kireba ibumoso: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|igipfunsi|igipfunsi kireba ibumoso|igipfunsi kireba ibumoso: ibara ry’uruhu rwera gahoro|kireba ibumoso
	🤛🏽;igipfunsi kireba ibumoso: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|igipfunsi|igipfunsi kireba ibumoso|igipfunsi kireba ibumoso: ibara ry’uruhu rw’inzobe|kireba ibumoso
	🤛🏾;igipfunsi kireba ibumoso: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|igipfunsi|igipfunsi kireba ibumoso|igipfunsi kireba ibumoso: ibara ry’uruhu rw’inzobe yirabura|kireba ibumoso
	🤛🏿;igipfunsi kireba ibumoso: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|igipfunsi|igipfunsi kireba ibumoso|igipfunsi kireba ibumoso: ibara ry’uruhu rwirabura|kireba ibumoso
🤜;igipfunsi kireba iburyo;igipfunsi|igipfunsi kireba iburyo|kireba iburyo
	🤜🏻;igipfunsi kireba iburyo: ibara ry’uruhu rwera;ibara ry’uruhu rwera|igipfunsi|igipfunsi kireba iburyo|igipfunsi kireba iburyo: ibara ry’uruhu rwera|kireba iburyo
	🤜🏼;igipfunsi kireba iburyo: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|igipfunsi|igipfunsi kireba iburyo|igipfunsi kireba iburyo: ibara ry’uruhu rwera gahoro|kireba iburyo
	🤜🏽;igipfunsi kireba iburyo: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|igipfunsi|igipfunsi kireba iburyo|igipfunsi kireba iburyo: ibara ry’uruhu rw’inzobe|kireba iburyo
	🤜🏾;igipfunsi kireba iburyo: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|igipfunsi|igipfunsi kireba iburyo|igipfunsi kireba iburyo: ibara ry’uruhu rw’inzobe yirabura|kireba iburyo
	🤜🏿;igipfunsi kireba iburyo: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|igipfunsi|igipfunsi kireba iburyo|igipfunsi kireba iburyo: ibara ry’uruhu rwirabura|kireba iburyo
👏;ibiganza bikoma amashyi;gukoma amashyi|ibiganza bikoma amashyi|ikiganza
	👏🏻;ibiganza bikoma amashyi: ibara ry’uruhu rwera;gukoma amashyi|ibara ry’uruhu rwera|ibiganza bikoma amashyi|ibiganza bikoma amashyi: ibara ry’uruhu rwera|ikiganza
	👏🏼;ibiganza bikoma amashyi: ibara ry’uruhu rwera gahoro;gukoma amashyi|ibara ry’uruhu rwera gahoro|ibiganza bikoma amashyi|ibiganza bikoma amashyi: ibara ry’uruhu rwera gahoro|ikiganza
	👏🏽;ibiganza bikoma amashyi: ibara ry’uruhu rw’inzobe;gukoma amashyi|ibara ry’uruhu rw’inzobe|ibiganza bikoma amashyi|ibiganza bikoma amashyi: ibara ry’uruhu rw’inzobe|ikiganza
	👏🏾;ibiganza bikoma amashyi: ibara ry’uruhu rw’inzobe yirabura;gukoma amashyi|ibara ry’uruhu rw’inzobe yirabura|ibiganza bikoma amashyi|ibiganza bikoma amashyi: ibara ry’uruhu rw’inzobe yirabura|ikiganza
	👏🏿;ibiganza bikoma amashyi: ibara ry’uruhu rwirabura;gukoma amashyi|ibara ry’uruhu rwirabura|ibiganza bikoma amashyi|ibiganza bikoma amashyi: ibara ry’uruhu rwirabura|ikiganza
🙌;ibiganza bizamuye;ibiganza bizamuye|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
	🙌🏻;ibiganza bizamuye: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ibiganza bizamuye|ibiganza bizamuye: ibara ry’uruhu rwera|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
	🙌🏼;ibiganza bizamuye: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ibiganza bizamuye|ibiganza bizamuye: ibara ry’uruhu rwera gahoro|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
	🙌🏽;ibiganza bizamuye: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ibiganza bizamuye|ibiganza bizamuye: ibara ry’uruhu rw’inzobe|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
	🙌🏾;ibiganza bizamuye: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ibiganza bizamuye|ibiganza bizamuye: ibara ry’uruhu rw’inzobe yirabura|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
	🙌🏿;ibiganza bizamuye: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ibiganza bizamuye|ibiganza bizamuye: ibara ry’uruhu rwirabura|ibirori|ikiganza|ikimenyetso|ikizamuye|oye
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;ikimenyetso cy’ibiganza bibumbuye;gufungura|ikiganza|ikimenyetso cy’ibiganza bibumbuye
	👐🏻;ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwera;gufungura|ibara ry’uruhu rwera|ikiganza|ikimenyetso cy’ibiganza bibumbuye|ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwera
	👐🏼;ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwera gahoro;gufungura|ibara ry’uruhu rwera gahoro|ikiganza|ikimenyetso cy’ibiganza bibumbuye|ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwera gahoro
	👐🏽;ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rw’inzobe;gufungura|ibara ry’uruhu rw’inzobe|ikiganza|ikimenyetso cy’ibiganza bibumbuye|ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rw’inzobe
	👐🏾;ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rw’inzobe yirabura;gufungura|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikimenyetso cy’ibiganza bibumbuye|ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rw’inzobe yirabura
	👐🏿;ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwirabura;gufungura|ibara ry’uruhu rwirabura|ikiganza|ikimenyetso cy’ibiganza bibumbuye|ikimenyetso cy’ibiganza bibumbuye: ibara ry’uruhu rwirabura
🤲;ibiganza byombi hejuru;ibiganza byombi hejuru|isengesho
	🤲🏻;ibiganza byombi hejuru: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ibiganza byombi hejuru|ibiganza byombi hejuru: ibara ry’uruhu rwera|isengesho
	🤲🏼;ibiganza byombi hejuru: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ibiganza byombi hejuru|ibiganza byombi hejuru: ibara ry’uruhu rwera gahoro|isengesho
	🤲🏽;ibiganza byombi hejuru: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ibiganza byombi hejuru|ibiganza byombi hejuru: ibara ry’uruhu rw’inzobe|isengesho
	🤲🏾;ibiganza byombi hejuru: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ibiganza byombi hejuru|ibiganza byombi hejuru: ibara ry’uruhu rw’inzobe yirabura|isengesho
	🤲🏿;ibiganza byombi hejuru: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ibiganza byombi hejuru|ibiganza byombi hejuru: ibara ry’uruhu rwirabura|isengesho
🤝;gusuhuzanya;guhura|gusuhuzanya|gutigisa|ikiganza|kwemeranya
	🤝🏻;gusuhuzanya: ibara ry’uruhu rwera;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera|gutigisa|ibara ry’uruhu rwera|ikiganza|kwemeranya
	🤝🏼;gusuhuzanya: ibara ry’uruhu rwera gahoro;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera gahoro|gutigisa|ibara ry’uruhu rwera gahoro|ikiganza|kwemeranya
	🤝🏽;gusuhuzanya: ibara ry’uruhu rw’inzobe;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rw’inzobe|gutigisa|ibara ry’uruhu rw’inzobe|ikiganza|kwemeranya
	🤝🏾;gusuhuzanya: ibara ry’uruhu rw’inzobe yirabura;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rw’inzobe yirabura|gutigisa|ibara ry’uruhu rw’inzobe yirabura|ikiganza|kwemeranya
	🤝🏿;gusuhuzanya: ibara ry’uruhu rwirabura;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwirabura|gutigisa|ibara ry’uruhu rwirabura|ikiganza|kwemeranya
	🫱🏻‍🫲🏼;gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rwera gahoro|gutigisa|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikiganza|kwemeranya
	🫱🏻‍🫲🏽;gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe|gutigisa|ibara ry’uruhu rw’inzobe|ibara ry’uruhu rwera|ikiganza|kwemeranya
	🫱🏻‍🫲🏾;gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rw’inzobe yirabura|gutigisa|ibara ry’uruhu rw’inzobe yirabura|ibara ry’uruhu rwera|ikiganza|kwemeranya
	🫱🏻‍🫲🏿;gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rwirabura;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera, ibara ry’uruhu rwirabura|gutigisa|ibara ry’uruhu rwera|ibara ry’uruhu rwirabura|ikiganza|kwemeranya
	🫱🏼‍🫲🏻;gusuhuzanya: ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera;guhura|gusuhuzanya|gusuhuzanya: ibara ry’uruhu rwera gahoro, ibara ry’uruhu rwera|gutigisa|ibara ry’uruhu rwera|ibara ry’uruhu rwera gahoro|ikiganza|kwemeranya
