[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
	👳🏾;戴頭巾嘅人: 中深膚色;中深膚色|戴頭巾嘅人|戴頭巾嘅人: 中深膚色|頭巾
	👳🏿;戴頭巾嘅人: 深膚色;戴頭巾嘅人|戴頭巾嘅人: 深膚色|深膚色|頭巾
👳‍♂️;戴頭巾嘅男人;戴頭巾嘅男人|男|頭巾
	👳🏻‍♂️;戴頭巾嘅男人: 淺膚色;戴頭巾嘅男人|戴頭巾嘅男人: 淺膚色|淺膚色|男|頭巾
	👳🏼‍♂️;戴頭巾嘅男人: 中淺膚色;中淺膚色|戴頭巾嘅男人|戴頭巾嘅男人: 中淺膚色|男|頭巾
	👳🏽‍♂️;戴頭巾嘅男人: 中膚色;中膚色|戴頭巾嘅男人|戴頭巾嘅男人: 中膚色|男|頭巾
	👳🏾‍♂️;戴頭巾嘅男人: 中深膚色;中深膚色|戴頭巾嘅男人|戴頭巾嘅男人: 中深膚色|男|頭巾
	👳🏿‍♂️;戴頭巾嘅男人: 深膚色;戴頭巾嘅男人|戴頭巾嘅男人: 深膚色|深膚色|男|頭巾
👳‍♀️;戴頭巾嘅女人;女|戴頭巾嘅女人|頭巾
	👳🏻‍♀️;戴頭巾嘅女人: 淺膚色;女|戴頭巾嘅女人|戴頭巾嘅女人: 淺膚色|淺膚色|頭巾
	👳🏼‍♀️;戴頭巾嘅女人: 中淺膚色;中淺膚色|女|戴頭巾嘅女人|戴頭巾嘅女人: 中淺膚色|頭巾
	👳🏽‍♀️;戴頭巾嘅女人: 中膚色;中膚色|女|戴頭巾嘅女人|戴頭巾嘅女人: 中膚色|頭巾
	👳🏾‍♀️;戴頭巾嘅女人: 中深膚色;中深膚色|女|戴頭巾嘅女人|戴頭巾嘅女人: 中深膚色|頭巾
	👳🏿‍♀️;戴頭巾嘅女人: 深膚色;女|戴頭巾嘅女人|戴頭巾嘅女人: 深膚色|深膚色|頭巾
👲;戴中國帽嘅男人;中國帽|帽|戴中國帽嘅男人|男
	👲🏻;戴中國帽嘅男人: 淺膚色;中國帽|帽|戴中國帽嘅男人|戴中國帽嘅男人: 淺膚色|淺膚色|男
	👲🏼;戴中國帽嘅男人: 中淺膚色;中國帽|中淺膚色|帽|戴中國帽嘅男人|戴中國帽嘅男人: 中淺膚色|男
	👲🏽;戴中國帽嘅男人: 中膚色;中國帽|中膚色|帽|戴中國帽嘅男人|戴中國帽嘅男人: 中膚色|男
	👲🏾;戴中國帽嘅男人: 中深膚色;中國帽|中深膚色|帽|戴中國帽嘅男人|戴中國帽嘅男人: 中深膚色|男
	👲🏿;戴中國帽嘅男人: 深膚色;中國帽|帽|戴中國帽嘅男人|戴中國帽嘅男人: 深膚色|深膚色|男
🧕;戴住頭巾嘅女人;包頭|戴住頭巾嘅女人|面紗|頭巾
	🧕🏻;戴住頭巾嘅女人: 淺膚色;包頭|戴住頭巾嘅女人|戴住頭巾嘅女人: 淺膚色|淺膚色|面紗|頭巾
	🧕🏼;戴住頭巾嘅女人: 中淺膚色;中淺膚色|包頭|戴住頭巾嘅女人|戴住頭巾嘅女人: 中淺膚色|面紗|頭巾
	🧕🏽;戴住頭巾嘅女人: 中膚色;中膚色|包頭|戴住頭巾嘅女人|戴住頭巾嘅女人: 中膚色|面紗|頭巾
	🧕🏾;戴住頭巾嘅女人: 中深膚色;中深膚色|包頭|戴住頭巾嘅女人|戴住頭巾嘅女人: 中深膚色|面紗|頭巾
	🧕🏿;戴住頭巾嘅女人: 深膚色;包頭|戴住頭巾嘅女人|戴住頭巾嘅女人: 深膚色|深膚色|面紗|頭巾
🤵;著晚禮服嘅人;新郎|晚禮服|男|著晚禮服嘅人
	🤵🏻;著晚禮服嘅人: 淺膚色;新郎|晚禮服|淺膚色|男|著晚禮服嘅人|著晚禮服嘅人: 淺膚色
	🤵🏼;著晚禮服嘅人: 中淺膚色;中淺膚色|新郎|晚禮服|男|著晚禮服嘅人|著晚禮服嘅人: 中淺膚色
	🤵🏽;著晚禮服嘅人: 中膚色;中膚色|新郎|晚禮服|男|著晚禮服嘅人|著晚禮服嘅人: 中膚色
	🤵🏾;著晚禮服嘅人: 中深膚色;中深膚色|新郎|晚禮服|男|著晚禮服嘅人|著晚禮服嘅人: 中深膚色
	🤵🏿;著晚禮服嘅人: 深膚色;新郎|晚禮服|深膚色|男|著晚禮服嘅人|著晚禮服嘅人: 深膚色
🤵‍♂️;著燕尾服嘅男人;燕尾服|男人|著燕尾服嘅男人
	🤵🏻‍♂️;著燕尾服嘅男人: 淺膚色;淺膚色|燕尾服|男人|著燕尾服嘅男人|著燕尾服嘅男人: 淺膚色
	🤵🏼‍♂️;著燕尾服嘅男人: 中淺膚色;中淺膚色|燕尾服|男人|著燕尾服嘅男人|著燕尾服嘅男人: 中淺膚色
	🤵🏽‍♂️;著燕尾服嘅男人: 中膚色;中膚色|燕尾服|男人|著燕尾服嘅男人|著燕尾服嘅男人: 中膚色
	🤵🏾‍♂️;著燕尾服嘅男人: 中深膚色;中深膚色|燕尾服|男人|著燕尾服嘅男人|著燕尾服嘅男人: 中深膚色
	🤵🏿‍♂️;著燕尾服嘅男人: 深膚色;深膚色|燕尾服|男人|著燕尾服嘅男人|著燕尾服嘅男人: 深膚色
🤵‍♀️;著燕尾服嘅女人;女人|燕尾服|著燕尾服嘅女人
	🤵🏻‍♀️;著燕尾服嘅女人: 淺膚色;女人|淺膚色|燕尾服|著燕尾服嘅女人|著燕尾服嘅女人: 淺膚色
	🤵🏼‍♀️;著燕尾服嘅女人: 中淺膚色;中淺膚色|女人|燕尾服|著燕尾服嘅女人|著燕尾服嘅女人: 中淺膚色
	🤵🏽‍♀️;著燕尾服嘅女人: 中膚色;中膚色|女人|燕尾服|著燕尾服嘅女人|著燕尾服嘅女人: 中膚色
	🤵🏾‍♀️;著燕尾服嘅女人: 中深膚色;中深膚色|女人|燕尾服|著燕尾服嘅女人|著燕尾服嘅女人: 中深膚色
	🤵🏿‍♀️;著燕尾服嘅女人: 深膚色;女人|深膚色|燕尾服|著燕尾服嘅女人|著燕尾服嘅女人: 深膚色
👰;戴面紗嘅人;人|婚禮|戴面紗嘅人|新娘|面紗
	👰🏻;戴面紗嘅人: 淺膚色;人|婚禮|戴面紗嘅人|戴面紗嘅人: 淺膚色|新娘|淺膚色|面紗
	👰🏼;戴面紗嘅人: 中淺膚色;中淺膚色|人|婚禮|戴面紗嘅人|戴面紗嘅人: 中淺膚色|新娘|面紗
	👰🏽;戴面紗嘅人: 中膚色;中膚色|人|婚禮|戴面紗嘅人|戴面紗嘅人: 中膚色|新娘|面紗
	👰🏾;戴面紗嘅人: 中深膚色;中深膚色|人|婚禮|戴面紗嘅人|戴面紗嘅人: 中深膚色|新娘|面紗
	👰🏿;戴面紗嘅人: 深膚色;人|婚禮|戴面紗嘅人|戴面紗嘅人: 深膚色|新娘|深膚色|面紗
👰‍♂️;戴面紗嘅男人;戴面紗嘅男人|男人|面紗
	👰🏻‍♂️;戴面紗嘅男人: 淺膚色;戴面紗嘅男人|戴面紗嘅男人: 淺膚色|淺膚色|男人|面紗
	👰🏼‍♂️;戴面紗嘅男人: 中淺膚色;中淺膚色|戴面紗嘅男人|戴面紗嘅男人: 中淺膚色|男人|面紗
	👰🏽‍♂️;戴面紗嘅男人: 中膚色;中膚色|戴面紗嘅男人|戴面紗嘅男人: 中膚色|男人|面紗
	👰🏾‍♂️;戴面紗嘅男人: 中深膚色;中深膚色|戴面紗嘅男人|戴面紗嘅男人: 中深膚色|男人|面紗
	👰🏿‍♂️;戴面紗嘅男人: 深膚色;戴面紗嘅男人|戴面紗嘅男人: 深膚色|深膚色|男人|面紗
👰‍♀️;戴面紗嘅女人;女人|戴面紗嘅女人|面紗
	👰🏻‍♀️;戴面紗嘅女人: 淺膚色;女人|戴面紗嘅女人|戴面紗嘅女人: 淺膚色|淺膚色|面紗
	👰🏼‍♀️;戴面紗嘅女人: 中淺膚色;中淺膚色|女人|戴面紗嘅女人|戴面紗嘅女人: 中淺膚色|面紗
	👰🏽‍♀️;戴面紗嘅女人: 中膚色;中膚色|女人|戴面紗嘅女人|戴面紗嘅女人: 中膚色|面紗
	👰🏾‍♀️;戴面紗嘅女人: 中深膚色;中深膚色|女人|戴面紗嘅女人|戴面紗嘅女人: 中深膚色|面紗
	👰🏿‍♀️;戴面紗嘅女人: 深膚色;女人|戴面紗嘅女人|戴面紗嘅女人: 深膚色|深膚色|面紗
🤰;孕婦;女|孕婦|懷孕
	🤰🏻;孕婦: 淺膚色;女|孕婦|孕婦: 淺膚色|懷孕|淺膚色
	🤰🏼;孕婦: 中淺膚色;中淺膚色|女|孕婦|孕婦: 中淺膚色|懷孕
	🤰🏽;孕婦: 中膚色;中膚色|女|孕婦|孕婦: 中膚色|懷孕
	🤰🏾;孕婦: 中深膚色;中深膚色|女|孕婦|孕婦: 中深膚色|懷孕
	🤰🏿;孕婦: 深膚色;女|孕婦|孕婦: 深膚色|懷孕|深膚色
🫃;懷孕嘅男人;懷孕|懷孕嘅男人|肚皮|臃腫|飽
	🫃🏻;懷孕嘅男人: 淺膚色;懷孕|懷孕嘅男人|懷孕嘅男人: 淺膚色|淺膚色|肚皮|臃腫|飽
	🫃🏼;懷孕嘅男人: 中淺膚色;中淺膚色|懷孕|懷孕嘅男人|懷孕嘅男人: 中淺膚色|肚皮|臃腫|飽
	🫃🏽;懷孕嘅男人: 中膚色;中膚色|懷孕|懷孕嘅男人|懷孕嘅男人: 中膚色|肚皮|臃腫|飽
	🫃🏾;懷孕嘅男人: 中深膚色;中深膚色|懷孕|懷孕嘅男人|懷孕嘅男人: 中深膚色|肚皮|臃腫|飽
	🫃🏿;懷孕嘅男人: 深膚色;懷孕|懷孕嘅男人|懷孕嘅男人: 深膚色|深膚色|肚皮|臃腫|飽
🫄;懷孕嘅人;懷孕|懷孕嘅人|肚皮|臃腫|飽
	🫄🏻;懷孕嘅人: 淺膚色;懷孕|懷孕嘅人|懷孕嘅人: 淺膚色|淺膚色|肚皮|臃腫|飽
	🫄🏼;懷孕嘅人: 中淺膚色;中淺膚色|懷孕|懷孕嘅人|懷孕嘅人: 中淺膚色|肚皮|臃腫|飽
	🫄🏽;懷孕嘅人: 中膚色;中膚色|懷孕|懷孕嘅人|懷孕嘅人: 中膚色|肚皮|臃腫|飽
	🫄🏾;懷孕嘅人: 中深膚色;中深膚色|懷孕|懷孕嘅人|懷孕嘅人: 中深膚色|肚皮|臃腫|飽
	🫄🏿;懷孕嘅人: 深膚色;懷孕|懷孕嘅人|懷孕嘅人: 深膚色|深膚色|肚皮|臃腫|飽
🤱;哺乳;乳房|哺乳|嬰兒
	🤱🏻;哺乳: 淺膚色;乳房|哺乳|哺乳: 淺膚色|嬰兒|淺膚色
	🤱🏼;哺乳: 中淺膚色;中淺膚色|乳房|哺乳|哺乳: 中淺膚色|嬰兒
	🤱🏽;哺乳: 中膚色;中膚色|乳房|哺乳|哺乳: 中膚色|嬰兒
	🤱🏾;哺乳: 中深膚色;中深膚色|乳房|哺乳|哺乳: 中深膚色|嬰兒
	🤱🏿;哺乳: 深膚色;乳房|哺乳|哺乳: 深膚色|嬰兒|深膚色
👩‍🍼;哺乳媽媽;哺乳|哺乳媽媽|哺育|女人|嬰兒
	👩🏻‍🍼;哺乳媽媽: 淺膚色;哺乳|哺乳媽媽|哺乳媽媽: 淺膚色|哺育|女人|嬰兒|淺膚色
	👩🏼‍🍼;哺乳媽媽: 中淺膚色;中淺膚色|哺乳|哺乳媽媽|哺乳媽媽: 中淺膚色|哺育|女人|嬰兒
	👩🏽‍🍼;哺乳媽媽: 中膚色;中膚色|哺乳|哺乳媽媽|哺乳媽媽: 中膚色|哺育|女人|嬰兒
	👩🏾‍🍼;哺乳媽媽: 中深膚色;中深膚色|哺乳|哺乳媽媽|哺乳媽媽: 中深膚色|哺育|女人|嬰兒
	👩🏿‍🍼;哺乳媽媽: 深膚色;哺乳|哺乳媽媽|哺乳媽媽: 深膚色|哺育|女人|嬰兒|深膚色
👨‍🍼;哺乳嘅男人;哺乳|哺乳嘅男人|哺育|嬰兒|男人
	👨🏻‍🍼;哺乳嘅男人: 淺膚色;哺乳|哺乳嘅男人|哺乳嘅男人: 淺膚色|哺育|嬰兒|淺膚色|男人
	👨🏼‍🍼;哺乳嘅男人: 中淺膚色;中淺膚色|哺乳|哺乳嘅男人|哺乳嘅男人: 中淺膚色|哺育|嬰兒|男人
	👨🏽‍🍼;哺乳嘅男人: 中膚色;中膚色|哺乳|哺乳嘅男人|哺乳嘅男人: 中膚色|哺育|嬰兒|男人
	👨🏾‍🍼;哺乳嘅男人: 中深膚色;中深膚色|哺乳|哺乳嘅男人|哺乳嘅男人: 中深膚色|哺育|嬰兒|男人
	👨🏿‍🍼;哺乳嘅男人: 深膚色;哺乳|哺乳嘅男人|哺乳嘅男人: 深膚色|哺育|嬰兒|深膚色|男人
🧑‍🍼;哺乳嘅人;人|哺乳嘅人|哺育|嬰兒|餵哺
	🧑🏻‍🍼;哺乳嘅人: 淺膚色;人|哺乳嘅人|哺乳嘅人: 淺膚色|哺育|嬰兒|淺膚色|餵哺
	🧑🏼‍🍼;哺乳嘅人: 中淺膚色;中淺膚色|人|哺乳嘅人|哺乳嘅人: 中淺膚色|哺育|嬰兒|餵哺
	🧑🏽‍🍼;哺乳嘅人: 中膚色;中膚色|人|哺乳嘅人|哺乳嘅人: 中膚色|哺育|嬰兒|餵哺
	🧑🏾‍🍼;哺乳嘅人: 中深膚色;中深膚色|人|哺乳嘅人|哺乳嘅人: 中深膚色|哺育|嬰兒|餵哺
	🧑🏿‍🍼;哺乳嘅人: 深膚色;人|哺乳嘅人|哺乳嘅人: 深膚色|哺育|嬰兒|深膚色|餵哺
👼;寶貝天使;天使|嬰兒|寶貝天使|幻想|童話|臉
	👼🏻;寶貝天使: 淺膚色;天使|嬰兒|寶貝天使|寶貝天使: 淺膚色|幻想|淺膚色|童話|臉
	👼🏼;寶貝天使: 中淺膚色;中淺膚色|天使|嬰兒|寶貝天使|寶貝天使: 中淺膚色|幻想|童話|臉
	👼🏽;寶貝天使: 中膚色;中膚色|天使|嬰兒|寶貝天使|寶貝天使: 中膚色|幻想|童話|臉
	👼🏾;寶貝天使: 中深膚色;中深膚色|天使|嬰兒|寶貝天使|寶貝天使: 中深膚色|幻想|童話|臉
	👼🏿;寶貝天使: 深膚色;天使|嬰兒|寶貝天使|寶貝天使: 深膚色|幻想|深膚色|童話|臉
🎅;聖誕老人;天父|慶祝|聖誕節|聖誕老人
	🎅🏻;聖誕老人: 淺膚色;天父|慶祝|淺膚色|聖誕節|聖誕老人|聖誕老人: 淺膚色
	🎅🏼;聖誕老人: 中淺膚色;中淺膚色|天父|慶祝|聖誕節|聖誕老人|聖誕老人: 中淺膚色
	🎅🏽;聖誕老人: 中膚色;中膚色|天父|慶祝|聖誕節|聖誕老人|聖誕老人: 中膚色
	🎅🏾;聖誕老人: 中深膚色;中深膚色|天父|慶祝|聖誕節|聖誕老人|聖誕老人: 中深膚色
	🎅🏿;聖誕老人: 深膚色;天父|慶祝|深膚色|聖誕節|聖誕老人|聖誕老人: 深膚色
🤶;女聖誕老人;女聖誕老人|媽媽|慶祝|聖誕節
	🤶🏻;女聖誕老人: 淺膚色;女聖誕老人|女聖誕老人: 淺膚色|媽媽|慶祝|淺膚色|聖誕節
	🤶🏼;女聖誕老人: 中淺膚色;中淺膚色|女聖誕老人|女聖誕老人: 中淺膚色|媽媽|慶祝|聖誕節
	🤶🏽;女聖誕老人: 中膚色;中膚色|女聖誕老人|女聖誕老人: 中膚色|媽媽|慶祝|聖誕節
	🤶🏾;女聖誕老人: 中深膚色;中深膚色|女聖誕老人|女聖誕老人: 中深膚色|媽媽|慶祝|聖誕節
	🤶🏿;女聖誕老人: 深膚色;女聖誕老人|女聖誕老人: 深膚色|媽媽|慶祝|深膚色|聖誕節
🧑‍🎄;聖誕打扮;打扮|聖誕打扮|聖誕老人
	🧑🏻‍🎄;聖誕打扮: 淺膚色;打扮|淺膚色|聖誕打扮|聖誕打扮: 淺膚色|聖誕老人
	🧑🏼‍🎄;聖誕打扮: 中淺膚色;中淺膚色|打扮|聖誕打扮|聖誕打扮: 中淺膚色|聖誕老人
	🧑🏽‍🎄;聖誕打扮: 中膚色;中膚色|打扮|聖誕打扮|聖誕打扮: 中膚色|聖誕老人
	🧑🏾‍🎄;聖誕打扮: 中深膚色;中深膚色|打扮|聖誕打扮|聖誕打扮: 中深膚色|聖誕老人
	🧑🏿‍🎄;聖誕打扮: 深膚色;打扮|深膚色|聖誕打扮|聖誕打扮: 深膚色|聖誕老人
🦸;超人;好|英雄|超人|超級|超級英雄
	🦸🏻;超人: 淺膚色;好|淺膚色|英雄|超人|超人: 淺膚色|超級|超級英雄
	🦸🏼;超人: 中淺膚色;中淺膚色|好|英雄|超人|超人: 中淺膚色|超級|超級英雄
	🦸🏽;超人: 中膚色;中膚色|好|英雄|超人|超人: 中膚色|超級|超級英雄
	🦸🏾;超人: 中深膚色;中深膚色|好|英雄|超人|超人: 中深膚色|超級|超級英雄
	🦸🏿;超人: 深膚色;好|深膚色|英雄|超人|超人: 深膚色|超級|超級英雄
🦸‍♂️;男超人;好|男|男超人|英雄|超級
	🦸🏻‍♂️;男超人: 淺膚色;好|淺膚色|男|男超人|男超人: 淺膚色|英雄|超級
	🦸🏼‍♂️;男超人: 中淺膚色;中淺膚色|好|男|男超人|男超人: 中淺膚色|英雄|超級
	🦸🏽‍♂️;男超人: 中膚色;中膚色|好|男|男超人|男超人: 中膚色|英雄|超級
	🦸🏾‍♂️;男超人: 中深膚色;中深膚色|好|男|男超人|男超人: 中深膚色|英雄|超級
	🦸🏿‍♂️;男超人: 深膚色;好|深膚色|男|男超人|男超人: 深膚色|英雄|超級
🦸‍♀️;女超人;女|女超人|好|英雄|超級
	🦸🏻‍♀️;女超人: 淺膚色;女|女超人|女超人: 淺膚色|好|淺膚色|英雄|超級
	🦸🏼‍♀️;女超人: 中淺膚色;中淺膚色|女|女超人|女超人: 中淺膚色|好|英雄|超級
	🦸🏽‍♀️;女超人: 中膚色;中膚色|女|女超人|女超人: 中膚色|好|英雄|超級
	🦸🏾‍♀️;女超人: 中深膚色;中深膚色|女|女超人|女超人: 中深膚色|好|英雄|超級
	🦸🏿‍♀️;女超人: 深膚色;女|女超人|女超人: 深膚色|好|深膚色|英雄|超級
🦹;超級壞人;壞人|犯罪|超人|超級壞人|邪惡
	🦹🏻;超級壞人: 淺膚色;壞人|淺膚色|犯罪|超人|超級壞人|超級壞人: 淺膚色|邪惡
	🦹🏼;超級壞人: 中淺膚色;中淺膚色|壞人|犯罪|超人|超級壞人|超級壞人: 中淺膚色|邪惡
	🦹🏽;超級壞人: 中膚色;中膚色|壞人|犯罪|超人|超級壞人|超級壞人: 中膚色|邪惡
	🦹🏾;超級壞人: 中深膚色;中深膚色|壞人|犯罪|超人|超級壞人|超級壞人: 中深膚色|邪惡
	🦹🏿;超級壞人: 深膚色;壞人|深膚色|犯罪|超人|超級壞人|超級壞人: 深膚色|邪惡
🦹‍♂️;超級男壞人;壞人|犯罪|超人|超級男壞人|邪惡｜男
	🦹🏻‍♂️;超級男壞人: 淺膚色;壞人|淺膚色|犯罪|超人|超級男壞人|超級男壞人: 淺膚色|邪惡｜男
	🦹🏼‍♂️;超級男壞人: 中淺膚色;中淺膚色|壞人|犯罪|超人|超級男壞人|超級男壞人: 中淺膚色|邪惡｜男
	🦹🏽‍♂️;超級男壞人: 中膚色;中膚色|壞人|犯罪|超人|超級男壞人|超級男壞人: 中膚色|邪惡｜男
	🦹🏾‍♂️;超級男壞人: 中深膚色;中深膚色|壞人|犯罪|超人|超級男壞人|超級男壞人: 中深膚色|邪惡｜男
	🦹🏿‍♂️;超級男壞人: 深膚色;壞人|深膚色|犯罪|超人|超級男壞人|超級男壞人: 深膚色|邪惡｜男
🦹‍♀️;超級女壞人;壞人|犯罪|超人|超級女壞人|邪惡｜女
	🦹🏻‍♀️;超級女壞人: 淺膚色;壞人|淺膚色|犯罪|超人|超級女壞人|超級女壞人: 淺膚色|邪惡｜女
	🦹🏼‍♀️;超級女壞人: 中淺膚色;中淺膚色|壞人|犯罪|超人|超級女壞人|超級女壞人: 中淺膚色|邪惡｜女
	🦹🏽‍♀️;超級女壞人: 中膚色;中膚色|壞人|犯罪|超人|超級女壞人|超級女壞人: 中膚色|邪惡｜女
	🦹🏾‍♀️;超級女壞人: 中深膚色;中深膚色|壞人|犯罪|超人|超級女壞人|超級女壞人: 中深膚色|邪惡｜女
	🦹🏿‍♀️;超級女壞人: 深膚色;壞人|深膚色|犯罪|超人|超級女壞人|超級女壞人: 深膚色|邪惡｜女
🧙;巫師;女巫|巫婆|巫師|男巫
	🧙🏻;巫師: 淺膚色;女巫|巫婆|巫師|巫師: 淺膚色|淺膚色|男巫
