[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	🫰🏻;hand met wijsvinger en duim gekruist: lichte huidskleur;duur|geld|hand met wijsvinger en duim gekruist|hand met wijsvinger en duim gekruist: lichte huidskleur|hart|lichte huidskleur|liefde|vingerknip
	🫰🏼;hand met wijsvinger en duim gekruist: lichtgetinte huidskleur;duur|geld|hand met wijsvinger en duim gekruist|hand met wijsvinger en duim gekruist: lichtgetinte huidskleur|hart|lichtgetinte huidskleur|liefde|vingerknip
	🫰🏽;hand met wijsvinger en duim gekruist: getinte huidskleur;duur|geld|getinte huidskleur|hand met wijsvinger en duim gekruist|hand met wijsvinger en duim gekruist: getinte huidskleur|hart|liefde|vingerknip
	🫰🏾;hand met wijsvinger en duim gekruist: donkergetinte huidskleur;donkergetinte huidskleur|duur|geld|hand met wijsvinger en duim gekruist|hand met wijsvinger en duim gekruist: donkergetinte huidskleur|hart|liefde|vingerknip
	🫰🏿;hand met wijsvinger en duim gekruist: donkere huidskleur;donkere huidskleur|duur|geld|hand met wijsvinger en duim gekruist|hand met wijsvinger en duim gekruist: donkere huidskleur|hart|liefde|vingerknip
🤟;ik-hou-van-je-gebaar;hand|ik-hou-van-je-gebaar|ILY
	🤟🏻;ik-hou-van-je-gebaar: lichte huidskleur;hand|ik-hou-van-je-gebaar|ik-hou-van-je-gebaar: lichte huidskleur|ILY|lichte huidskleur
	🤟🏼;ik-hou-van-je-gebaar: lichtgetinte huidskleur;hand|ik-hou-van-je-gebaar|ik-hou-van-je-gebaar: lichtgetinte huidskleur|ILY|lichtgetinte huidskleur
	🤟🏽;ik-hou-van-je-gebaar: getinte huidskleur;getinte huidskleur|hand|ik-hou-van-je-gebaar|ik-hou-van-je-gebaar: getinte huidskleur|ILY
	🤟🏾;ik-hou-van-je-gebaar: donkergetinte huidskleur;donkergetinte huidskleur|hand|ik-hou-van-je-gebaar|ik-hou-van-je-gebaar: donkergetinte huidskleur|ILY
	🤟🏿;ik-hou-van-je-gebaar: donkere huidskleur;donkere huidskleur|hand|ik-hou-van-je-gebaar|ik-hou-van-je-gebaar: donkere huidskleur|ILY
🤘;duivelshorens;duivelshorens|hand|hoorns|rock on|vinger
	🤘🏻;duivelshorens: lichte huidskleur;duivelshorens|duivelshorens: lichte huidskleur|hand|hoorns|lichte huidskleur|rock on|vinger
	🤘🏼;duivelshorens: lichtgetinte huidskleur;duivelshorens|duivelshorens: lichtgetinte huidskleur|hand|hoorns|lichtgetinte huidskleur|rock on|vinger
	🤘🏽;duivelshorens: getinte huidskleur;duivelshorens|duivelshorens: getinte huidskleur|getinte huidskleur|hand|hoorns|rock on|vinger
	🤘🏾;duivelshorens: donkergetinte huidskleur;donkergetinte huidskleur|duivelshorens|duivelshorens: donkergetinte huidskleur|hand|hoorns|rock on|vinger
	🤘🏿;duivelshorens: donkere huidskleur;donkere huidskleur|duivelshorens|duivelshorens: donkere huidskleur|hand|hoorns|rock on|vinger
🤙;bel me-gebaar;bel me-gebaar|bellen|hand
	🤙🏻;bel me-gebaar: lichte huidskleur;bel me-gebaar|bel me-gebaar: lichte huidskleur|bellen|hand|lichte huidskleur
	🤙🏼;bel me-gebaar: lichtgetinte huidskleur;bel me-gebaar|bel me-gebaar: lichtgetinte huidskleur|bellen|hand|lichtgetinte huidskleur
	🤙🏽;bel me-gebaar: getinte huidskleur;bel me-gebaar|bel me-gebaar: getinte huidskleur|bellen|getinte huidskleur|hand
	🤙🏾;bel me-gebaar: donkergetinte huidskleur;bel me-gebaar|bel me-gebaar: donkergetinte huidskleur|bellen|donkergetinte huidskleur|hand
	🤙🏿;bel me-gebaar: donkere huidskleur;bel me-gebaar|bel me-gebaar: donkere huidskleur|bellen|donkere huidskleur|hand
👈;achterkant van hand met naar links wijzende wijsvinger;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|hand|vinger|wijsvinger|wijzen
	👈🏻;achterkant van hand met naar links wijzende wijsvinger: lichte huidskleur;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger: lichte huidskleur|hand|lichte huidskleur|vinger|wijsvinger|wijzen
	👈🏼;achterkant van hand met naar links wijzende wijsvinger: lichtgetinte huidskleur;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger: lichtgetinte huidskleur|hand|lichtgetinte huidskleur|vinger|wijsvinger|wijzen
	👈🏽;achterkant van hand met naar links wijzende wijsvinger: getinte huidskleur;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger: getinte huidskleur|getinte huidskleur|hand|vinger|wijsvinger|wijzen
	👈🏾;achterkant van hand met naar links wijzende wijsvinger: donkergetinte huidskleur;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger: donkergetinte huidskleur|donkergetinte huidskleur|hand|vinger|wijsvinger|wijzen
	👈🏿;achterkant van hand met naar links wijzende wijsvinger: donkere huidskleur;achterkant van de hand|achterkant van de hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger|achterkant van hand met naar links wijzende wijsvinger: donkere huidskleur|donkere huidskleur|hand|vinger|wijsvinger|wijzen
👉;achterkant van hand met naar rechts wijzende wijsvinger;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|hand|vinger|wijsvinger|wijzen
	👉🏻;achterkant van hand met naar rechts wijzende wijsvinger: lichte huidskleur;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger: lichte huidskleur|hand|lichte huidskleur|vinger|wijsvinger|wijzen
	👉🏼;achterkant van hand met naar rechts wijzende wijsvinger: lichtgetinte huidskleur;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger: lichtgetinte huidskleur|hand|lichtgetinte huidskleur|vinger|wijsvinger|wijzen
	👉🏽;achterkant van hand met naar rechts wijzende wijsvinger: getinte huidskleur;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger: getinte huidskleur|getinte huidskleur|hand|vinger|wijsvinger|wijzen
	👉🏾;achterkant van hand met naar rechts wijzende wijsvinger: donkergetinte huidskleur;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger: donkergetinte huidskleur|donkergetinte huidskleur|hand|vinger|wijsvinger|wijzen
	👉🏿;achterkant van hand met naar rechts wijzende wijsvinger: donkere huidskleur;achterkant van de hand|achterkant van de hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger|achterkant van hand met naar rechts wijzende wijsvinger: donkere huidskleur|donkere huidskleur|hand|vinger|wijsvinger|wijzen
👆;achterkant van hand met omhoog wijzende wijsvinger;achterkant van hand met omhoog wijzende wijsvinger|hand|hand met rug naar voren|omhoog|vinger|wijsvinger|wijzen
	👆🏻;achterkant van hand met omhoog wijzende wijsvinger: lichte huidskleur;achterkant van hand met omhoog wijzende wijsvinger|achterkant van hand met omhoog wijzende wijsvinger: lichte huidskleur|hand|hand met rug naar voren|lichte huidskleur|omhoog|vinger|wijsvinger|wijzen
	👆🏼;achterkant van hand met omhoog wijzende wijsvinger: lichtgetinte huidskleur;achterkant van hand met omhoog wijzende wijsvinger|achterkant van hand met omhoog wijzende wijsvinger: lichtgetinte huidskleur|hand|hand met rug naar voren|lichtgetinte huidskleur|omhoog|vinger|wijsvinger|wijzen
	👆🏽;achterkant van hand met omhoog wijzende wijsvinger: getinte huidskleur;achterkant van hand met omhoog wijzende wijsvinger|achterkant van hand met omhoog wijzende wijsvinger: getinte huidskleur|getinte huidskleur|hand|hand met rug naar voren|omhoog|vinger|wijsvinger|wijzen
	👆🏾;achterkant van hand met omhoog wijzende wijsvinger: donkergetinte huidskleur;achterkant van hand met omhoog wijzende wijsvinger|achterkant van hand met omhoog wijzende wijsvinger: donkergetinte huidskleur|donkergetinte huidskleur|hand|hand met rug naar voren|omhoog|vinger|wijsvinger|wijzen
	👆🏿;achterkant van hand met omhoog wijzende wijsvinger: donkere huidskleur;achterkant van hand met omhoog wijzende wijsvinger|achterkant van hand met omhoog wijzende wijsvinger: donkere huidskleur|donkere huidskleur|hand|hand met rug naar voren|omhoog|vinger|wijsvinger|wijzen
🖕;middelvinger;hand|middelvinger|vinger
	🖕🏻;middelvinger: lichte huidskleur;hand|lichte huidskleur|middelvinger|middelvinger: lichte huidskleur|vinger
	🖕🏼;middelvinger: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|middelvinger|middelvinger: lichtgetinte huidskleur|vinger
	🖕🏽;middelvinger: getinte huidskleur;getinte huidskleur|hand|middelvinger|middelvinger: getinte huidskleur|vinger
	🖕🏾;middelvinger: donkergetinte huidskleur;donkergetinte huidskleur|hand|middelvinger|middelvinger: donkergetinte huidskleur|vinger
	🖕🏿;middelvinger: donkere huidskleur;donkere huidskleur|hand|middelvinger|middelvinger: donkere huidskleur|vinger
👇;achterkant van hand met omlaag wijzende wijsvinger;achterkant van hand met omlaag wijzende wijsvinger|hand|hand met rug naar voren|omlaag|vinger|wijsvinger|wijzen
	👇🏻;achterkant van hand met omlaag wijzende wijsvinger: lichte huidskleur;achterkant van hand met omlaag wijzende wijsvinger|achterkant van hand met omlaag wijzende wijsvinger: lichte huidskleur|hand|hand met rug naar voren|lichte huidskleur|omlaag|vinger|wijsvinger|wijzen
	👇🏼;achterkant van hand met omlaag wijzende wijsvinger: lichtgetinte huidskleur;achterkant van hand met omlaag wijzende wijsvinger|achterkant van hand met omlaag wijzende wijsvinger: lichtgetinte huidskleur|hand|hand met rug naar voren|lichtgetinte huidskleur|omlaag|vinger|wijsvinger|wijzen
	👇🏽;achterkant van hand met omlaag wijzende wijsvinger: getinte huidskleur;achterkant van hand met omlaag wijzende wijsvinger|achterkant van hand met omlaag wijzende wijsvinger: getinte huidskleur|getinte huidskleur|hand|hand met rug naar voren|omlaag|vinger|wijsvinger|wijzen
	👇🏾;achterkant van hand met omlaag wijzende wijsvinger: donkergetinte huidskleur;achterkant van hand met omlaag wijzende wijsvinger|achterkant van hand met omlaag wijzende wijsvinger: donkergetinte huidskleur|donkergetinte huidskleur|hand|hand met rug naar voren|omlaag|vinger|wijsvinger|wijzen
	👇🏿;achterkant van hand met omlaag wijzende wijsvinger: donkere huidskleur;achterkant van hand met omlaag wijzende wijsvinger|achterkant van hand met omlaag wijzende wijsvinger: donkere huidskleur|donkere huidskleur|hand|hand met rug naar voren|omlaag|vinger|wijsvinger|wijzen
☝️;omhoog wijzende wijsvinger;hand|omhoog|omhoog wijzende wijsvinger|vinger|wijsvinger|wijzen
	☝🏻;omhoog wijzende wijsvinger: lichte huidskleur;hand|lichte huidskleur|omhoog|omhoog wijzende wijsvinger|omhoog wijzende wijsvinger: lichte huidskleur|vinger|wijsvinger|wijzen
	☝🏼;omhoog wijzende wijsvinger: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|omhoog|omhoog wijzende wijsvinger|omhoog wijzende wijsvinger: lichtgetinte huidskleur|vinger|wijsvinger|wijzen
	☝🏽;omhoog wijzende wijsvinger: getinte huidskleur;getinte huidskleur|hand|omhoog|omhoog wijzende wijsvinger|omhoog wijzende wijsvinger: getinte huidskleur|vinger|wijsvinger|wijzen
	☝🏾;omhoog wijzende wijsvinger: donkergetinte huidskleur;donkergetinte huidskleur|hand|omhoog|omhoog wijzende wijsvinger|omhoog wijzende wijsvinger: donkergetinte huidskleur|vinger|wijsvinger|wijzen
	☝🏿;omhoog wijzende wijsvinger: donkere huidskleur;donkere huidskleur|hand|omhoog|omhoog wijzende wijsvinger|omhoog wijzende wijsvinger: donkere huidskleur|vinger|wijsvinger|wijzen
🫵;wijsvinger die naar de kijker wijst;jij|wijsvinger die naar de kijker wijst|wijzen
	🫵🏻;wijsvinger die naar de kijker wijst: lichte huidskleur;jij|lichte huidskleur|wijsvinger die naar de kijker wijst|wijsvinger die naar de kijker wijst: lichte huidskleur|wijzen
	🫵🏼;wijsvinger die naar de kijker wijst: lichtgetinte huidskleur;jij|lichtgetinte huidskleur|wijsvinger die naar de kijker wijst|wijsvinger die naar de kijker wijst: lichtgetinte huidskleur|wijzen
	🫵🏽;wijsvinger die naar de kijker wijst: getinte huidskleur;getinte huidskleur|jij|wijsvinger die naar de kijker wijst|wijsvinger die naar de kijker wijst: getinte huidskleur|wijzen
	🫵🏾;wijsvinger die naar de kijker wijst: donkergetinte huidskleur;donkergetinte huidskleur|jij|wijsvinger die naar de kijker wijst|wijsvinger die naar de kijker wijst: donkergetinte huidskleur|wijzen
	🫵🏿;wijsvinger die naar de kijker wijst: donkere huidskleur;donkere huidskleur|jij|wijsvinger die naar de kijker wijst|wijsvinger die naar de kijker wijst: donkere huidskleur|wijzen
👍;duim omhoog;+1|duim|hand|omhoog
	👍🏻;duim omhoog: lichte huidskleur;+1|duim|duim omhoog: lichte huidskleur|hand|lichte huidskleur|omhoog
	👍🏼;duim omhoog: lichtgetinte huidskleur;+1|duim|duim omhoog: lichtgetinte huidskleur|hand|lichtgetinte huidskleur|omhoog
	👍🏽;duim omhoog: getinte huidskleur;+1|duim|duim omhoog: getinte huidskleur|getinte huidskleur|hand|omhoog
	👍🏾;duim omhoog: donkergetinte huidskleur;+1|donkergetinte huidskleur|duim|duim omhoog: donkergetinte huidskleur|hand|omhoog
	👍🏿;duim omhoog: donkere huidskleur;+1|donkere huidskleur|duim|duim omhoog: donkere huidskleur|hand|omhoog
👎;duim omlaag;-1|duim|hand|lichaam|omlaag
	👎🏻;duim omlaag: lichte huidskleur;-1|duim|duim omlaag: lichte huidskleur|hand|lichaam|lichte huidskleur|omlaag
	👎🏼;duim omlaag: lichtgetinte huidskleur;-1|duim|duim omlaag: lichtgetinte huidskleur|hand|lichaam|lichtgetinte huidskleur|omlaag
	👎🏽;duim omlaag: getinte huidskleur;-1|duim|duim omlaag: getinte huidskleur|getinte huidskleur|hand|lichaam|omlaag
	👎🏾;duim omlaag: donkergetinte huidskleur;-1|donkergetinte huidskleur|duim|duim omlaag: donkergetinte huidskleur|hand|lichaam|omlaag
	👎🏿;duim omlaag: donkere huidskleur;-1|donkere huidskleur|duim|duim omlaag: donkere huidskleur|hand|lichaam|omlaag
✊;opgeheven vuist;gebald|hand|opgeheven vuist|stoot|vuist
	✊🏻;opgeheven vuist: lichte huidskleur;gebald|hand|lichte huidskleur|opgeheven vuist|opgeheven vuist: lichte huidskleur|stoot|vuist
	✊🏼;opgeheven vuist: lichtgetinte huidskleur;gebald|hand|lichtgetinte huidskleur|opgeheven vuist|opgeheven vuist: lichtgetinte huidskleur|stoot|vuist
	✊🏽;opgeheven vuist: getinte huidskleur;gebald|getinte huidskleur|hand|opgeheven vuist|opgeheven vuist: getinte huidskleur|stoot|vuist
	✊🏾;opgeheven vuist: donkergetinte huidskleur;donkergetinte huidskleur|gebald|hand|opgeheven vuist|opgeheven vuist: donkergetinte huidskleur|stoot|vuist
	✊🏿;opgeheven vuist: donkere huidskleur;donkere huidskleur|gebald|hand|opgeheven vuist|opgeheven vuist: donkere huidskleur|stoot|vuist
👊;stotende vuist;gebald|hand|stoot|stotende vuist|vuist
	👊🏻;stotende vuist: lichte huidskleur;gebald|hand|lichte huidskleur|stoot|stotende vuist|stotende vuist: lichte huidskleur|vuist
	👊🏼;stotende vuist: lichtgetinte huidskleur;gebald|hand|lichtgetinte huidskleur|stoot|stotende vuist|stotende vuist: lichtgetinte huidskleur|vuist
	👊🏽;stotende vuist: getinte huidskleur;gebald|getinte huidskleur|hand|stoot|stotende vuist|stotende vuist: getinte huidskleur|vuist
	👊🏾;stotende vuist: donkergetinte huidskleur;donkergetinte huidskleur|gebald|hand|stoot|stotende vuist|stotende vuist: donkergetinte huidskleur|vuist
	👊🏿;stotende vuist: donkere huidskleur;donkere huidskleur|gebald|hand|stoot|stotende vuist|stotende vuist: donkere huidskleur|vuist
🤛;naar links gerichte vuist;linksom|naar links gerichte vuist|vuist
	🤛🏻;naar links gerichte vuist: lichte huidskleur;lichte huidskleur|linksom|naar links gerichte vuist|naar links gerichte vuist: lichte huidskleur|vuist
	🤛🏼;naar links gerichte vuist: lichtgetinte huidskleur;lichtgetinte huidskleur|linksom|naar links gerichte vuist|naar links gerichte vuist: lichtgetinte huidskleur|vuist
	🤛🏽;naar links gerichte vuist: getinte huidskleur;getinte huidskleur|linksom|naar links gerichte vuist|naar links gerichte vuist: getinte huidskleur|vuist
	🤛🏾;naar links gerichte vuist: donkergetinte huidskleur;donkergetinte huidskleur|linksom|naar links gerichte vuist|naar links gerichte vuist: donkergetinte huidskleur|vuist
	🤛🏿;naar links gerichte vuist: donkere huidskleur;donkere huidskleur|linksom|naar links gerichte vuist|naar links gerichte vuist: donkere huidskleur|vuist
🤜;naar rechts gerichte vuist;naar rechts gerichte vuist|rechtsom|vuist
	🤜🏻;naar rechts gerichte vuist: lichte huidskleur;lichte huidskleur|naar rechts gerichte vuist|naar rechts gerichte vuist: lichte huidskleur|rechtsom|vuist
	🤜🏼;naar rechts gerichte vuist: lichtgetinte huidskleur;lichtgetinte huidskleur|naar rechts gerichte vuist|naar rechts gerichte vuist: lichtgetinte huidskleur|rechtsom|vuist
	🤜🏽;naar rechts gerichte vuist: getinte huidskleur;getinte huidskleur|naar rechts gerichte vuist|naar rechts gerichte vuist: getinte huidskleur|rechtsom|vuist
	🤜🏾;naar rechts gerichte vuist: donkergetinte huidskleur;donkergetinte huidskleur|naar rechts gerichte vuist|naar rechts gerichte vuist: donkergetinte huidskleur|rechtsom|vuist
	🤜🏿;naar rechts gerichte vuist: donkere huidskleur;donkere huidskleur|naar rechts gerichte vuist|naar rechts gerichte vuist: donkere huidskleur|rechtsom|vuist
👏;klappende handen;hand|klappen|klappende handen
	👏🏻;klappende handen: lichte huidskleur;hand|klappen|klappende handen|klappende handen: lichte huidskleur|lichte huidskleur
	👏🏼;klappende handen: lichtgetinte huidskleur;hand|klappen|klappende handen|klappende handen: lichtgetinte huidskleur|lichtgetinte huidskleur
	👏🏽;klappende handen: getinte huidskleur;getinte huidskleur|hand|klappen|klappende handen|klappende handen: getinte huidskleur
	👏🏾;klappende handen: donkergetinte huidskleur;donkergetinte huidskleur|hand|klappen|klappende handen|klappende handen: donkergetinte huidskleur
	👏🏿;klappende handen: donkere huidskleur;donkere huidskleur|hand|klappen|klappende handen|klappende handen: donkere huidskleur
