[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	👌🏿;OK-handgebaar: donkere huidskleur;donkere huidskleur|hand|OK|OK-handgebaar|OK-handgebaar: donkere huidskleur
🤌;samengeknepen vingers;handgebaar|ondervraging|samengeknepen|sarcastisch|vingers
	🤌🏻;samengeknepen vingers: lichte huidskleur;handgebaar|lichte huidskleur|ondervraging|samengeknepen|samengeknepen vingers: lichte huidskleur|sarcastisch|vingers
	🤌🏼;samengeknepen vingers: lichtgetinte huidskleur;handgebaar|lichtgetinte huidskleur|ondervraging|samengeknepen|samengeknepen vingers: lichtgetinte huidskleur|sarcastisch|vingers
	🤌🏽;samengeknepen vingers: getinte huidskleur;getinte huidskleur|handgebaar|ondervraging|samengeknepen|samengeknepen vingers: getinte huidskleur|sarcastisch|vingers
	🤌🏾;samengeknepen vingers: donkergetinte huidskleur;donkergetinte huidskleur|handgebaar|ondervraging|samengeknepen|samengeknepen vingers: donkergetinte huidskleur|sarcastisch|vingers
	🤌🏿;samengeknepen vingers: donkere huidskleur;donkere huidskleur|handgebaar|ondervraging|samengeknepen|samengeknepen vingers: donkere huidskleur|sarcastisch|vingers
🤏;hand met samengeknepen vingers;gebaar voor kleine hoeveelheid|hand met samengeknepen vingers
	🤏🏻;hand met samengeknepen vingers: lichte huidskleur;gebaar voor kleine hoeveelheid|hand met samengeknepen vingers|hand met samengeknepen vingers: lichte huidskleur|lichte huidskleur
	🤏🏼;hand met samengeknepen vingers: lichtgetinte huidskleur;gebaar voor kleine hoeveelheid|hand met samengeknepen vingers|hand met samengeknepen vingers: lichtgetinte huidskleur|lichtgetinte huidskleur
	🤏🏽;hand met samengeknepen vingers: getinte huidskleur;gebaar voor kleine hoeveelheid|getinte huidskleur|hand met samengeknepen vingers|hand met samengeknepen vingers: getinte huidskleur
	🤏🏾;hand met samengeknepen vingers: donkergetinte huidskleur;donkergetinte huidskleur|gebaar voor kleine hoeveelheid|hand met samengeknepen vingers|hand met samengeknepen vingers: donkergetinte huidskleur
	🤏🏿;hand met samengeknepen vingers: donkere huidskleur;donkere huidskleur|gebaar voor kleine hoeveelheid|hand met samengeknepen vingers|hand met samengeknepen vingers: donkere huidskleur
✌️;winnende hand;hand|v|vredesteken|winnende hand
	✌🏻;winnende hand: lichte huidskleur;hand|lichte huidskleur|v|vredesteken|winnende hand|winnende hand: lichte huidskleur
	✌🏼;winnende hand: lichtgetinte huidskleur;hand|lichtgetinte huidskleur|v|vredesteken|winnende hand|winnende hand: lichtgetinte huidskleur
	✌🏽;winnende hand: getinte huidskleur;getinte huidskleur|hand|v|vredesteken|winnende hand|winnende hand: getinte huidskleur
	✌🏾;winnende hand: donkergetinte huidskleur;donkergetinte huidskleur|hand|v|vredesteken|winnende hand|winnende hand: donkergetinte huidskleur
	✌🏿;winnende hand: donkere huidskleur;donkere huidskleur|hand|v|vredesteken|winnende hand|winnende hand: donkere huidskleur
🤞;gekruiste vingers;gekruist|gekruiste vingers|geluk|hand|vinger
	🤞🏻;gekruiste vingers: lichte huidskleur;gekruist|gekruiste vingers|gekruiste vingers: lichte huidskleur|geluk|hand|lichte huidskleur|vinger
	🤞🏼;gekruiste vingers: lichtgetinte huidskleur;gekruist|gekruiste vingers|gekruiste vingers: lichtgetinte huidskleur|geluk|hand|lichtgetinte huidskleur|vinger
	🤞🏽;gekruiste vingers: getinte huidskleur;gekruist|gekruiste vingers|gekruiste vingers: getinte huidskleur|geluk|getinte huidskleur|hand|vinger
	🤞🏾;gekruiste vingers: donkergetinte huidskleur;donkergetinte huidskleur|gekruist|gekruiste vingers|gekruiste vingers: donkergetinte huidskleur|geluk|hand|vinger
	🤞🏿;gekruiste vingers: donkere huidskleur;donkere huidskleur|gekruist|gekruiste vingers|gekruiste vingers: donkere huidskleur|geluk|hand|vinger
🫰;hand met wijsvinger en duim gekruist;duur|geld|hand met wijsvinger en duim gekruist|hart|liefde|vingerknip
